pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-23,80.7,2.28,5.14,"Aguilar, Jesús",542583,594835,grounded_into_double_play,hit_into_play,,,,,9,"Jesus Aguilar grounds into a double play, shortstop J.  P. Crawford to second baseman Kolten Wong to first baseman Ty France.   Ramon Laureano out at 2nd.    Jesus Aguilar out at 1st.",R,R,L,SEA,OAK,X,6.0,ground_ball,0,0,2023,1.59,0.62,0.7,2.23,,,657656.0,1,6,Top,106.39,154.62,,,608596,,,-6.56085182929799,-117.3863667276906,-0.9557920585882608,15.94892850798981,23.380780176143823,-26.51545421082047,3.51,1.72,10.0,97.1,-12.0,80.8,2289.0,6.5,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.02,0.203,0.188,0.0,1.0,0.0,0.0,2.0,43,1,Changeup,3,2,2,3,2,3,2,3,Standard,Standard,106.0,0.084,-0.396
CH,2023-05-23,79.5,2.27,5.26,"Aguilar, Jesús",542583,594835,field_out,hit_into_play,,,,,7,"Jesus Aguilar grounds out softly, pitcher Marco Gonzales to first baseman Ty France.",R,R,L,SEA,OAK,X,1.0,ground_ball,2,0,2023,1.56,0.62,-0.37,2.05,,,,0,4,Top,117.58,187.31,,,608596,,,-8.701634167916861,-115.50416187422287,-1.426085800797797,15.567506949874684,21.477933149048404,-26.52041908981228,3.51,1.72,1.0,53.9,-69.0,79.6,2100.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.05,0.206,0.185,0.0,1.0,0.0,0.0,1.0,25,3,Changeup,0,2,2,0,2,0,2,0,Strategic,Standard,108.0,0.017,-0.34
CU,2023-05-23,79.6,2.23,5.3,"Aguilar, Jesús",542583,594835,,ball,,,,,14,"Jesus Aguilar grounds out softly, pitcher Marco Gonzales to first baseman Ty France.",R,R,L,SEA,OAK,B,,,1,0,2023,-0.26,-0.74,1.3,2.63,,,,0,4,Top,,,,,608596,,,-1.535620789591711,-115.91867264850949,2.1909468898246747,-2.135657874621785,19.62553814328648,-39.416917838652296,3.54,1.72,,,,79.6,2294.0,6.0,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.46,,,,,,,,25,2,Curveball,0,2,2,0,2,0,2,0,Strategic,Standard,326.0,0.0,0.066
FF,2023-05-23,89.3,2.01,5.46,"Aguilar, Jesús",542583,594835,,ball,,,,,13,"Jesus Aguilar grounds out softly, pitcher Marco Gonzales to first baseman Ty France.",R,R,L,SEA,OAK,B,,,0,0,2023,1.15,1.09,-0.15,1.15,,,,0,4,Top,,,,,608596,,,-7.762673286024192,-129.71232213722473,-6.947204973076409,14.612201001574451,25.65601719329262,-18.57860808892901,3.6,1.72,,,,89.9,1964.0,6.6,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,53.89,,,,,,,,25,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,127.0,0.0,0.039
CU,2023-05-23,80.2,2.17,5.34,"Aguilar, Jesús",542583,594835,field_out,hit_into_play,,,,,4,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,X,5.0,ground_ball,3,2,2023,-0.16,-0.86,-0.7,2.41,,657656.0,,1,1,Top,96.25,171.35,,,608596,,,-6.030456381702344,-116.69733999629824,1.79092807702572,-0.4619034001932417,20.048946980228173,-40.63273658950531,3.51,1.72,4.0,73.3,-29.0,80.3,2242.0,6.2,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.31,0.054,0.049,0.0,1.0,0.0,0.0,2.0,4,7,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,331.0,0.027,-0.345
CH,2023-05-23,79.7,2.33,5.26,"Aguilar, Jesús",542583,594835,,foul,,,,,13,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,S,,,3,2,2023,1.44,0.66,0.0,1.5,,657656.0,,1,1,Top,,,,,608596,,,-7.818338958677298,-115.7718490068684,-2.7553234433673417,14.41499185010601,21.787339743153584,-25.892614916575088,3.51,1.72,3.0,78.6,-28.0,79.6,2285.0,6.3,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.2,,,,,,,,4,6,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,106.0,0.0,0.0
FC,2023-05-23,86.6,2.07,5.5,"Aguilar, Jesús",542583,594835,,swinging_strike,,,,,2,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,S,,,3,1,2023,-0.19,0.68,0.1,3.33,,657656.0,,1,1,Top,,,,,608596,,,-4.341253414453732,-126.15357632398693,-0.4483484196975637,-1.3152913625048968,22.34135924716609,-24.9506341258329,3.51,1.72,,,,87.3,2079.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.09,,,,,,,,4,5,Cutter,0,1,1,0,1,0,1,0,Strategic,Standard,152.0,0.0,-0.098
CH,2023-05-23,80.4,2.38,5.24,"Aguilar, Jesús",542583,594835,,ball,,,,,14,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,B,,,2,1,2023,1.39,0.5,0.83,1.59,,657656.0,,1,1,Top,,,,,608596,,,-6.125213854849769,-116.97170086943989,-2.353944152302315,13.897354299579227,22.56797430545315,-27.362177872939444,3.52,1.72,,,,81.0,2053.0,6.7,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,53.76,,,,,,,,4,4,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,102.0,0.0,0.09
FC,2023-05-23,86.8,2.09,5.48,"Aguilar, Jesús",542583,594835,,ball,,,,,13,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,B,,,1,1,2023,-0.03,0.73,-1.19,2.37,,657656.0,,1,1,Top,,,,,608596,,,-7.833473863218704,-126.26815543614676,-2.8216427483902207,1.0298247187518237,22.182095789927917,-23.92530638895069,3.48,1.72,,,,87.7,2004.0,6.6,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,53.93,,,,,,,,4,3,Cutter,0,1,1,0,1,0,1,0,Strategic,Standard,154.0,0.0,0.056
CH,2023-05-23,80.1,2.44,5.3,"Aguilar, Jesús",542583,594835,,ball,,,,,14,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,B,,,0,1,2023,1.47,0.44,0.79,0.9,,657656.0,,1,1,Top,,,,,608596,,,-6.424273298418337,-116.44400561694592,-3.809332797985995,14.609617175904782,23.086998536927013,-27.60715504292561,3.49,1.72,,,,80.0,2072.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.07,,,,,,,,4,2,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,106.0,0.0,0.024
