pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-12,88.1,-2.34,4.56,"Sánchez, Jesús",660821,664747,strikeout,called_strike,,,,,1,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,S,2.0,,2,2,2023,0.67,0.31,-0.45,3.37,,,,0,9,Bot,,,,,663886,,,3.271178590247103,-128.217033714699,2.6862650031980326,6.65986864051977,27.453385793951828,-29.61158320272268,3.47,1.7,,,,89.9,2710.0,7.5,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,53.05,,,0.0,1.0,0.0,0.0,,76,6,Slider,4,7,4,7,7,4,4,7,Strategic,Standard,118.0,-0.021,-0.205
FF,2023-05-12,94.3,-2.27,4.47,"Sánchez, Jesús",660821,664747,,foul,,,,,5,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,S,,,2,2,2023,-0.6,1.11,-0.18,2.47,,,,0,9,Bot,,,,,663886,,,6.96054598356739,-137.1690026259163,-1.9713255719322815,-9.162637265511195,32.4521954839375,-18.02590668214212,3.57,1.68,199.0,74.8,23.0,96.7,2349.0,7.8,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,52.67,,,,,,,,76,5,4-Seam Fastball,4,7,4,7,7,4,4,7,Strategic,Standard,235.0,0.0,0.0
FF,2023-05-12,95.8,-2.22,4.57,"Sánchez, Jesús",660821,664747,,ball,,,,,11,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,B,,,1,2,2023,-0.61,1.13,-2.01,3.36,,,,0,9,Bot,,,,,663886,,,2.0029902553452383,-139.4119944429035,-0.0637079622931021,-8.366255082978242,34.85352861095234,-17.729940535287735,3.35,1.68,,,,97.5,2426.0,7.5,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,52.97,,,,,,,,76,4,4-Seam Fastball,4,7,4,7,7,4,4,7,Strategic,Standard,227.0,0.0,0.03
SL,2023-05-12,88.1,-2.41,4.58,"Sánchez, Jesús",660821,664747,,foul,,,,,8,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,S,,,1,1,2023,0.48,0.26,0.13,2.25,,,,0,9,Bot,,,,,663886,,,5.30029154958166,-128.2029452492416,-0.0443872567785649,4.067283828469189,28.39100467972071,-29.49309413565391,3.57,1.68,152.0,69.8,30.0,90.0,2738.0,7.6,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,52.91,,,,,,,,76,3,Slider,4,7,4,7,7,4,4,7,Strategic,Standard,115.0,0.0,-0.053
SL,2023-05-12,87.4,-2.51,4.61,"Sánchez, Jesús",660821,664747,,ball,,,,,13,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,B,,,0,1,2023,0.36,0.29,-1.12,2.39,,,,0,9,Bot,,,,,663886,,,2.6643361810177497,-127.3005489293998,0.2127122873062954,3.3479812007455205,26.612708180043835,-29.33934073973385,3.43,1.68,,,,89.3,2722.0,7.4,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,53.07,,,,,,,,76,2,Slider,4,7,4,7,7,4,4,7,Strategic,Standard,131.0,0.0,0.03
FF,2023-05-12,95.7,-2.33,4.52,"Sánchez, Jesús",660821,664747,,called_strike,,,,,11,Jesus Sanchez called out on strikes.,R,L,R,MIA,CIN,S,,,0,0,2023,-0.98,1.12,-1.03,3.13,,,,0,9,Bot,,,,,663886,,,5.804107266305538,-139.22183567477433,-0.5459030346094216,-14.099585879263223,33.77959277055464,-17.835936129627388,3.53,1.68,,,,97.8,2650.0,7.7,718212,664747,663886,668715,663697,669222,676480,641584,656413,571976,52.85,,,,,,,,76,1,4-Seam Fastball,4,7,4,7,7,4,4,7,Strategic,Standard,230.0,0.0,-0.037
CU,2023-05-10,82.9,-1.76,5.61,"Sánchez, Jesús",660821,518876,strikeout,swinging_strike_blocked,,,,,14,Jesus Sanchez strikes out swinging.,R,L,R,AZ,MIA,S,2.0,,3,2,2023,0.71,-1.04,0.9,0.43,,,,1,6,Top,,,,,645444,,,4.711731162447703,-120.60192009083532,-3.274308022664764,5.8896326469335625,25.412508371096312,-41.81269915011247,3.53,1.67,,,,82.7,2488.0,6.4,718226,518876,645444,572233,606466,668942,672695,682998,677950,656976,54.14,,,0.0,1.0,0.0,0.0,,44,6,Curveball,4,4,4,4,4,4,4,4,Strategic,Standard,53.0,0.025,-0.211
FF,2023-05-10,92.0,-1.78,5.39,"Sánchez, Jesús",660821,518876,,called_strike,,,,,4,Jesus Sanchez strikes out swinging.,R,L,R,AZ,MIA,S,,,3,0,2023,-0.56,1.31,-0.59,3.1,,,,1,6,Top,,,,,645444,,,4.256366213553051,-133.90147484519056,-2.8115346882172525,-7.687331568039236,28.710540139964536,-16.00326665633835,3.89,1.73,,,,92.2,2216.0,6.4,718226,518876,645444,572233,606466,668942,672695,682998,677950,656976,54.1,,,,,,,,44,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Standard,223.0,0.0,-0.049
CU,2023-05-10,80.9,-1.76,5.66,"Sánchez, Jesús",660821,518876,,ball,,,,,1,Jesus Sanchez strikes out swinging.,R,L,R,AZ,MIA,B,,,2,0,2023,1.07,-0.87,-0.71,3.42,,,,1,6,Top,,,,,645444,,,0.3252317432525651,-117.68657101392712,3.334895581322484,9.79316203597137,23.642535961027747,-41.11352918159814,3.61,1.66,,,,80.6,2523.0,6.2,718226,518876,645444,572233,606466,668942,672695,682998,677950,656976,54.29,,,,,,,,44,3,Curveball,4,4,4,4,4,4,4,4,Strategic,Standard,52.0,0.0,0.084
FC,2023-05-10,90.7,-1.65,5.54,"Sánchez, Jesús",660821,518876,,ball,,,,,11,Jesus Sanchez strikes out swinging.,R,L,R,AZ,MIA,B,,,1,0,2023,-0.12,1.16,-0.49,4.34,,,,1,6,Top,,,,,645444,,,3.183410634041329,-132.1553953194521,0.3928640451329396,-2.1096207856636413,27.046273197566077,-18.80335013489254,3.69,1.67,,,,90.9,2139.0,6.3,718226,518876,645444,572233,606466,668942,672695,682998,677950,656976,54.24,,,,,,,,44,2,Cutter,4,4,4,4,4,4,4,4,Strategic,Standard,211.0,0.0,0.045
