pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,90.2,0.91,5.98,"Ortiz, Joey",687401,641482,strikeout,called_strike,,,,,6,Joey Ortiz called out on strikes.,R,R,L,NYY,BAL,S,2.0,,0,2,2023,-0.17,1.53,0.41,2.31,,,,0,6,Top,,,,,543309,,,-0.8733474403369642,-131.19974603372546,-6.335615508956663,-1.74389187256478,28.302314945245524,-13.389103965702713,3.36,1.49,,,,89.4,2044,5.9,718040,641482,543309,519203,650402,518934,683011,643396,664056,592450,54.61,,,0.0,1.0,0.0,0.0,,41,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,160,0.015,-0.149
FC,2023-05-24,83.8,1.7,5.66,"Ortiz, Joey",687401,641482,,foul,,,,,7,Joey Ortiz called out on strikes.,R,R,L,NYY,BAL,S,,,0,1,2023,-0.56,0.48,-0.51,1.71,,,,0,6,Top,,,,,543309,,,-3.94641648313576,-121.9453897699138,-3.6375497296475623,-4.838989199753526,23.963721629484105,-26.882940491525268,3.29,1.49,5.0,95.0,-20.0,82.9,2121,5.7,718040,641482,543309,519203,650402,518934,683011,643396,664056,592450,54.83,,,,,,,,41,2,Cutter,5,1,1,5,1,5,1,5,Standard,Standard,172,0.0,-0.049
ST,2023-05-24,74.2,1.9,5.59,"Ortiz, Joey",687401,641482,,called_strike,,,,,2,Joey Ortiz called out on strikes.,R,R,L,NYY,BAL,S,,,0,0,2023,-1.97,0.3,-0.23,2.9,,,,0,6,Top,,,,,543309,,,-0.9087349369465404,-108.05627612267467,1.2388362033664466,-15.24389086833036,19.64020094057305,-30.24886152236831,3.29,1.46,,,,74.3,2337,6.5,718040,641482,543309,519203,650402,518934,683011,643396,664056,592450,54.05,,,,,,,,41,1,Sweeper,5,1,1,5,1,5,1,5,Strategic,Standard,281,0.0,-0.037
FF,2023-05-24,91.0,0.97,5.92,"Ortiz, Joey",687401,641482,single,hit_into_play,,,,,8,Joey Ortiz singles on a ground ball to right fielder Aaron Judge.   Jorge Mateo to 2nd.,R,R,L,NYY,BAL,X,9.0,ground_ball,0,0,2023,0.2,1.36,0.09,2.04,,,622761.0,1,3,Top,174.62,123.43,,,543309,,,-2.6290202474348328,-132.36161199809928,-6.648484746893999,2.968453659043598,28.89104525472242,-15.031348053057435,3.29,1.49,7.0,109.8,-15.0,90.1,2139,5.8,718040,641482,543309,519203,650402,518934,683011,643396,664056,592450,54.7,0.231,0.211,0.9,1.0,1.0,0.0,2.0,15,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,158,-0.04,0.506
FS,2023-05-21,86.7,-2.44,5.65,"Ortiz, Joey",687401,592332,field_out,hit_into_play,,,,,13,"Joey Ortiz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,X,6.0,ground_ball,2,2,2023,-1.4,0.53,-0.07,1.06,,,,1,7,Top,112.76,166.92,,,672386,,,8.542598161615249,-125.95301749110054,-5.885588023489548,-16.6514683277773,24.19305622382529,-25.535792108281356,3.29,1.49,4.0,94.5,-16.0,87.0,1765,6.5,718087,592332,672386,665489,624415,656305,666182,593160,595281,543807,54.03,0.151,0.154,0.0,1.0,0.0,0.0,2.0,54,5,Split-Finger,1,2,2,1,2,1,2,1,Strategic,Standard,236,0.018,-0.151
FS,2023-05-21,86.7,-2.39,5.7,"Ortiz, Joey",687401,592332,,ball,,,,,14,"Joey Ortiz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,B,,,1,2,2023,-1.52,0.41,0.16,0.93,,,,1,7,Top,,,,,672386,,,9.236082282413406,-125.84964687935516,-6.064422061317101,-18.04311371570452,24.93557939663977,-26.787301610054445,3.23,1.4,,,,87.1,1709,6.6,718087,592332,672386,665489,624415,656305,666182,593160,595281,543807,53.86,,,,,,,,54,4,Split-Finger,1,2,2,1,2,1,2,1,Strategic,Strategic,237,0.0,0.03
FF,2023-05-21,94.7,-2.36,5.76,"Ortiz, Joey",687401,592332,,foul,,,,,1,"Joey Ortiz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,S,,,1,1,2023,-0.66,1.35,-0.39,2.8,,,,1,7,Top,,,,,672386,,,6.609913238497376,-137.61328743383055,-5.005927084053056,-9.922731472675157,32.0895657988479,-14.173011056180492,3.29,1.49,,,,94.4,2183,6.3,718087,592332,672386,665489,624415,656305,666182,593160,595281,543807,54.17,,,,,,,,54,3,4-Seam Fastball,1,2,2,1,2,1,2,1,Strategic,Strategic,215,0.0,-0.044
SL,2023-05-21,85.5,-2.38,5.61,"Ortiz, Joey",687401,592332,,ball,,,,,14,"Joey Ortiz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,B,,,0,1,2023,0.17,0.38,1.53,-0.22,,,,1,7,Top,,,,,672386,,,8.867944759711218,-123.99146905057007,-8.226415981253057,0.0418438804662231,24.494238118869657,-26.712471070164263,3.34,1.51,,,,85.6,2183,6.5,718087,592332,672386,665489,624415,656305,666182,593160,595281,543807,53.97,,,,,,,,54,2,Slider,1,2,2,1,2,1,2,1,Strategic,Strategic,177,0.0,0.021
FF,2023-05-21,95.2,-2.29,5.72,"Ortiz, Joey",687401,592332,,called_strike,,,,,8,"Joey Ortiz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,S,,,0,0,2023,-0.75,1.34,0.03,1.92,,,,1,7,Top,,,,,672386,,,7.765745286185252,-138.25414016387745,-7.333034570258762,-11.2820957911451,30.277628547489712,-13.490519821811745,3.34,1.43,,,,95.3,2196,6.4,718087,592332,672386,665489,624415,656305,666182,593160,595281,543807,54.1,,,,,,,,54,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Strategic,Strategic,215,0.0,-0.028
SL,2023-05-21,83.6,-2.51,5.7,"Ortiz, Joey",687401,592332,field_out,hit_into_play,,,,,4,"Joey Ortiz grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,BAL,X,5.0,ground_ball,1,0,2023,-0.14,0.47,-0.38,2.17,,,,0,5,Top,104.1,176.41,,,672386,,,5.219682459200502,-121.77117871240137,-2.703414230155419,-2.3338865989041158,21.545324565346597,-27.21150829048616,3.29,1.49,17.0,91.2,-7.0,84.2,2079,6.4,718087,592332,672386,665489,593160,656305,666182,664770,595281,543807,54.08,0.151,0.136,0.0,1.0,0.0,0.0,2.0,37,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,214,0.023,-0.274
