pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,88.3,-2.71,5.63,"Heim, Jonah",641680,670912,field_error,hit_into_play,,,,,13,"Jonah Heim reaches on a fielding error by first baseman Carlos Santana.   Josh Jung to 3rd.  Josh Jung advances to 3rd, on a fielding error by second baseman Rodolfo Castro.",R,L,R,PIT,TEX,X,3.0,ground_ball,1,1,2023,0.09,0.3,-0.11,1.33,,,673962.0,0,6,Top,154.48,166.01,,,641511,,,6.231832870330225,-128.52068646075452,-5.118174395060839,-0.151550394636465,24.90569125958996,-27.96353551383793,3.48,1.67,16.0,90.2,-5.0,89.9,2516.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.37,0.22,0.222,0.9,1.0,0.0,0.0,2.0,44,3,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,160.0,-0.093,0.69
FF,2023-05-24,96.9,-2.71,5.72,"Heim, Jonah",641680,670912,,ball,,,,,11,"Jonah Heim reaches on a fielding error by first baseman Carlos Santana.   Josh Jung to 3rd.  Josh Jung advances to 3rd, on a fielding error by second baseman Rodolfo Castro.",R,L,R,PIT,TEX,B,,,0,1,2023,-0.81,0.63,-1.11,3.68,,,673962.0,0,6,Top,,,,,641511,,,6.2374638112698335,-140.98754547134507,-1.364201097798197,-12.221411304900544,31.29589704976141,-23.67534266002747,3.54,1.75,,,,98.4,2361.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.4,,,,,,,,44,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Strategic,Standard,213.0,0.0,0.023
FF,2023-05-24,97.7,-2.81,5.65,"Heim, Jonah",641680,670912,,foul,,,,,5,"Jonah Heim reaches on a fielding error by first baseman Carlos Santana.   Josh Jung to 3rd.  Josh Jung advances to 3rd, on a fielding error by second baseman Rodolfo Castro.",R,L,R,PIT,TEX,S,,,0,0,2023,-0.86,0.9,-0.25,2.48,,,673962.0,0,6,Top,,,,,641511,,,9.005335527256056,-141.98424702462302,-5.201409418215722,-13.646096169583856,31.78389318312616,-18.95745467415302,3.48,1.67,152.0,79.1,13.0,99.1,2206.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.39,,,,,,,,44,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Strategic,Standard,216.0,0.0,-0.05
SL,2023-05-24,87.7,-2.55,5.71,"Heim, Jonah",641680,670912,strikeout,swinging_strike,,,,,14,Jonah Heim strikes out swinging.,R,L,R,PIT,TEX,S,2.0,,0,2,2023,0.51,0.05,0.63,1.3,,,,0,4,Top,,,,,641511,,,6.713967000715816,-127.55825974371176,-4.724257374119528,4.280799168778985,24.70520034247855,-30.879504654619613,3.48,1.67,,,,88.8,2666.0,6.8,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.66,,,0.0,1.0,0.0,0.0,,27,3,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,114.0,0.023,-0.149
CH,2023-05-24,89.3,-2.61,5.77,"Heim, Jonah",641680,670912,,foul,,,,,14,Jonah Heim strikes out swinging.,R,L,R,PIT,TEX,S,,,0,1,2023,-1.31,0.56,0.04,0.9,,,,0,4,Top,,,,,641511,,,9.38824550756714,-129.61503276054464,-7.183407124219131,-16.759486919121255,27.82652066214404,-24.506432212432628,3.48,1.67,61.0,37.8,26.0,90.2,1790.0,7.0,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.46,,,,,,,,27,2,Changeup,2,3,3,2,3,2,3,2,Strategic,Standard,233.0,0.0,-0.049
CU,2023-05-24,81.5,-2.44,6.1,"Heim, Jonah",641680,670912,,swinging_strike,,,,,2,Jonah Heim strikes out swinging.,R,L,R,PIT,TEX,S,,,0,0,2023,0.46,0.06,-0.07,3.32,,,,0,4,Top,,,,,641511,,,4.511155412876954,-118.60200393122966,0.2419087389631871,3.4500534336822097,23.02441258885651,-31.899500781035893,3.48,1.67,,,,82.7,2355.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.4,,,,,,,,27,1,Curveball,2,3,3,2,3,2,3,2,Strategic,Standard,92.0,0.0,-0.037
CH,2023-05-24,89.6,-2.82,5.84,"Heim, Jonah",641680,670912,fielders_choice,hit_into_play,,,,,13,"Jonah Heim reaches on a fielder's choice, fielded by first baseman Carlos Santana.   Adolis Garcia scores.    Josh Jung to 3rd.",R,L,R,PIT,TEX,X,3.0,ground_ball,1,1,2023,-1.11,0.55,-0.24,0.98,666969.0,673962.0,,1,1,Top,155.09,161.17,,,641511,,,8.86490157013711,-130.1229800173315,-7.312901416721952,-14.358978898053724,24.13416946854096,-24.681729435250865,3.48,1.67,7.0,78.1,-8.0,91.4,1783.0,7.2,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.25,0.109,0.109,0.9,1.0,0.0,0.0,2.0,6,3,Changeup,0,2,2,0,3,0,3,0,Strategic,Standard,236.0,-0.054,0.941
FF,2023-05-24,97.0,-2.72,5.64,"Heim, Jonah",641680,670912,,ball,,,,,14,"Jonah Heim reaches on a fielder's choice, fielded by first baseman Carlos Santana.   Adolis Garcia scores.    Josh Jung to 3rd.",R,L,R,PIT,TEX,B,,,0,1,2023,-0.58,0.51,1.83,2.44,666969.0,673962.0,,1,1,Top,,,,,641511,,,13.653077072780691,-140.70371370884183,-4.299692254964834,-10.450480656080568,27.54416199994177,-24.52561748597645,3.52,1.75,,,,98.5,2404.0,7.0,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.48,,,,,,,,6,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,222.0,0.0,0.044
FF,2023-05-24,96.7,-2.86,5.56,"Heim, Jonah",641680,670912,,foul,,,,,9,"Jonah Heim reaches on a fielder's choice, fielded by first baseman Carlos Santana.   Adolis Garcia scores.    Josh Jung to 3rd.",R,L,R,PIT,TEX,S,,,0,0,2023,-0.86,0.65,0.54,1.6,666969.0,673962.0,,1,1,Top,,,,,641511,,,11.173643621536163,-140.37247251066617,-6.609539262107472,-13.78053815726726,29.52749955598584,-22.186757577873298,3.48,1.67,174.0,63.3,43.0,98.3,2327.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.36,,,,,,,,6,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,225.0,0.0,-0.091
SL,2023-05-24,84.6,-1.35,5.89,"Heim, Jonah",641680,664294,field_out,hit_into_play,,,,,6,Jonah Heim lines out softly to third baseman Ke'Bryan Hayes.,R,L,R,PIT,TEX,X,5.0,line_drive,0,1,2023,-0.43,-0.15,0.44,2.42,,,,0,8,Top,113.31,145.2,,,641511,,,4.974923540582974,-123.20442806808371,-1.4633716097858689,-5.35857871304435,23.705353425107464,-33.677712100600644,3.48,1.67,144.0,52.0,33.0,83.8,2039.0,5.7,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.82,0.177,0.159,0.0,1.0,0.0,0.0,1.0,61,2,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,298.0,0.022,-0.198
