pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-21,97.1,0.32,6.28,"Diaz, Jordan",672478,664285,field_out,hit_into_play,,,,,8,Jordan Diaz lines out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,X,9.0,line_drive,2,2,2023,1.47,0.83,-0.25,1.59,,,,2,8,Top,174.45,82.11,,,455117,,,-4.825605800314957,-141.02205083068023,-8.766731135933494,20.630307457951652,35.33030582745679,-19.1981458102688,3.13,1.45,314.0,97.6,19.0,95.7,2166.0,5.8,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.68,0.343,0.387,0.0,1.0,0.0,0.0,4.0,57,5,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,140.0,0.013,-0.09
FC,2023-05-21,83.4,0.69,6.22,"Diaz, Jordan",672478,664285,,ball,,,,,12,Jordan Diaz lines out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,B,,,1,2,2023,-0.22,-0.46,0.77,3.58,,,,2,8,Top,,,,,455117,,,0.6353050669871766,-121.45165338018244,1.3082391959685964,-2.3064867851373583,25.448868778733285,-37.23333045174529,2.96,1.36,,,,82.9,2641.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.42,,,,,,,,57,4,Cutter,2,0,0,2,0,2,0,2,Standard,Standard,324.0,0.0,0.018
CU,2023-05-21,83.5,0.51,6.16,"Diaz, Jordan",672478,664285,,ball,,,,,13,Jordan Diaz lines out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,B,,,0,2,2023,-0.5,-1.13,-1.64,-0.04,,,,2,8,Top,,,,,455117,,,-3.945722290346966,-121.4352369610014,-5.486082630001979,-3.956093695550934,28.244750831962037,-42.15116010155006,2.99,1.39,,,,82.5,3015.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.41,,,,,,,,57,3,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,332.0,0.0,0.014
SI,2023-05-21,97.1,0.38,6.26,"Diaz, Jordan",672478,664285,,foul,,,,,5,Jordan Diaz lines out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,S,,,0,1,2023,1.52,1.12,-0.06,2.05,,,,2,8,Top,,,,,455117,,,-4.626510132728239,-141.15455243233524,-8.171195581371146,21.374646651374096,34.88216894536726,-15.497706786151298,3.13,1.45,198.0,72.9,43.0,96.0,2314.0,5.9,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.6,,,,,,,,57,2,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,141.0,0.0,-0.025
SI,2023-05-21,96.4,0.61,6.17,"Diaz, Jordan",672478,664285,,called_strike,,,,,7,Jordan Diaz lines out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,S,,,0,0,2023,1.46,0.85,-0.36,1.41,,,,2,8,Top,,,,,455117,,,-5.858665799166551,-140.0863543939041,-8.929872214648846,20.483264023265964,32.76723329917545,-19.075245271849827,3.02,1.45,,,,95.8,2288.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.42,,,,,,,,57,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,145.0,0.0,-0.021
SI,2023-05-21,95.2,0.68,6.37,"Diaz, Jordan",672478,664285,field_out,hit_into_play,,,,,9,"Jordan Diaz grounds out, pitcher Framber Valdez to first baseman Jose Abreu.",R,R,L,HOU,OAK,X,1.0,ground_ball,2,1,2023,1.55,1.01,0.32,1.35,,,,0,6,Top,126.64,182.08,,,455117,,,-4.374404496665907,-138.2064571904851,-9.642321666901378,20.755595592575148,33.33473298041789,-17.23254620490389,3.13,1.45,6.0,76.6,-12.0,94.1,2181.0,6.0,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.54,0.077,0.077,0.0,1.0,0.0,0.0,2.0,37,4,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,145.0,0.036,-0.278
CU,2023-05-21,80.3,0.97,6.21,"Diaz, Jordan",672478,664285,,ball,,,,,13,"Jordan Diaz grounds out, pitcher Framber Valdez to first baseman Jose Abreu.",R,R,L,HOU,OAK,B,,,1,1,2023,-0.68,-0.94,-0.86,0.98,,,,0,6,Top,,,,,455117,,,-2.739797219629004,-116.88726844269203,-3.043401097246488,-5.682575747035211,23.45667742846947,-40.40643980677319,2.93,1.42,,,,79.2,2701.0,5.7,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.84,,,,,,,,37,3,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,326.0,0.0,0.05
FC,2023-05-21,81.9,0.83,6.12,"Diaz, Jordan",672478,664285,,ball,,,,,13,"Jordan Diaz grounds out, pitcher Framber Valdez to first baseman Jose Abreu.",R,R,L,HOU,OAK,B,,,0,1,2023,-0.27,-0.1,-1.09,0.5,,,,0,6,Top,,,,,455117,,,-3.798148782227895,-119.21324896286596,-5.928031876693946,-1.8696112643245315,23.33372445210056,-32.13724011835706,2.93,1.36,,,,81.8,2625.0,6.2,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.27,,,,,,,,37,2,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,327.0,0.0,0.03
SI,2023-05-21,93.8,0.63,6.37,"Diaz, Jordan",672478,664285,,called_strike,,,,,3,"Jordan Diaz grounds out, pitcher Framber Valdez to first baseman Jose Abreu.",R,R,L,HOU,OAK,S,,,0,0,2023,1.17,1.08,0.7,2.56,,,,0,6,Top,,,,,455117,,,-2.395754576514304,-136.49899166255668,-6.434509518468072,15.069884064661007,32.530207956053744,-17.49869850056673,2.9,1.36,,,,93.1,2073.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.44,,,,,,,,37,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,143.0,0.0,-0.037
CU,2023-05-21,77.0,0.98,6.47,"Diaz, Jordan",672478,664285,field_out,hit_into_play,,,,,4,"Jordan Diaz grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,L,HOU,OAK,X,5.0,ground_ball,0,0,2023,-0.67,-1.42,-0.4,2.31,,,,0,3,Top,104.81,176.01,,,455117,,,-1.6851012409904802,-111.97093666652708,0.8338470770754671,-5.224498556447247,24.03002921366285,-44.37378903221556,3.13,1.45,12.0,97.1,-10.0,75.5,2830.0,5.7,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.82,0.24,0.258,0.0,1.0,0.0,0.0,2.0,16,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,330.0,0.025,-0.235
SI,2023-05-19,90.5,-1.19,6.18,"Diaz, Jordan",672478,656232,walk,ball,,,,,14,Jordan Diaz walks.,R,R,R,HOU,OAK,B,,,3,2,2023,-1.04,0.36,1.39,2.09,,,,0,5,Top,,,,,455117,,,8.512224984884279,-131.51179295283112,-4.944192590921898,-13.925269232913829,29.178195336886574,-27.04811551204981,3.13,1.48,,,,89.0,2154.0,5.5,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.97,,,0.7,1.0,0.0,0.0,,36,6,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,222.0,-0.052,0.317
SI,2023-05-19,91.0,-1.15,6.2,"Diaz, Jordan",672478,656232,,foul,,,,,5,Jordan Diaz walks.,R,R,R,HOU,OAK,S,,,3,1,2023,-1.34,0.48,0.05,2.4,,,,0,5,Top,,,,,455117,,,5.779940426442041,-132.3228679141638,-4.583647067011361,-16.937726703769737,28.861556142715127,-25.684203266660823,3.13,1.44,2.0,70.5,-50.0,89.8,2233.0,5.6,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.87,,,,,,,,36,5,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,216.0,0.0,-0.087
SI,2023-05-19,90.9,-1.08,6.11,"Diaz, Jordan",672478,656232,,ball,,,,,14,Jordan Diaz walks.,R,R,R,HOU,OAK,B,,,2,1,2023,-1.33,0.61,0.48,0.68,,,,0,5,Top,,,,,455117,,,6.658002944245778,-131.9860061242053,-8.822048079919183,-16.9519002077829,30.822417649106587,-23.16804634448884,3.13,1.53,,,,89.3,2205.0,5.6,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.88,,,,,,,,36,4,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,224.0,0.0,0.123
SI,2023-05-19,91.0,-1.25,6.19,"Diaz, Jordan",672478,656232,,called_strike,,,,,5,Jordan Diaz walks.,R,R,R,HOU,OAK,S,,,2,0,2023,-1.29,0.67,-0.23,2.35,,,,0,5,Top,,,,,455117,,,5.262169042522952,-132.35208742088582,-5.0549834309354855,-16.265216324530225,31.48880052112858,-23.364519967406885,3.07,1.42,,,,89.6,2161.0,5.7,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.8,,,,,,,,36,3,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,221.0,0.0,-0.062
SI,2023-05-19,90.7,-1.15,6.15,"Diaz, Jordan",672478,656232,,ball,,,,,14,Jordan Diaz walks.,R,R,R,HOU,OAK,B,,,1,0,2023,-1.12,0.78,0.22,0.76,,,,0,5,Top,,,,,455117,,,5.759943487414907,-131.71819196981494,-9.109779381320951,-14.251557128553412,27.64398903243103,-21.36878339581227,3.13,1.45,,,,89.7,2210.0,5.8,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.74,,,,,,,,36,2,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,224.0,0.0,0.066
SI,2023-05-19,89.9,-1.38,6.28,"Diaz, Jordan",672478,656232,,ball,,,,,9,Jordan Diaz walks.,R,R,R,HOU,OAK,B,,,0,0,2023,-1.06,0.8,0.63,1.63,,,,0,5,Top,,,,,455117,,,7.075341132133152,-130.5645516147968,-7.10958264264223,-13.562673901736511,27.229344691203927,-21.73724348138348,3.02,1.36,,,,88.5,2227.0,5.5,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,55.02,,,,,,,,36,1,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,221.0,0.0,0.039
FF,2023-05-19,91.6,-1.26,6.15,"Diaz, Jordan",672478,656232,grounded_into_double_play,hit_into_play,,,,,6,"Jordan Diaz grounds into a double play, third baseman Alex Bregman to second baseman Jose Altuve to first baseman Jose Abreu.   Aledmys Diaz out at 2nd.    Jordan Diaz out at 1st.",R,R,R,HOU,OAK,X,5.0,ground_ball,1,0,2023,-0.87,0.91,0.41,2.02,,,649557.0,1,2,Top,109.08,167.92,,,455117,,,5.973858655414716,-133.16992029866248,-6.428894789519498,-11.596327305881704,28.20263539519973,-20.200073646449543,3.13,1.44,5.0,75.9,-22.0,90.3,2280.0,5.5,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,55.01,0.037,0.033,0.0,1.0,0.0,0.0,2.0,12,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.053,-0.441
SI,2023-05-19,91.6,-1.18,6.21,"Diaz, Jordan",672478,656232,,ball,,,,,14,"Jordan Diaz grounds into a double play, third baseman Alex Bregman to second baseman Jose Altuve to first baseman Jose Abreu.   Aledmys Diaz out at 2nd.    Jordan Diaz out at 1st.",R,R,R,HOU,OAK,B,,,0,0,2023,-1.22,0.74,0.49,1.48,,,649557.0,1,2,Top,,,,,455117,,,6.733706522840308,-133.0089506491204,-7.518880537435714,-15.962327342498307,29.88649768332084,-21.93362277862874,3.33,1.62,,,,90.0,2155.0,5.6,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.94,,,,,,,,12,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,0.046
SI,2023-05-19,95.2,-1.33,5.08,"Diaz, Jordan",672478,606160,single,hit_into_play,,,,,1,Jordan Diaz singles on a ground ball to second baseman Jose Altuve.,R,R,R,HOU,OAK,X,4.0,ground_ball,0,0,2023,-1.44,0.87,-0.74,2.87,,,,0,7,Top,122.55,141.24,,,455117,,,4.7337325505627295,-138.60242846344315,-2.096350903594129,-19.556903632050517,32.40280103186352,-20.743542309128298,3.13,1.44,112.0,61.1,13.0,94.4,2042.0,5.9,718112,606160,455117,547989,514888,608324,665161,667452,676694,663656,54.61,0.229,0.218,0.9,1.0,1.0,0.0,2.0,56,1,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,220.0,-0.042,0.394
SL,2023-05-16,83.6,2.02,5.6,"Diaz, Jordan",672478,674072,field_out,hit_into_play,,,,,5,Jordan Diaz flies out to right fielder Corbin Carroll.,R,R,L,OAK,AZ,X,9.0,fly_ball,1,2,2023,-0.31,0.52,-0.1,2.28,,669127.0,,2,4,Bot,164.65,98.96,,,672515,,,-4.310641967003899,-121.6297899984872,-2.238378669660652,-2.2400035102692675,24.590692929037875,-26.73884960348845,3.14,1.44,267.0,92.0,49.0,84.0,2092.0,6.6,718146,674072,672515,572233,606466,446334,605113,666971,666150,682998,53.87,0.006,0.007,0.0,1.0,0.0,0.0,3.0,34,4,Slider,3,2,3,2,2,3,3,2,Standard,Standard,255.0,-0.033,-0.228
FF,2023-05-16,90.7,1.9,5.74,"Diaz, Jordan",672478,674072,,ball,,,,,12,Jordan Diaz flies out to right fielder Corbin Carroll.,R,R,L,OAK,AZ,B,,,0,2,2023,0.49,0.96,0.46,5.05,,669127.0,,2,4,Bot,,,,,672515,,,-4.654036298286606,-132.00497312329344,2.137667289585228,6.664010696395967,27.02687764647086,-21.51555108818309,3.18,1.5,,,,91.3,2012.0,6.6,718146,674072,672515,572233,606466,446334,605113,666971,666150,682998,53.91,,,,,,,,34,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,142.0,0.0,0.006
CH,2023-05-16,82.5,1.87,5.53,"Diaz, Jordan",672478,674072,,foul,,,,,8,Jordan Diaz flies out to right fielder Corbin Carroll.,R,R,L,OAK,AZ,S,,,0,1,2023,1.23,0.02,0.14,1.48,,669127.0,,2,4,Bot,,,,,672515,,,-6.366450558973473,-119.96546061901334,-2.762199186241408,13.051894475123232,22.302774074638958,-31.66513692743553,3.14,1.44,1.0,96.2,-53.0,83.4,1488.0,6.8,718146,674072,672515,572233,606466,446334,605113,666971,666150,682998,53.69,,,,,,,,34,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,114.0,0.0,-0.049
