pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-17,86.1,-1.58,6.14,"Polanco, Jorge",593871,592229,field_out,hit_into_play,,,,,11.0,"Jorge Polanco grounds out, shortstop Chris Taylor to first baseman Freddie Freeman.",R,L,R,LAD,MIN,X,6.0,ground_ball,1,1,2023,-0.85,1.07,-1.31,3.04,,,,1,4,Top,117.18,144.46,,,669257,,,2.3606777242059485,-125.45774630018742,-3.308670211630711,-9.514657323871656,23.565791221754115,-20.41343693828305,3.34,1.66,75.0,71.5,7.0,85.8,1862.0,5.8,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.66,0.257,0.25,0.0,1.0,0.0,0.0,2.0,29,3,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard,228.0,0.019,-0.165
SI,2023-05-17,94.5,-1.63,6.14,"Polanco, Jorge",593871,592229,,called_strike,,,,,8.0,"Jorge Polanco grounds out, shortstop Chris Taylor to first baseman Freddie Freeman.",R,L,R,LAD,MIN,S,,,1,0,2023,-1.19,0.71,0.25,1.71,,,,1,4,Top,,,,,669257,,,7.47422413691565,-137.40214867254969,-7.447466276095691,-16.695067755489635,26.810910726257887,-21.78000258802118,3.29,1.72,,,,94.1,2091.0,5.8,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.66,,,,,,,,29,2,Sinker,1,1,1,1,1,1,1,1,Strategic,Standard,216.0,0.0,-0.036
FC,2023-05-17,91.0,-1.61,6.23,"Polanco, Jorge",593871,592229,,ball,,,,,12.0,"Jorge Polanco grounds out, shortstop Chris Taylor to first baseman Freddie Freeman.",R,L,R,LAD,MIN,B,,,0,0,2023,0.12,0.57,0.62,3.91,,,,1,4,Top,,,,,669257,,,5.2841208271990565,-132.49604714552774,-1.2044527053013012,0.3980031474383248,25.77021286140266,-25.325878782181984,3.27,1.7,,,,90.4,2319.0,5.7,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.79,,,,,,,,29,1,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,189.0,0.0,0.029
SL,2023-05-17,86.5,2.33,4.71,"Polanco, Jorge",593871,624647,field_out,hit_into_play,,,,,14.0,Jorge Polanco pops out to first baseman Freddie Freeman on the infield fly rule.,R,R,L,LAD,MIN,X,3.0,popup,2,2,2023,0.01,-0.09,0.19,1.23,666135.0,621043.0,621439.0,0,6,Top,160.58,167.13,,,669257,,,-5.11984551774241,-125.99134364499116,-1.946546051761976,1.050051457189095,23.644397571266836,-33.00693522984083,3.34,1.66,120.0,60.7,64.0,86.8,2395.0,6.2,718136,624647,669257,518692,678246,571970,621035,572204,681546,605141,54.25,0.001,0.0,0.0,1.0,0.0,0.0,3.0,48,6,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,320.0,0.089,-0.201
SL,2023-05-17,86.7,2.3,4.76,"Polanco, Jorge",593871,624647,,foul,,,,,13.0,Jorge Polanco pops out to first baseman Freddie Freeman on the infield fly rule.,R,R,L,LAD,MIN,S,,,2,2,2023,-0.23,0.08,-0.58,1.15,666135.0,621043.0,621439.0,0,6,Top,,,,,669257,,,-6.426238617137633,-126.09009871371956,-2.557584445272232,-1.0101950958186587,27.81143795114717,-30.942349119303625,3.34,1.66,2.0,104.8,-26.0,86.4,2296.0,6.4,718136,624647,669257,518692,678246,571970,621035,572204,681546,605141,54.15,,,,,,,,48,5,Slider,2,2,2,2,2,2,2,2,Standard,Standard,351.0,0.0,0.0
SL,2023-05-17,87.9,2.33,4.75,"Polanco, Jorge",593871,624647,,blocked_ball,,,,,13.0,Jorge Polanco pops out to first baseman Freddie Freeman on the infield fly rule.,R,R,L,LAD,MIN,B,,,1,2,2023,-0.04,0.19,-2.03,0.5,666135.0,621043.0,621439.0,0,6,Top,,,,,669257,,,-10.399165614164252,-127.73059931602894,-4.622999724733769,1.4253092837065282,22.573419620392976,-29.383111066027944,3.23,1.61,,,,87.8,2329.0,6.0,718136,624647,669257,518692,678246,571970,621035,572204,681546,605141,54.54,,,,,,,,48,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,284.0,0.0,0.017
FC,2023-05-17,93.0,-1.46,6.17,"Polanco, Jorge",593871,592229,single,hit_into_play,,,,,3.0,Jorge Polanco singles on a soft line drive to right fielder Mookie Betts.,R,L,R,LAD,MIN,X,9.0,line_drive,1,2,2023,0.12,1.0,0.51,3.11,,,,0,2,Top,168.66,108.06,,,669257,,,4.750039249456846,-135.36826209724185,-4.297743494159704,0.5787913908121373,27.12042495751895,-19.132399617799678,3.34,1.66,217.0,53.0,18.0,92.6,2416.0,5.9,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.63,0.157,0.141,0.9,1.0,1.0,0.0,1.0,11,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,195.0,-0.038,0.453
CH,2023-05-17,86.8,-1.64,6.12,"Polanco, Jorge",593871,592229,,ball,,,,,13.0,Jorge Polanco singles on a soft line drive to right fielder Mookie Betts.,R,L,R,LAD,MIN,B,,,0,2,2023,-1.27,0.93,-1.85,2.46,,,,0,2,Top,,,,,669257,,,2.0770013130998515,-126.37956082700369,-4.432250448135933,-14.067833167138886,25.813743200062632,-21.526090894347583,3.29,1.72,,,,86.0,1803.0,5.8,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.74,,,,,,,,11,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,237.0,0.0,0.026
SL,2023-05-17,86.4,2.35,4.9,"Polanco, Jorge",593871,624647,,swinging_strike,,,,,13.0,Jorge Polanco pops out to first baseman Freddie Freeman on the infield fly rule.,R,R,L,LAD,MIN,S,,,1,1,2023,-0.07,0.0,-0.37,1.27,666135.0,621043.0,621439.0,0,6,Top,,,,,669257,,,-6.305859353077164,-125.81883861714353,-2.487378784976001,0.3748994664961546,23.08371371880611,-31.929430540678045,3.34,1.66,,,,86.7,2325.0,6.2,718136,624647,669257,518692,678246,571970,621035,572204,681546,605141,54.28,,,,,,,,48,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,326.0,0.0,-0.18
SI,2023-05-17,94.2,-1.69,6.2,"Polanco, Jorge",593871,592229,,foul,,,,,13.0,Jorge Polanco singles on a soft line drive to right fielder Mookie Betts.,R,L,R,LAD,MIN,S,,,0,1,2023,-1.4,0.81,-0.98,2.11,,,,0,2,Top,,,,,669257,,,4.888728042480559,-137.07671885796293,-6.697217164011587,-18.7285574924526,29.11007126960305,-20.69877808693292,3.34,1.66,221.0,75.7,39.0,93.5,2030.0,5.8,718136,592229,669257,518692,678246,571970,621035,572204,681546,605141,54.71,,,,,,,,11,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.0,-0.049
