pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-17,94.0,-1.5,5.32,"Trevino, Jose",624431,605135,field_out,hit_into_play,,,,,11,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,X,1.0,ground_ball,2,2,2023,-1.29,0.44,-1.21,3.49,,,,2,7,Top,149.78,180.87,,,672386,,,3.654832292814859,-136.9082207545942,0.0109160242692931,-17.060783906676125,29.78698395845372,-26.90040925709588,2.88,1.31,74.0,35.5,44.0,94.6,2163,6.6,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.95,0.186,0.179,0.0,1.0,0.0,0.0,1.0,52,7,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,223,0.019,-0.09
SI,2023-05-17,93.2,-1.12,5.55,"Trevino, Jose",624431,605135,,ball,,,,,14,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,B,,,1,2,2023,-1.29,0.89,0.27,1.12,,,,2,7,Top,,,,,672386,,,6.463139220346667,-135.4126490852079,-7.619089546340072,-17.32812701959675,29.23332403881229,-19.733311792040126,2.96,1.37,,,,93.7,2246,6.7,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.85,,,,,,,,52,6,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,213,0.0,0.018
FF,2023-05-17,92.9,-1.45,5.49,"Trevino, Jose",624431,605135,,foul,,,,,12,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,S,,,1,2,2023,-0.37,1.17,0.15,4.07,,,,2,7,Top,,,,,672386,,,4.945663560424998,-135.32341695387953,-0.4423621065422319,-5.6187618200481735,28.52478067177277,-17.872855694179766,2.88,1.31,291.0,83.3,42.0,93.6,2170,6.5,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.95,,,,,,,,52,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,210,0.0,0.0
FC,2023-05-17,89.3,-1.51,5.55,"Trevino, Jose",624431,605135,,foul,,,,,12,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,S,,,1,2,2023,0.25,0.67,0.63,3.12,,,,2,7,Top,,,,,672386,,,4.750555704263977,-130.06553783338828,-1.4313734387312906,1.9350540878553453,25.96228236234229,-24.415810759532278,2.88,1.31,248.0,80.8,45.0,90.1,2348,6.6,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.9,,,,,,,,52,4,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,209,0.0,0.0
SI,2023-05-17,92.5,-1.48,5.48,"Trevino, Jose",624431,605135,,called_strike,,,,,6,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,S,,,1,1,2023,-1.34,0.75,0.37,2.37,,,,2,7,Top,,,,,672386,,,7.699863133832646,-134.46701248522484,-3.764060249977789,-17.954018660146737,29.282279755544064,-22.503208673694377,2.93,1.34,,,,93.0,2173,6.6,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.88,,,,,,,,52,3,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,218,0.0,-0.026
SI,2023-05-17,92.2,-1.55,5.34,"Trevino, Jose",624431,605135,,foul,,,,,11,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,S,,,1,0,2023,-1.14,1.01,-1.14,3.4,,,,2,7,Top,,,,,672386,,,3.523870863976223,-134.12647166477743,-1.2327642069025706,-14.459127429584877,32.40679583273275,-20.084542916033275,2.88,1.31,,,,92.1,2166,6.5,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.97,,,,,,,,52,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,223,0.0,-0.027
ST,2023-05-17,74.4,-1.88,5.06,"Trevino, Jose",624431,605135,,ball,,,,,13,Jose Trevino grounds out softly to pitcher Chris Bassitt.,R,R,R,TOR,NYY,B,,,0,0,2023,1.63,0.29,-1.29,1.79,,,,2,7,Top,,,,,672386,,,-1.6340172246836586,-108.2677209844425,0.096383128915463,13.01488512586494,21.533132885680764,-30.16816861157827,2.93,1.31,,,,73.7,2340,6.1,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,54.44,,,,,,,,52,1,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,68,0.0,0.021
FC,2023-05-17,84.0,-1.45,5.68,"Trevino, Jose",624431,605135,field_out,hit_into_play,,,,,5,Jose Trevino flies out to center fielder Daulton Varsho.   Willie Calhoun to 2nd.,R,R,R,TOR,NYY,X,8.0,fly_ball,0,0,2023,0.37,0.55,-0.09,2.26,,,641432.0,0,5,Top,101.51,49.99,,,672386,,,2.416641366349684,-122.30503012386198,-2.6027450186824246,3.2708555521681277,24.644074570749737,-26.355853305147136,2.88,1.31,372.0,97.5,29.0,84.2,2194,6.4,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,54.06,0.434,0.748,0.0,1.0,0.0,0.0,6.0,35,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,150,0.02,-0.359
FF,2023-05-17,92.6,-1.38,5.57,"Trevino, Jose",624431,605135,strikeout,called_strike,,,,,3,Jose Trevino called out on strikes.,R,R,R,TOR,NYY,S,2.0,,0,2,2023,-0.41,1.01,0.76,2.62,,664056.0,641432.0,2,2,Top,,,,,672386,,,6.375224466280646,-134.70935436197666,-3.963234591607044,-6.343093780686034,29.83422116030162,-19.175961092393116,2.96,1.34,,,,93.1,2191,6.6,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,53.85,,,0.0,1.0,0.0,0.0,,13,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,211,0.045,-0.277
ST,2023-05-17,73.6,-1.84,5.3,"Trevino, Jose",624431,605135,,foul,,,,,6,Jose Trevino called out on strikes.,R,R,R,TOR,NYY,S,,,0,1,2023,1.54,-0.34,0.63,2.04,,664056.0,641432.0,2,2,Top,,,,,672386,,,2.3249925454618987,-106.99584502840747,1.494275441246436,11.06211802839202,23.54433291801636,-35.343379580732304,2.88,1.31,105.0,47.4,34.0,72.5,2389,6.2,718134,605135,672386,474832,669289,656305,666182,593160,662139,543807,54.34,,,,,,,,13,2,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,62,0.0,-0.108
