pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,90.2,-2.88,5.37,"Bell, Josh",605137,656629,field_out,hit_into_play,,,,,4,Josh Bell grounds out to first baseman Andrew Vaughn.,R,L,R,CLE,CWS,X,3.0,ground_ball,0,0,2023,-1.12,0.96,-0.64,2.92,,,,2,7,Bot,153.27,162.98,,,664874,,,8.028322574990998,-131.1109567482826,-2.193360583149065,-14.5973224281048,26.79848495596943,-20.810040809235872,3.6,1.74,8.0,88.3,-19.0,91.2,1944.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.61,0.106,0.096,0.0,1.0,0.0,0.0,2.0,51,1,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,227.0,-0.001,-0.104
CH,2023-05-24,89.7,-2.74,5.36,"Bell, Josh",605137,656629,force_out,hit_into_play,,,,,11,"Josh Bell grounds into a force out, shortstop Tim Anderson to second baseman Romy Gonzalez.   Josh Naylor out at 2nd.    Josh Bell to 1st.",R,L,R,CLE,CWS,X,6.0,ground_ball,0,1,2023,-1.31,0.45,-0.91,2.73,,,647304.0,0,5,Bot,116.13,158.71,,,664874,,,7.408005391060072,-130.4781288948972,-1.454051489056425,-16.556665136232482,27.93054209993845,-26.894019821860947,3.6,1.74,44.0,102.5,-1.0,90.7,1605.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.55,0.443,0.432,0.0,1.0,0.0,0.0,4.0,36,2,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,228.0,-0.014,-0.477
CH,2023-05-24,90.8,-2.72,5.35,"Bell, Josh",605137,656629,,foul,,,,,8,"Josh Bell grounds into a force out, shortstop Tim Anderson to second baseman Romy Gonzalez.   Josh Naylor out at 2nd.    Josh Bell to 1st.",R,L,R,CLE,CWS,S,,,0,0,2023,-1.24,0.77,0.03,2.28,,,647304.0,0,5,Bot,,,,,664874,,,9.651772885918817,-131.94621548816613,-3.5393698882469327,-16.362098100489064,24.41963357584206,-22.562797593527545,3.6,1.74,2.0,63.1,-45.0,92.4,1817.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.47,,,,,,,,36,1,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,228.0,0.0,-0.05
FF,2023-05-24,98.5,-2.8,5.5,"Bell, Josh",605137,656629,strikeout,swinging_strike,,,,,4,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,2.0,,3,2,2023,-1.22,1.22,-0.82,2.63,,,,1,2,Bot,,,,,664874,,,8.313481809201374,-143.1833172030326,-5.269216945096649,-18.6829487906085,30.25998097506711,-14.317890954176375,3.6,1.74,,,,99.8,2606.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.63,,,0.0,1.0,0.0,0.0,,11,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.016,-0.211
CH,2023-05-24,92.6,-2.84,5.33,"Bell, Josh",605137,656629,,ball,,,,,14,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,B,,,2,2,2023,-1.22,0.76,0.12,1.51,,,,1,2,Bot,,,,,664874,,,10.33223303678562,-134.50677355824155,-5.752307770844255,-16.84658055328601,23.452505522572544,-21.95239938236153,3.79,1.74,,,,94.4,1761.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.49,,,,,,,,11,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,238.0,0.0,0.06
FF,2023-05-24,96.3,-2.67,5.71,"Bell, Josh",605137,656629,,foul,,,,,2,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,2,1,2023,-0.84,1.58,0.21,3.6,,,,1,2,Bot,,,,,664874,,,9.639585514729909,-139.9649749276859,-3.633194984301405,-13.157968654922133,30.95052153757932,-10.756618045117817,3.6,1.74,138.0,81.3,78.0,97.4,2616.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.59,,,,,,,,11,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,-0.05
FF,2023-05-24,97.2,-2.94,5.54,"Bell, Josh",605137,656629,,ball,,,,,11,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,B,,,1,1,2023,-0.96,1.39,-1.48,3.87,,,,1,2,Bot,,,,,664874,,,6.167385936630473,-141.4714109704397,-2.15925280650172,-14.297333881067011,31.53847869633172,-13.188951012540306,3.72,1.7,,,,98.2,2531.0,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.74,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,0.0,0.036
FF,2023-05-24,96.7,-2.82,5.46,"Bell, Josh",605137,656629,,swinging_strike,,,,,2,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,1,0,2023,-0.85,1.58,0.23,3.06,,,,1,2,Bot,,,,,664874,,,10.212486400604911,-140.47434463503237,-4.487705928491075,-13.57375132512371,30.87853364583926,-10.405566190103338,3.6,1.74,,,,97.9,2565.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.49,,,,,,,,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,0.0,-0.036
SL,2023-05-24,84.9,-2.93,5.6,"Bell, Josh",605137,656629,,ball,,,,,14,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,B,,,0,0,2023,0.27,-0.44,0.41,0.31,,,,1,2,Bot,,,,,664874,,,7.251264627405732,-123.54333635796404,-5.207719343266323,1.4640558572550504,22.954365684763395,-35.93957500393247,3.71,1.79,,,,85.1,2548.0,6.3,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,54.24,,,,,,,,11,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,48.0,0.0,0.029
FF,2023-05-23,95.5,-1.43,6.12,"Bell, Josh",605137,656302,field_out,hit_into_play,,,,,14,"Josh Bell grounds out, second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Josh Naylor to 3rd.",R,L,R,CLE,CWS,X,4.0,ground_ball,0,0,2023,-0.13,1.56,0.86,2.6,,647304.0,,1,6,Bot,156.89,144.71,,,518735,,,6.31652963414168,-138.9117426185841,-7.17668631788754,-2.9853567361395195,29.44496517014065,-10.48349454727781,3.57,1.74,116.0,72.2,12.0,95.7,2616.0,6.3,718063,656302,518735,683734,663853,660162,641313,643217,673357,640449,54.17,0.343,0.322,0.0,1.0,0.0,0.0,2.0,45,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,193.0,-0.027,-0.332
