pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-22,91.5,1.92,5.77,"Harrison, Josh",543281,674072,field_out,hit_into_play,,,,,5,Josh Harrison lines out sharply to center fielder Dominic Fletcher.,R,R,L,PHI,AZ,X,8.0,line_drive,0,0,2023,0.84,1.32,0.16,2.38,,,,2,4,Bot,108.1,59.73,,,672515,,,-6.35617523132237,-133.04501369068157,-5.610067102142406,11.357145633446269,27.1844198661068,-15.519378614902962,3.46,1.57,348.0,101.0,22.0,92.9,1962.0,7.0,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.46,0.509,0.72,0.0,1.0,0.0,0.0,5.0,35,1,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,136.0,-0.013,-0.104
FF,2023-05-22,92.6,1.82,5.76,"Harrison, Josh",543281,674072,strikeout,called_strike,,,,,8,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,2.0,,3,2,2023,0.85,1.25,-0.22,1.95,,,681082.0,2,2,Bot,,,,,672515,,,-7.152293591062081,-134.5865597325562,-6.714695759339218,11.80787081276218,28.34933329558443,-15.712556204267251,3.55,1.76,,,,93.7,2227.0,6.9,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.56,,,0.0,1.0,0.0,0.0,,19,10,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,143.0,-0.021,-0.262
FF,2023-05-22,92.1,1.91,5.73,"Harrison, Josh",543281,674072,,foul,,,,,12,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,2,2023,1.01,1.31,1.35,3.08,,,681082.0,2,2,Bot,,,,,672515,,,-3.6480963162821274,-134.17556567090634,-3.77927255420065,12.942754377978696,28.503232849957964,-15.737670326097104,3.46,1.57,219.0,75.9,50.0,93.0,2239.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.77,,,,,,,,19,9,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,137.0,0.0,0.0
FF,2023-05-22,92.4,1.94,5.77,"Harrison, Josh",543281,674072,,foul,,,,,12,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,2,2023,0.98,1.31,0.86,3.86,,,681082.0,2,2,Bot,,,,,672515,,,-4.946857136826783,-134.5159358097488,-1.933580962414312,12.929439881171955,28.62738458535088,-16.07186566476174,3.46,1.57,253.0,77.3,33.0,93.5,2181.0,6.9,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.61,,,,,,,,19,8,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,147.0,0.0,0.0
FF,2023-05-22,92.4,1.98,5.69,"Harrison, Josh",543281,674072,,foul,,,,,12,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,2,2023,0.89,1.33,1.05,2.69,,,681082.0,2,2,Bot,,,,,672515,,,-4.358883332994947,-134.5095161178057,-4.764340801771892,11.800760329281186,28.074662535533104,-15.191425446144288,3.46,1.57,180.0,76.5,17.0,93.3,2174.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.81,,,,,,,,19,7,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,142.0,0.0,0.0
FF,2023-05-22,91.8,1.96,5.66,"Harrison, Josh",543281,674072,,foul,,,,,12,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,2,2023,0.94,1.36,1.02,3.01,,,681082.0,2,2,Bot,,,,,672515,,,-4.455464314702834,-133.57703858209678,-3.8069779336216873,12.167995249312538,28.570683383331563,-15.317525298257635,3.46,1.57,232.0,75.8,28.0,92.5,2198.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.8,,,,,,,,19,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,139.0,0.0,0.0
FF,2023-05-22,91.0,2.0,5.66,"Harrison, Josh",543281,674072,,foul,,,,,5,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,1,2023,0.97,1.29,0.2,2.74,,,681082.0,2,2,Bot,,,,,672515,,,-6.645293632595365,-132.4926234243163,-4.295104572996022,12.7579775478872,25.751581546581853,-16.18191675093471,3.46,1.57,4.0,65.2,-38.0,92.1,2172.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.76,,,,,,,,19,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,142.0,0.0,-0.085
FF,2023-05-22,90.4,2.01,5.62,"Harrison, Josh",543281,674072,,called_strike,,,,,6,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,S,,,3,0,2023,0.8,1.24,0.71,2.4,,,681082.0,2,2,Bot,,,,,672515,,,-4.986706546629086,-131.67489653188375,-4.810482777921086,10.377456826493008,25.75222904405129,-16.886073614934865,3.38,1.66,,,,91.4,2035.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.83,,,,,,,,19,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,136.0,0.0,-0.037
FF,2023-05-22,91.0,1.85,5.79,"Harrison, Josh",543281,674072,,ball,,,,,11,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,B,,,2,0,2023,0.43,1.34,-1.36,2.73,,,681082.0,2,2,Bot,,,,,672515,,,-9.084368700548586,-132.20607943415234,-4.75716544416947,6.849718846763851,26.606426725954098,-15.556114631263574,3.45,1.69,,,,92.5,2155.0,7.1,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.36,,,,,,,,19,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,137.0,0.0,0.083
CH,2023-05-22,84.9,1.97,5.68,"Harrison, Josh",543281,674072,,ball,,,,,12,Josh Harrison called out on strikes.,R,R,L,PHI,AZ,B,,,1,0,2023,1.24,0.42,1.62,2.57,,,681082.0,2,2,Bot,,,,,672515,,,-3.313473348290867,-123.72699505142896,-1.869447899910716,13.364628157738828,23.335055627786847,-27.687062814239567,3.43,1.64,,,,85.8,1518.0,6.7,718073,674072,672515,572233,606466,668942,672695,666971,666150,682998,53.84,,,,,,,,19,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,114.0,0.0,0.032
