pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,96.8,-2.52,5.8,"Jung, Josh",673962,670912,single,hit_into_play,,,,,1,Josh Jung singles on a line drive to left fielder Bryan Reynolds.,R,R,R,PIT,TEX,X,7.0,line_drive,0,0,2023,-1.12,0.88,-0.82,3.13,,,,0,6,Top,97.02,100.08,,,641511,,,7.195814140263964,-140.85302407958363,-3.647482910419624,-16.523229738001042,30.55168413378903,-19.854588400952775,3.67,1.76,215.0,74.4,22.0,98.5,2448.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.37,0.971,0.875,0.9,1.0,1.0,0.0,4.0,43,1,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,208.0,-0.037,0.394
SL,2023-05-24,89.9,-2.7,5.65,"Jung, Josh",673962,670912,field_out,hit_into_play,,,,,4,Josh Jung flies out sharply to left fielder Bryan Reynolds.,R,R,R,PIT,TEX,X,7.0,fly_ball,2,1,2023,0.14,0.29,-0.48,2.82,,,,2,3,Top,63.3,112.76,,,641511,,,5.310288072219009,-131.06001024465294,-1.77158571634568,0.6422135166062461,23.580264252985472,-28.69381558381802,3.67,1.76,263.0,104.1,58.0,91.9,2506.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.44,0.014,0.013,0.0,1.0,0.0,0.0,3.0,23,4,Slider,2,3,3,2,3,2,3,2,Standard,Standard,129.0,0.01,-0.121
CU,2023-05-24,81.8,-2.47,5.87,"Jung, Josh",673962,670912,,ball,,,,,14,Josh Jung flies out sharply to left fielder Bryan Reynolds.,R,R,R,PIT,TEX,B,,,1,1,2023,0.74,-0.52,1.99,0.46,,,,2,3,Top,,,,,641511,,,8.735228612917156,-118.8422306965292,-4.664806916251511,5.39159195564613,22.30147337134915,-36.38923475529384,3.67,1.78,,,,82.9,2537.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.45,,,,,,,,23,3,Curveball,2,3,3,2,3,2,3,2,Standard,Standard,78.0,0.0,0.023
SL,2023-05-24,89.5,-2.78,5.65,"Jung, Josh",673962,670912,,called_strike,,,,,2,Josh Jung flies out sharply to left fielder Bryan Reynolds.,R,R,R,PIT,TEX,S,,,1,0,2023,0.68,0.22,-0.13,3.05,,,,2,3,Top,,,,,641511,,,5.171045480124569,-130.2649332081135,-0.8831557654818362,6.745256050257242,26.812623383028072,-29.73469984604543,3.52,1.7,,,,91.1,2556.0,7.2,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.32,,,,,,,,23,2,Slider,2,3,3,2,3,2,3,2,Standard,Standard,136.0,0.0,-0.027
SI,2023-05-24,98.8,-2.71,5.51,"Jung, Josh",673962,670912,,ball,,,,,13,Josh Jung flies out sharply to left fielder Bryan Reynolds.,R,R,R,PIT,TEX,B,,,0,0,2023,-1.55,0.47,-1.42,1.1,,,,2,3,Top,,,,,641511,,,7.231867213571432,-143.61849188257816,-7.758734066692596,-23.09723990447491,33.14470335899315,-24.053606256563185,3.67,1.81,,,,100.1,2443.0,7.1,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.43,,,,,,,,23,1,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,218.0,0.0,0.021
CU,2023-05-24,78.3,-2.55,6.04,"Jung, Josh",673962,670912,double,hit_into_play,,,,,7,Josh Jung doubles (8) on a line drive to left fielder Bryan Reynolds.   Nathaniel Lowe scores.    Adolis Garcia to 3rd.,R,R,R,PIT,TEX,X,7.0,line_drive,0,1,2023,0.65,-0.62,-0.39,2.27,663993.0,,666969.0,1,1,Top,69.87,135.74,,,641511,,,3.507803820535196,-113.99152539870676,-0.1710144750232298,5.050095042289469,20.12371323819776,-37.763348600173984,3.67,1.76,168.0,82.8,14.0,79.4,2355.0,6.9,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.56,0.863,0.829,1.25,1.0,1.0,1.0,4.0,5,2,Curveball,0,1,1,0,2,0,2,0,Standard,Standard,71.0,-0.101,1.315
SL,2023-05-24,90.1,-2.84,5.84,"Jung, Josh",673962,670912,,foul,,,,,4,Josh Jung doubles (8) on a line drive to left fielder Bryan Reynolds.   Nathaniel Lowe scores.    Adolis Garcia to 3rd.,R,R,R,PIT,TEX,S,,,0,0,2023,0.12,0.58,-0.49,2.84,663993.0,,666969.0,1,1,Top,,,,,641511,,,5.695527496880693,-131.28130849537771,-2.8672667245425822,0.4722909525286883,22.21978043875427,-25.06407787434862,3.67,1.76,47.0,93.6,0.0,92.5,2509.0,7.2,718045,670912,641511,467793,666801,663647,572008,668804,669261,656582,53.31,,,,,,,,5,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,163.0,0.0,-0.085
SL,2023-05-24,84.8,-1.4,5.78,"Jung, Josh",673962,664294,strikeout,swinging_strike,,,,,14,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,S,2.0,,2,2,2023,-0.66,-0.01,0.19,1.29,,608369.0,,2,7,Top,,,,,641511,,,5.026245773002449,-123.47649548174378,-4.175907484189991,-7.739661753417439,24.158669560671417,-31.6621938039384,3.67,1.76,,,,85.0,2010.0,6.3,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.16,,,0.0,1.0,0.0,0.0,,56,5,Slider,2,3,3,2,3,2,3,2,Standard,Standard,283.0,0.04,-0.239
SL,2023-05-24,84.8,-1.2,5.86,"Jung, Josh",673962,664294,,ball,,,,,14,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,B,,,1,2,2023,-0.69,-0.16,1.09,0.41,,,608369.0,2,7,Top,,,,,641511,,,6.728568401752945,-123.3026102158058,-6.114225671656088,-8.338056892455517,23.18986398151968,-32.84224746532385,3.67,1.73,,,,85.0,1998.0,6.4,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.13,,,,,,,,56,4,Slider,2,3,3,2,3,2,3,2,Standard,Standard,287.0,-0.014,0.031
SL,2023-05-24,84.1,-1.18,5.8,"Jung, Josh",673962,664294,,foul,,,,,9,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,S,,,1,1,2023,-0.44,-0.24,0.44,2.13,,,608369.0,2,7,Top,,,,,641511,,,4.604529613253753,-122.39254159925903,-1.6423475750335657,-5.332088478992317,24.51127806983058,-34.445242454646845,3.67,1.76,,,,83.5,1816.0,5.9,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.57,,,,,,,,56,3,Slider,2,3,3,2,3,2,3,2,Standard,Standard,292.0,0.0,-0.056
