pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-20,96.3,2.98,5.2,"Azocar, José",640492,519242,field_out,hit_into_play,,,,,13,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,X,6.0,ground_ball,1,2,2023,1.06,1.0,-1.13,2.23,,,,2,7,Bot,110.03,157.48,,,657136,,,-13.410963830881276,-139.5086820493472,-4.554018325053452,16.930117794298006,32.15116490519494,-18.21638240119101,3.26,1.61,18.0,79.4,-6.0,96.8,2114,6.8,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.65,0.109,0.104,0.0,1.0,0.0,0.0,2.0,57,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,108,-0.015,-0.072
SL,2023-05-20,81.3,2.96,5.32,"Azocar, José",640492,519242,,foul,,,,,14,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,S,,,1,2,2023,-0.76,-0.23,0.05,0.98,,,,2,7,Bot,,,,,657136,,,-5.091984754722664,-118.30756408150448,-2.644343023361841,-6.105939941452132,23.96123678376801,-34.02944962646427,3.26,1.61,,,,81.7,2338,6.7,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.82,,,,,,,,57,4,Slider,2,4,2,4,4,2,2,4,Standard,Standard,315,0.0,0.0
FF,2023-05-20,94.6,2.97,5.21,"Azocar, José",640492,519242,,swinging_strike,,,,,4,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,S,,,1,1,2023,1.16,1.02,-0.69,2.26,,,,2,7,Bot,,,,,657136,,,-12.169411951307314,-137.13377778954188,-4.218596788889741,17.479370712246666,32.943395973477884,-18.52921346215543,3.26,1.61,,,,94.4,2195,6.6,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.91,,,,,,,,57,3,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,111,0.0,-0.026
FF,2023-05-20,97.4,2.85,5.54,"Azocar, José",640492,519242,,ball,,,,,12,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,B,,,0,1,2023,1.21,1.05,1.02,4.51,,,,2,7,Bot,,,,,657136,,,-7.718730768438701,-141.55308546752784,0.410935661896819,18.05624943841892,35.19929107714476,-18.52439707959601,3.15,1.61,,,,97.6,2253,6.7,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.84,,,,,,,,57,2,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,121,0.0,0.015
SL,2023-05-20,79.0,2.93,5.25,"Azocar, José",640492,519242,,called_strike,,,,,7,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,S,,,0,0,2023,-0.87,-0.3,-0.31,1.47,,,,2,7,Bot,,,,,657136,,,-5.423429177688635,-114.89750397594536,-0.8140418019622209,-6.530382522308797,23.53849980171828,-34.85827038623774,3.15,1.53,,,,78.5,2194,6.2,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,54.29,,,,,,,,57,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,323,0.0,-0.021
FF,2023-05-20,95.1,2.87,5.47,"Azocar, José",640492,519242,field_out,hit_into_play,,,,,12,Jose Azocar lines out to right fielder Alex Verdugo.,R,R,L,SD,BOS,X,9.0,line_drive,0,2,2023,1.16,1.02,1.07,2.9,,443558.0,641525.0,1,5,Bot,186.43,99.07,,,657136,,,-7.356865624129894,-138.1861706006161,-3.2892057020297214,16.58440839948078,34.750609933311424,-18.65393076940817,3.26,1.61,290.0,84.7,27.0,94.8,2207,6.5,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,54.0,0.077,0.069,0.0,1.0,0.0,0.0,3.0,41,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,115,-0.053,-0.261
FF,2023-05-20,94.7,3.0,5.51,"Azocar, José",640492,519242,,swinging_strike,,,,,12,Jose Azocar lines out to right fielder Alex Verdugo.,R,R,L,SD,BOS,S,,,0,1,2023,1.23,0.98,0.54,3.61,,443558.0,641525.0,1,5,Bot,,,,,657136,,,-9.20142741901086,-137.54407735116135,-1.450149753679438,17.74543579570377,32.47762536009871,-19.624565575981972,3.26,1.61,,,,94.9,2260,6.6,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.86,,,,,,,,41,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,120,0.0,-0.122
FF,2023-05-20,95.3,3.08,5.26,"Azocar, José",640492,519242,,foul,,,,,7,Jose Azocar lines out to right fielder Alex Verdugo.,R,R,L,SD,BOS,S,,,0,0,2023,1.19,0.89,-0.47,1.9,,443558.0,641525.0,1,5,Bot,,,,,657136,,,-12.066095631347848,-138.11081036777142,-5.112505801858872,18.168476110336695,35.15422882116421,-19.70509999745354,3.26,1.61,,,,95.1,2243,6.7,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.79,,,,,,,,41,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,112,0.0,-0.091
FF,2023-05-20,94.1,3.19,5.15,"Azocar, José",640492,519242,field_out,hit_into_play,,,,,14,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,X,6.0,ground_ball,2,0,2023,1.34,0.77,1.17,2.21,,,,0,3,Bot,116.55,147.93,,,657136,,,-8.201663205672281,-136.79691683871596,-3.5794993970043354,18.685571239453708,32.18113062042136,-21.941728792048934,3.26,1.61,8.0,79.6,-15.0,93.8,2185,6.3,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,54.21,0.066,0.06,0.0,1.0,0.0,0.0,2.0,23,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,117,-0.026,-0.34
FF,2023-05-20,93.7,3.01,5.23,"Azocar, José",640492,519242,,ball,,,,,13,"Jose Azocar grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,SD,BOS,B,,,1,0,2023,1.36,1.0,-1.89,2.08,,,,0,3,Bot,,,,,657136,,,-15.744858225101504,-135.5168560061486,-4.580189005097821,20.184332825207843,29.787155365075296,-18.947818931591044,3.15,1.61,,,,94.2,2184,6.9,718092,519242,657136,671213,665839,646240,571771,606132,680776,657077,53.59,,,,,,,,23,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,118,0.0,0.066
