pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-22,91.3,1.1,6.53,"Yepez, Juan",660766,682227,walk,blocked_ball,,,,,13,Juan Yepez walks.,R,R,L,CIN,STL,B,,,3,0,2023,0.91,1.35,-0.3,0.43,,,,2,3,Top,,,,,592200,,,-5.436325235644153,-132.29555798531803,-12.25892040784326,11.88300068540508,28.7810887820624,-13.840740911951702,3.51,1.63,,,,90.7,2073.0,6.2,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.32,,,0.7,1.0,0.0,0.0,,23,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,151.0,-0.013,0.048
CH,2023-05-22,83.8,1.42,6.39,"Yepez, Juan",660766,682227,,ball,,,,,14,Juan Yepez walks.,R,R,L,CIN,STL,B,,,2,0,2023,1.35,0.6,0.15,1.29,,,,2,3,Top,,,,,592200,,,-5.588407957202955,-121.86536794418872,-6.529085287510814,14.524598527700896,24.55309621772593,-25.044606341800044,3.46,1.63,,,,83.5,1664.0,6.2,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.32,,,,,,,,23,3,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,115.0,0.0,0.045
CH,2023-05-22,84.4,1.3,6.38,"Yepez, Juan",660766,682227,,ball,,,,,13,Juan Yepez walks.,R,R,L,CIN,STL,B,,,1,0,2023,1.36,0.32,-0.28,-0.39,,,,2,3,Top,,,,,592200,,,-6.376771704633911,-122.44071652844436,-9.955000765236864,14.970149697421135,24.660057770659755,-27.061838283868717,3.46,1.63,,,,84.1,1542.0,6.3,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.23,,,,,,,,23,2,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,121.0,0.0,0.025
FC,2023-05-22,88.8,1.3,6.58,"Yepez, Juan",660766,682227,,ball,,,,,13,Juan Yepez walks.,R,R,L,CIN,STL,B,,,0,0,2023,-0.29,0.98,-0.25,1.31,,,,2,3,Top,,,,,592200,,,-3.179714716873778,-129.19140058855697,-8.91699374602032,-2.685057878036254,23.69869138049961,-19.62727257303278,3.49,1.63,,,,88.6,2365.0,5.9,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.57,,,,,,,,23,1,Cutter,2,3,3,2,3,2,3,2,Standard,Standard,166.0,0.0,0.021
SL,2023-05-22,84.0,1.26,6.58,"Yepez, Juan",660766,682227,single,hit_into_play,,,,,5,Juan Yepez singles on a line drive to left fielder Stuart Fairchild.,R,R,L,CIN,STL,X,7.0,line_drive,1,2,2023,-0.55,0.52,0.09,2.19,,,,1,2,Top,63.78,104.28,,,592200,,,-1.605077628288022,-122.43716500665596,-4.86609984282857,-5.349977273816346,21.21227144646713,-26.26718797995108,3.32,1.63,167.0,97.5,10.0,84.1,2340.0,6.0,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.53,0.677,0.65,0.9,1.0,1.0,0.0,4.0,11,4,Slider,2,0,0,2,0,2,0,2,Standard,Standard,267.0,-0.026,0.322
SL,2023-05-22,82.3,1.27,6.62,"Yepez, Juan",660766,682227,,swinging_strike,,,,,2,Juan Yepez singles on a line drive to left fielder Stuart Fairchild.,R,R,L,CIN,STL,S,,,1,1,2023,-1.43,0.29,0.13,3.39,,,,1,2,Top,,,,,592200,,,0.1734085190347585,-119.92008522175264,-1.3334352752792498,-13.737667391729158,24.634325586271807,-29.344329716235944,3.32,1.63,,,,81.6,2369.0,5.9,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.64,,,,,,,,11,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,275.0,0.0,-0.044
CU,2023-05-22,70.7,1.06,6.89,"Yepez, Juan",660766,682227,,ball,,,,,12,Juan Yepez singles on a line drive to left fielder Stuart Fairchild.,R,R,L,CIN,STL,B,,,0,1,2023,-1.03,-1.36,2.61,4.93,,,,1,2,Top,,,,,592200,,,4.673381610630578,-102.59737230664268,6.047577140982747,-8.100305051700872,18.64289885489312,-43.08329075565496,3.35,1.63,,,,69.4,2569.0,5.7,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.83,,,,,,,,11,2,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,322.0,0.0,0.021
FC,2023-05-22,88.6,1.27,6.66,"Yepez, Juan",660766,682227,,called_strike,,,,,6,Juan Yepez singles on a line drive to left fielder Stuart Fairchild.,R,R,L,CIN,STL,S,,,0,0,2023,0.0,0.44,0.41,2.6,,,,1,2,Top,,,,,592200,,,-2.082867565050662,-129.00814212242796,-4.779195704817798,0.4561120921851713,25.222707332367836,-26.521209827792735,3.46,1.64,,,,88.2,2292.0,5.9,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.65,,,,,,,,11,1,Cutter,2,0,0,2,0,2,0,2,Standard,Standard,169.0,0.0,-0.028
SL,2023-05-21,86.1,1.48,6.26,"Yepez, Juan",660766,477132,strikeout,swinging_strike,,,,,7,Juan Yepez strikes out swinging.,R,R,L,STL,LAD,S,2.0,,1,2,2023,-0.65,0.4,-0.3,1.53,,,,0,4,Bot,,,,,669257,,,-2.8983846668162454,-125.42609435831046,-5.881593942735394,-6.449740679187988,22.394169740264783,-27.075616269972457,3.32,1.63,,,,86.6,2537.0,6.3,718083,477132,669257,518692,678246,621035,500743,444482,681546,518792,54.2,,,0.0,1.0,0.0,0.0,,29,4,Slider,3,1,3,1,1,3,3,1,Standard,Strategic,227.0,-0.014,-0.175
FF,2023-05-21,90.4,1.34,6.16,"Yepez, Juan",660766,477132,,foul,,,,,13,Juan Yepez strikes out swinging.,R,R,L,STL,LAD,S,,,1,1,2023,-0.16,1.47,-1.38,2.18,,,,0,4,Bot,,,,,669257,,,-6.432572516738522,-131.33461260635676,-7.083352251195965,-0.4837020301977662,27.59522368877548,-13.887499468554669,3.32,1.63,241.0,71.9,32.0,90.4,2292.0,6.4,718083,477132,669257,518692,678246,621035,500743,444482,681546,518792,54.13,,,,,,,,29,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Strategic,179.0,0.0,-0.053
