pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-04-27,83.6,-2.42,6.06,"Carpenter, Kerry",681481,502043,single,hit_into_play,,,,,14,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,X,9.0,ground_ball,3,2,2023,-1.31,0.5,0.13,1.15,,,679529.0,1,5,Bot,158.37,127.5,,,668939,,,8.545667145918067,-121.37866062121282,-5.895660772529168,-14.634916804881255,24.29833869815222,-26.200189493730917,3.15,1.48,28.0,104.3,-2.0,84.3,1694.0,6.9,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.56,0.4,0.364,0.9,1.0,1.0,0.0,4.0,42,7,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,232.0,0.032,0.434
FC,2023-04-27,89.1,-2.39,6.06,"Carpenter, Kerry",681481,502043,,ball,,,,,12,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,B,,,2,2,2023,0.25,0.89,0.85,4.34,,,679529.0,1,5,Bot,,,,,668939,,,7.521262082025743,-129.5355720223663,0.0129787449330226,1.0455191415907832,29.53916479282008,-22.50408854230133,3.15,1.48,,,,89.7,2366.0,6.9,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.58,,,,,,,,42,6,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,190.0,0.0,0.114
CH,2023-04-27,84.7,-2.3,6.04,"Carpenter, Kerry",681481,502043,,foul,,,,,8,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,S,,,2,2,2023,-1.13,0.25,0.16,1.47,,,679529.0,1,5,Bot,,,,,668939,,,8.117052311837963,-123.03468984372064,-4.882051153394721,-13.019563031612558,23.022500730583825,-28.918487693371933,3.15,1.48,,,,86.1,1636.0,7.1,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.36,,,,,,,,42,5,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,229.0,0.0,0.0
CH,2023-04-27,84.8,-2.43,6.04,"Carpenter, Kerry",681481,502043,,foul,,,,,9,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,S,,,2,1,2023,-0.97,0.25,0.34,1.59,,,679529.0,1,5,Bot,,,,,668939,,,8.51977391540806,-123.201400572196,-4.585803046939078,-11.561207385051835,24.53820397853893,-28.84716126988805,3.15,1.48,3.0,87.8,-28.0,85.8,1784.0,7.0,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.48,,,,,,,,42,4,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,229.0,0.0,-0.072
CU,2023-04-27,79.3,-2.21,6.16,"Carpenter, Kerry",681481,502043,,blocked_ball,,,,,14,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,B,,,1,1,2023,0.62,-0.54,0.86,0.79,,,679529.0,1,5,Bot,,,,,668939,,,5.590500722926382,-115.32660775344084,-3.925437428929088,4.362933567338821,23.350347212253894,-36.34356275666683,3.15,1.48,,,,79.8,2455.0,6.9,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.63,,,,,,,,42,3,Curveball,3,2,3,2,2,3,3,2,Standard,Standard,36.0,0.0,0.06
CH,2023-04-27,84.9,-2.33,6.09,"Carpenter, Kerry",681481,502043,,ball,,,,,14,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,B,,,0,1,2023,-1.51,0.42,0.64,0.96,,,679529.0,1,5,Bot,,,,,668939,,,10.058444275509398,-122.939945757955,-6.429189302247605,-17.423150787869066,28.23012314959337,-26.604955564157905,3.15,1.48,,,,84.9,1652.0,6.9,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.6,,,,,,,,42,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,231.0,0.0,0.025
CU,2023-04-27,79.7,-2.23,6.18,"Carpenter, Kerry",681481,502043,,called_strike,,,,,3,Kerry Carpenter singles on a ground ball to right fielder Adam Frazier.   Spencer Torkelson to 2nd.,R,L,R,DET,BAL,S,,,0,0,2023,0.51,-0.36,0.37,2.81,,,679529.0,1,5,Bot,,,,,668939,,,4.791719371423622,-115.9188048591821,0.0666029509677406,3.6731968464183775,22.84502795171429,-35.666169065833216,3.15,1.48,,,,80.4,2409.0,6.9,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.61,,,,,,,,42,1,Curveball,3,2,3,2,2,3,3,2,Standard,Standard,44.0,0.0,-0.054
FF,2023-04-27,91.8,-2.21,6.18,"Carpenter, Kerry",681481,502043,double,hit_into_play,,,,,1,Kerry Carpenter doubles (5) on a ground ball to left fielder Ryan McKenna.   Nick Maton to 3rd.,R,L,R,DET,BAL,X,7.0,ground_ball,1,0,2023,-0.4,1.25,-0.62,2.74,,,665155.0,2,3,Bot,71.06,130.55,,,668939,,,4.937148394639109,-133.41807489580424,-5.5652694784953765,-5.844614575507716,31.05966192107066,-16.22989003605562,3.15,1.48,91.0,101.5,3.0,92.5,2186.0,7.0,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.51,0.529,0.5,1.25,1.0,1.0,1.0,4.0,24,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,208.0,0.031,0.73
FF,2023-04-27,91.3,-2.21,6.11,"Carpenter, Kerry",681481,502043,,blocked_ball,,,,,14,Kerry Carpenter doubles (5) on a ground ball to left fielder Ryan McKenna.   Nick Maton to 3rd.,R,L,R,DET,BAL,B,,,0,0,2023,-0.34,1.69,1.31,0.52,,,665155.0,2,3,Bot,,,,,668939,,,9.692394451507903,-132.1539255875445,-11.887554913098228,-6.242731687575552,30.68091181496984,-9.769567254838858,3.15,1.48,,,,91.9,2366.0,7.1,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.36,,,,,,,,24,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,216.0,0.0,0.027
CH,2023-04-27,85.1,-2.33,6.25,"Carpenter, Kerry",681481,502043,strikeout,foul_tip,,,,,7,Kerry Carpenter strikes out on a foul tip.,R,L,R,DET,BAL,S,2.0,,2,2,2023,-1.24,0.03,-0.52,1.97,656716.0,,682985.0,2,1,Bot,,,,,668939,,,6.779384943251376,-123.61435056330838,-3.734680113628396,-14.112147931189249,26.91566267390187,-31.304851567106464,3.15,1.48,,,,85.3,1724.0,6.7,718405,502043,668939,663624,687401,602104,622761,663630,656775,624428,53.76,,,0.0,1.0,0.0,0.0,,8,5,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,221.0,-0.047,-0.452
