pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,94.6,2.03,5.9,"Marte, Ketel",606466,624133,field_out,hit_into_play,,,,,9,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,X,8.0,line_drive,2,2,2023,0.51,0.83,0.29,1.86,,,,0,5,Top,155.36,75.86,,,596117,,,-5.666822207524738,-137.63599454346195,-6.740139677179691,7.6891419404901615,28.069441980343512,-20.364125919637136,3.48,1.69,315.0,94.4,18.0,95.0,1810,6.3,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.18,0.509,0.486,0.0,1.0,0.0,0.0,4.0,34,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,135,0.004,-0.205
CU,2023-05-24,76.8,1.66,5.99,"Marte, Ketel",606466,624133,,foul,,,,,9,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,S,,,2,2,2023,-0.88,-0.96,0.69,2.07,,,,0,5,Top,,,,,596117,,,-0.4610671013818376,-111.88372453352584,0.4739770462503558,-7.293178635444993,21.20611409149596,-40.52288184237399,3.48,1.69,145.0,75.2,67.0,77.2,2235,6.6,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,53.85,,,,,,,,34,5,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,311,0.0,0.0
SI,2023-05-24,92.5,1.93,5.94,"Marte, Ketel",606466,624133,,called_strike,,,,,8,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,S,,,2,1,2023,1.46,0.63,-0.01,1.71,,,,0,5,Top,,,,,596117,,,-8.161697027982424,-134.4441008746655,-6.405729616092894,19.48015201003109,27.53684415304929,-23.381475603627877,3.31,1.59,,,,93.0,1957,6.5,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,53.97,,,,,,,,34,4,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,137,0.0,-0.073
FC,2023-05-24,89.3,1.82,6.0,"Marte, Ketel",606466,624133,,foul,,,,,4,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,S,,,2,0,2023,-0.13,0.7,-0.83,2.59,,,,0,5,Top,,,,,596117,,,-6.302013066068711,-129.98800354536337,-3.935077368520393,-0.179566789481948,25.848034337281582,-23.56004757396084,3.48,1.69,414.0,106.4,30.0,90.1,2071,6.7,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,53.84,,,,,,,,34,3,Cutter,0,5,5,0,5,0,5,0,Standard,Standard,156,0.0,-0.062
CU,2023-05-24,75.7,1.92,6.01,"Marte, Ketel",606466,624133,,ball,,,,,14,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,B,,,1,0,2023,-0.99,-0.65,0.98,2.27,,,,0,5,Top,,,,,596117,,,-0.182679074994399,-110.32251435807488,0.4364941765819889,-8.033278929824508,19.846942234597616,-37.79560643789545,3.24,1.5,,,,75.6,2211,6.2,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.35,,,,,,,,34,2,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,304,0.0,0.066
CU,2023-05-24,74.0,1.76,6.01,"Marte, Ketel",606466,624133,,ball,,,,,14,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,B,,,0,0,2023,-0.97,-0.75,0.83,1.17,,,,0,5,Top,,,,,596117,,,-0.2242943857853803,-107.8632285558152,-1.307418941892974,-7.498887342328801,19.068718120423764,-38.0426268271674,3.33,1.62,,,,74.5,2174,6.6,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,53.88,,,,,,,,34,1,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,309,0.0,0.039
FC,2023-05-24,89.8,2.01,5.99,"Marte, Ketel",606466,624133,field_out,hit_into_play,,,,,1,"Ketel Marte grounds out, third baseman Alec Bohm to first baseman Kody Clemens.",R,R,L,PHI,AZ,X,5.0,ground_ball,1,1,2023,-0.11,0.56,-0.58,3.16,,645444.0,,0,3,Top,106.57,162.89,,,596117,,,-6.1826521300103074,-130.84484759120096,-2.2973255441940443,-0.1784658234339532,23.900755527998182,-25.383837349163286,3.48,1.69,12.0,79.6,-13.0,90.7,2024,6.4,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.06,0.074,0.067,0.0,1.0,0.0,0.0,2.0,16,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,155,0.041,-0.247
FF,2023-05-24,93.5,1.98,5.95,"Marte, Ketel",606466,624133,,ball,,,,,12,"Ketel Marte grounds out, third baseman Alec Bohm to first baseman Kody Clemens.",R,R,L,PHI,AZ,B,,,0,1,2023,0.49,0.91,0.89,5.2,,645444.0,,0,3,Top,,,,,596117,,,-3.885497044504084,-136.22720133976307,1.7377265239046542,6.844168789874872,26.215144151798366,-21.31534057872961,3.38,1.59,,,,93.8,2008,6.1,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.37,,,,,,,,16,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,133,0.0,0.052
FC,2023-05-24,91.1,2.01,5.96,"Marte, Ketel",606466,624133,,foul,,,,,4,"Ketel Marte grounds out, third baseman Alec Bohm to first baseman Kody Clemens.",R,R,L,PHI,AZ,S,,,0,0,2023,0.17,0.63,-0.37,2.57,,645444.0,,0,3,Top,,,,,596117,,,-6.305936976983097,-132.64840659677645,-4.057657683630846,3.14996035661118,23.85951014666449,-24.05008310962631,3.48,1.69,,,,91.4,2016,6.1,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.43,,,,,,,,16,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,152,0.0,-0.088
SL,2023-05-24,80.4,2.92,5.98,"Marte, Ketel",606466,607755,single,hit_into_play,,,,,8,Ketel Marte singles on a ground ball to left fielder Kyle Schwarber.,R,R,L,PHI,AZ,X,7.0,ground_ball,0,1,2023,-1.23,-0.26,0.27,1.93,,,,0,7,Top,99.29,162.4,,,596117,,,-3.535885778175283,-117.16199659510028,-1.8260875899729443,-10.70365230446165,21.82053671728186,-34.444362750517016,3.48,1.69,22.0,104.9,-4.0,80.3,2603,6.1,718043,607755,596117,665019,681082,664761,607208,656941,669016,592206,54.38,0.357,0.321,0.9,1.0,1.0,0.0,2.0,55,2,Slider,3,5,5,3,5,3,5,3,Standard,Standard,318,-0.023,0.431
