pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-11,90.3,-1.49,5.28,"Sosa, Lenyn",672820,663903,field_out,hit_into_play,,,,,13,Lenyn Sosa lines out sharply to center fielder Jackie Bradley Jr.,R,R,R,KC,CWS,X,8.0,line_drive,0,1,2023,-1.17,0.76,-0.44,1.37,,,,0,5,Top,146.28,38.18,,,666023,,,5.176037161994404,-131.42855697600302,-5.519736271470193,-14.62853319622704,25.38730079904201,-22.424786014013087,3.26,1.57,400.0,105.5,20.0,91.9,2110,7.0,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.49,0.677,0.911,0.0,1.0,0.0,0.0,6.0,35,2,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,221,0.028,-0.198
SI,2023-05-11,89.8,-1.42,5.29,"Sosa, Lenyn",672820,663903,,called_strike,,,,,9,Lenyn Sosa lines out sharply to center fielder Jackie Bradley Jr.,R,R,R,KC,CWS,S,,,0,0,2023,-1.09,0.82,0.82,1.86,,,,0,5,Top,,,,,666023,,,7.974313272858681,-130.58689727643235,-4.3914204572289925,-14.013464513740852,23.418158713928467,-22.042537393831065,3.45,1.63,,,,91.8,2220,7.2,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.33,,,,,,,,35,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,211,0.0,-0.037
SL,2023-05-11,84.5,-1.61,5.37,"Sosa, Lenyn",672820,663903,strikeout,swinging_strike_blocked,,,,,14,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,2.0,,1,2,2023,0.56,-0.24,0.48,0.68,,,,0,3,Top,,,,,666023,,,3.791614690467916,-123.01714142464893,-4.1606383457267215,5.023105178191419,22.641226960505264,-34.05680274462683,3.26,1.57,,,,85.5,2459,6.8,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.75,,,0.0,1.0,0.0,0.0,,17,4,Slider,1,0,0,1,0,1,0,1,Standard,Standard,96,0.026,-0.175
SI,2023-05-11,92.0,-1.5,5.21,"Sosa, Lenyn",672820,663903,,swinging_strike,,,,,8,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,,,1,1,2023,-0.98,0.93,0.01,2.03,,,,0,3,Top,,,,,666023,,,6.038662425811084,-133.9442251307783,-4.347569060025722,-13.02100240875322,27.1581328628084,-20.200748406048387,3.26,1.57,,,,93.7,2299,7.1,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.36,,,,,,,,17,3,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,214,0.0,-0.053
SI,2023-05-11,91.3,-1.55,5.18,"Sosa, Lenyn",672820,663903,,ball,,,,,14,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,B,,,0,1,2023,-1.35,0.7,1.17,1.58,,,,0,3,Top,,,,,666023,,,9.900664760097854,-132.61786544695028,-4.775290440875041,-18.00238972833196,25.92356007135937,-23.039479924762237,3.25,1.56,,,,93.0,2311,7.2,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.28,,,,,,,,17,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,213,0.0,0.03
SI,2023-05-11,91.1,-1.51,5.31,"Sosa, Lenyn",672820,663903,,called_strike,,,,,3,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,,,0,0,2023,-0.95,0.83,0.42,3.09,,,,0,3,Top,,,,,666023,,,6.986132579179135,-132.61317816604154,-1.5419160922215451,-12.667375758359446,25.69798444488465,-22.151227318572637,3.33,1.54,,,,92.7,2338,7.0,718218,663903,666023,686469,686681,672580,677951,658668,598265,668472,53.47,,,,,,,,17,1,Sinker,1,0,0,1,0,1,0,1,Standard,Strategic,213,0.0,-0.037
KC,2023-05-11,83.1,-1.23,6.2,"Sosa, Lenyn",672820,672578,field_out,hit_into_play,,,,,5,Lenyn Sosa flies out to center fielder Jackie Bradley Jr.,R,R,R,KC,CWS,X,8.0,fly_ball,1,0,2023,0.2,-0.55,0.21,2.2,,,,2,7,Top,123.57,42.99,,,666023,,,2.909752819563043,-121.04651698115792,-1.698404277722544,1.4543261825206129,21.784806799021176,-37.4670447451133,3.26,1.57,388.0,102.6,25.0,83.7,2473,6.4,718218,672578,666023,686469,686681,672580,677951,658668,598265,668472,54.07,0.794,1.443,0.0,1.0,0.0,0.0,6.0,50,2,Knuckle Curve,3,1,1,3,1,3,1,3,Standard,Standard,51,0.013,-0.125
FF,2023-05-11,100.4,-1.42,6.21,"Sosa, Lenyn",672820,672578,,ball,,,,,11,Lenyn Sosa flies out to center fielder Jackie Bradley Jr.,R,R,R,KC,CWS,B,,,0,0,2023,-0.82,1.47,-0.84,4.46,,,,2,7,Top,,,,,666023,,,3.552637028972776,-146.1173511806822,-2.968135463767917,-12.535199000815096,35.55205000193796,-10.6704958453428,3.39,1.68,,,,100.9,2574,6.6,718218,672578,666023,686469,686681,672580,677951,658668,598265,668472,53.86,,,,,,,,50,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,212,0.0,0.021
SL,2023-05-11,83.8,-1.91,5.12,"Sosa, Lenyn",672820,605130,field_out,hit_into_play,,,,,6,Lenyn Sosa lines out to right fielder Nick Pratto.,R,R,R,KC,CWS,X,9.0,line_drive,0,0,2023,0.44,-0.02,0.52,2.33,,,,2,9,Top,180.01,102.3,,,666023,,,4.79163493403524,-122.07600301930108,-0.034726776342441,3.551990337858412,22.284016280705863,-32.5807911041863,3.26,1.57,276.0,87.8,20.0,85.0,2496,6.9,718218,605130,666023,686469,672580,622110,677951,681987,598265,668472,53.65,0.506,0.5,0.0,1.0,0.0,0.0,4.0,67,1,Slider,3,3,3,3,3,3,3,3,Standard,Standard,92,0.032,-0.104
ST,2023-05-10,84.7,-0.93,6.01,"Sosa, Lenyn",672820,664199,strikeout,swinging_strike,,,,,14,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,2.0,,0,2,2023,0.66,-0.16,1.44,1.02,,,,2,9,Top,,,,,666023,,,4.216360646735324,-123.27818276608237,-5.001824352245285,5.950303156419063,23.87647033682205,-33.03124573078961,3.26,1.57,,,,84.9,2527,6.4,718222,664199,666023,668472,686681,622110,677951,658668,681987,669004,54.12,,,0.0,1.0,0.0,0.0,,76,3,Sweeper,9,1,1,9,1,9,1,9,Standard,Standard,72,0.0,-0.058
FF,2023-05-10,95.0,-0.76,6.05,"Sosa, Lenyn",672820,664199,,foul,,,,,12,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,,,0,1,2023,-0.43,1.27,1.2,2.63,,,,2,9,Top,,,,,666023,,,6.108957775404748,-138.3725804548181,-6.275345067720613,-6.696366531217016,24.8168225028457,-14.665243713366678,3.26,1.57,245.0,80.0,51.0,96.0,2103,6.4,718222,664199,666023,668472,686681,622110,677951,658668,681987,669004,54.11,,,,,,,,76,2,4-Seam Fastball,9,1,1,9,1,9,1,9,Standard,Standard,212,0.0,-0.025
FF,2023-05-10,94.9,-0.73,6.15,"Sosa, Lenyn",672820,664199,,called_strike,,,,,2,Lenyn Sosa strikes out swinging.,R,R,R,KC,CWS,S,,,0,0,2023,-0.41,1.33,0.08,2.91,,,,2,9,Top,,,,,666023,,,3.039260883457329,-138.25588534733268,-5.898737445933852,-5.8908805444564285,25.953081350854312,-13.966755991577733,3.16,1.56,,,,95.6,2183,6.3,718222,664199,666023,668472,686681,622110,677951,658668,681987,669004,54.21,,,,,,,,76,1,4-Seam Fastball,9,1,1,9,1,9,1,9,Standard,Standard,206,0.0,-0.021
CU,2023-05-09,79.7,-1.47,6.09,"Sosa, Lenyn",672820,543475,field_out,hit_into_play,,,,,5,Lenyn Sosa lines out to right fielder MJ Melendez.,R,R,R,KC,CWS,X,9.0,line_drive,0,1,2023,0.67,-1.49,0.17,2.1,,664874.0,,2,7,Top,190.27,82.6,,,666023,,,2.357475216378789,-115.98696050248824,0.9139246297369878,5.468265869156335,25.38812398968228,-45.944454178434896,3.25,1.56,329.0,97.1,21.0,79.8,2568,6.7,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.77,0.309,0.363,0.0,1.0,0.0,0.0,4.0,52,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,26,0.025,-0.271
ST,2023-05-09,80.1,-1.82,5.92,"Sosa, Lenyn",672820,543475,,called_strike,,,,,4,Lenyn Sosa lines out to right fielder MJ Melendez.,R,R,R,KC,CWS,S,,,0,0,2023,1.24,0.11,-0.28,2.17,,664874.0,,2,7,Top,,,,,666023,,,1.0764521145029189,-116.60883994551456,-1.7298995288815324,10.994295203003192,23.761541021116912,-31.091438531104146,3.32,1.55,,,,80.5,2613,6.7,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.76,,,,,,,,52,1,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,52,0.0,-0.054
ST,2023-05-09,80.2,-1.82,5.91,"Sosa, Lenyn",672820,543475,double,hit_into_play,,,,,8,Lenyn Sosa doubles (3) on a line drive to left fielder Nate Eaton.,R,R,R,KC,CWS,X,7.0,line_drive,0,0,2023,1.08,0.17,0.23,1.74,,,,0,6,Top,50.83,129.29,,,666023,,,2.5041400887329357,-116.83205635459628,-2.9483604146024294,9.599328966650669,19.50828173999978,-30.263619387164475,3.25,1.56,169.0,89.5,13.0,81.3,2676,6.7,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.81,0.906,0.866,1.25,1.0,1.0,1.0,4.0,36,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,42,-0.094,0.616
ST,2023-05-09,80.3,-1.7,5.95,"Sosa, Lenyn",672820,543475,field_out,hit_into_play,,,,,6,Lenyn Sosa pops out to shortstop Bobby Witt Jr.,R,R,R,KC,CWS,X,6.0,popup,2,2,2023,1.27,-0.35,0.5,2.38,,,,2,3,Top,120.54,140.56,,,666023,,,2.483398696266614,-116.93539059998088,-0.5006266691546112,11.075855786388283,23.859711128856866,-35.51010110332532,3.25,1.56,170.0,85.7,61.0,80.8,1997,6.8,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.75,0.014,0.013,0.0,1.0,0.0,0.0,3.0,16,5,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,132,0.012,-0.09
ST,2023-05-09,80.0,-1.68,5.95,"Sosa, Lenyn",672820,543475,,ball,,,,,14,Lenyn Sosa pops out to shortstop Bobby Witt Jr.,R,R,R,KC,CWS,B,,,1,2,2023,1.63,-0.57,1.58,1.36,,,,2,3,Top,,,,,666023,,,4.135068412560916,-116.4528445978018,-2.3008219527810274,13.925876147903878,23.325035767316734,-37.0820914217365,3.32,1.55,,,,80.4,2723,6.7,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.79,,,,,,,,16,4,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,54,0.0,0.018
CU,2023-05-09,80.8,-1.47,6.03,"Sosa, Lenyn",672820,543475,,ball,,,,,14,Lenyn Sosa pops out to shortstop Bobby Witt Jr.,R,R,R,KC,CWS,B,,,0,2,2023,0.62,-1.34,2.0,0.39,,,,2,3,Top,,,,,666023,,,6.621290700379311,-117.52833047626775,-3.3537407465098594,4.433185916748326,22.5625404526174,-44.17178959980574,3.29,1.61,,,,81.4,2564,6.8,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.75,,,,,,,,16,3,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,28,0.0,0.014
SI,2023-05-09,89.3,-1.59,5.91,"Sosa, Lenyn",672820,543475,,called_strike,,,,,8,Lenyn Sosa pops out to shortstop Bobby Witt Jr.,R,R,R,KC,CWS,S,,,0,1,2023,-0.84,1.19,0.16,1.88,,,,2,3,Top,,,,,666023,,,6.154262719342491,-129.87388951205205,-6.523274879795313,-10.780860894588471,24.461810835352235,-17.49507104215105,3.26,1.64,,,,90.5,1870,6.8,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.66,,,,,,,,16,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,225,0.0,-0.025
FF,2023-05-09,93.2,-1.63,5.98,"Sosa, Lenyn",672820,543475,,called_strike,,,,,9,Lenyn Sosa pops out to shortstop Bobby Witt Jr.,R,R,R,KC,CWS,S,,,0,0,2023,-0.75,1.24,0.32,1.94,,,,2,3,Top,,,,,666023,,,6.720968502130149,-135.51409578227427,-7.452742339392654,-10.656215829126486,25.63643955954768,-15.485204712435475,3.35,1.64,,,,94.5,2317,6.8,718238,543475,666023,686469,672580,641531,677951,681987,598265,669004,53.68,,,,,,,,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,214,0.0,-0.021
SL,2023-05-08,83.6,-3.01,5.97,"Sosa, Lenyn",672820,666721,field_out,hit_into_play,,,,,8,Lenyn Sosa lines out to third baseman Maikel Garcia.,R,R,R,KC,CWS,X,5.0,line_drive,0,1,2023,0.39,0.44,-0.27,2.07,,,,1,9,Top,86.52,156.73,,,666023,,,5.581756100336971,-121.6448649958167,-3.460671376360759,2.7893352777202383,23.49330013604541,-27.33064483168412,3.24,1.56,147.0,86.9,12.0,84.3,2178,6.7,718253,666721,666023,668472,686681,672580,677951,658668,598265,669004,53.77,0.737,0.677,0.0,1.0,0.0,0.0,4.0,81,2,Slider,12,5,5,12,5,12,5,12,Standard,Standard,148,0.0,-0.144
FF,2023-05-08,93.0,-2.76,6.07,"Sosa, Lenyn",672820,666721,,called_strike,,,,,3,Lenyn Sosa lines out to third baseman Maikel Garcia.,R,R,R,KC,CWS,S,,,0,0,2023,-0.74,1.39,0.82,2.89,,,,1,9,Top,,,,,666023,,,10.876423638568046,-135.0001424989736,-5.4533477536608,-11.338995023717636,27.86364434822913,-14.146811374850444,3.38,1.67,,,,93.7,2099,6.7,718253,666721,666023,668472,686681,672580,677951,658668,598265,669004,53.78,,,,,,,,81,1,4-Seam Fastball,12,5,5,12,5,12,5,12,Standard,Standard,224,0.0,-0.028
SL,2023-05-08,84.2,-2.88,5.92,"Sosa, Lenyn",672820,666721,field_out,hit_into_play,,,,,11,Lenyn Sosa lines out to right fielder MJ Melendez.,R,R,R,KC,CWS,X,9.0,line_drive,1,1,2023,0.41,0.25,-0.16,3.39,,,656514.0,2,7,Top,184.3,105.88,,,521692,,,5.571170815173274,-122.5089203059805,0.0085932597526363,3.0190884403180145,23.54977032619338,-29.860571540565424,3.24,1.56,274.0,85.3,22.0,85.3,2428,6.9,718253,666721,521692,668472,686681,672580,677951,658668,598265,669004,53.58,0.411,0.415,0.0,1.0,0.0,0.0,3.0,63,3,Slider,12,4,4,12,4,12,4,12,Standard,Standard,128,0.001,-0.233
