pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,94.2,2.13,5.98,"Rengifo, Luis",650859,572020,strikeout,called_strike,,,,,7,Luis Rengifo called out on strikes.,R,R,L,LAA,BOS,S,2.0,,1,2,2023,1.33,1.15,-0.45,1.92,,592273.0,570482.0,2,3,Bot,,,,,657136,,,-9.70814198599254,-136.66606472435527,-7.418268081025738,18.737310771161013,29.62962740919774,-16.269564716310768,3.16,1.48,,,,94.9,2236.0,6.8,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.68,,,0.0,1.0,0.0,0.0,,26,4,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,137.0,-0.009,-0.312
FC,2023-05-24,86.6,2.2,5.97,"Rengifo, Luis",650859,572020,,blocked_ball,,,,,13,Luis Rengifo called out on strikes.,R,R,L,LAA,BOS,B,,,0,2,2023,-0.46,0.13,-1.67,0.38,,592273.0,570482.0,2,3,Bot,,,,,657136,,,-8.317629035215829,-125.64829194581736,-7.376161236955942,-3.033645265351414,27.65666206776163,-29.35250882100889,3.16,1.48,,,,86.7,2112.0,6.7,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.79,,,,,,,,26,3,Cutter,5,0,5,0,0,5,5,0,Strategic,Standard,231.0,0.0,0.035
FC,2023-05-24,84.7,2.2,6.02,"Rengifo, Luis",650859,572020,,swinging_strike,,,,,13,Luis Rengifo called out on strikes.,R,R,L,LAA,BOS,S,,,0,1,2023,-0.2,0.04,-0.18,0.86,,592273.0,570482.0,2,3,Bot,,,,,657136,,,-5.19466759898802,-123.10855149642396,-5.779751061575854,-0.9093097813590992,25.62890787793931,-30.77607887993257,3.16,1.48,,,,84.9,2049.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.91,,,,,,,,26,2,Cutter,5,0,5,0,0,5,5,0,Standard,Standard,296.0,0.0,-0.108
KC,2023-05-24,80.0,2.0,6.26,"Rengifo, Luis",650859,572020,,called_strike,,,,,6,Luis Rengifo called out on strikes.,R,R,L,LAA,BOS,S,,,0,0,2023,-0.5,-0.89,0.81,2.19,,592273.0,570482.0,2,3,Bot,,,,,657136,,,-1.6942187184988364,-116.42444992907429,-0.4907314256772139,-4.142609527227067,24.58089761533933,-40.34171671035108,3.16,1.48,,,,80.0,1885.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.92,,,,,,,,26,1,Knuckle Curve,5,0,5,0,0,5,5,0,Standard,Standard,325.0,0.0,-0.086
CU,2023-05-24,78.3,-1.22,6.55,"Rengifo, Luis",650859,601713,strikeout,swinging_strike,,,,,7,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,3,2,2023,0.5,-1.63,-0.46,1.47,,,,0,6,Bot,,,,,657136,,,0.7245728727110706,-113.78061000809237,-0.8442269177151868,4.034011327747973,27.52594069161098,-46.097130756272826,3.16,1.48,,,,77.9,2782.0,6.8,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.67,,,0.0,1.0,0.0,0.0,,48,8,Curveball,7,1,7,1,1,7,7,1,Strategic,Standard,28.0,-0.001,-0.314
FF,2023-05-24,94.5,-1.21,6.64,"Rengifo, Luis",650859,601713,,ball,,,,,11,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,B,,,2,2,2023,-0.14,1.89,-0.78,4.43,,,,0,6,Bot,,,,,657136,,,1.4448721341605788,-137.4554984438694,-4.233866238837557,-2.120778210404507,35.37562001041848,-7.720387879412614,3.16,1.48,,,,95.4,2292.0,7.2,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.3,,,,,,,,48,7,4-Seam Fastball,7,1,7,1,1,7,7,1,Strategic,Standard,197.0,0.0,0.108
CU,2023-05-24,78.9,-1.29,6.62,"Rengifo, Luis",650859,601713,,foul,,,,,7,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,S,,,2,2,2023,0.83,-1.44,-0.38,1.66,,,,0,6,Bot,,,,,657136,,,0.4194721754996217,-114.8151030462768,-1.1372767752997135,7.131640301811644,26.18640661470645,-44.7078375631612,3.16,1.48,4.0,73.0,-28.0,78.9,2786.0,6.8,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.68,,,,,,,,48,6,Curveball,7,1,7,1,1,7,7,1,Strategic,Standard,26.0,0.0,0.0
CU,2023-05-24,79.2,-0.9,6.73,"Rengifo, Luis",650859,601713,,ball,,,,,14,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,B,,,1,2,2023,0.56,-1.53,0.95,1.62,,,,0,6,Bot,,,,,657136,,,3.017814830815753,-115.19058410137286,-1.311379979295828,4.144060075035313,27.261921811501505,-45.487753320901774,3.16,1.48,,,,79.2,2803.0,6.9,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.57,,,,,,,,48,5,Curveball,7,1,7,1,1,7,7,1,Strategic,Standard,19.0,0.0,0.03
FF,2023-05-24,94.5,-0.75,6.75,"Rengifo, Luis",650859,601713,,foul,,,,,2,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,S,,,1,2,2023,-0.13,2.01,0.19,3.07,,,,0,6,Bot,,,,,657136,,,2.7696645906173,-137.27829907714408,-8.418132319742622,-2.369682118071637,33.924085157999265,-5.080606239884095,3.16,1.48,98.0,97.8,6.0,95.3,2351.0,7.1,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.38,,,,,,,,48,4,4-Seam Fastball,7,1,7,1,1,7,7,1,Strategic,Standard,192.0,0.0,0.0
CU,2023-05-24,78.2,-1.05,6.64,"Rengifo, Luis",650859,601713,,swinging_strike,,,,,13,Luis Rengifo strikes out swinging.,R,L,R,LAA,BOS,S,,,1,1,2023,0.83,-1.37,-0.34,1.34,,,,0,6,Bot,,,,,657136,,,-0.0143312565123386,-113.76758744443688,-1.8858652695553213,7.078966365307299,25.14382332064943,-43.71364788456708,3.16,1.48,,,,78.2,2824.0,6.8,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.75,,,,,,,,48,3,Curveball,7,1,7,1,1,7,7,1,Standard,Standard,24.0,0.0,-0.053
