pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-13,93.2,2.21,5.76,"Voit, Luke",572228,657031,strikeout,called_strike,,,,,3,Luke Voit called out on strikes.,R,R,L,MIL,KC,S,2.0,,3,2,2023,0.1,1.31,0.51,3.34,,,,0,6,Bot,,,,,521692,,,-4.66382999114011,-135.7079686154885,-3.393935449130807,2.235833819346113,28.383240606910395,-15.415150600386296,3.38,1.6,,,,95.0,2221.0,7.2,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.32,,,0.0,1.0,0.0,0.0,,48,6,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,167.0,-0.033,-0.314
CU,2023-05-13,80.1,2.13,5.8,"Voit, Luke",572228,657031,,ball,,,,,11,Luke Voit called out on strikes.,R,R,L,MIL,KC,B,,,2,2,2023,-0.46,-0.23,-1.06,2.9,,,,0,6,Bot,,,,,521692,,,-6.248552448905895,-116.57593435843788,0.7422212701841289,-3.0438733142572003,21.68356958640132,-34.608961157524405,3.38,1.63,,,,81.0,2002.0,6.9,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.6,,,,,,,,48,5,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,310.0,0.0,0.108
SL,2023-05-13,85.5,2.13,5.74,"Voit, Luke",572228,657031,,ball,,,,,13,Luke Voit called out on strikes.,R,R,L,MIL,KC,B,,,1,2,2023,-0.43,0.18,-0.87,0.93,,,,0,6,Bot,,,,,521692,,,-6.297450490609544,-124.24701978604438,-5.447124336433723,-3.1363755796891724,26.06556392027327,-29.351614335473023,3.38,1.6,,,,86.7,2252.0,7.2,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.29,,,,,,,,48,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,243.0,0.0,0.03
SL,2023-05-13,85.8,2.16,5.71,"Voit, Luke",572228,657031,,swinging_strike,,,,,13,Luke Voit called out on strikes.,R,R,L,MIL,KC,S,,,1,1,2023,-0.49,-0.07,-0.39,1.13,,,,0,6,Bot,,,,,521692,,,-5.141905987765844,-124.8944978545461,-4.488007235908094,-4.00698295476095,26.372310153793205,-32.157885871460344,3.38,1.61,,,,87.6,2335.0,7.5,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,52.96,,,,,,,,48,3,Slider,3,3,3,3,3,3,3,3,Standard,Standard,269.0,0.0,-0.053
SL,2023-05-13,87.9,2.23,5.74,"Voit, Luke",572228,657031,,ball,,,,,13,Luke Voit called out on strikes.,R,R,L,MIL,KC,B,,,0,1,2023,-0.46,0.29,-0.84,1.85,,,,0,6,Bot,,,,,521692,,,-6.57098660671524,-127.82767885766138,-3.9512996707872654,-3.6733072357955328,26.952878673896237,-28.328193594667475,3.38,1.66,,,,89.0,2359.0,7.0,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.45,,,,,,,,48,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,242.0,0.0,0.03
FF,2023-05-13,94.4,2.32,5.74,"Voit, Luke",572228,657031,,called_strike,,,,,11,Luke Voit called out on strikes.,R,R,L,MIL,KC,S,,,0,0,2023,0.01,1.45,-0.12,3.6,,,,0,6,Bot,,,,,521692,,,-6.501891160923746,-137.2969103696849,-3.136450905991038,1.5795378749683784,30.84163488908197,-13.349740544961271,3.4,1.65,,,,96.1,2267.0,7.3,718183,657031,521692,668472,686681,622110,677951,681987,598265,669004,53.18,,,,,,,,48,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,161.0,0.0,-0.037
FF,2023-05-13,101.4,0.26,6.09,"Voit, Luke",572228,547973,strikeout,swinging_strike,,,,,4,Luke Voit strikes out swinging.,R,R,L,MIL,KC,S,2.0,,1,2,2023,0.25,1.67,-0.38,2.56,,,,0,8,Bot,,,,,521692,,,-2.4180914253935346,-147.39174447872293,-8.694593396244361,4.222384123728217,37.225804405239,-5.976380447731272,3.38,1.61,,,,103.1,2600.0,7.4,718183,547973,521692,668472,686681,681987,677951,658668,598265,669004,53.12,,,0.0,1.0,0.0,0.0,,64,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,178.0,-0.046,-0.175
SI,2023-05-13,101.1,0.51,6.12,"Voit, Luke",572228,547973,,ball,,,,,12,Luke Voit strikes out swinging.,R,R,L,MIL,KC,B,,,0,2,2023,1.02,1.38,1.24,2.99,,,,0,8,Bot,,,,,521692,,,-0.4126006551242075,-147.06919892910972,-6.8208103525713,14.931344697894351,36.33788693561617,-10.685533114139512,3.38,1.57,,,,102.9,2485.0,7.4,718183,547973,521692,668472,686681,681987,677951,658668,598265,669004,53.12,,,,,,,,64,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,153.0,0.0,0.026
FS,2023-05-13,90.7,0.35,5.97,"Voit, Luke",572228,547973,,swinging_strike,,,,,13,Luke Voit strikes out swinging.,R,R,L,MIL,KC,S,,,0,1,2023,0.36,-0.05,-0.21,0.97,,,,0,8,Bot,,,,,521692,,,-2.2213929355566218,-131.97902316481492,-6.6280778798078135,4.641431380137828,27.104340440650944,-31.59637816412958,3.38,1.61,,,,93.1,1199.0,7.6,718183,547973,521692,668472,686681,681987,677951,658668,598265,669004,52.86,,,,,,,,64,2,Split-Finger,3,3,3,3,3,3,3,3,Standard,Standard,142.0,0.0,-0.049
SL,2023-05-13,88.1,0.61,6.17,"Voit, Luke",572228,547973,,called_strike,,,,,3,Luke Voit strikes out swinging.,R,R,L,MIL,KC,S,,,0,0,2023,-0.66,0.67,0.45,2.95,,,,0,8,Bot,,,,,521692,,,1.0174444927860595,-128.2727869225911,-3.1927914576027487,-7.5420669972782335,26.40575681363103,-24.32471646140527,3.16,1.37,,,,90.3,2251.0,7.6,718183,547973,521692,668472,686681,681987,677951,658668,598265,669004,52.93,,,,,,,,64,1,Slider,3,3,3,3,3,3,3,3,Standard,Standard,283.0,0.0,-0.037
SL,2023-05-12,84.7,-2.97,5.82,"Voit, Luke",572228,666721,single,hit_into_play,,,,,7,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,X,7.0,line_drive,3,2,2023,-0.19,0.74,-0.35,1.69,,,,0,6,Bot,69.7,109.57,,,666023,,,6.579282871672271,-123.19768295088608,-4.859965993354207,-3.203791829321276,22.754268890717416,-23.84225574003877,3.38,1.62,185.0,87.4,15.0,85.6,2247.0,6.8,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.74,0.977,0.915,0.9,1.0,1.0,0.0,4.0,48,7,Slider,3,0,3,0,0,3,3,0,Standard,Standard,122.0,0.011,0.315
FF,2023-05-12,93.8,-2.79,5.89,"Voit, Luke",572228,666721,,ball,,,,,14,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,B,,,2,2,2023,-1.14,0.95,0.31,1.21,,,,0,6,Bot,,,,,666023,,,10.630876780045613,-136.02072309392668,-8.542018026316056,-16.476550942334153,29.128037824411603,-18.58044926642367,3.18,1.61,,,,94.7,2227.0,7.0,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.53,,,,,,,,48,6,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,224.0,0.0,0.108
SL,2023-05-12,83.2,-3.06,5.81,"Voit, Luke",572228,666721,,foul,,,,,4,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,S,,,2,2,2023,0.13,0.67,-0.64,2.28,,,,0,6,Bot,,,,,666023,,,5.337399281641408,-121.24056547394544,-3.100848625167549,0.459629523261368,19.715847548191483,-25.09815466679468,3.38,1.62,283.0,109.1,18.0,84.5,2401.0,6.7,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.84,,,,,,,,48,5,Slider,3,0,3,0,0,3,3,0,Standard,Standard,106.0,0.0,0.0
FF,2023-05-12,93.8,-2.71,5.9,"Voit, Luke",572228,666721,,foul,,,,,2,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,S,,,2,1,2023,-1.02,1.11,-0.13,3.41,,,,0,6,Bot,,,,,666023,,,8.990270441934896,-136.21506922699993,-3.145870083852253,-14.788320575562627,31.533344268849977,-17.822265903986978,3.38,1.62,,,,94.1,2185.0,6.7,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.79,,,,,,,,48,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,221.0,0.0,-0.073
FF,2023-05-12,92.2,-2.82,5.85,"Voit, Luke",572228,666721,,foul,,,,,6,Luke Voit singles on a line drive to left fielder Edward Olivares.,R,R,R,MIL,KC,S,,,2,0,2023,-0.87,1.29,0.46,2.54,,,,0,6,Bot,,,,,666023,,,10.316258079123424,-133.77279839572574,-5.373023201477726,-12.712799806487997,29.11452079680541,-15.694689448667235,3.38,1.62,241.0,85.3,55.0,92.7,2080.0,6.8,718204,666721,666023,668472,672580,641531,677951,658668,598265,669004,53.72,,,,,,,,48,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,221.0,0.0,-0.062
