pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,90.3,2.22,5.47,"Margot, Manuel",622534,579328,triple,hit_into_play,,,,,5,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,X,9.0,line_drive,2,2,2023,-0.04,0.5,0.19,2.52,,542194.0,,1,4,Bot,166.15,68.22,,,643376,,,-5.021443746175831,-131.51785959707584,-2.4822115643678897,0.6128611408368894,28.16709455472922,-26.09718114294675,3.33,1.56,254.0,97.1,11.0,91.3,2296,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.62,0.826,0.804,1.6,1.0,1.0,2.0,4.0,33,5,Slider,3,1,3,1,1,4,4,1,Strategic,Standard,153,0.087,1.339
SL,2023-05-24,90.6,2.25,5.44,"Margot, Manuel",622534,579328,,blocked_ball,,,,,13,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,B,,,1,2,2023,0.09,0.72,-0.85,0.06,,542194.0,,1,4,Bot,,,,,643376,,,-8.001243404417867,-131.47498944173438,-9.146302466396186,2.603139046434039,26.47296604234494,-22.03591035541346,3.33,1.67,,,,91.6,2371,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.56,,,,,,,,33,4,Slider,3,1,3,1,1,3,3,1,Strategic,Standard,152,0.0,0.053
FF,2023-05-24,93.9,2.49,5.39,"Margot, Manuel",622534,579328,,ball,,,,,12,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,B,,,0,2,2023,0.71,1.55,1.28,4.63,,542194.0,,1,4,Bot,,,,,643376,,,-4.748546729557292,-136.67476854288594,0.3814361614423915,9.93095591137559,33.047107639811514,-13.210712783365546,3.36,1.67,,,,94.5,2270,6.8,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.65,,,,,,,,33,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,141,0.0,0.036
FF,2023-05-24,93.5,2.42,5.42,"Margot, Manuel",622534,579328,,swinging_strike,,,,,6,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,S,,,0,1,2023,0.75,1.74,0.66,2.32,,542194.0,,1,4,Bot,,,,,643376,,,-6.250460070367579,-135.87980998732235,-6.07785762964954,10.75821325889074,32.18373152742416,-9.537350908202518,3.33,1.56,,,,94.0,2364,6.8,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.69,,,,,,,,33,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,142,0.0,-0.111
SL,2023-05-24,90.4,2.14,5.47,"Margot, Manuel",622534,579328,,called_strike,,,,,7,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,S,,,0,0,2023,-0.02,0.59,-0.78,1.98,,542194.0,,1,4,Bot,,,,,643376,,,-7.325710125711024,-131.5605574572558,-4.1016076754570445,1.233481945514747,26.576933781986703,-24.65272570670145,3.39,1.56,,,,91.7,2381,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.57,,,,,,,,33,1,Slider,3,1,3,1,1,3,3,1,Standard,Standard,157,0.0,-0.059
SL,2023-05-24,90.1,2.11,5.56,"Margot, Manuel",622534,579328,field_out,hit_into_play,,,,,4,"Manuel Margot grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,L,TB,TOR,X,6.0,ground_ball,0,0,2023,-0.05,0.8,-0.41,2.26,,,,1,2,Bot,114.97,158.91,,,643376,,,-6.241434232954086,-131.1063101073986,-3.9793116058898352,0.7231000753631449,26.711441077908823,-22.341494441157604,3.33,1.56,2.0,91.4,-42.0,91.3,2427,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.56,0.091,0.094,0.0,1.0,0.0,0.0,2.0,16,1,Slider,3,0,3,0,0,3,3,0,Standard,Standard,165,-0.008,-0.171
CU,2023-05-24,81.7,-2.52,5.15,"Margot, Manuel",622534,554340,field_out,hit_into_play,,,,,9,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,X,5.0,ground_ball,0,2,2023,1.04,-0.66,0.43,2.0,,,642350.0,1,8,Bot,108.31,176.45,,,672386,,,4.625584547905667,-118.93030911896716,0.7434270031216077,8.931712479492123,23.48362863420004,-38.7581520531729,3.33,1.56,1.0,83.8,-57.0,81.2,2767,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.53,0.271,0.247,0.0,1.0,0.0,0.0,2.0,68,5,Curveball,6,3,6,3,3,6,6,3,Standard,Standard,79,-0.002,-0.281
FF,2023-05-24,95.3,-2.42,5.08,"Margot, Manuel",622534,554340,,foul,,,,,12,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,S,,,0,2,2023,-0.94,1.24,0.12,3.73,,,642350.0,1,8,Bot,,,,,672386,,,8.708628322612071,-138.4953998563075,-0.6335058856306567,-14.08705468265004,33.85946145290357,-16.360730516462343,3.33,1.56,247.0,82.7,46.0,94.4,2376,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.48,,,,,,,,68,4,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,230,0.0,0.0
FF,2023-05-24,96.8,-2.47,5.07,"Margot, Manuel",622534,554340,,foul,,,,,5,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,S,,,0,2,2023,-1.08,1.22,-0.24,2.52,,,642350.0,1,8,Bot,,,,,672386,,,8.36991334960647,-140.6461934269518,-4.014149279404878,-16.260024475955625,31.86515743308547,-15.279224636463224,3.33,1.56,185.0,68.1,35.0,96.3,2442,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.44,,,,,,,,68,3,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,231,0.0,0.0
FF,2023-05-24,100.3,-0.54,5.75,"Margot, Manuel",622534,663878,single,hit_into_play,,,,,8,"Manuel Margot singles on a sharp ground ball to third baseman Matt Chapman, deflected by pitcher Nate Pearson.",R,R,R,TB,TOR,X,1.0,ground_ball,2,2,2023,-0.68,1.54,0.03,1.99,,,,2,6,Bot,127.67,179.48,,,672386,,,3.2241976379885013,-145.85429402315543,-8.731196144622276,-10.47095983794194,34.66552583622506,-8.292940279940105,3.33,1.56,36.0,108.7,-1.0,100.9,2394,6.7,718044,663878,672386,665489,676391,656305,666182,593160,662139,664770,53.8,0.494,0.451,0.9,1.0,1.0,0.0,4.0,49,9,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,211,0.002,0.149
