pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,91.2,-0.87,5.23,"Canha, Mark",592192,573186,walk,ball,,,,,11,Mark Canha walks.,R,R,R,CHC,NYM,B,,,3,1,2023,-0.84,0.24,-1.21,3.03,516782.0,,,1,8,Top,,,,,571466,,,0.95120613831858,-132.96019159372594,-0.2446711634886088,-10.26275521775385,24.876197194666062,-29.449368015650503,3.2,1.51,,,,90.8,2309.0,5.6,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.86,,,0.7,1.0,0.0,0.0,,61,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,202.0,-0.048,0.184
SV,2023-05-24,86.6,-0.92,5.25,"Canha, Mark",592192,573186,,blocked_ball,,,,,14,Mark Canha walks.,R,R,R,CHC,NYM,B,,,2,1,2023,1.23,-0.25,1.32,-0.09,516782.0,,,1,8,Top,,,,,571466,,,2.808816015231027,-125.9922445142234,-5.887544611775245,12.290911521232433,29.31180511498641,-33.70879701014087,3.2,1.51,,,,85.3,2853.0,5.8,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.72,,,,,,,,61,4,Slurve,4,2,2,4,2,4,2,4,Standard,Standard,52.0,0.0,0.211
SI,2023-05-24,91.9,-0.88,5.22,"Canha, Mark",592192,573186,,ball,,,,,13,Mark Canha walks.,R,R,R,CHC,NYM,B,,,1,1,2023,-0.74,0.06,-1.09,1.91,516782.0,,,1,8,Top,,,,,571466,,,1.0653988818310964,-133.96614019020524,-2.701120111300117,-9.16296041843282,28.21413572944058,-31.11454711867592,3.31,1.51,,,,91.4,2379.0,5.8,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.7,,,,,,,,61,3,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,210.0,0.0,0.001
SI,2023-05-24,91.9,-0.92,5.21,"Canha, Mark",592192,573186,,ball,,,,,13,Mark Canha walks.,R,R,R,CHC,NYM,B,,,0,1,2023,-0.7,0.01,-0.38,0.74,516782.0,,,1,8,Top,,,,,571466,,,2.880784719291444,-133.78336613027244,-5.493077651563567,-9.041690948797378,27.459041859985657,-31.15603808978396,3.24,1.51,,,,91.6,2345.0,6.0,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.53,,,,,,,,61,2,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,204.0,0.0,-0.008
SI,2023-05-24,92.7,-0.88,5.26,"Canha, Mark",592192,573186,,called_strike,,,,,13,Mark Canha walks.,R,R,R,CHC,NYM,S,,,0,0,2023,-1.18,0.19,-0.94,2.23,516782.0,,,1,8,Top,,,,,571466,,,2.409182539845817,-135.15139936516405,-2.436717523342999,-15.092785345505687,26.867857751874077,-29.47939889420451,3.33,1.6,,,,92.5,2425.0,5.9,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.62,,,,,,,,61,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,208.0,0.0,-0.091
SI,2023-05-24,91.7,-0.85,5.29,"Canha, Mark",592192,573186,field_out,hit_into_play,,,,,8,"Mark Canha grounds out, third baseman Miles Mastrobuoni to first baseman Matt Mervis.",R,R,R,CHC,NYM,X,5.0,ground_ball,2,1,2023,-0.93,-0.05,0.19,1.64,,,,2,5,Top,104.12,165.96,,,571466,,,4.5769250361659095,-133.57111909181697,-3.281619782921648,-12.08649856657687,27.426183516290592,-32.33378565470468,3.27,1.51,3.0,96.4,-31.0,91.1,2192.0,5.8,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.72,0.066,0.059,0.0,1.0,0.0,0.0,2.0,38,4,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,205.0,0.014,-0.121
SI,2023-05-24,90.6,-0.95,5.22,"Canha, Mark",592192,573186,,ball,,,,,13,"Mark Canha grounds out, third baseman Miles Mastrobuoni to first baseman Matt Mervis.",R,R,R,CHC,NYM,B,,,1,1,2023,-0.71,0.09,-0.37,1.28,,,,2,5,Top,,,,,571466,,,2.9364595973983114,-132.03137061476588,-4.174432761513875,-8.984960571651323,24.4867309990718,-30.499722341684905,3.22,1.51,,,,90.6,2317.0,5.9,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.61,,,,,,,,38,3,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,202.0,0.0,0.023
SV,2023-05-24,84.2,-0.75,5.36,"Canha, Mark",592192,573186,,ball,,,,,14,"Mark Canha grounds out, third baseman Miles Mastrobuoni to first baseman Matt Mervis.",R,R,R,CHC,NYM,B,,,0,1,2023,1.7,-0.31,1.71,1.82,,,,2,5,Top,,,,,571466,,,2.312355622233735,-122.57072191857904,-1.1713232584257802,16.526514400839705,26.327905486488813,-35.2285807612131,3.24,1.47,,,,83.3,2771.0,5.9,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.62,,,,,,,,38,2,Slurve,3,2,2,3,2,3,2,3,Standard,Standard,58.0,0.0,0.015
SV,2023-05-24,83.4,-0.98,5.31,"Canha, Mark",592192,573186,,called_strike,,,,,6,"Mark Canha grounds out, third baseman Miles Mastrobuoni to first baseman Matt Mervis.",R,R,R,CHC,NYM,S,,,0,0,2023,1.58,-0.17,0.32,2.34,,,,2,5,Top,,,,,571466,,,-0.1193345212051848,-121.45034079788891,-0.0228958951054847,15.533937242863889,25.85854534955417,-34.03074871104424,3.22,1.51,,,,82.0,2789.0,5.5,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,55.02,,,,,,,,38,1,Slurve,3,2,2,3,2,3,2,3,Standard,Standard,54.0,0.0,-0.021
SI,2023-05-24,92.0,-0.75,5.27,"Canha, Mark",592192,573186,single,hit_into_play,,,,,14,Mark Canha singles on a ground ball to right fielder Seiya Suzuki.,R,R,R,CHC,NYM,X,9.0,ground_ball,2,2,2023,-0.8,0.45,0.87,1.57,,,,1,3,Top,168.93,123.56,,,571466,,,5.79645808689078,-133.93675573081322,-4.581213288601225,-10.755491853523932,24.284651780035787,-26.069547827133714,3.27,1.51,95.0,81.7,6.0,92.1,2279.0,6.0,718038,573186,571466,670223,663538,670156,621020,664023,643565,673548,54.55,0.34,0.306,0.9,1.0,1.0,0.0,2.0,17,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,211.0,-0.028,0.292
