pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-23,92.2,1.77,6.37,"Vientos, Mark",668901,592767,strikeout,foul_tip,,,,,1,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,2.0,,3,2,2023,0.56,1.44,-0.49,3.37,,,,1,4,Top,,,,,543228,,,-6.91074515346821,-134.09242508452436,-4.869274859967599,8.266491767781849,29.10096427051912,-13.95706009683127,3.64,1.69,,,,91.3,2026,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.71,,,0.0,1.0,0.0,0.0,,28,6,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,139,0.015,-0.211
KC,2023-05-23,78.7,2.02,6.33,"Vientos, Mark",668901,592767,,ball,,,,,14,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,B,,,2,2,2023,0.4,-0.13,0.55,0.74,,,,1,4,Top,,,,,543228,,,-3.882444047683786,-114.54458147604544,-5.061220556944123,4.175407473219222,19.52821105020132,-32.62156166741629,3.56,1.65,,,,78.1,1891,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.84,,,,,,,,28,5,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,25,0.0,0.06
KC,2023-05-23,79.5,2.01,6.43,"Vientos, Mark",668901,592767,,ball,,,,,14,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,B,,,1,2,2023,0.5,0.0,0.18,1.45,,,,1,4,Top,,,,,543228,,,-4.883309256690142,-115.72972268844258,-4.133784252317362,5.355094415711165,21.367646461877044,-31.583546893161063,3.56,1.61,,,,78.7,1748,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.85,,,,,,,,28,4,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,23,0.0,0.03
KC,2023-05-23,79.3,1.96,6.38,"Vientos, Mark",668901,592767,,ball,,,,,14,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,B,,,0,2,2023,0.19,-0.01,0.01,0.14,,,,1,4,Top,,,,,543228,,,-4.571922739787884,-115.36027564368592,-6.81816925178879,2.516878955702609,19.83514720545701,-31.31446678467132,3.58,1.69,,,,78.6,1786,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.83,,,,,,,,28,3,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,33,0.0,0.014
KC,2023-05-23,79.0,1.95,6.37,"Vientos, Mark",668901,592767,,swinging_strike,,,,,13,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,,,0,1,2023,0.54,-0.04,-0.14,0.51,,,,1,4,Top,,,,,543228,,,-5.515182404492001,-114.91175895111932,-5.848761466690791,5.802378101716413,20.301935536504025,-31.716219515898228,3.64,1.69,,,,78.4,2033,5.8,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.72,,,,,,,,28,2,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,26,0.0,-0.036
KC,2023-05-23,77.6,2.07,6.41,"Vientos, Mark",668901,592767,,called_strike,,,,,12,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,,,0,0,2023,0.18,0.06,0.91,3.01,,,,1,4,Top,,,,,543228,,,-2.7943648509972725,-112.98532287654297,-0.5068629685562427,2.059986354206541,20.12712280050044,-31.76985598379009,3.49,1.61,,,,76.8,2043,5.6,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.9,,,,,,,,28,1,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,9,0.0,-0.028
KC,2023-05-23,79.8,1.95,6.44,"Vientos, Mark",668901,592767,strikeout,foul_tip,,,,,8,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,2.0,,2,2,2023,0.26,-0.23,0.18,2.18,,607043.0,624413.0,2,1,Top,,,,,543228,,,-4.335272028985525,-116.18947900283078,-2.268225777435622,3.0916189722200342,19.444628832013628,-34.076176869858806,3.64,1.69,,,,79.3,2110,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.84,,,0.0,1.0,0.0,0.0,,5,6,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,6,0.042,-0.364
KC,2023-05-23,80.2,2.06,6.42,"Vientos, Mark",668901,592767,,foul,,,,,6,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,,,2,2,2023,0.34,0.01,0.64,2.58,,607043.0,624413.0,2,1,Top,,,,,543228,,,-3.74586385190473,-116.75275457376796,-1.844606410914706,3.8029709561822056,20.852415487491484,-31.95246176134337,3.64,1.69,,,,79.5,2062,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.8,,,,,,,,5,5,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,1,0.0,0.0
KC,2023-05-23,79.8,2.1,6.36,"Vientos, Mark",668901,592767,,blocked_ball,,,,,14,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,B,,,1,2,2023,0.4,-0.12,0.21,-0.32,,607043.0,624413.0,2,1,Top,,,,,543228,,,-4.853979099283384,-116.05798072843432,-7.714151474977434,4.509844058332345,19.85546075279354,-32.140623724965806,3.63,1.61,,,,79.2,2214,5.7,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.82,,,,,,,,5,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,25,0.0,0.051
KC,2023-05-23,80.0,2.08,6.37,"Vientos, Mark",668901,592767,,swinging_strike,,,,,12,Mark Vientos strikes out on a foul tip.,R,R,L,CHC,NYM,S,,,1,1,2023,0.38,-0.21,1.15,3.01,,607043.0,624413.0,2,1,Top,,,,,543228,,,-2.740236062240048,-116.56840430373728,-0.4058741966239948,3.994709419973848,19.73201788828345,-34.20728102091226,3.64,1.69,,,,79.4,2109,5.6,718055,592767,543228,670223,663538,621550,621020,664023,643565,673548,54.9,,,,,,,,5,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,10,0.0,-0.14
