pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FO,2023-05-24,82.7,-1.87,5.87,"Mervis, Matt",670223,673540,strikeout,swinging_strike_blocked,,,,,13,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,2.0,,2,2,2023,-0.72,0.49,-0.13,0.76,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.374831033303179,-120.30523829289255,-6.143827800034622,-7.987702960122981,23.225791023700776,-26.4172174164416,3.53,1.66,,,,83.1,1002.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.97,,,0.0,1.0,0.0,0.0,,43,5,Forkball,3,2,3,2,2,3,3,2,Strategic,Standard,236.0,-0.041,-0.364
FF,2023-05-24,94.7,-2.0,5.79,"Mervis, Matt",670223,673540,,ball,,,,,11,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,B,,,1,2,2023,-0.5,1.23,-0.15,4.51,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.984277657600068,-137.86948809120736,-0.4249677722670718,-7.724523054483102,31.533869964368584,-16.592884941791286,3.46,1.66,,,,95.1,2190.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.93,,,,,,,,43,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,215.0,0.0,0.051
FF,2023-05-24,94.8,-2.06,5.81,"Mervis, Matt",670223,673540,,foul_tip,,,,,11,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,,,1,1,2023,-0.5,1.26,-0.14,3.86,,664023.0,666624.0,2,5,Bot,,,,,682626,,,6.154146761644615,-137.89900945058167,-2.2089922300383176,-7.780756515214603,32.13768821704469,-15.888728110264331,3.53,1.66,,,,94.9,2204.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.04,,,,,,,,43,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,222.0,0.0,-0.14
CU,2023-05-24,73.3,-1.69,5.85,"Mervis, Matt",670223,673540,,ball,,,,,14,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,B,,,0,1,2023,0.42,-0.99,0.91,1.06,,664023.0,666624.0,2,5,Bot,,,,,682626,,,4.527664217832805,-106.69808992724688,-0.7055969024808437,2.4807578658612828,16.761242879115443,-39.9069839797214,3.44,1.66,,,,73.7,2501.0,6.4,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.14,,,,,,,,43,2,Curveball,3,2,3,2,2,3,3,2,Strategic,Standard,27.0,0.0,0.068
FF,2023-05-24,94.1,-1.93,5.92,"Mervis, Matt",670223,673540,,foul,,,,,1,Matt Mervis strikes out swinging.,R,L,R,CHC,NYM,S,,,0,0,2023,-0.67,1.55,-0.42,3.49,,664023.0,666624.0,2,5,Bot,,,,,682626,,,5.390945647715011,-136.798939679882,-3.902196328602432,-9.664267876484164,35.85300905396463,-12.258484917817164,3.53,1.66,244.0,73.6,46.0,93.4,2111.0,6.3,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.16,,,,,,,,43,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,224.0,0.0,-0.086
FF,2023-05-24,95.2,-1.78,5.88,"Mervis, Matt",670223,673540,walk,blocked_ball,,,,,14,Matt Mervis walks.,R,L,R,CHC,NYM,B,,,3,2,2023,-0.83,1.36,0.67,0.5,,,,0,4,Bot,,,,,682626,,,8.32391572631305,-137.9384160466041,-11.487860047829528,-12.550402968109282,31.897269798922625,-12.279003688132232,3.47,1.7,,,,95.2,2123.0,6.6,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.89,,,0.7,1.0,0.0,0.0,,31,8,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,212.0,0.033,0.317
FF,2023-05-24,95.5,-1.87,5.88,"Mervis, Matt",670223,673540,,foul,,,,,2,Matt Mervis walks.,R,L,R,CHC,NYM,S,,,3,2,2023,-0.29,1.36,0.19,3.05,,,,0,4,Bot,,,,,682626,,,6.083967557750934,-138.8442325432448,-4.877414934743311,-5.095761412582597,32.15199582511677,-13.676311260480023,3.53,1.66,216.0,67.7,47.0,95.7,2109.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,53.98,,,,,,,,31,7,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,207.0,0.0,0.0
FF,2023-05-24,95.1,-1.91,5.88,"Mervis, Matt",670223,673540,,foul,,,,,1,Matt Mervis walks.,R,L,R,CHC,NYM,S,,,3,2,2023,-0.33,1.52,-0.35,2.98,,,,0,4,Bot,,,,,682626,,,4.846572040459267,-138.3337043966668,-5.364137214101394,-5.327311878863421,30.910585482695964,-11.716888451987048,3.53,1.66,198.0,68.6,48.0,95.4,2336.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.01,,,,,,,,31,6,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,206.0,0.0,0.0
FC,2023-05-24,90.3,-1.79,5.91,"Mervis, Matt",670223,673540,,foul,,,,,5,Matt Mervis walks.,R,L,R,CHC,NYM,S,,,3,1,2023,0.09,0.84,0.07,2.78,,,,0,4,Bot,,,,,682626,,,4.47913413076237,-131.59852480341635,-3.706735215192645,0.2019614319290671,25.602046606338423,-21.7640989921836,3.53,1.66,68.0,76.2,79.0,91.1,2377.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.0,,,,,,,,31,5,Cutter,3,2,3,2,2,3,3,2,Strategic,Standard,184.0,0.0,-0.087
FF,2023-05-24,94.6,-1.77,5.91,"Mervis, Matt",670223,673540,,called_strike,,,,,8,Matt Mervis walks.,R,L,R,CHC,NYM,S,,,3,0,2023,-0.65,1.29,-0.27,2.07,,,,0,4,Bot,,,,,682626,,,5.366844361606565,-137.55418352728313,-7.260316509049115,-9.41895868898139,28.915942996798613,-14.408752848081658,3.47,1.68,,,,95.1,2192.0,6.5,718038,673540,682626,624413,643446,683146,596019,592192,607043,516782,54.03,,,,,,,,31,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,212.0,0.0,-0.077
