pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-12,89.8,-1.45,6.15,"Kepler, Max",596146,640470,field_out,hit_into_play,,,,,5,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,X,8.0,fly_ball,3,2,2023,0.25,1.09,-0.06,2.32,,,,0,7,Bot,135.86,75.41,,,543228,,,2.894237878045149,-130.66395982718456,-5.806635961750052,2.1990901978982813,28.098379778078524,-18.632719716796704,3.46,1.72,309.0,82.4,32.0,89.7,2551.0,6.3,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.24,0.04,0.058,0.0,1.0,0.0,0.0,3.0,55,6,Cutter,2,3,2,3,3,2,2,3,Strategic,Standard,189.0,-0.049,-0.314
FF,2023-05-12,96.2,-1.16,6.21,"Kepler, Max",596146,640470,,ball,,,,,12,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,B,,,2,2,2023,-0.71,1.53,1.27,3.48,,,,0,7,Bot,,,,,543228,,,8.073619233318649,-139.8243450797531,-5.113090666099159,-11.113871832480108,31.477359700999404,-11.134761530920434,3.46,1.75,,,,96.5,2396.0,6.5,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.0,,,,,,,,55,5,4-Seam Fastball,2,3,2,3,3,2,2,3,Strategic,Standard,220.0,0.0,0.108
FF,2023-05-12,96.1,-1.28,6.28,"Kepler, Max",596146,640470,,swinging_strike,,,,,11,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,S,,,2,1,2023,-0.76,1.44,-0.02,3.63,,,,0,7,Bot,,,,,543228,,,5.034528087741041,-139.90613009020277,-4.750251913200659,-11.011351805032586,28.012606300503062,-12.261393051851734,3.46,1.72,,,,96.7,2319.0,6.4,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.13,,,,,,,,55,4,4-Seam Fastball,2,3,2,3,3,2,2,3,Strategic,Standard,221.0,0.0,-0.073
FF,2023-05-12,95.8,-1.27,6.21,"Kepler, Max",596146,640470,,ball,,,,,14,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,B,,,1,1,2023,-0.74,1.23,0.89,2.45,,,,0,7,Bot,,,,,543228,,,7.384707078458665,-139.27068625905528,-7.116953217598012,-11.29676142123632,29.8527500878069,-14.762595395906976,3.4,1.66,,,,96.1,2360.0,6.4,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.09,,,,,,,,55,3,4-Seam Fastball,2,3,2,3,3,2,2,3,Strategic,Standard,222.0,0.0,0.05
FC,2023-05-12,91.7,-1.32,6.16,"Kepler, Max",596146,640470,,swinging_strike,,,,,14,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,S,,,1,0,2023,0.31,0.56,0.5,1.25,,,,0,7,Bot,,,,,543228,,,3.9188908847388175,-133.4267546041417,-7.833943698522929,3.0112628723822485,25.567360923891584,-24.109984958486205,3.46,1.72,,,,92.3,2243.0,6.4,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.12,,,,,,,,55,2,Cutter,2,3,2,3,3,2,2,3,Strategic,Standard,185.0,0.0,-0.046
FF,2023-05-12,95.8,-1.42,6.26,"Kepler, Max",596146,640470,,ball,,,,,11,Max Kepler flies out to center fielder Cody Bellinger.,R,L,R,MIN,CHC,B,,,0,0,2023,-0.73,1.53,-1.31,3.47,,,,0,7,Bot,,,,,543228,,,1.9259323992407087,-139.42905310861002,-5.212438788365223,-9.979723029297071,30.71329730358421,-11.271867677972844,3.49,1.66,,,,95.9,2342.0,6.3,718209,640470,543228,670223,666624,621550,621020,664023,641355,673548,54.23,,,,,,,,55,1,4-Seam Fastball,2,3,2,3,3,2,2,3,Strategic,Standard,224.0,0.0,0.039
SL,2023-05-11,81.8,-2.11,5.62,"Kepler, Max",596146,506433,field_out,hit_into_play,,,,,9,Max Kepler flies out to right fielder Fernando Tatis Jr.,R,L,R,MIN,SD,X,9.0,fly_ball,1,2,2023,0.89,-1.19,0.53,1.6,,,,1,5,Bot,201.7,115.98,,,543592,,,4.267573858224281,-119.14315464990048,-0.209796666129425,7.631766537433622,22.637571946380888,-43.67658865215195,3.46,1.72,280.0,89.9,45.0,82.3,2984.0,6.6,718216,506433,543592,630105,596059,673490,593428,665742,663757,665487,53.94,0.009,0.012,0.0,1.0,0.0,0.0,3.0,41,4,Slider,2,3,2,3,3,2,2,3,Strategic,Standard,36.0,-0.024,-0.121
FC,2023-05-11,91.2,-2.35,5.53,"Kepler, Max",596146,506433,,foul_tip,,,,,5,Max Kepler flies out to right fielder Fernando Tatis Jr.,R,L,R,MIN,SD,S,,,1,1,2023,0.13,0.63,-0.04,2.64,,,,1,5,Bot,,,,,543592,,,5.556424231991629,-132.78138911661128,-2.8084988236997117,0.4711473874466776,26.278894798624584,-24.28301211367584,3.46,1.72,,,,92.0,2599.0,6.6,718216,506433,543592,630105,596059,673490,593428,665742,663757,665487,53.92,,,,,,,,41,3,Cutter,2,3,2,3,3,2,2,3,Strategic,Standard,185.0,0.0,-0.044
FS,2023-05-11,89.1,-2.05,5.72,"Kepler, Max",596146,506433,,ball,,,,,13,Max Kepler flies out to right fielder Fernando Tatis Jr.,R,L,R,MIN,SD,B,,,0,1,2023,-0.91,0.51,-0.27,-0.03,,,,1,5,Bot,,,,,543592,,,6.304996083460299,-129.44505191038365,-9.256202591762204,-11.439239194983276,24.193126252964635,-24.83005002069597,3.63,1.77,,,,90.1,1314.0,6.8,718216,506433,543592,630105,596059,673490,593428,665742,663757,665487,53.75,,,,,,,,41,2,Split-Finger,2,3,2,3,3,2,2,3,Standard,Standard,211.0,0.0,0.021
FC,2023-05-11,89.9,-2.23,5.51,"Kepler, Max",596146,506433,,called_strike,,,,,5,Max Kepler flies out to right fielder Fernando Tatis Jr.,R,L,R,MIN,SD,S,,,0,0,2023,0.32,0.88,0.26,2.62,,,,1,5,Bot,,,,,543592,,,5.5296795959282194,-130.98421350082728,-3.137673562369931,2.644400033696768,25.303692726877937,-21.53882368098709,3.69,1.77,,,,90.9,2613.0,6.6,718216,506433,543592,630105,596059,673490,593428,665742,663757,665487,53.87,,,,,,,,41,1,Cutter,2,3,2,3,3,2,2,3,Strategic,Standard,187.0,0.0,-0.028
