pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,82.7,-1.08,6.62,"Muncy, Max",571970,693821,strikeout,swinging_strike,,,,,14,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,0,2,2023,0.09,-0.19,0.7,1.02,,,,2,5,Top,,,,,518595,,,3.8727248092965687,-120.404424411853,-5.922605509583173,0.1255819759311528,23.53594326495698,-33.03791769778122,3.06,1.52,,,,82.8,2236.0,6.3,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.15,,,0.0,1.0,0.0,0.0,,35,3,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,352.0,0.014,-0.058
SL,2023-05-24,83.0,-1.07,6.59,"Muncy, Max",571970,693821,,swinging_strike,,,,,14,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,0,1,2023,0.17,0.07,0.91,0.61,,,,2,5,Top,,,,,518595,,,4.1787820464803405,-120.6606696176207,-7.274142368422068,0.7504987740508027,25.365507526754847,-30.15476442152977,3.06,1.52,,,,82.7,2417.0,6.3,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.21,,,,,,,,35,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,335.0,0.0,-0.025
SL,2023-05-24,81.8,-1.08,6.6,"Muncy, Max",571970,693821,,swinging_strike,,,,,14,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,0,0,2023,0.16,-0.11,0.67,1.15,,,,2,5,Top,,,,,518595,,,3.603638428697734,-118.98598334462024,-5.429671274301217,0.8007027938869106,24.368053534530684,-32.3621609207456,3.06,1.52,,,,81.0,2391.0,5.9,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.57,,,,,,,,35,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,32.0,0.0,-0.021
FF,2023-05-24,90.9,-0.99,6.62,"Muncy, Max",571970,693821,field_out,hit_into_play,,,,,12,Max Muncy pops out to third baseman Austin Riley.,R,L,R,ATL,LAD,X,5.0,popup,1,1,2023,-0.16,1.44,0.97,2.58,,,669257.0,1,3,Top,114.83,163.54,,,518595,,,5.238430794306404,-132.23032768742468,-7.288976591366917,-2.97034110244854,26.661900066240328,-13.935500379674735,3.06,1.52,100.0,45.6,56.0,90.7,2228.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.43,0.02,0.018,0.0,1.0,0.0,0.0,1.0,19,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,0.031,-0.283
FF,2023-05-24,91.1,-1.06,6.55,"Muncy, Max",571970,693821,,called_strike,,,,,8,Max Muncy pops out to third baseman Austin Riley.,R,L,R,ATL,LAD,S,,,1,0,2023,-0.38,1.3,0.09,1.81,,,669257.0,1,3,Top,,,,,518595,,,3.681997370422678,-132.43667350857257,-8.756021876950408,-5.273220541310108,27.38133124565756,-15.2443518980658,3.06,1.52,,,,90.8,2191.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.39,,,,,,,,19,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,-0.074
FF,2023-05-24,91.5,-1.14,6.61,"Muncy, Max",571970,693821,,ball,,,,,7,Max Muncy pops out to third baseman Austin Riley.,R,L,R,ATL,LAD,B,,,0,0,2023,-0.39,1.42,-0.74,1.74,,,669257.0,1,3,Top,,,,,518595,,,1.830275042452757,-133.10399067762722,-9.458219707375694,-4.986696991920224,27.245334510340435,-13.540237819482774,3.06,1.52,,,,91.4,2190.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.38,,,,,,,,19,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,0.046
CH,2023-05-24,88.8,-2.02,5.47,"Muncy, Max",571970,628452,field_out,hit_into_play,,,,,11,Max Muncy pops out to shortstop Orlando Arcia.,R,L,R,ATL,LAD,X,6.0,popup,1,0,2023,-1.13,0.64,-0.83,3.06,518692.0,,669257.0,2,9,Top,77.75,142.34,,,518595,,,5.2675826903745655,-129.1938079144365,-1.1998787782006834,-13.709638272248894,26.7333020286763,-24.92757324791125,3.06,1.52,191.0,87.3,61.0,88.8,2108.0,6.3,718042,628452,518595,621566,645277,663586,606115,592696,671739,660670,54.19,0.02,0.02,0.0,1.0,0.0,0.0,3.0,69,2,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,242.0,0.135,-0.627
CH,2023-05-24,89.9,-1.96,5.44,"Muncy, Max",571970,628452,,blocked_ball,,,,,14,Max Muncy pops out to shortstop Orlando Arcia.,R,L,R,ATL,LAD,B,,,0,0,2023,-1.31,0.31,0.82,0.67,518692.0,,669257.0,2,9,Top,,,,,518595,,,9.650061179590727,-130.57634381006645,-6.531101520853503,-16.919766550810234,25.492417337655557,-27.40052889877826,3.06,1.52,,,,90.1,1912.0,6.3,718042,628452,518595,621566,645277,663586,606115,592696,671739,660670,54.18,,,,,,,,69,1,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,244.0,0.0,0.07
FF,2023-05-24,92.2,-0.94,6.56,"Muncy, Max",571970,693821,strikeout,swinging_strike,,,,,5,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,3,2,2023,-0.1,1.12,0.22,2.45,605141.0,,669257.0,1,1,Top,,,,,518595,,,3.167109457772106,-134.2737407654124,-7.1462217223063815,-1.851525880848688,24.19895894818029,-17.365367987316755,3.06,1.52,,,,92.6,2118.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.39,,,0.0,1.0,0.0,0.0,,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.064,-0.641
FF,2023-05-24,91.2,-0.98,6.59,"Muncy, Max",571970,693821,,called_strike,,,,,8,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,3,1,2023,-0.09,0.88,0.07,1.75,605141.0,,669257.0,1,1,Top,,,,,518595,,,2.817119485123285,-132.7214220739224,-8.217161092785231,-1.6407657444846628,24.50161047081489,-20.27423035231245,3.06,1.52,,,,91.4,2043.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.43,,,,,,,,4,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,-0.293
SL,2023-05-24,83.3,-0.93,6.61,"Muncy, Max",571970,693821,,ball,,,,,14,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,B,,,2,1,2023,0.06,-0.01,0.94,1.56,605141.0,,669257.0,1,1,Top,,,,,518595,,,4.176627231127507,-121.21534366275232,-5.094182064626303,-0.2978558153279443,24.63098289507263,-31.45730343023848,3.06,1.52,,,,83.0,2391.0,6.2,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.32,,,,,,,,4,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,358.0,0.0,0.213
CH,2023-05-24,85.8,-1.12,6.58,"Muncy, Max",571970,693821,,blocked_ball,,,,,13,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,B,,,1,1,2023,-1.02,0.26,-0.38,0.22,605141.0,,669257.0,1,1,Top,,,,,518595,,,3.766978893925914,-124.72466031827432,-9.31386381731302,-11.3683534007816,22.547235921804067,-27.883557336875217,3.06,1.52,,,,85.6,2195.0,6.0,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.5,,,,,,,,4,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,0.096
CH,2023-05-24,84.7,-1.09,6.6,"Muncy, Max",571970,693821,,called_strike,,,,,13,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,1,0,2023,-0.94,0.77,-0.63,1.34,605141.0,,669257.0,1,1,Top,,,,,518595,,,2.929702862379005,-123.22113533856606,-7.493190753003998,-10.2254640534531,21.558160387091323,-23.11600432424941,3.06,1.52,,,,84.5,1921.0,5.9,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.59,,,,,,,,4,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.0,-0.078
SL,2023-05-24,83.9,-1.19,6.6,"Muncy, Max",571970,693821,,blocked_ball,,,,,13,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,B,,,0,0,2023,-0.19,0.02,-0.38,0.15,605141.0,,669257.0,1,1,Top,,,,,518595,,,2.226525772610397,-121.93766493412544,-8.4568563046505,-2.340124352322415,25.42968794412633,-30.44351009473844,3.06,1.52,,,,83.4,2163.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.35,,,,,,,,4,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,330.0,0.0,0.051
CU,2023-05-24,82.3,-0.72,6.67,"Muncy, Max",571970,623433,strikeout,swinging_strike,,,,,13,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,1,2,2023,0.26,-0.21,-0.48,1.28,,,669257.0,0,8,Top,,,,,518595,,,0.0329761767639158,-119.78671450539296,-5.2504582236691775,2.445518676417559,23.99586916508775,-33.38510540889278,3.06,1.52,,,,81.7,1936.0,6.0,718042,623433,518595,621566,645277,663586,606115,592696,671739,660670,54.52,,,0.0,1.0,0.0,0.0,,57,4,Curveball,3,1,1,3,1,3,1,3,Strategic,Standard,89.0,0.058,-0.256
CU,2023-05-24,83.0,-0.66,6.65,"Muncy, Max",571970,623433,,blocked_ball,,,,,13,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,B,,,0,2,2023,0.07,0.08,-0.05,0.07,,,669257.0,0,8,Top,,,,,518595,,,1.2583825597405984,-120.63392463715957,-8.621843356994487,0.4324295933843672,25.49250807307749,-29.84041044705014,3.06,1.52,,,,82.2,1943.0,6.0,718042,623433,518595,621566,645277,663586,606115,592696,671739,660670,54.48,,,,,,,,57,3,Curveball,3,1,1,3,1,3,1,3,Strategic,Standard,90.0,0.0,0.008
CU,2023-05-24,80.4,-0.69,6.77,"Muncy, Max",571970,623433,,called_strike,,,,,1,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,0,1,2023,0.3,-0.06,-0.5,2.92,,,669257.0,0,8,Top,,,,,518595,,,-0.1578607107025248,-117.06931667576266,-1.6527844081667875,2.789794141846495,25.033207286967556,-32.56821633744196,3.06,1.52,,,,79.5,1802.0,5.9,718042,623433,518595,621566,645277,663586,606115,592696,671739,660670,54.6,,,,,,,,57,2,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,77.0,0.0,-0.057
CU,2023-05-24,81.0,-0.73,6.69,"Muncy, Max",571970,623433,,called_strike,,,,,11,Max Muncy strikes out swinging.,R,L,R,ATL,LAD,S,,,0,0,2023,0.08,0.21,-0.09,3.35,,,669257.0,0,8,Top,,,,,518595,,,1.2760991287005257,-118.00895870242812,-1.258896374053722,0.499333780236449,21.301037425873663,-30.214350358622404,3.06,1.52,,,,80.7,1824.0,5.9,718042,623433,518595,621566,645277,663586,606115,592696,671739,660670,54.58,,,,,,,,57,1,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,81.0,0.0,-0.05
FF,2023-05-23,96.7,-2.22,6.0,"Muncy, Max",571970,675911,field_out,hit_into_play,,,,,4,Max Muncy flies out to center fielder Sam Hilliard.,R,L,R,ATL,LAD,X,8.0,fly_ball,2,0,2023,-0.5,1.57,-0.33,2.49,,,,1,5,Top,119.0,47.58,,,669221,,,6.261970063747769,-140.63217157780454,-7.500794367852832,-8.025555227571742,31.83014475393548,-9.792075141226189,3.03,1.52,374.0,99.5,37.0,98.1,2397.0,7.1,718057,675911,669221,621566,645277,663586,606115,592696,656541,660670,53.41,0.166,0.328,0.0,1.0,0.0,0.0,5.0,39,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,200.0,0.009,-0.245
FF,2023-05-23,96.9,-2.15,6.02,"Muncy, Max",571970,675911,,ball,,,,,11,Max Muncy flies out to center fielder Sam Hilliard.,R,L,R,ATL,LAD,B,,,1,0,2023,-0.54,1.66,-0.33,3.48,,,,1,5,Top,,,,,669221,,,6.168169800825089,-140.92755193846966,-5.078406003450686,-8.537549662994207,31.981798499797637,-9.14594879631715,3.05,1.5,,,,98.2,2290.0,7.0,718057,675911,669221,621566,645277,663586,606115,592696,656541,660670,53.46,,,,,,,,39,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,205.0,0.0,0.045
