pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-11,97.1,-1.73,5.72,"Viloria, Meibrys",650619,543037,grounded_into_double_play,hit_into_play,,,,,6,"Meibrys Viloria grounds into a double play, third baseman DJ LeMahieu to second baseman Gleyber Torres to first baseman Anthony Rizzo.   Oscar Gonzalez out at 2nd.    Meibrys Viloria out at 1st.",R,L,R,CLE,NYY,X,5.0,ground_ball,0,0,2023,-0.71,1.45,0.34,2.19,,,660757.0,1,7,Bot,109.03,166.62,,,624431,,,7.215027344086168,-141.09503624695574,-7.280832871858461,-11.15868987438476,31.582269750025677,-11.282965475361026,3.13,1.51,69.0,69.0,6.0,97.5,2553,6.6,718626,543037,624431,519203,650402,518934,665828,543305,592450,614173,53.92,0.206,0.186,0.0,1.0,0.0,0.0,2.0,61,1,4-Seam Fastball,2,10,2,10,10,2,2,10,Standard,Standard,216,-0.002,-0.396
CH,2023-04-09,87.6,-1.98,5.17,"Viloria, Meibrys",650619,656266,walk,ball,,,,,11,Meibrys Viloria walks.,R,L,R,CLE,SEA,B,,,3,2,2023,-1.01,0.19,-0.89,3.08,686823.0,,,2,11,Bot,,,,,663728,,,4.62340856556498,-127.5258459072761,0.6369921515192192,-11.955668773385211,25.17315253097192,-30.458740961249195,2.94,1.3,,,,86.6,1600,5.5,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,54.99,,,0.7,1.0,0.0,0.0,,91,7,Changeup,5,5,5,5,5,5,5,5,Standard,Standard,247,0.007,0.178
SL,2023-04-09,83.4,-1.86,5.36,"Viloria, Meibrys",650619,656266,,foul,,,,,4,Meibrys Viloria walks.,R,L,R,CLE,SEA,S,,,3,2,2023,0.36,-0.29,-0.67,2.18,686823.0,,,2,11,Bot,,,,,663728,,,2.0179703549542194,-121.5176089363246,-0.3408008924669186,3.139381354809036,23.623012301718557,-35.20892919048657,3.14,1.52,206.0,81.8,56.0,82.1,2385,5.3,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,55.15,,,,,,,,91,6,Slider,5,5,5,5,5,5,5,5,Standard,Strategic,85,0.0,0.0
CH,2023-04-09,87.7,-2.0,5.07,"Viloria, Meibrys",650619,656266,,ball,,,,,11,Meibrys Viloria walks.,R,L,R,CLE,SEA,B,,,2,2,2023,-1.34,0.02,-1.12,3.12,686823.0,,,2,11,Bot,,,,,663728,,,4.778824221960229,-127.69059065977144,1.3366573246169229,-15.619609304033206,26.8643988565372,-32.5013200754908,2.96,1.45,,,,86.1,1660,5.2,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,55.25,,,,,,,,91,5,Changeup,5,5,5,5,5,5,5,5,Standard,Strategic,256,0.0,0.065
CH,2023-04-09,88.2,-1.86,5.09,"Viloria, Meibrys",650619,656266,,swinging_strike,,,,,14,Meibrys Viloria walks.,R,L,R,CLE,SEA,S,,,2,1,2023,-1.17,-0.43,0.18,1.19,686823.0,,,2,11,Bot,,,,,663728,,,7.277253734742106,-128.22993563048215,-2.4599465779348533,-14.468654987249248,27.126916107403915,-36.55195869497665,3.14,1.52,,,,86.9,1636,5.6,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,54.92,,,,,,,,91,4,Changeup,5,5,5,5,5,5,5,5,Standard,Strategic,247,0.0,-0.091
SL,2023-04-09,84.2,-1.86,5.36,"Viloria, Meibrys",650619,656266,,ball,,,,,14,Meibrys Viloria walks.,R,L,R,CLE,SEA,B,,,1,1,2023,0.43,-0.04,1.5,1.3,686823.0,,,2,11,Bot,,,,,663728,,,6.808487859756439,-122.44244786416654,-2.9233548884085727,2.98616423656796,24.354524900345854,-32.17415244405747,3.01,1.45,,,,82.7,2359,5.3,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,55.19,,,,,,,,91,3,Slider,5,5,5,5,5,5,5,5,Standard,Standard,117,0.0,0.076
CH,2023-04-09,89.4,-1.83,5.1,"Viloria, Meibrys",650619,656266,,ball,,,,,14,Meibrys Viloria walks.,R,L,R,CLE,SEA,B,,,0,1,2023,-1.25,0.4,1.83,0.34,,686823.0,,2,11,Bot,,,,,663728,,,11.456233897399724,-129.48780114164023,-6.350649708011224,-16.635521784291495,31.18137220327264,-26.33017548692996,3.06,1.45,,,,87.4,1610,5.7,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,54.84,,,,,,,,91,2,Changeup,5,5,5,5,5,5,5,5,Standard,Standard,252,0.02,0.028
CH,2023-04-09,89.0,-1.9,5.1,"Viloria, Meibrys",650619,656266,,swinging_strike,,,,,7,Meibrys Viloria walks.,R,L,R,CLE,SEA,S,,,0,0,2023,-1.33,-0.61,-0.75,1.56,,686823.0,,2,11,Bot,,,,,663728,,,5.5329192378346255,-129.4491060665991,-1.255992505548565,-16.11107574900439,31.406879527212773,-38.86530391934036,3.14,1.52,,,,87.3,1593,5.6,718646,656266,663728,664034,543939,553993,641487,672284,677594,606192,54.89,,,,,,,,91,1,Changeup,5,5,5,5,5,5,5,5,Standard,Standard,258,0.0,-0.054
SI,2023-04-09,94.2,-2.47,4.92,"Viloria, Meibrys",650619,623437,field_out,hit_into_play,,,,,7,"Meibrys Viloria grounds out, shortstop J.  P. Crawford to first baseman Ty France.   Myles Straw to 3rd.",R,L,R,CLE,SEA,X,6.0,ground_ball,0,2,2023,-1.1,-0.07,-0.56,1.72,,664702.0,,0,10,Bot,117.2,166.4,,,663728,,,7.405852906041289,-137.02900362167642,-2.467706942752979,-15.450007054082516,29.024638189489565,-32.6986947294017,3.14,1.52,1.0,85.8,-63.0,94.6,2095,6.4,718646,623437,663728,664034,543939,553993,641487,672284,677594,606192,54.08,0.329,0.301,0.0,1.0,0.0,0.0,2.0,76,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,243,0.023,-0.109
SL,2023-04-09,82.8,-2.78,4.9,"Viloria, Meibrys",650619,623437,,foul,,,,,8,"Meibrys Viloria grounds out, shortstop J.  P. Crawford to first baseman Ty France.   Myles Straw to 3rd.",R,L,R,CLE,SEA,S,,,0,1,2023,1.13,0.18,-0.11,1.85,,664702.0,,0,10,Bot,,,,,663728,,,3.83462206445376,-120.49591263114652,-0.8008258353709264,10.232141043792032,24.154948987510632,-30.52702786215944,3.14,1.52,4.0,95.5,-24.0,81.4,2522,5.4,718646,623437,663728,664034,543939,553993,641487,672284,677594,606192,55.07,,,,,,,,76,2,Slider,3,3,3,3,3,3,3,3,Strategic,Standard,73,0.0,-0.086
SL,2023-04-09,82.9,-2.58,4.88,"Viloria, Meibrys",650619,623437,,foul,,,,,3,"Meibrys Viloria grounds out, shortstop J.  P. Crawford to first baseman Ty France.   Myles Straw to 3rd.",R,L,R,CLE,SEA,S,,,0,0,2023,1.31,0.15,0.59,2.95,,664702.0,,0,10,Bot,,,,,663728,,,4.64072070431015,-120.56836312140864,1.8169673761182328,11.703518426990176,25.747398200706847,-31.34780426932535,3.14,1.52,9.0,73.1,-19.0,82.1,2707,6.0,718646,623437,663728,664034,543939,553993,641487,672284,677594,606192,54.49,,,,,,,,76,1,Slider,3,3,3,3,3,3,3,3,Strategic,Standard,87,0.0,-0.088
FF,2023-04-02,91.1,-3.8,4.19,"Viloria, Meibrys",650619,623149,field_out,hit_into_play,,,,,9,"Meibrys Viloria grounds out, first baseman Ty France to pitcher Paul Sewald.",R,L,R,SEA,CLE,X,3.0,ground_ball,3,1,2023,-1.23,1.21,0.4,1.91,,,,1,9,Top,163.78,162.04,,,663728,,,13.20036530638739,-132.10229304075995,-2.4021586972042144,-17.116105505780396,26.96891034657435,-17.654506921268556,3.14,1.52,13.0,88.9,-8.0,91.4,2418,6.6,718735,623149,663728,664034,664059,553993,641487,672284,677594,669450,53.94,0.166,0.164,0.0,1.0,0.0,0.0,2.0,71,5,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,236,0.044,-0.28
FF,2023-04-02,90.8,-3.81,4.21,"Viloria, Meibrys",650619,623149,,ball,,,,,9,"Meibrys Viloria grounds out, first baseman Ty France to pitcher Paul Sewald.",R,L,R,SEA,CLE,B,,,2,1,2023,-1.09,1.27,0.73,1.89,,,,1,9,Top,,,,,663728,,,13.766926893750318,-131.4966713770278,-2.582405686823676,-15.527771934805276,27.09815904831898,-16.975706713200612,3.1,1.52,,,,91.2,2411,6.7,718735,623149,663728,664034,664059,553993,641487,672284,677594,669450,53.78,,,,,,,,71,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,249,0.0,0.079
FF,2023-04-02,90.6,-3.71,4.32,"Viloria, Meibrys",650619,623149,,ball,,,,,6,"Meibrys Viloria grounds out, first baseman Ty France to pitcher Paul Sewald.",R,L,R,SEA,CLE,B,,,1,1,2023,-1.07,1.32,0.78,2.41,,,,1,9,Top,,,,,663728,,,13.490305846432424,-131.2946125924991,-1.6395158214733592,-15.203172792387308,26.611986096144285,-16.70435534143906,3.12,1.54,,,,90.7,2383,6.5,718735,623149,663728,664034,664059,553993,641487,672284,677594,669450,54.01,,,,,,,,71,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,213,0.0,0.036
ST,2023-04-02,82.0,-3.7,4.48,"Viloria, Meibrys",650619,623149,,ball,,,,,14,"Meibrys Viloria grounds out, first baseman Ty France to pitcher Paul Sewald.",R,L,R,SEA,CLE,B,,,0,1,2023,1.02,0.83,1.73,0.97,,,,1,9,Top,,,,,663728,,,10.31079439543856,-118.99886087241607,-2.953269763500184,7.689660026341641,22.94853968670732,-23.917277647967875,3.1,1.52,,,,82.1,2374,6.5,718735,623149,663728,664034,664059,553993,641487,672284,677594,669450,54.01,,,,,,,,71,2,Sweeper,5,5,5,5,5,5,5,5,Standard,Standard,85,0.0,0.021
FF,2023-04-02,88.9,-3.72,4.28,"Viloria, Meibrys",650619,623149,,called_strike,,,,,6,"Meibrys Viloria grounds out, first baseman Ty France to pitcher Paul Sewald.",R,L,R,SEA,CLE,S,,,0,0,2023,-1.13,1.24,0.53,2.06,,,,1,9,Top,,,,,663728,,,12.803677143068496,-128.85486511722291,-1.9705509836850936,-15.243531530862994,26.026561952557945,-18.08692713226917,3.1,1.52,,,,89.0,2341,6.5,718735,623149,663728,664034,664059,553993,641487,672284,677594,669450,54.0,,,,,,,,71,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,227,0.0,-0.028
