pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-08,93.8,-2.84,4.97,"Busch, Michael",683737,642547,strikeout,swinging_strike,,,,,1,Michael Busch strikes out swinging.,R,L,R,MIL,LAD,S,2.0,,1,2,2023,-0.69,1.46,-0.58,3.43,,,,0,5,Top,,,,,661388,,,7.43055900711534,-136.48139041617813,-1.490937550877709,-10.213619656664669,30.12886611002202,-13.804391096900371,3.41,1.56,,,,94.8,2352,6.9,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.62,,,0.0,1.0,0.0,0.0,,29,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,217,0.03,-0.175
CH,2023-05-08,90.0,-2.98,4.82,"Busch, Michael",683737,642547,,ball,,,,,13,Michael Busch strikes out swinging.,R,L,R,MIL,LAD,B,,,0,2,2023,-1.13,0.4,-0.89,1.46,,,,0,5,Top,,,,,661388,,,7.641677778031804,-130.85010359830454,-3.27036838586336,-14.542593612480138,26.08512808604859,-27.058568194518976,3.01,1.51,,,,91.0,1734,6.8,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.66,,,,,,,,29,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,240,0.0,0.026
CU,2023-05-08,75.7,-2.71,5.25,"Busch, Michael",683737,642547,,called_strike,,,,,5,Michael Busch strikes out swinging.,R,L,R,MIL,LAD,S,,,0,1,2023,0.57,-0.46,-0.26,1.94,,,,0,5,Top,,,,,661388,,,4.1415886115133285,-110.12463658079564,1.0940649528670892,3.848414197992371,20.723582242961456,-36.361063302819616,3.04,1.4,,,,76.4,2203,7.0,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.53,,,,,,,,29,2,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,49,0.0,-0.049
FF,2023-05-08,94.0,-2.77,4.99,"Busch, Michael",683737,642547,,foul,,,,,1,Michael Busch strikes out swinging.,R,L,R,MIL,LAD,S,,,0,0,2023,-0.75,1.27,-0.33,3.21,,,,0,5,Top,,,,,661388,,,8.060595863044599,-136.75470252344564,-1.7273057228731388,-11.159860463119072,29.02790079525981,-16.043350247540655,3.41,1.56,291.0,87.3,39.0,95.0,2507,6.8,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.72,,,,,,,,29,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,-0.037
CU,2023-05-08,78.3,-2.58,5.16,"Busch, Michael",683737,642547,walk,ball,,,,,14,Michael Busch walks.,R,L,R,MIL,LAD,B,,,3,2,2023,0.3,-0.46,0.69,1.48,,444482.0,,2,2,Top,,,,,661388,,,6.578075943746458,-113.7808153572098,-0.1190949687666094,1.2446660587872496,22.895016099252995,-36.38879674904988,3.07,1.62,,,,78.8,2238,7.0,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.55,,,0.7,1.0,0.0,0.0,,10,7,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,51,-0.011,0.154
FF,2023-05-08,96.2,-2.77,4.96,"Busch, Michael",683737,642547,,foul,,,,,6,Michael Busch walks.,R,L,R,MIL,LAD,S,,,3,2,2023,-0.68,1.54,0.3,2.53,,444482.0,,2,2,Top,,,,,661388,,,9.815425308407256,-139.69560108464538,-4.372863424357679,-11.162995422790388,32.6451560816466,-11.215650135296434,3.41,1.56,192.0,68.4,45.0,97.3,2374,7.1,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.39,,,,,,,,10,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,0.0
FF,2023-05-08,95.2,-2.79,5.02,"Busch, Michael",683737,642547,,foul_tip,,,,,1,Michael Busch walks.,R,L,R,MIL,LAD,S,,,3,1,2023,-0.7,1.35,-0.41,3.27,,444482.0,,2,2,Top,,,,,661388,,,7.9120421995483,-138.48113151793112,-1.9907367363226032,-10.834943023668302,31.879834550519675,-14.53772897618594,3.41,1.56,,,,96.1,2443,6.9,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.6,,,,,,,,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209,0.0,-0.106
CH,2023-05-08,90.0,-2.93,4.92,"Busch, Michael",683737,642547,,ball,,,,,11,Michael Busch walks.,R,L,R,MIL,LAD,B,,,2,1,2023,-1.29,0.59,-1.0,2.67,,444482.0,,2,2,Top,,,,,661388,,,7.608376427196195,-130.9388865621292,-0.8661784816368485,-16.46378017895898,27.83387047859104,-25.39386054016256,2.98,1.45,,,,91.0,1706,6.9,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.58,,,,,,,,10,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,237,0.0,0.115
CU,2023-05-08,75.9,-2.68,5.23,"Busch, Michael",683737,642547,,blocked_ball,,,,,13,Michael Busch walks.,R,L,R,MIL,LAD,B,,,1,1,2023,0.31,-0.42,-0.35,0.54,,444482.0,,2,2,Top,,,,,661388,,,4.377053968213163,-110.43559062909344,-1.9588452792808957,1.7297904165676503,20.34419941290024,-35.47688007987914,2.92,1.31,,,,76.6,2193,6.9,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.62,,,,,,,,10,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,57,0.0,0.025
FF,2023-05-08,95.3,-2.69,5.14,"Busch, Michael",683737,642547,,foul,,,,,3,Michael Busch walks.,R,L,R,MIL,LAD,S,,,1,0,2023,-0.58,1.33,0.49,3.38,,444482.0,,2,2,Top,,,,,661388,,,9.76813997423802,-138.55045478099922,-1.9791759677596792,-9.678266134419797,31.113697260667568,-14.82439095434035,3.41,1.56,,,,96.4,2386,7.0,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.53,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,0.0,-0.062
SL,2023-05-08,82.3,-2.95,4.85,"Busch, Michael",683737,642547,,ball,,,,,14,Michael Busch walks.,R,L,R,MIL,LAD,B,,,0,0,2023,0.72,0.21,0.49,1.18,,444482.0,,2,2,Top,,,,,661388,,,6.511653518194753,-119.73956051516434,-2.246340289787016,5.718159514039842,22.877662804425796,-29.886677195209398,2.93,1.36,,,,83.7,2348,7.2,718257,642547,661388,642133,668930,605119,642715,592885,686894,621438,53.29,,,,,,,,10,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,70,0.0,0.036
SI,2023-05-08,96.3,-2.48,5.33,"Busch, Michael",683737,665625,field_out,hit_into_play,,,,,13,"Michael Busch grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,L,R,MIL,LAD,X,4.0,ground_ball,1,0,2023,-1.45,0.27,-0.52,1.3,,,,1,7,Top,145.17,152.42,,,661388,,,8.538562223766212,-139.9447816604281,-5.7745736484895005,-21.01252004432176,29.84862370146746,-27.49012454739123,3.41,1.56,3.0,69.6,-21.0,96.9,1820,6.6,718257,665625,661388,642133,668930,605119,642715,592885,686894,621438,53.91,0.046,0.041,0.0,1.0,0.0,0.0,2.0,48,2,Sinker,3,1,1,3,1,3,1,3,Strategic,Standard,246,0.023,-0.2
SI,2023-05-08,95.9,-2.34,5.42,"Busch, Michael",683737,665625,,ball,,,,,13,"Michael Busch grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,L,R,MIL,LAD,B,,,0,0,2023,-1.55,0.23,-0.98,0.65,,,,1,7,Top,,,,,661388,,,7.1439181085117225,-139.41771248243074,-7.591635288146464,-21.840841703861425,29.95064770442376,-27.711059420050944,3.02,1.42,,,,96.7,1887,6.7,718257,665625,661388,642133,668930,605119,642715,592885,686894,621438,53.8,,,,,,,,48,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,246,0.0,0.029
FF,2023-05-07,93.3,-2.21,5.83,"Busch, Michael",683737,607259,strikeout,called_strike,,,,,8,Michael Busch called out on strikes.,R,L,R,SD,LAD,S,2.0,,2,2,2023,-0.59,1.41,0.0,1.95,,669257.0,571970.0,0,8,Top,,,,,664954,,,6.914510459638751,-135.53145158186277,-7.1900346931892605,-8.924414703728525,32.399878322746034,-13.429825796736178,3.07,1.63,,,,92.1,2330,5.9,718266,607259,664954,630105,673490,592518,593428,665742,663757,665487,54.61,,,0.0,1.0,0.0,0.0,,61,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,214,0.118,-0.347
