pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-21,78.9,1.44,6.17,"Chavis, Michael",656308,666214,strikeout,swinging_strike,,,,,8,Michael Chavis strikes out swinging.,R,R,L,WSH,DET,S,2.0,,2,2,2023,-0.8,-1.05,-0.09,1.92,,642086.0,545121.0,2,1,Bot,,,,,668670,,,-1.8629512686947487,-114.97856195094305,-0.5189455743456579,-6.745955060089398,21.009892208466308,-41.58326578500798,3.42,1.57,,,,79.2,2557.0,6.4,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.12,,,0.0,1.0,0.0,0.0,,12,5,Curveball,3,0,3,0,0,3,3,0,Standard,Standard,307.0,-0.023,-0.364
FF,2023-05-21,94.2,1.36,6.4,"Chavis, Michael",656308,666214,,ball,,,,,1,Michael Chavis strikes out swinging.,R,R,L,WSH,DET,B,,,1,2,2023,0.99,1.23,-0.8,2.95,,642086.0,545121.0,2,1,Bot,,,,,668670,,,-7.814565657309416,-136.89722494598885,-5.990030249736941,14.175676592646155,29.25535018243722,-15.587177594921156,3.37,1.56,,,,94.4,2119.0,6.4,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.08,,,,,,,,12,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138.0,0.0,0.051
FF,2023-05-21,93.8,1.33,6.34,"Chavis, Michael",656308,666214,,called_strike,,,,,8,Michael Chavis strikes out swinging.,R,R,L,WSH,DET,S,,,1,1,2023,1.27,1.11,0.0,1.76,,642086.0,545121.0,2,1,Bot,,,,,668670,,,-6.24962857002374,-136.488158990462,-8.684203242316563,17.195601068999345,24.20852524030654,-16.635908744718268,3.32,1.57,,,,94.7,2219.0,6.4,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,54.11,,,,,,,,12,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,133.0,0.0,-0.14
FF,2023-05-21,94.2,1.46,6.37,"Chavis, Michael",656308,666214,,ball,,,,,11,Michael Chavis strikes out swinging.,R,R,L,WSH,DET,B,,,0,1,2023,1.21,1.17,-0.85,2.69,,642086.0,545121.0,2,1,Bot,,,,,668670,,,-8.691792721643923,-136.94345911403647,-6.5556682059079225,17.031421952926095,26.067642332798314,-16.190836802296484,3.35,1.57,,,,95.0,2183.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,53.98,,,,,,,,12,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138.0,0.0,0.068
FC,2023-05-21,86.3,1.75,6.13,"Chavis, Michael",656308,666214,,foul,,,,,4,Michael Chavis strikes out swinging.,R,R,L,WSH,DET,S,,,0,0,2023,-0.02,0.31,-0.48,2.62,,642086.0,545121.0,2,1,Bot,,,,,668670,,,-5.300500163685856,-125.82225362143345,-2.8848507268643697,0.6425519272135429,21.034932144015063,-28.50747335309942,3.42,1.57,154.0,60.6,59.0,87.5,2504.0,6.5,718089,666214,668670,679529,665155,656716,595879,668731,682985,663837,53.96,,,,,,,,12,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,194.0,0.0,-0.086
SL,2023-05-21,83.5,-2.13,5.72,"Chavis, Michael",656308,669438,field_out,hit_into_play,,,,,5,"Michael Chavis grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,R,WSH,DET,X,5.0,ground_ball,2,0,2023,0.04,0.16,-0.17,2.7,,,,1,5,Bot,97.45,169.21,,,668670,,,4.417141997201083,-121.54258212688453,-0.7720079812840879,-0.551030101427143,26.422746663189333,-30.638169610359927,3.42,1.57,29.0,99.4,-5.0,83.0,2154.0,6.2,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.33,0.26,0.234,0.0,1.0,0.0,0.0,2.0,49,3,Slider,6,1,6,1,1,6,6,1,Standard,Standard,40.0,-0.002,-0.245
CU,2023-05-21,80.2,-1.96,5.82,"Chavis, Michael",656308,669438,,ball,,,,,14,"Michael Chavis grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,R,WSH,DET,B,,,1,0,2023,-0.17,-0.57,1.25,1.72,,,,1,5,Bot,,,,,668670,,,7.377608873148906,-116.6901453576375,-1.3141293980718296,-2.8238573435595304,20.50793084601685,-37.41421540000932,3.32,1.57,,,,80.1,2306.0,6.1,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.41,,,,,,,,49,2,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,23.0,0.0,0.045
SL,2023-05-21,83.8,-2.07,5.68,"Chavis, Michael",656308,669438,,ball,,,,,14,"Michael Chavis grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,R,WSH,DET,B,,,0,0,2023,-0.12,0.13,1.22,0.46,,,,1,5,Bot,,,,,668670,,,7.792936167407594,-121.75816456433876,-5.860951752474737,-2.678023477100074,23.90218752839275,-29.892929627989968,3.35,1.57,,,,83.3,2165.0,6.0,718089,669438,668670,679529,665155,656716,595879,668731,682985,663837,54.46,,,,,,,,49,1,Slider,6,1,6,1,1,6,6,1,Standard,Standard,251.0,0.0,0.029
FC,2023-05-21,86.5,1.3,5.65,"Chavis, Michael",656308,641302,strikeout,called_strike,,,,,9,Michael Chavis called out on strikes.,R,R,L,WSH,DET,S,2.0,,1,2,2023,-0.07,0.68,0.49,1.65,,,,1,7,Bot,,,,,668670,,,-1.7730460701409017,-126.14931955655322,-4.852254603066283,-0.4525984662478601,21.27461128888833,-24.1716447984432,3.37,1.57,,,,87.2,2335.0,6.2,718089,641302,668670,679529,665155,656716,595879,668731,682985,663837,54.25,,,0.0,1.0,0.0,0.0,,71,5,Cutter,6,4,6,4,4,6,6,4,Standard,Standard,164.0,-0.007,-0.121
FF,2023-05-21,90.3,1.26,5.75,"Chavis, Michael",656308,641302,,foul,,,,,1,Michael Chavis called out on strikes.,R,R,L,WSH,DET,S,,,1,2,2023,0.6,1.43,-0.61,3.13,,,,1,7,Bot,,,,,668670,,,-5.943868562921974,-131.39169078810767,-3.648416645611821,8.136238943376082,25.63399333929629,-14.985281205846752,3.42,1.57,90.0,73.4,13.0,90.8,2333.0,6.4,718089,641302,668670,679529,665155,656716,595879,668731,682985,663837,54.11,,,,,,,,71,4,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,144.0,0.0,0.0
