pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FS,2023-05-24,82.6,-1.13,5.96,"Harris II, Michael",671739,664062,strikeout,swinging_strike,,,,,7,Michael Harris II strikes out swinging.,R,L,R,ATL,LAD,S,2.0,,0,2,2023,-1.07,0.34,-0.35,1.47,,,606115.0,1,5,Bot,,,,,669257,,,3.833526270842776,-120.23379602718288,-4.40921433382136,-11.154133103101254,22.079117416531968,-28.224694605983647,3.45,1.58,,,,82.4,1735.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.46,,,0.0,1.0,0.0,0.0,,40,4,Split-Finger,3,1,3,1,1,3,3,1,Strategic,Standard,249.0,-0.018,-0.197
FS,2023-05-24,84.9,-1.09,6.03,"Harris II, Michael",671739,664062,,foul,,,,,8,Michael Harris II strikes out swinging.,R,L,R,ATL,LAD,S,,,0,2,2023,-1.04,0.49,-0.27,1.91,,,606115.0,1,5,Bot,,,,,669257,,,3.970933720518646,-123.59077282938178,-4.283755536168194,-11.436913408518423,24.755987365944115,-26.484322293312907,3.45,1.58,,,,84.5,1689.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.5,,,,,,,,40,3,Split-Finger,3,1,3,1,1,3,3,1,Strategic,Standard,246.0,0.0,0.0
FF,2023-05-24,93.4,-0.94,6.09,"Harris II, Michael",671739,664062,,swinging_strike,,,,,5,Michael Harris II strikes out swinging.,R,L,R,ATL,LAD,S,,,0,1,2023,-1.0,1.17,-0.11,2.76,,,606115.0,1,5,Bot,,,,,669257,,,4.325035298258777,-135.91217963767588,-5.348346583666768,-13.39002014534658,30.696410471546532,-16.67670441831013,3.45,1.58,,,,92.8,2233.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.5,,,,,,,,40,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Strategic,Standard,229.0,0.0,-0.061
CU,2023-05-24,82.6,-0.69,6.11,"Harris II, Michael",671739,664062,,foul,,,,,14,Michael Harris II strikes out swinging.,R,L,R,ATL,LAD,S,,,0,0,2023,0.47,-1.06,0.73,1.39,,,606115.0,1,5,Bot,,,,,669257,,,2.306797477364132,-120.33727604974914,-2.164441879843665,4.0436304098281655,24.34934300680236,-42.242579206381954,3.45,1.58,,,,82.0,2670.0,5.9,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.55,,,,,,,,40,1,Curveball,3,1,3,1,1,3,3,1,Strategic,Standard,41.0,0.0,-0.054
FS,2023-05-24,84.5,-1.06,5.95,"Harris II, Michael",671739,664062,field_out,hit_into_play,,,,,13,"Michael Harris II grounds out, second baseman Miguel Vargas to first baseman Freddie Freeman.",R,L,R,ATL,LAD,X,4.0,ground_ball,1,2,2023,-1.14,-0.23,-1.1,1.68,,,,2,3,Bot,137.71,144.76,,,669257,,,2.1601895799495066,-122.99317721117512,-3.086636549654475,-11.95404310500675,25.790309666692163,-34.107558236718646,3.45,1.58,11.0,93.2,-8.0,84.2,1379.0,6.2,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.31,0.183,0.174,0.0,1.0,0.0,0.0,2.0,24,5,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,258.0,-0.012,-0.072
FF,2023-05-24,94.2,-0.95,6.05,"Harris II, Michael",671739,664062,,foul,,,,,12,"Michael Harris II grounds out, second baseman Miguel Vargas to first baseman Freddie Freeman.",R,L,R,ATL,LAD,S,,,1,2,2023,-0.58,1.13,0.15,3.98,,,,2,3,Bot,,,,,669257,,,4.128496759043667,-137.1473565422439,-2.1884709701578973,-8.216942491195338,30.257630770473853,-17.674597065578617,3.45,1.58,280.0,89.4,50.0,94.0,2088.0,6.1,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.38,,,,,,,,24,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,222.0,0.0,0.0
CU,2023-05-24,81.9,-0.77,6.1,"Harris II, Michael",671739,664062,,foul,,,,,8,"Michael Harris II grounds out, second baseman Miguel Vargas to first baseman Freddie Freeman.",R,L,R,ATL,LAD,S,,,1,1,2023,0.69,-1.2,0.26,1.65,,,,2,3,Bot,,,,,669257,,,0.9856873498908796,-119.24040055393884,-1.1524852182433634,6.406598718491459,23.82767069482687,-43.54207275740054,3.45,1.58,7.0,101.0,-15.0,81.7,2677.0,6.2,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.26,,,,,,,,24,3,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,40.0,0.0,-0.026
CU,2023-05-24,82.2,-0.79,6.17,"Harris II, Michael",671739,664062,,called_strike,,,,,7,"Michael Harris II grounds out, second baseman Miguel Vargas to first baseman Freddie Freeman.",R,L,R,ATL,LAD,S,,,1,0,2023,0.69,-1.03,-0.7,1.93,,,,2,3,Bot,,,,,669257,,,-1.1326560536915422,-119.75570493763988,-1.0777362970670523,6.824202743002656,23.5863328856453,-42.12114018354957,3.45,1.58,,,,81.6,2562.0,5.9,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.61,,,,,,,,24,2,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,37.0,0.0,-0.027
FS,2023-05-24,85.1,-0.94,6.06,"Harris II, Michael",671739,664062,,ball,,,,,14,"Michael Harris II grounds out, second baseman Miguel Vargas to first baseman Freddie Freeman.",R,L,R,ATL,LAD,B,,,0,0,2023,-1.0,0.29,1.36,1.41,,,,2,3,Bot,,,,,669257,,,7.377102926333648,-123.78818659862678,-5.213579818682759,-11.71203781203386,23.47621949198613,-28.373714555535976,3.45,1.58,,,,85.1,1560.0,6.2,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.32,,,,,,,,24,1,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,251.0,0.0,0.021
SL,2023-05-24,87.0,2.29,5.05,"Harris II, Michael",671739,624647,single,hit_into_play,,,,,13,Michael Harris II singles on a line drive to left fielder David Peralta.,R,L,L,ATL,LAD,X,7.0,line_drive,0,2,2023,0.0,0.4,-0.89,2.07,,,,0,8,Bot,78.59,107.21,,,669257,,,-7.661406634040343,-126.58509534946018,-1.805157688365958,1.5349230944493235,25.672320485876323,-27.68016841042364,3.45,1.58,202.0,75.6,20.0,87.4,2440.0,6.5,718042,624647,669257,518692,678246,571970,621035,444482,518792,605141,53.99,0.986,0.904,0.9,1.0,1.0,0.0,4.0,62,3,Slider,3,3,3,3,3,3,3,3,Standard,Standard,128.0,0.064,0.479
