pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-18,88.5,-1.45,6.01,"Perez, Michael",605421,671737,field_out,hit_into_play,,,,,8,Michael Perez pops out to third baseman Isaac Paredes.,R,L,R,NYM,TB,X,5.0,popup,0,1,2023,0.71,0.55,-0.07,2.06,,,500871.0,0,5,Bot,101.85,164.06,,,542194,,,1.8860222431764573,-128.99298470484297,-4.8278084824703,7.733372259439127,22.770531505424668,-25.30697338898431,3.31,1.52,111.0,79.2,71.0,89.4,2349.0,6.4,718122,671737,542194,670042,664040,670623,670764,668227,622534,666139,54.08,0.003,0.003,0.0,1.0,0.0,0.0,3.0,34,2,Cutter,2,1,2,1,1,2,2,1,Strategic,Standard,155.0,-0.031,-0.308
FF,2023-05-18,95.4,-1.51,6.0,"Perez, Michael",605421,671737,,foul_bunt,,,,,2,Michael Perez pops out to third baseman Isaac Paredes.,R,L,R,NYM,TB,S,,,0,0,2023,-0.53,1.66,-0.18,2.91,,,500871.0,0,5,Bot,,,,,542194,,,4.693995101440776,-138.8539276442245,-6.293302459341508,-7.839456109015983,28.866030944736085,-9.486069865520951,3.31,1.52,205.0,,,95.8,2329.0,6.4,718122,671737,542194,670042,664040,670623,670764,668227,622534,666139,54.13,,,,,,,,34,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Strategic,Standard,205.0,0.0,-0.05
FC,2023-05-18,93.1,-1.33,5.97,"Perez, Michael",605421,671737,field_out,hit_into_play,,,,,5,"Michael Perez grounds out, shortstop Taylor Walls to first baseman Luke Raley.",R,L,R,NYM,TB,X,6.0,ground_ball,0,0,2023,0.35,1.29,0.23,2.6,,,,2,2,Bot,122.47,145.87,,,542194,,,3.2366049181493155,-135.53559322543882,-5.706814514561838,3.6273313240402674,30.456534796196856,-15.279570476531282,3.31,1.52,15.0,89.5,-8.0,93.4,2348.0,6.5,718122,671737,542194,670042,664040,670623,670764,668227,622534,666139,53.99,0.166,0.164,0.0,1.0,0.0,0.0,2.0,16,1,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,185.0,-0.011,-0.104
CH,2023-05-18,89.0,0.64,6.17,"Perez, Michael",605421,656222,strikeout,swinging_strike,,,,,14,Michael Perez strikes out swinging.,R,L,L,NYM,TB,S,2.0,,3,2,2023,1.57,0.89,0.96,1.79,,,,0,7,Bot,,,,,542194,,,-2.5154546270816667,-129.39280329772075,-6.487907976915154,18.014106244978347,31.48133519051764,-20.91194737067796,3.31,1.52,,,,88.4,1930.0,6.4,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,54.15,,,0.0,1.0,0.0,0.0,,52,7,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard,133.0,-0.018,-0.314
CH,2023-05-18,89.6,0.81,6.2,"Perez, Michael",605421,656222,,foul,,,,,6,Michael Perez strikes out swinging.,R,L,L,NYM,TB,S,,,3,2,2023,1.64,0.94,0.43,2.25,,,,0,7,Bot,,,,,542194,,,-4.414341892806703,-130.24395875857704,-5.688560997190233,19.54913260790553,30.28633939379669,-20.413201107067792,3.31,1.52,9.0,72.7,-14.0,89.3,1902.0,6.4,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,54.1,,,,,,,,52,6,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard,128.0,0.0,0.0
FF,2023-05-18,94.1,0.79,6.08,"Perez, Michael",605421,656222,,ball,,,,,12,Michael Perez strikes out swinging.,R,L,L,NYM,TB,B,,,2,2,2023,0.69,1.46,0.09,3.81,,,,0,7,Bot,,,,,542194,,,-3.3754671606483817,-137.0616648343834,-3.4237040843012294,9.398552150743246,31.12059231544122,-13.26695036588848,3.29,1.51,,,,94.8,2006.0,6.7,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,53.81,,,,,,,,52,5,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,154.0,0.0,0.108
CH,2023-05-18,90.1,0.89,6.03,"Perez, Michael",605421,656222,,ball,,,,,13,Michael Perez strikes out swinging.,R,L,L,NYM,TB,B,,,1,2,2023,1.4,0.77,-0.68,-0.9,,,,0,7,Bot,,,,,542194,,,-6.892149731334276,-130.53608003098992,-12.870394785401972,17.470488972558382,26.288990828507,-20.84509023668083,3.23,1.42,,,,90.2,1858.0,6.5,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,54.0,,,,,,,,52,4,Changeup,3,2,3,2,2,3,3,2,Strategic,Standard,131.0,0.0,0.03
CH,2023-05-18,89.0,0.8,6.13,"Perez, Michael",605421,656222,,swinging_strike,,,,,14,Michael Perez strikes out swinging.,R,L,L,NYM,TB,S,,,1,1,2023,1.41,0.76,0.02,1.38,,,,0,7,Bot,,,,,542194,,,-4.874629350807288,-129.35045563379492,-7.202314068174023,16.812839204586787,26.718163635364093,-22.30078567152433,3.31,1.52,,,,89.1,1956.0,6.4,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,54.09,,,,,,,,52,3,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,132.0,0.0,-0.053
FC,2023-05-18,85.8,0.94,6.05,"Perez, Michael",605421,656222,,ball,,,,,13,Michael Perez strikes out swinging.,R,L,L,NYM,TB,B,,,0,1,2023,-0.14,0.48,-1.78,1.49,,,,0,7,Bot,,,,,542194,,,-6.164530187766546,-124.8510055740421,-5.582212230534505,-0.3642785554395196,22.23300805235233,-26.30444235497744,3.29,1.48,,,,86.5,2188.0,6.5,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,54.02,,,,,,,,52,2,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,161.0,0.0,0.03
FF,2023-05-18,93.2,0.78,6.09,"Perez, Michael",605421,656222,,called_strike,,,,,5,Michael Perez strikes out swinging.,R,L,L,NYM,TB,S,,,0,0,2023,0.93,1.04,-0.12,2.27,,,,0,7,Bot,,,,,542194,,,-4.373986670187691,-135.62494297257916,-6.367659350075513,12.406355893390678,29.744628530672045,-18.193920763118086,3.32,1.54,,,,93.8,1976.0,6.6,718122,656222,542194,670042,664040,670623,670764,668227,622534,666139,53.85,,,,,,,,52,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,151.0,0.0,-0.037
