pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-23,97.6,-2.21,6.0,"Toglia, Michael",669911,691587,walk,ball,,,,,13,Michael Toglia walks.,R,L,R,COL,MIA,B,,,3,1,2023,-0.65,1.14,-0.79,1.58,,,,0,5,Bot,,,,,663743,,,5.351344558361157,-141.86881488997284,-9.098393510259852,-9.993486727429095,29.600927131258075,-14.9271434716793,3.71,1.85,,,,98.6,2711,6.7,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.8,,,0.7,1.0,0.0,0.0,,35,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,214,0.047,0.229
CU,2023-05-23,77.5,-2.17,6.06,"Toglia, Michael",669911,691587,,ball,,,,,13,Michael Toglia walks.,R,L,R,COL,MIA,B,,,2,1,2023,0.43,-0.11,-1.07,2.38,,,,0,5,Bot,,,,,663743,,,1.5832561982699684,-112.90348971732216,-0.7785721256888607,3.438182874524772,19.27721269888503,-33.198368897392314,3.61,1.83,,,,78.1,2270,6.5,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.96,,,,,,,,35,4,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard,105,0.0,0.123
FF,2023-05-23,95.1,-2.02,6.1,"Toglia, Michael",669911,691587,,called_strike,,,,,7,Michael Toglia walks.,R,L,R,COL,MIA,S,,,2,0,2023,-0.6,1.22,-0.5,2.23,,,,0,5,Bot,,,,,663743,,,5.362870923890642,-138.45393684144258,-7.381941252808301,-8.868397547239162,27.21256870503173,-15.020105243798458,3.64,1.83,,,,96.3,2645,6.7,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.79,,,,,,,,35,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,208,0.0,-0.062
FF,2023-05-23,96.5,-2.21,5.99,"Toglia, Michael",669911,691587,,ball,,,,,13,Michael Toglia walks.,R,L,R,COL,MIA,B,,,1,0,2023,-0.82,1.05,-1.26,1.63,,,,0,5,Bot,,,,,663743,,,4.426250253169079,-140.37506282801274,-8.510442709508002,-11.861792273891387,30.18224742185504,-16.538359721935283,3.64,1.87,,,,97.4,2749,6.7,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.78,,,,,,,,35,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,217,0.0,0.066
CU,2023-05-23,77.5,-2.16,6.08,"Toglia, Michael",669911,691587,,ball,,,,,11,Michael Toglia walks.,R,L,R,COL,MIA,B,,,0,0,2023,0.46,-0.12,-3.02,4.97,,,,0,5,Bot,,,,,663743,,,-2.692874868276416,-112.77970901724365,4.702645972553116,4.376842759628884,17.821968204244005,-34.12331748654966,3.64,1.83,,,,78.0,2213,6.4,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,54.14,,,,,,,,35,1,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard,113,0.0,0.039
CU,2023-05-23,82.4,-2.27,6.15,"Toglia, Michael",669911,691587,strikeout,swinging_strike,,,,,13,Michael Toglia strikes out swinging.,R,L,R,COL,MIA,S,2.0,,1,2,2023,0.25,0.01,-1.36,1.79,,,,0,3,Bot,,,,,663743,,,1.6049466198618985,-120.10769358339078,-3.511874753136908,2.143536872194384,20.500585016597896,-31.63835812804813,3.76,1.84,,,,83.5,2436,6.6,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.87,,,0.0,1.0,0.0,0.0,,19,4,Curveball,0,1,0,1,1,0,0,1,Strategic,Standard,90,-0.027,-0.175
FF,2023-05-23,96.8,-2.11,6.15,"Toglia, Michael",669911,691587,,foul,,,,,5,Michael Toglia strikes out swinging.,R,L,R,COL,MIA,S,,,1,1,2023,-0.64,1.16,-0.15,3.12,,,,0,3,Bot,,,,,663743,,,6.716996185768532,-140.9343505187829,-5.301852173485226,-9.852068480953845,26.98194748271326,-15.631480929762928,3.76,1.84,200.0,77.0,20.0,98.1,2675,6.6,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.87,,,,,,,,19,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Standard,210,0.0,-0.053
CU,2023-05-23,79.7,-2.11,6.13,"Toglia, Michael",669911,691587,,swinging_strike,,,,,13,Michael Toglia strikes out swinging.,R,L,R,COL,MIA,S,,,1,0,2023,0.37,-0.24,-0.05,0.61,,,,0,3,Bot,,,,,663743,,,3.854857812443368,-116.10660133374084,-5.057778190190328,2.792057539534935,18.6917343621117,-33.76020120546252,3.76,1.84,,,,80.7,2392,6.6,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.93,,,,,,,,19,2,Curveball,0,1,0,1,1,0,0,1,Strategic,Standard,97,0.0,-0.046
CU,2023-05-23,80.7,-2.29,6.08,"Toglia, Michael",669911,691587,,ball,,,,,11,Michael Toglia strikes out swinging.,R,L,R,COL,MIA,B,,,0,0,2023,0.33,-0.04,-1.5,2.84,,,,0,3,Bot,,,,,663743,,,1.122653305625166,-117.74620771615945,-0.6244629828196951,2.9454556076006075,18.2859630895288,-32.63651536457266,3.53,1.79,,,,81.8,2416,6.5,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,54.04,,,,,,,,19,1,Curveball,0,1,0,1,1,0,0,1,Strategic,Standard,110,0.0,0.039
CH,2023-05-23,88.8,-2.09,5.76,"Toglia, Michael",669911,623211,field_out,hit_into_play,,,,,13,"Michael Toglia grounds out, shortstop Jon Berti to first baseman Yuli Gurriel.",R,L,R,COL,MIA,X,6.0,ground_ball,0,2,2023,-0.84,0.66,-1.03,2.09,,,,1,6,Bot,126.0,155.71,,,663743,,,4.3462818182565375,-129.3446120292483,-4.387498195236227,-10.349712059808512,23.256020589260697,-24.11981075329465,3.76,1.84,5.0,98.4,-21.0,88.9,1653,6.0,718051,623211,663743,493329,650333,516416,542932,650559,641658,624585,54.53,0.134,0.121,0.0,1.0,0.0,0.0,2.0,51,5,Changeup,5,3,5,3,3,5,5,3,Strategic,Standard,238,-0.009,-0.107
