pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-13,92.6,-1.16,6.95,"Andujar, Miguel",609280,669330,field_out,hit_into_play,,,,,2,Miguel Andujar flies out sharply to right fielder Anthony Santander.,R,R,R,BAL,PIT,X,9.0,fly_ball,2,1,2023,-0.43,1.66,0.24,2.81,,467793.0,669261.0,2,7,Top,200.0,75.23,,,668939,,,4.5194306368821975,-134.56787043269307,-8.356555237756753,-6.271901897348013,29.932351828452287,-10.416545380185005,3.22,1.53,356.0,100.0,25.0,92.5,2444,6.4,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.11,0.557,0.825,0.0,1.0,0.0,0.0,6.0,48,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,197,0.064,-0.513
SL,2023-05-13,82.5,-1.04,7.03,"Andujar, Miguel",609280,669330,,ball,,,,,12,Miguel Andujar flies out sharply to right fielder Anthony Santander.,R,R,R,BAL,PIT,B,,,1,1,2023,0.38,0.26,0.19,4.21,,467793.0,669261.0,2,7,Top,,,,,668939,,,2.0579745717842903,-120.18926105303028,-0.4598791821404502,3.3564947361799544,21.882826342467755,-29.756403279747897,3.15,1.49,,,,82.7,2378,6.2,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.29,,,,,,,,48,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,126,0.0,0.06
SL,2023-05-13,84.3,-1.15,6.95,"Andujar, Miguel",609280,669330,,blocked_ball,,,,,14,Miguel Andujar flies out sharply to right fielder Anthony Santander.,R,R,R,BAL,PIT,B,,,0,1,2023,0.38,0.37,1.42,0.32,,467793.0,669261.0,2,7,Top,,,,,668939,,,5.230727693261311,-122.34192802573637,-9.753650550024346,2.7747068655763973,23.88210862300859,-26.73993883195279,3.27,1.53,,,,84.5,2532,6.5,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,53.98,,,,,,,,48,2,Slider,2,0,0,2,0,2,0,2,Standard,Standard,161,0.0,0.068
SL,2023-05-13,83.5,-1.2,7.01,"Andujar, Miguel",609280,669330,,swinging_strike,,,,,9,Miguel Andujar flies out sharply to right fielder Anthony Santander.,R,R,R,BAL,PIT,S,,,0,0,2023,0.27,0.26,0.68,1.95,,467793.0,669261.0,2,7,Top,,,,,668939,,,3.812375140008208,-121.50433220886686,-5.76034634057601,1.970982068400712,22.21344360697413,-28.76718755325148,3.22,1.53,,,,84.0,2509,6.5,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.02,,,,,,,,48,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,135,0.0,-0.086
FF,2023-05-13,92.8,-1.29,6.97,"Andujar, Miguel",609280,669330,field_out,hit_into_play,,,,,1,"Miguel Andujar grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,BAL,PIT,X,6.0,ground_ball,0,0,2023,-0.83,1.6,-0.54,2.86,,,,1,5,Top,104.46,139.82,,,668939,,,3.730617687858601,-134.88884696921195,-8.170138063418118,-10.938070284093053,31.900463010202824,-11.074764420444254,3.22,1.53,4.0,78.9,-34.0,92.6,2439,6.4,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.08,0.043,0.039,0.0,1.0,0.0,0.0,2.0,31,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,203,0.019,-0.171
FC,2023-05-13,88.8,-1.44,6.95,"Andujar, Miguel",609280,669330,field_out,hit_into_play,,,,,2,Miguel Andujar flies out to left fielder Austin Hays.,R,R,R,BAL,PIT,X,7.0,fly_ball,3,1,2023,0.44,0.89,-0.02,2.81,,,467793.0,1,2,Top,76.95,70.44,,,668939,,,2.574799640369786,-129.33377386531603,-5.996314207155938,4.450350336989568,25.37581294917915,-21.21239461692081,3.22,1.53,340.0,92.5,34.0,89.1,2526,6.3,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.18,0.063,0.109,0.0,1.0,0.0,0.0,3.0,10,5,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,178,0.03,-0.452
SL,2023-05-13,85.7,-1.15,7.06,"Andujar, Miguel",609280,669330,,ball,,,,,12,Miguel Andujar flies out to left fielder Austin Hays.,R,R,R,BAL,PIT,B,,,2,1,2023,0.33,0.55,1.43,2.6,,,467793.0,1,2,Top,,,,,668939,,,5.419147808545665,-124.69213997367424,-5.384669425880839,2.3720275718324078,23.912440185789123,-25.6094412911332,3.18,1.6,,,,85.7,2420,6.2,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.32,,,,,,,,10,4,Slider,1,0,0,1,0,1,0,1,Standard,Standard,156,0.0,0.11
FC,2023-05-13,86.9,-1.29,6.97,"Andujar, Miguel",609280,669330,,ball,,,,,14,Miguel Andujar flies out to left fielder Austin Hays.,R,R,R,BAL,PIT,B,,,1,1,2023,0.39,0.53,0.91,1.53,,,467793.0,1,2,Top,,,,,668939,,,4.479643921681735,-126.40997368870757,-8.008225279599904,3.418249495419569,22.76898431648954,-25.158952772895454,3.16,1.57,,,,87.4,2463,6.3,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.16,,,,,,,,10,3,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,165,0.0,0.06
FC,2023-05-13,90.0,-1.43,7.02,"Andujar, Miguel",609280,669330,,called_strike,,,,,5,Miguel Andujar flies out to left fielder Austin Hays.,R,R,R,BAL,PIT,S,,,1,0,2023,0.11,1.05,-0.1,2.49,,,467793.0,1,2,Top,,,,,668939,,,3.0794986799286983,-130.99910493822773,-7.520125966000503,0.6360843465460181,26.636553868042856,-18.69476549831176,3.21,1.59,,,,90.1,2538,6.3,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.25,,,,,,,,10,2,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,185,0.0,-0.074
FC,2023-05-13,88.0,-1.28,6.94,"Andujar, Miguel",609280,669330,,ball,,,,,14,Miguel Andujar flies out to left fielder Austin Hays.,R,R,R,BAL,PIT,B,,,0,0,2023,0.43,0.62,1.46,1.42,,,467793.0,1,2,Top,,,,,668939,,,5.754279916368279,-127.94240181269872,-8.606713529795057,3.674124932859558,24.23020558138276,-23.83104584955404,3.21,1.59,,,,88.3,2566,6.3,718193,669330,668939,663624,624428,683002,622761,669720,656775,623993,54.16,,,,,,,,10,1,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,175,0.0,0.046
