pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,81.6,-1.02,6.69,"Vargas, Miguel",678246,693821,field_out,hit_into_play,,,,,14,Miguel Vargas lines out to third baseman Austin Riley.,R,R,R,ATL,LAD,X,5.0,line_drive,2,1,2023,-0.75,0.34,0.32,1.43,,,518792.0,1,6,Top,105.0,165.96,,,518595,,,4.434477350518087,-118.80085782259744,-5.896165694236647,-7.937747712004376,21.60871138956926,-28.071298043385777,3.33,1.58,113.0,88.9,8.0,81.1,1906.0,5.8,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.7,0.546,0.522,0.0,1.0,0.0,0.0,4.0,44,4,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,227.0,0.039,-0.343
CH,2023-05-24,84.3,-1.1,6.63,"Vargas, Miguel",678246,693821,,blocked_ball,,,,,13,Miguel Vargas lines out to third baseman Austin Riley.,R,R,R,ATL,LAD,B,,,1,1,2023,-0.96,0.04,-0.4,0.34,,,518792.0,1,6,Top,,,,,518595,,,3.4998911906440022,-122.58666238648009,-8.321591266702388,-10.37137970264658,22.213758048995786,-30.425126165119973,3.33,1.58,,,,84.1,1737.0,6.0,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.47,,,,,,,,44,3,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,233.0,0.0,0.06
CH,2023-05-24,82.6,-1.1,6.65,"Vargas, Miguel",678246,693821,,foul,,,,,7,Miguel Vargas lines out to third baseman Austin Riley.,R,R,R,ATL,LAD,S,,,1,0,2023,-1.07,0.23,-0.75,2.1,,,518792.0,1,6,Top,,,,,518595,,,2.858321873946448,-120.38209485872622,-4.389104132393863,-11.020644979586953,20.4617118922477,-29.347792174914357,3.33,1.58,14.0,83.5,-9.0,82.6,2157.0,6.0,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.54,,,,,,,,44,2,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,221.0,0.0,-0.074
SI,2023-05-24,88.9,-1.17,6.52,"Vargas, Miguel",678246,693821,,blocked_ball,,,,,13,Miguel Vargas lines out to third baseman Austin Riley.,R,R,R,ATL,LAD,B,,,0,0,2023,-1.2,0.63,-0.59,0.75,,,518792.0,1,6,Top,,,,,518595,,,3.928344539930122,-129.19941153799786,-9.40280860710893,-14.325331353774333,25.494968157853624,-23.387913974427832,3.33,1.58,,,,88.9,2043.0,6.2,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.29,,,,,,,,44,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,210.0,0.0,0.046
SI,2023-05-24,88.9,-1.26,6.71,"Vargas, Miguel",678246,693821,hit_by_pitch,hit_by_pitch,,,,,11,Miguel Vargas hit by pitch.,R,R,R,ATL,LAD,B,,,1,0,2023,-0.92,0.8,-1.5,3.6,,,,0,4,Top,,,,,518595,,,1.3452533878867976,-129.47581204153846,-3.216348904291358,-10.5841818534511,28.749488421417087,-22.75018783822332,3.33,1.58,,,,88.2,1983.0,5.9,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.58,,,0.7,1.0,0.0,0.0,,25,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,205.0,-0.044,0.357
SI,2023-05-24,88.5,-1.09,6.66,"Vargas, Miguel",678246,693821,,ball,,,,,14,Miguel Vargas hit by pitch.,R,R,R,ATL,LAD,B,,,0,0,2023,-0.94,0.85,0.07,1.34,,,,0,4,Top,,,,,518595,,,4.729493520996405,-128.5225162281799,-8.608056220422856,-11.36067727083673,26.977540159879087,-21.096162425352546,3.33,1.58,,,,87.9,1949.0,6.0,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.46,,,,,,,,25,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,204.0,0.0,0.039
SL,2023-05-24,84.0,-1.15,6.57,"Vargas, Miguel",678246,693821,single,hit_into_play,,,,,13,Miguel Vargas singles on a ground ball to shortstop Orlando Arcia.,R,R,R,ATL,LAD,X,6.0,ground_ball,2,2,2023,0.13,-0.05,-0.16,1.14,,,,1,2,Top,100.56,148.03,,,518595,,,2.024585174974116,-122.14696817873678,-5.995694235639168,0.895255580559126,25.95134537686082,-31.628842408939075,3.33,1.58,4.0,83.9,-15.0,83.4,2457.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.42,0.106,0.116,0.9,1.0,1.0,0.0,2.0,10,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,335.0,-0.026,0.292
SI,2023-05-24,90.5,-1.2,6.54,"Vargas, Miguel",678246,693821,,foul,,,,,13,Miguel Vargas singles on a ground ball to shortstop Orlando Arcia.,R,R,R,ATL,LAD,S,,,2,2,2023,-1.18,0.91,-0.63,1.37,,,,1,2,Top,,,,,518595,,,3.9027448431972345,-131.54037781582812,-8.813443186184418,-14.488489797006253,29.46426022698934,-19.90503430954611,3.33,1.58,3.0,88.7,-24.0,89.9,1966.0,6.1,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.42,,,,,,,,10,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,0.0
CH,2023-05-24,85.4,-1.21,6.65,"Vargas, Miguel",678246,693821,,ball,,,,,13,Miguel Vargas singles on a ground ball to shortstop Orlando Arcia.,R,R,R,ATL,LAD,B,,,1,2,2023,-1.0,0.2,-0.01,0.63,,,,1,2,Top,,,,,518595,,,4.780182012377478,-124.224492549873,-8.284242325788753,-11.285564935873726,21.845229171607027,-28.811272907639733,3.33,1.58,,,,85.1,1966.0,5.9,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.63,,,,,,,,10,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,223.0,0.0,0.03
SI,2023-05-24,89.7,-1.09,6.54,"Vargas, Miguel",678246,693821,,foul,,,,,11,Miguel Vargas singles on a ground ball to shortstop Orlando Arcia.,R,R,R,ATL,LAD,S,,,1,1,2023,-0.94,0.8,-0.97,2.61,,,,1,2,Top,,,,,518595,,,2.273972363192884,-130.60412639160728,-5.401520336093148,-11.264331951761395,26.87284175504389,-22.121169495754906,3.33,1.58,6.0,77.8,-23.0,89.3,1905.0,6.0,718042,693821,518595,621566,645277,663586,606115,592696,671739,660670,54.53,,,,,,,,10,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,-0.044
