pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,90.3,0.75,6.03,"Lukes, Nathan",664770,663556,strikeout,swinging_strike,,,,,13,Nathan Lukes strikes out swinging.,R,L,L,TB,TOR,S,2.0,,0,2,2023,-0.09,0.09,-0.99,1.58,,,662139.0,2,5,Top,,,,,542194,,,-4.212462629475216,-131.4214436503755,-5.3901687414332935,-0.132987388765217,28.61486172395335,-30.13597476677475,3.32,1.51,,,,91.6,2290,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.37,,,0.0,1.0,0.0,0.0,,40,3,Slider,5,1,1,5,1,5,1,5,Standard,Standard,199,0.014,-0.171
FF,2023-05-24,96.9,0.62,6.13,"Lukes, Nathan",664770,663556,,foul,,,,,6,Nathan Lukes strikes out swinging.,R,L,L,TB,TOR,S,,,0,1,2023,0.75,1.39,0.53,2.62,,,662139.0,2,5,Top,,,,,542194,,,-2.002561145498853,-140.94840206023082,-7.098260916897128,10.470199744379528,32.817110535251764,-12.244938100723516,3.32,1.51,221.0,70.6,36.0,98.2,2284,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.42,,,,,,,,40,2,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,144,0.0,-0.036
FF,2023-05-24,96.8,0.62,6.23,"Lukes, Nathan",664770,663556,,foul,,,,,5,Nathan Lukes strikes out swinging.,R,L,L,TB,TOR,S,,,0,0,2023,0.83,1.51,-0.11,2.28,,,662139.0,2,5,Top,,,,,542194,,,-3.898886932762748,-140.65653302944864,-8.463533184150805,11.92331070949716,35.27888170225797,-10.405903377977792,3.32,1.51,61.0,92.0,2.0,97.6,2322,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.41,,,,,,,,40,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Strategic,Standard,139,0.0,-0.036
CU,2023-05-24,84.2,1.08,5.94,"Lukes, Nathan",664770,663556,strikeout,swinging_strike_blocked,,,,,13,"Nathan Lukes strikes out swinging, catcher Christian Bethancourt to first baseman Luke Raley.",R,L,L,TB,TOR,S,2.0,,1,2,2023,-0.39,-0.63,-0.55,0.3,,,,2,3,Top,,,,,542194,,,-3.070460310947882,-122.5726174527647,-5.587566992928196,-3.3650816569146995,22.93753199213208,-37.73193809015919,3.32,1.51,,,,86.2,2479,7.4,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.1,,,0.0,1.0,0.0,0.0,,21,4,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,337,0.009,-0.072
FF,2023-05-24,98.4,0.59,6.32,"Lukes, Nathan",664770,663556,,ball,,,,,11,"Nathan Lukes strikes out swinging, catcher Christian Bethancourt to first baseman Luke Raley.",R,L,L,TB,TOR,B,,,0,2,2023,0.77,1.54,-0.87,4.22,,,,2,3,Top,,,,,542194,,,-5.828072648616104,-143.13420543912983,-3.81296618923516,12.022390766985176,35.25830560064124,-10.35071847835395,3.51,1.56,,,,99.2,2273,6.9,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.61,,,,,,,,21,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,145,0.0,0.014
SL,2023-05-24,91.2,1.0,5.98,"Lukes, Nathan",664770,663556,,foul,,,,,7,"Nathan Lukes strikes out swinging, catcher Christian Bethancourt to first baseman Luke Raley.",R,L,L,TB,TOR,S,,,0,1,2023,-0.14,0.21,-0.83,1.85,,,,2,3,Top,,,,,542194,,,-4.349241497346193,-132.70129230548255,-5.021591237651228,-0.712221183372621,29.218908674005835,-28.758232639523214,3.32,1.51,62.0,52.4,8.0,92.4,2406,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.43,,,,,,,,21,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,205,0.0,-0.025
CU,2023-05-24,83.5,0.89,6.02,"Lukes, Nathan",664770,663556,,called_strike,,,,,5,"Nathan Lukes strikes out swinging, catcher Christian Bethancourt to first baseman Luke Raley.",R,L,L,TB,TOR,S,,,0,0,2023,-0.44,-0.93,0.17,2.34,,,,2,3,Top,,,,,542194,,,-0.7993393880719091,-121.63802872107073,-0.1694198647285281,-4.167141118607659,24.89210306685196,-41.58134731435211,3.44,1.58,,,,84.7,2546,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.41,,,,,,,,21,1,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,321,0.0,-0.021
FF,2023-05-24,94.5,-1.64,5.75,"Lukes, Nathan",664770,592094,triple,hit_into_play,,,,,11,Nathan Lukes triples (1) on a sharp line drive to center fielder Jose Siri.,R,L,R,TB,TOR,X,8.0,line_drive,1,0,2023,-0.95,1.58,-0.83,2.63,,,,0,8,Top,86.59,52.81,,,542194,,,4.254914656973684,-137.46493001641716,-6.007075888040765,-13.041933813475248,31.31581513000394,-11.0280705940384,3.32,1.51,260.0,102.5,11.0,95.2,2663,6.8,718044,592094,542194,670042,670764,670623,677551,668227,642350,622534,53.73,0.903,0.89,1.6,1.0,1.0,2.0,4.0,60,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Strategic,Standard,222,-0.063,0.906
CH,2023-05-24,89.0,-1.71,5.9,"Lukes, Nathan",664770,592094,,ball,,,,,11,Nathan Lukes triples (1) on a sharp line drive to center fielder Jose Siri.,R,L,R,TB,TOR,B,,,0,0,2023,-1.28,0.35,-1.84,2.88,,,,0,8,Top,,,,,542194,,,2.3480676948980497,-129.62279717182324,-2.1281666605384157,-14.905198309352514,26.739662541137044,-28.03486616322083,3.65,1.67,,,,89.3,2270,6.4,718044,592094,542194,670042,670764,670623,677551,668227,642350,622534,54.1,,,,,,,,60,1,Changeup,5,2,2,5,2,5,2,5,Strategic,Standard,237,0.0,0.039
EP,2023-05-23,51.7,-1.11,6.92,"Lukes, Nathan",664770,670042,single,hit_into_play,,,,,9,Nathan Lukes singles on a ground ball to center fielder Jose Siri.   Kevin Kiermaier to 2nd.,R,L,R,TB,TOR,X,8.0,ground_ball,1,0,2023,0.11,0.81,0.41,2.06,,,595281.0,2,9,Top,151.36,86.39,,,642336,,,1.99728280764702,-75.13253017863363,2.5329374942129883,0.1545769739639419,10.022568618383374,-29.69793846986487,3.32,1.51,29.0,96.2,-2.0,50.6,1173,5.4,718061,670042,642336,623912,670764,670623,677551,668227,642350,666139,55.09,0.314,0.283,0.9,1.0,1.0,0.0,2.0,77,2,Eephus,1,11,11,1,11,1,11,1,Strategic,Strategic,185,0.0,0.289
EP,2023-05-23,52.7,-1.11,6.93,"Lukes, Nathan",664770,670042,,ball,,,,,11,Nathan Lukes singles on a ground ball to center fielder Jose Siri.   Kevin Kiermaier to 2nd.,R,L,R,TB,TOR,B,,,0,0,2023,0.19,0.84,-1.07,3.09,,,595281.0,2,9,Top,,,,,642336,,,-0.181117938909517,-76.52673424654206,3.652840732912086,0.7595919340559695,10.69051825517674,-29.65912078608665,3.69,1.76,,,,51.5,1248,5.4,718061,670042,642336,623912,670764,670623,677551,668227,642350,666139,55.07,,,,,,,,77,1,Eephus,1,11,11,1,11,1,11,1,Strategic,Strategic,190,0.0,0.027
FF,2023-05-21,94.6,-2.67,5.64,"Lukes, Nathan",664770,665152,single,hit_into_play,,,,,3,Nathan Lukes singles on a fly ball to center fielder Cedric Mullins.,R,L,R,TOR,BAL,X,8.0,fly_ball,0,1,2023,-1.12,1.1,0.35,3.07,,,,1,4,Bot,124.2,92.41,,,543510,,,10.29627699683992,-137.466821001123,-3.470054787036208,-16.424304779391043,28.99171793431013,-17.59748305860063,3.32,1.51,239.0,71.1,30.0,94.3,2278,6.1,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.41,0.774,0.703,0.9,1.0,1.0,0.0,4.0,34,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,216,0.034,0.299
CU,2023-05-21,77.1,-2.43,5.91,"Lukes, Nathan",664770,665152,,called_strike,,,,,13,Nathan Lukes singles on a fly ball to center fielder Cedric Mullins.,R,L,R,TOR,BAL,S,,,0,0,2023,1.22,-0.9,-0.42,1.26,,,,1,4,Bot,,,,,543510,,,2.042340642955089,-112.26140780216645,-1.2246989936036805,9.864356883805282,22.070933429617018,-39.699103113026624,3.51,1.62,,,,76.6,2760,6.1,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.39,,,,,,,,34,1,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,137,0.0,-0.028
CH,2023-05-21,86.5,-2.7,5.61,"Lukes, Nathan",664770,665152,walk,ball,,,,,14,Nathan Lukes walks.,R,L,R,TOR,BAL,B,,,3,2,2023,-1.38,0.73,0.75,1.34,,672386.0,,1,2,Bot,,,,,543510,,,11.00914637953668,-125.492801021974,-5.465190575640885,-16.738221433762078,23.09696323272552,-23.50081426211217,3.43,1.56,,,,86.5,1868,6.2,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.26,,,0.7,1.0,0.0,0.0,,16,10,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,241,0.015,0.291
FF,2023-05-21,95.2,-2.83,5.6,"Lukes, Nathan",664770,665152,,foul,,,,,5,Nathan Lukes walks.,R,L,R,TOR,BAL,S,,,3,2,2023,-1.13,1.22,-0.23,2.62,,672386.0,,1,2,Bot,,,,,543510,,,9.321611820727032,-138.40807915949324,-4.952065898633361,-16.45903380425736,27.58926780724392,-15.576362800210228,3.32,1.51,182.0,79.8,62.0,95.5,2158,6.3,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.24,,,,,,,,16,9,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,218,0.0,0.0
FF,2023-05-21,94.5,-2.61,5.79,"Lukes, Nathan",664770,665152,,foul,,,,,2,Nathan Lukes walks.,R,L,R,TOR,BAL,S,,,3,2,2023,-1.09,1.31,-0.18,3.28,,672386.0,,1,2,Bot,,,,,543510,,,8.746734299969557,-137.46258921509826,-3.792867525627535,-15.690425394223904,28.485620368839907,-14.838107789789872,3.32,1.51,123.0,75.2,74.0,94.6,2208,6.2,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.29,,,,,,,,16,8,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,221,0.0,0.0
SI,2023-05-21,94.6,-2.87,5.58,"Lukes, Nathan",664770,665152,,foul,,,,,4,Nathan Lukes walks.,R,L,R,TOR,BAL,S,,,3,2,2023,-1.59,1.16,-0.65,2.39,,672386.0,,1,2,Bot,,,,,543510,,,9.311645754576071,-137.3316250599246,-5.218239972021957,-22.148908584104014,30.396684418895934,-16.493107490565635,3.32,1.51,287.0,87.5,35.0,94.3,2225,6.3,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.24,,,,,,,,16,7,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,220,0.0,0.0
SI,2023-05-21,95.0,-2.66,5.56,"Lukes, Nathan",664770,665152,,ball,,,,,14,Nathan Lukes walks.,R,L,R,TOR,BAL,B,,,2,2,2023,-1.27,1.19,1.56,2.56,,672386.0,,1,2,Bot,,,,,543510,,,13.835154215839172,-137.6677557968096,-4.793151815877689,-19.25754336189777,30.786537259844547,-16.086408216600812,3.53,1.59,,,,94.5,2237,6.3,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.25,,,,,,,,16,6,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,218,0.0,0.095
CH,2023-05-21,85.7,-2.78,5.57,"Lukes, Nathan",664770,665152,,foul,,,,,13,Nathan Lukes walks.,R,L,R,TOR,BAL,S,,,2,2,2023,-1.53,0.1,-0.2,0.95,,672386.0,,1,2,Bot,,,,,543510,,,9.145919370834504,-124.45419162399146,-4.833829858975699,-17.67141899862301,24.20493020023348,-30.34179261555094,3.32,1.51,,,,85.5,1856,6.2,718087,665152,543510,663624,624428,683002,687401,669720,656775,623993,54.29,,,,,,,,16,5,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,250,0.0,0.0
