pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,82.5,2.37,4.86,"Pratto, Nick",668472,571510,walk,ball,,,,,13,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,B,,,3,2,2023,-0.06,0.3,-1.48,2.07,,,677951.0,1,4,Bot,,,,,606992,,,-8.612851350857964,-119.90647439085744,-0.4333835255585455,1.0234995113422058,21.925667943315982,-29.442114165673868,3.3,1.57,,,,82.4,2379.0,6.1,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.35,,,0.7,1.0,0.0,0.0,,28,6,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,207.0,0.048,0.308
FF,2023-05-24,90.6,2.07,5.38,"Pratto, Nick",668472,571510,,foul,,,,,3,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,S,,,3,1,2023,1.0,1.08,0.32,2.87,,,677951.0,1,4,Bot,,,,,606992,,,-6.529182184245784,-131.7672438402831,-2.6471650648242275,13.029910877784156,27.05400038132329,-19.169837027366658,3.3,1.57,193.0,76.8,58.0,90.8,2384.0,6.3,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,54.16,,,,,,,,28,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Strategic,Strategic,135.0,0.0,-0.069
SL,2023-05-24,81.4,2.31,4.99,"Pratto, Nick",668472,571510,,ball,,,,,11,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,B,,,2,1,2023,0.01,0.39,-1.27,2.73,,,677951.0,1,4,Bot,,,,,606992,,,-8.131199641680405,-118.36180760717016,0.7902575867459223,1.630273997214421,22.622800420561664,-28.85128439200933,3.3,1.57,,,,82.2,2250.0,6.9,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.64,,,,,,,,28,4,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,262.0,0.0,0.11
SI,2023-05-24,89.2,2.19,5.24,"Pratto, Nick",668472,571510,,foul,,,,,3,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,S,,,2,0,2023,1.3,0.71,0.46,3.0,,,677951.0,1,4,Bot,,,,,606992,,,-7.055086223176107,-129.66153254523687,-0.9619222537221612,16.18293186625031,27.48333756992507,-24.226212328190904,3.3,1.57,149.0,65.5,21.0,89.9,2203.0,6.8,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.68,,,,,,,,28,3,Sinker,0,1,0,1,1,0,0,1,Strategic,Standard,130.0,0.0,-0.084
FF,2023-05-24,89.2,2.0,5.38,"Pratto, Nick",668472,571510,,ball,,,,,11,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,B,,,1,0,2023,0.91,1.08,-0.25,3.5,,,677951.0,1,4,Bot,,,,,606992,,,-7.49930725077254,-129.70399687226563,-0.8770855150064698,11.87308899658484,26.377883222301087,-19.98523931779104,3.3,1.57,,,,90.0,2313.0,6.7,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.77,,,,,,,,28,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,138.0,0.0,0.069
SL,2023-05-24,80.6,2.41,5.04,"Pratto, Nick",668472,571510,,ball,,,,,13,Nick Pratto walks.   Bobby Witt Jr.  to 2nd.,R,L,L,KC,DET,B,,,0,0,2023,-0.1,0.15,-1.48,2.08,,,677951.0,1,4,Bot,,,,,606992,,,-8.534920187829591,-117.11296965634472,-0.2004525469493759,0.5633652575030044,20.619809660905425,-30.95155725332845,3.3,1.57,,,,81.7,2448.0,6.9,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.57,,,,,,,,28,1,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,283.0,0.0,0.046
CH,2023-05-24,89.1,-2.55,5.48,"Pratto, Nick",668472,656638,strikeout,swinging_strike,,,,,13,Nick Pratto strikes out swinging.,R,L,R,KC,DET,S,2.0,,2,2,2023,-1.29,0.1,-0.69,1.38,,686469.0,,2,9,Bot,,,,,606992,,,7.253293604702241,-129.543156173153,-4.288531239423225,-16.048093141909412,24.97084468090467,-30.362963768622176,3.3,1.57,,,,89.3,1725.0,6.3,718039,656638,606992,679529,570731,670097,595879,656716,682985,663837,54.22,,,0.0,1.0,0.0,0.0,,80,5,Changeup,4,6,4,6,6,4,4,6,Strategic,Standard,252.0,-0.046,-0.239
CH,2023-05-24,88.8,-2.39,5.63,"Pratto, Nick",668472,656638,,swinging_strike,,,,,4,Nick Pratto strikes out swinging.,R,L,R,KC,DET,S,,,2,1,2023,-1.24,0.06,-0.6,2.23,,686469.0,,2,9,Bot,,,,,606992,,,6.973220019648164,-129.29182946550412,-2.4618470767889247,-15.32034210617845,24.65754920491264,-31.25582771142109,3.3,1.57,,,,89.1,1524.0,6.2,718039,656638,606992,679529,570731,670097,595879,656716,682985,663837,54.25,,,,,,,,80,4,Changeup,4,6,4,6,6,4,4,6,Strategic,Strategic,251.0,0.0,-0.082
CU,2023-05-24,85.6,-2.44,5.55,"Pratto, Nick",668472,656638,,ball,,,,,11,Nick Pratto strikes out swinging.,R,L,R,KC,DET,B,,,1,1,2023,0.31,-0.49,-1.62,2.98,,686469.0,,2,9,Bot,,,,,606992,,,1.2954951798766507,-124.77292027106192,1.1207944379580663,2.997097778433897,23.00459940878405,-37.74128139293157,3.3,1.57,,,,85.8,2355.0,6.1,718039,656638,606992,679529,570731,670097,595879,656716,682985,663837,54.39,,,,,,,,80,3,Curveball,4,6,4,6,6,4,4,6,Standard,Strategic,58.0,0.0,0.025
SL,2023-05-24,81.1,2.32,4.98,"Pratto, Nick",668472,571510,strikeout,swinging_strike,,,,,13,Nick Pratto strikes out swinging.,R,L,L,KC,DET,S,2.0,,2,2,2023,-0.14,0.21,-0.37,1.37,,,686469.0,2,1,Bot,,,,,606992,,,-5.806056655767996,-118.08850905891518,-1.934648684783304,-0.3510441485721732,20.473471292549725,-30.01882570241241,3.3,1.57,,,,82.3,2402.0,6.9,718039,571510,606992,679529,570731,656716,595879,668731,682985,663837,53.64,,,0.0,1.0,0.0,0.0,,8,5,Slider,0,0,0,0,0,0,0,0,Strategic,Strategic,289.0,-0.022,-0.207
