pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-04-09,86.4,-2.56,5.64,"Cruz, Oneil",665833,656629,walk,ball,,,,,14,Oneil Cruz walks.,R,L,R,PIT,CWS,B,,,3,1,2023,0.35,-0.13,0.96,1.61,,,,0,6,Bot,,,,,664874,,,7.74539302387794,-125.7267623151777,-3.163104582073195,2.2529677864180973,23.936172767245285,-33.17519279591293,3.71,1.82,,,,87.3,2485.0,6.7,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.78,,,0.7,1.0,0.0,0.0,,41,5,Slider,1,0,1,0,0,1,1,0,Standard,Standard,62.0,0.031,0.229
SL,2023-04-09,83.9,-2.66,5.58,"Cruz, Oneil",665833,656629,,ball,,,,,14,Oneil Cruz walks.,R,L,R,PIT,CWS,B,,,1,1,2023,0.4,-0.36,1.11,0.92,,,,0,6,Bot,,,,,664874,,,7.966867567153192,-121.83579444248042,-3.6148871276736223,2.2769410837809674,26.064919797883537,-35.16684386771309,3.77,1.79,,,,84.2,2416.0,6.8,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.68,,,,,,,,41,3,Slider,1,0,1,0,0,1,1,0,Standard,Standard,46.0,0.0,0.05
CH,2023-04-09,88.4,-2.66,5.42,"Cruz, Oneil",665833,656629,,ball,,,,,13,Oneil Cruz walks.,R,L,R,PIT,CWS,B,,,0,1,2023,-1.31,0.8,-1.41,2.56,,,,0,6,Bot,,,,,664874,,,5.852407489745012,-128.60187376369146,-2.574497997734852,-15.797369038678696,27.16644365803203,-22.96181710050979,3.86,1.77,,,,89.3,1705.0,6.9,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.58,,,,,,,,41,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,222.0,0.0,0.03
SL,2023-04-09,82.5,-2.66,5.66,"Cruz, Oneil",665833,656629,,called_strike,,,,,8,Oneil Cruz walks.,R,L,R,PIT,CWS,S,,,0,0,2023,0.27,-0.51,0.14,1.65,,,,0,6,Bot,,,,,664874,,,5.873841168559393,-120.05476603682465,-1.5912203955504678,1.4569971598245723,24.216996463046865,-37.02268252561928,3.76,1.77,,,,82.8,2193.0,6.6,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.91,,,,,,,,41,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,41.0,0.0,-0.037
FF,2023-04-09,95.2,-2.43,5.84,"Cruz, Oneil",665833,656629,field_out,hit_into_play,,,,,9,"Oneil Cruz grounds out, second baseman Elvis Andrus to first baseman Andrew Vaughn.",R,L,R,PIT,CWS,X,4.0,ground_ball,0,2,2023,-0.86,1.46,0.52,2.16,,,,0,3,Bot,141.93,142.53,,,664874,,,9.7671551818872,-138.2081031615452,-7.316864458968638,-13.275016167241578,31.30821330662764,-11.998311983525896,3.79,1.82,14.0,115.8,-8.0,95.9,2533.0,6.9,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.62,0.414,0.373,0.0,1.0,0.0,0.0,2.0,20,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,213.0,-0.02,-0.149
SL,2023-04-09,83.9,-2.55,5.81,"Cruz, Oneil",665833,656629,,foul,,,,,13,"Oneil Cruz grounds out, second baseman Elvis Andrus to first baseman Andrew Vaughn.",R,L,R,PIT,CWS,S,,,0,2,2023,0.34,-0.03,-1.08,2.05,,,,0,3,Bot,,,,,664874,,,2.7592142727712177,-122.24052627379956,-2.277442477732527,2.8586454454908337,23.621782873228664,-32.20987728768361,3.79,1.82,119.0,57.2,64.0,84.7,2271.0,6.7,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.83,,,,,,,,20,3,Slider,1,0,1,0,0,1,1,0,Standard,Standard,62.0,0.0,0.0
FF,2023-04-09,94.5,-2.61,5.82,"Cruz, Oneil",665833,656629,,foul,,,,,6,"Oneil Cruz grounds out, second baseman Elvis Andrus to first baseman Andrew Vaughn.",R,L,R,PIT,CWS,S,,,0,1,2023,-0.47,1.58,0.56,2.71,,,,0,3,Bot,,,,,664874,,,9.378331364566176,-137.16104470738512,-5.960793972963126,-7.984953721363888,30.81888213683303,-11.03088795191955,3.79,1.82,282.0,89.7,34.0,95.3,2446.0,6.9,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.57,,,,,,,,20,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,212.0,0.0,-0.049
FF,2023-04-09,93.6,-2.41,5.88,"Cruz, Oneil",665833,656629,,called_strike,,,,,9,"Oneil Cruz grounds out, second baseman Elvis Andrus to first baseman Andrew Vaughn.",R,L,R,PIT,CWS,S,,,0,0,2023,-0.51,1.5,0.57,2.0,,,,0,3,Bot,,,,,664874,,,8.917285190156333,-135.80148175329208,-7.602122336478621,-8.335245611088768,30.048406145490137,-12.042383675097064,3.74,1.74,,,,94.4,2331.0,6.9,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.58,,,,,,,,20,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,207.0,0.0,-0.037
SL,2023-04-09,85.9,-2.48,5.94,"Cruz, Oneil",665833,656629,field_out,hit_into_play,,,,,8,Oneil Cruz pops out to shortstop Tim Anderson.,R,L,R,PIT,CWS,X,6.0,popup,0,2,2023,0.62,-0.07,0.19,1.77,,,,0,1,Bot,90.93,136.6,,,664874,,,5.087470897440481,-124.98975121233627,-3.4331845205257494,5.359739996027459,27.779150132061652,-32.35829283540358,3.79,1.82,165.0,78.2,60.0,85.9,2357.0,6.5,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,53.98,0.031,0.032,0.0,1.0,0.0,0.0,3.0,4,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,73.0,-0.021,-0.149
SL,2023-04-09,84.5,-2.57,5.88,"Cruz, Oneil",665833,656629,,called_strike,,,,,1,Oneil Cruz pops out to shortstop Tim Anderson.,R,L,R,PIT,CWS,S,,,0,1,2023,0.43,0.01,-0.46,3.23,,,,0,1,Bot,,,,,664874,,,4.075312091830591,-122.90238670794714,0.2577311385834255,3.452237381376871,26.830482765324355,-32.41722416953852,3.82,1.78,,,,84.4,2334.0,6.5,718653,656629,664874,683734,462101,660162,641313,643217,693049,663853,54.02,,,,,,,,4,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,67.0,0.0,-0.049
