pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,86.8,-0.61,5.93,"Cabrera, Oswaldo",665828,543056,strikeout,swinging_strike,,,,,4,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,S,2.0,,3,2,2023,-0.31,-0.01,-0.41,2.11,,,,0,8,Bot,,,,,543510,,,1.098327333367536,-126.38315309490795,-2.893081534399054,-3.553352091332096,26.32301693841979,-31.92455778790685,3.25,1.51,,,,85.9,2590.0,5.7,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.79,,,0.0,1.0,0.0,0.0,,70,7,Slider,6,9,6,9,9,6,6,9,Standard,Standard,212.0,-0.025,-0.314
SL,2023-05-24,87.4,-0.6,6.04,"Cabrera, Oswaldo",665828,543056,,foul,,,,,8,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,S,,,3,2,2023,-0.58,0.07,-0.02,1.77,,,,0,8,Bot,,,,,543510,,,2.568676984676435,-127.27315086903523,-4.27062077783838,-6.820862805768416,25.22478566327411,-30.807564818027963,3.25,1.51,4.0,71.7,-26.0,86.7,2685.0,5.7,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.76,,,,,,,,70,6,Slider,6,9,6,9,9,6,6,9,Standard,Standard,205.0,0.0,0.0
ST,2023-05-24,81.5,-0.73,6.13,"Cabrera, Oswaldo",665828,543056,,ball,,,,,12,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,B,,,2,2,2023,-1.41,-0.91,0.44,3.95,,,,0,8,Bot,,,,,543510,,,5.239022399249845,-118.47596848676858,3.387566145105165,-14.322879624686372,22.87926268549706,-41.64044774347848,3.25,1.51,,,,80.2,2531.0,5.5,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,55.04,,,,,,,,70,5,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,328.0,0.0,0.108
KC,2023-05-24,80.6,-0.72,6.22,"Cabrera, Oswaldo",665828,543056,,ball,,,,,12,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,B,,,1,2,2023,-0.67,-1.96,0.48,3.74,,,,0,8,Bot,,,,,543510,,,3.866236081996396,-117.02791097918548,4.904909218218377,-6.951392506501995,25.38686406585066,-51.284004073232914,3.25,1.51,,,,78.8,2737.0,5.5,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.98,,,,,,,,70,4,Knuckle Curve,6,9,6,9,9,6,6,9,Standard,Standard,345.0,0.0,0.03
SL,2023-05-24,86.2,-0.41,5.95,"Cabrera, Oswaldo",665828,543056,,called_strike,,,,,6,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,S,,,1,1,2023,-0.36,-0.18,0.37,2.37,,,,0,8,Bot,,,,,543510,,,2.553753049703616,-125.5082897414816,-1.8923006585259956,-4.344982355276645,26.53702403737332,-33.873670046979505,3.25,1.51,,,,85.0,2654.0,5.6,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.92,,,,,,,,70,3,Slider,6,9,6,9,9,6,6,9,Standard,Standard,224.0,0.0,-0.053
ST,2023-05-24,83.6,-0.72,6.03,"Cabrera, Oswaldo",665828,543056,,ball,,,,,13,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,B,,,0,1,2023,-1.27,-0.96,-1.79,-0.76,,,,0,8,Bot,,,,,543510,,,0.0344524090222506,-121.57466722051932,-7.209606178458083,-12.56206367145527,25.29853371141528,-40.42401168883623,3.25,1.51,,,,82.3,2719.0,5.6,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.92,,,,,,,,70,2,Sweeper,6,9,6,9,9,6,6,9,Standard,Standard,339.0,0.0,0.03
SI,2023-05-24,91.1,-0.46,5.99,"Cabrera, Oswaldo",665828,543056,,called_strike,,,,,8,Oswaldo Cabrera strikes out swinging.,R,R,L,NYY,BAL,S,,,0,0,2023,0.97,0.77,-0.13,1.5,,,,0,8,Bot,,,,,543510,,,-1.2454953842537693,-132.54848008529967,-6.940158082743746,11.704027334012093,29.29881832714333,-21.800844682397347,3.25,1.51,,,,89.9,2441.0,5.6,718040,543056,543510,663624,624428,683002,622761,669720,656775,623993,54.89,,,,,,,,70,1,Sinker,6,9,6,9,9,6,6,9,Standard,Standard,164.0,0.0,-0.037
FF,2023-05-23,91.8,-1.36,6.4,"Cabrera, Oswaldo",665828,680694,single,hit_into_play,,,,,5,Oswaldo Cabrera singles on a line drive to left fielder Austin Hays.,R,L,R,NYY,BAL,X,7.0,line_drive,0,1,2023,0.52,0.79,0.26,2.46,,,,0,5,Bot,95.85,91.34,,,668939,,,2.978127503786825,-133.73589942858084,-5.909234886662771,5.698815003909424,25.055566679894984,-21.67129969310664,3.26,1.51,221.0,85.4,15.0,92.2,2423.0,6.1,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.35,0.954,0.897,0.9,1.0,1.0,0.0,4.0,39,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,174.0,0.044,0.431
CU,2023-05-23,84.4,-1.34,6.35,"Cabrera, Oswaldo",665828,680694,,swinging_strike,,,,,13,Oswaldo Cabrera singles on a line drive to left fielder Austin Hays.,R,L,R,NYY,BAL,S,,,0,0,2023,0.7,-1.17,-0.15,0.11,,,,0,5,Bot,,,,,668939,,,1.3687883018681712,-122.87638419600891,-5.825766794563541,6.826678326487686,25.437833032344763,-43.04441679176728,3.26,1.51,,,,84.7,2403.0,6.6,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,53.95,,,,,,,,39,1,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,28.0,0.0,-0.037
CH,2023-05-23,89.5,-1.59,6.3,"Cabrera, Oswaldo",665828,680694,field_out,hit_into_play,,,,,1,Oswaldo Cabrera flies out to left fielder Austin Hays.,R,L,R,NYY,BAL,X,7.0,fly_ball,1,0,2023,-0.71,0.45,-0.48,3.01,,664056.0,543309.0,2,2,Bot,60.8,75.67,,,668939,,,4.253490479673213,-130.29554624728354,-3.07239823855242,-9.004867201639323,28.434779241375445,-26.55413510531208,3.26,1.51,344.0,98.3,33.0,89.9,1279.0,6.6,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,53.9,0.286,0.552,0.0,1.0,0.0,0.0,5.0,18,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,229.0,-0.047,-0.545
