pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,92.6,-1.4,5.91,"Miller, Owen",680911,656232,home_run,hit_into_play,,,,,7,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,X,,fly_ball,1,2,2023,-0.99,0.51,-0.35,1.9,,,,0,7,Bot,121.57,30.71,,,455117,,,4.784918074152758,-134.86684554557223,-5.571881086993519,-13.066032059622009,27.223085759118284,-24.97780638928034,3.1,1.38,416.0,105.3,23.0,92.1,2204.0,5.8,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.74,0.851,1.447,2.0,1.0,0.0,3.0,6.0,47,6,Sinker,2,0,2,0,0,3,3,0,Standard,Standard,218.0,0.053,1.06
FF,2023-05-24,92.9,-1.07,6.11,"Miller, Owen",680911,656232,,foul,,,,,5,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,S,,,1,2,2023,-0.62,1.17,0.22,2.53,,,,0,7,Bot,,,,,455117,,,4.589352591498543,-135.1299334305783,-5.90355477942628,-8.544935131338958,28.375225888573,-16.764500455830653,3.1,1.38,263.0,86.6,47.0,91.9,2404.0,5.7,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.85,,,,,,,,47,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,209.0,0.0,0.0
CH,2023-05-24,86.0,-1.42,5.97,"Miller, Owen",680911,656232,,foul,,,,,9,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,S,,,1,2,2023,-1.19,0.33,0.57,1.54,,,,0,7,Bot,,,,,455117,,,7.028622576941479,-125.0347825008018,-4.89058179887888,-13.914410297170203,23.48326891481397,-27.941827184580944,3.1,1.38,3.0,68.5,-28.0,85.0,1923.0,5.5,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.99,,,,,,,,47,4,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,230.0,0.0,0.0
SI,2023-05-24,92.3,-1.28,5.91,"Miller, Owen",680911,656232,,ball,,,,,9,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,B,,,0,2,2023,-0.72,0.58,0.82,1.18,,,,0,7,Bot,,,,,455117,,,6.8345750832312335,-134.250613168704,-7.472833129353478,-10.069273008810928,25.736726823696944,-23.8644292019303,2.95,1.26,,,,91.9,2291.0,5.8,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.71,,,,,,,,47,3,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,223.0,0.0,0.026
SL,2023-05-24,81.7,-1.27,6.03,"Miller, Owen",680911,656232,,foul,,,,,6,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,S,,,0,1,2023,1.14,-0.16,0.37,2.49,,,,0,7,Bot,,,,,455117,,,1.4884534200828297,-119.02511414041167,-1.107218337373211,10.51853185263385,23.068288050414168,-33.67413444072791,3.1,1.38,10.0,57.0,-14.0,80.5,2335.0,5.4,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,55.06,,,,,,,,47,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,33.0,0.0,-0.049
SL,2023-05-24,81.8,-1.38,6.06,"Miller, Owen",680911,656232,,called_strike,,,,,3,Owen Miller homers (4) on a fly ball to center field.,R,R,R,MIL,HOU,S,,,0,0,2023,0.94,-0.16,0.38,2.62,,,,0,7,Bot,,,,,455117,,,2.1370143621037743,-119.18072544291948,-0.9073041587938686,8.573485581636188,22.94586733292234,-33.715601717723395,2.9,1.32,,,,80.8,2328.0,5.5,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.98,,,,,,,,47,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,42.0,0.0,-0.037
SI,2023-05-24,91.5,-1.36,5.96,"Miller, Owen",680911,656232,grounded_into_double_play,hit_into_play,,,,,7,"Owen Miller grounds into a double play, shortstop Jeremy Pena to second baseman Mauricio Dubon to first baseman Jose Abreu.   Rowdy Tellez out at 2nd.    Owen Miller out at 1st.",R,R,R,MIL,HOU,X,6.0,ground_ball,0,0,2023,-1.15,0.57,-0.53,1.53,,,642133.0,0,4,Bot,112.54,152.64,,,455117,,,4.508463845057094,-133.13671594893293,-6.486160198448741,-14.66915119378927,28.05696243902667,-24.24605250315413,3.1,1.38,,,,90.5,2070.0,5.6,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.89,,,0.0,,0.0,0.0,,27,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,217.0,-0.048,-0.528
FF,2023-05-24,93.1,-1.04,6.28,"Miller, Owen",680911,656232,field_out,hit_into_play,,,,,11,Owen Miller flies out to center fielder Jake Meyers.,R,R,R,MIL,HOU,X,8.0,fly_ball,1,2,2023,-0.49,1.05,-0.31,3.66,,,,1,1,Bot,123.87,53.83,,,455117,,,2.882936644729515,-135.54189819110266,-3.235639427663837,-6.675000877617554,29.37222171564737,-18.668113520936377,3.1,1.38,359.0,94.1,25.0,91.9,2362.0,5.5,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,55.01,0.157,0.207,0.0,1.0,0.0,0.0,3.0,9,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,205.0,-0.011,-0.121
SL,2023-05-24,81.5,-1.28,6.1,"Miller, Owen",680911,656232,,called_strike,,,,,7,Owen Miller flies out to center fielder Jake Meyers.,R,R,R,MIL,HOU,S,,,1,1,2023,1.08,-0.37,-0.5,1.57,,,,1,1,Bot,,,,,455117,,,-0.316675804095046,-118.67021491813178,-2.8283621875566,10.17392132645382,24.26683727330795,-35.282631386516805,3.01,1.29,,,,80.2,2397.0,5.5,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.96,,,,,,,,9,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,42.0,0.0,-0.044
SL,2023-05-24,81.7,-1.27,6.1,"Miller, Owen",680911,656232,,swinging_strike,,,,,9,Owen Miller flies out to center fielder Jake Meyers.,R,R,R,MIL,HOU,S,,,1,0,2023,1.12,-0.32,0.32,1.73,,,,1,1,Bot,,,,,455117,,,1.416776776680551,-118.9891704018254,-2.600738845785816,10.274958913686286,24.011173800925285,-34.90860362515396,3.1,1.38,,,,80.5,2334.0,5.5,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.97,,,,,,,,9,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,31.0,0.0,-0.036
