pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,79.2,1.86,6.19,"Reyes, Pablo",622569,542881,field_out,hit_into_play,,,,,14,"Pablo Reyes grounds out, third baseman Gio Urshela to first baseman Brandon Drury.",R,R,L,LAA,BOS,X,5.0,ground_ball,2,2,2023,1.02,0.81,0.19,1.2,,571771.0,,2,4,Top,112.49,180.42,,,595453,,,-5.558655481525129,-115.10455041732124,-5.545408956381609,10.177743083361458,23.62853401039256,-24.098494098181213,3.24,1.59,1.0,77.9,-45.0,79.0,1871,6.5,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.01,0.1,0.09,0.0,1.0,0.0,0.0,2.0,31,5,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,135,0.02,-0.242
CH,2023-05-24,78.9,1.92,6.21,"Reyes, Pablo",622569,542881,,blocked_ball,,,,,13,"Pablo Reyes grounds out, third baseman Gio Urshela to first baseman Brandon Drury.",R,R,L,LAA,BOS,B,,,1,2,2023,1.06,1.17,-0.27,0.94,,571771.0,,2,4,Top,,,,,595453,,,-6.754581062485256,-114.42403601725805,-6.700100254006736,10.599356500683792,23.69094285047927,-20.806932754724745,3.24,1.59,,,,78.5,1963,6.5,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.0,,,,,,,,31,4,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,139,0.0,0.014
FF,2023-05-24,88.5,1.51,6.31,"Reyes, Pablo",622569,542881,,called_strike,,,,,7,"Pablo Reyes grounds out, third baseman Gio Urshela to first baseman Brandon Drury.",R,R,L,LAA,BOS,S,,,1,1,2023,0.29,1.75,-0.51,1.55,,571771.0,,2,4,Top,,,,,595453,,,-5.51829824656749,-128.45657328012354,-9.08242044677326,4.532433745612842,31.06160378768827,-11.028226957173471,3.24,1.59,,,,87.8,2176,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.12,,,,,,,,31,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,157,0.0,-0.071
FC,2023-05-24,81.3,1.91,6.26,"Reyes, Pablo",622569,542881,,called_strike,,,,,1,"Pablo Reyes grounds out, third baseman Gio Urshela to first baseman Brandon Drury.",R,R,L,LAA,BOS,S,,,1,0,2023,-0.62,0.94,-0.47,2.74,,571771.0,,2,4,Top,,,,,595453,,,-4.146968767131199,-118.38056851695876,-3.0972377053939444,-5.048190524834999,22.78008145408522,-22.931092648856623,3.24,1.59,,,,81.2,2475,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.27,,,,,,,,31,2,Cutter,5,1,1,5,1,5,1,5,Standard,Standard,174,0.0,-0.062
CH,2023-05-24,79.9,1.79,6.46,"Reyes, Pablo",622569,542881,,ball,,,,,12,"Pablo Reyes grounds out, third baseman Gio Urshela to first baseman Brandon Drury.",R,R,L,LAA,BOS,B,,,0,0,2023,1.13,1.33,0.83,3.71,,571771.0,,2,4,Top,,,,,595453,,,-4.221810578312407,-116.24861174986452,-1.7260553084968702,11.001974606661628,25.039656483055715,-20.1602810459634,3.24,1.59,,,,79.2,1889,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.32,,,,,,,,31,1,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,135,0.0,0.036
FF,2023-05-24,88.0,1.62,6.36,"Reyes, Pablo",622569,542881,single,hit_into_play,,,,,2,"Pablo Reyes singles on a sharp ground ball to left fielder Taylor Ward, deflected by shortstop Zach Neto.   Rafael Devers to 3rd.",R,R,L,LAA,BOS,X,6.0,ground_ball,3,2,2023,0.28,1.51,-0.01,2.78,,,646240.0,1,2,Top,102.97,107.43,,,595453,,,-4.553101431480138,-128.00832641968046,-5.681278396821036,4.069615525358215,26.64652891135084,-14.642649912361785,3.24,1.59,129.0,106.8,6.0,88.0,2056,6.3,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.16,0.609,0.562,0.9,1.0,1.0,0.0,4.0,9,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,162,-0.065,0.434
CH,2023-05-24,80.5,1.86,6.35,"Reyes, Pablo",622569,542881,,blocked_ball,,,,,14,"Pablo Reyes singles on a sharp ground ball to left fielder Taylor Ward, deflected by shortstop Zach Neto.   Rafael Devers to 3rd.",R,R,L,LAA,BOS,B,,,2,2,2023,1.39,1.09,0.74,0.42,,,646240.0,1,2,Top,,,,,595453,,,-5.121818947033499,-116.88980562477546,-8.489374152438241,13.684227796945,23.45138419227698,-20.69701903798206,3.24,1.59,,,,80.2,1881,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.13,,,,,,,,9,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,136,0.0,0.114
FF,2023-05-24,87.3,1.66,6.42,"Reyes, Pablo",622569,542881,,foul,,,,,4,"Pablo Reyes singles on a sharp ground ball to left fielder Taylor Ward, deflected by shortstop Zach Neto.   Rafael Devers to 3rd.",R,R,L,LAA,BOS,S,,,2,1,2023,0.28,1.66,-0.64,2.13,,,646240.0,1,2,Top,,,,,595453,,,-6.100438375515124,-126.79156611036508,-7.544309081803985,4.303991576130262,26.915842210156963,-12.88320287616364,3.24,1.59,174.0,70.7,58.0,87.1,2132,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.14,,,,,,,,9,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,159,0.0,-0.072
CH,2023-05-24,79.6,1.67,6.37,"Reyes, Pablo",622569,542881,,swinging_strike,,,,,9,"Pablo Reyes singles on a sharp ground ball to left fielder Taylor Ward, deflected by shortstop Zach Neto.   Rafael Devers to 3rd.",R,R,L,LAA,BOS,S,,,2,0,2023,1.01,1.17,0.43,1.51,,,646240.0,1,2,Top,,,,,595453,,,-4.60481800770941,-115.7012145059794,-6.071162513772287,9.9470481643357,22.97270227484468,-20.717795553596453,3.24,1.59,,,,79.5,1871,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.1,,,,,,,,9,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,144,0.0,-0.084
CH,2023-05-24,79.1,1.71,6.42,"Reyes, Pablo",622569,542881,,ball,,,,,12,"Pablo Reyes singles on a sharp ground ball to left fielder Taylor Ward, deflected by shortstop Zach Neto.   Rafael Devers to 3rd.",R,R,L,LAA,BOS,B,,,1,0,2023,1.1,1.14,0.89,3.74,,,646240.0,1,2,Top,,,,,595453,,,-3.8288093140479713,-115.05390813816948,-1.1377400660692398,10.451954885454604,23.043704046484667,-22.084439969123324,3.24,1.59,,,,78.8,1861,6.3,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.22,,,,,,,,9,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,135,0.0,0.069
