pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,90.4,-1.71,6.09,"DeJong, Paul",657557,668933,field_out,hit_into_play,,,,,8,Paul DeJong flies out to right fielder Wil Myers.,R,R,R,CIN,STL,X,9.0,fly_ball,1,1,2023,1.06,0.04,0.08,1.82,,640458.0,,2,5,Top,153.5,114.35,,,663886,,,2.210262541440759,-131.56542321090538,-4.688789864024214,11.685261909726586,30.303610169766277,-30.89810026335831,3.38,1.59,224.0,92.6,53.0,89.5,2911.0,5.9,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.6,0.003,0.003,0.0,1.0,0.0,0.0,3.0,41,3,Slider,3,7,7,3,7,3,7,3,Standard,Standard,57.0,0.012,-0.299
SL,2023-05-23,88.7,-1.76,6.14,"DeJong, Paul",657557,668933,,swinging_strike,,,,,6,Paul DeJong flies out to right fielder Wil Myers.,R,R,R,CIN,STL,S,,,1,0,2023,1.35,0.18,0.43,2.54,,640458.0,,2,5,Top,,,,,663886,,,2.5107179029267246,-129.17342914528749,-3.0764587740969738,14.488732121435376,29.39951031474513,-29.705211437347057,3.38,1.59,,,,87.8,2871.0,5.9,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.62,,,,,,,,41,2,Slider,3,7,7,3,7,3,7,3,Standard,Standard,56.0,0.0,-0.062
SL,2023-05-23,88.9,-2.02,6.05,"DeJong, Paul",657557,668933,,ball,,,,,4,Paul DeJong flies out to right fielder Wil Myers.,R,R,R,CIN,STL,B,,,0,0,2023,1.13,0.15,-0.81,2.18,,640458.0,,2,5,Top,,,,,663886,,,0.6005681148802905,-129.48382073435874,-3.700287999802817,12.519066830652427,28.697768816213895,-29.95587135347618,3.41,1.54,,,,88.0,2892.0,5.8,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.71,,,,,,,,41,1,Slider,3,7,7,3,7,3,7,3,Strategic,Standard,62.0,0.0,0.036
FC,2023-05-23,96.2,-1.74,6.16,"DeJong, Paul",657557,668933,hit_by_pitch,hit_by_pitch,,,,,11,Paul DeJong hit by pitch.,R,R,R,CIN,STL,B,,,0,0,2023,-0.37,0.6,-2.04,4.06,,,,1,4,Top,,,,,663886,,,0.0566610080067664,-140.11972305011648,-1.3699901259437328,-4.92834346759604,30.9051527205401,-24.114846623384214,3.38,1.59,,,,95.5,2332.0,5.7,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.75,,,0.7,1.0,0.0,0.0,,29,1,Cutter,3,4,4,3,4,3,4,3,Standard,Standard,187.0,-0.025,0.274
FC,2023-05-23,97.0,-1.62,6.38,"DeJong, Paul",657557,668933,single,hit_into_play,,,,,3,Paul DeJong singles on a ground ball to center fielder TJ Friedl.,R,R,R,CIN,STL,X,8.0,ground_ball,1,1,2023,-0.16,0.5,0.63,2.99,,,,1,2,Top,111.73,97.6,,,663886,,,6.326180131461076,-141.25923266940333,-4.701006180675063,-3.47912576213597,29.82762225769679,-24.610191034313765,3.38,1.59,99.0,96.0,6.0,96.5,2488.0,5.8,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.72,0.514,0.473,0.9,1.0,1.0,0.0,4.0,11,3,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,169.0,-0.026,0.278
SL,2023-05-23,88.9,-1.76,6.3,"DeJong, Paul",657557,668933,,foul,,,,,6,Paul DeJong singles on a ground ball to center fielder TJ Friedl.,R,R,R,CIN,STL,S,,,1,0,2023,1.1,0.51,0.32,2.75,,,,1,2,Top,,,,,663886,,,2.7873109117372943,-129.451748959354,-3.723646533047833,11.8002691924765,25.984005601332065,-25.89617042606692,3.38,1.59,250.0,74.0,45.0,88.1,2810.0,5.7,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.84,,,,,,,,11,2,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,59.0,0.0,-0.036
SL,2023-05-23,87.7,-1.8,6.27,"DeJong, Paul",657557,668933,,ball,,,,,11,Paul DeJong singles on a ground ball to center fielder TJ Friedl.,R,R,R,CIN,STL,B,,,0,0,2023,1.44,0.38,-0.9,4.66,,,,1,2,Top,,,,,663886,,,-0.7984184565401398,-127.8006098189498,1.4266750735394362,15.946659538084624,26.512985425739977,-28.555617005244507,3.17,1.59,,,,87.0,2757.0,5.8,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.73,,,,,,,,11,1,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,61.0,0.0,0.029
CU,2023-05-23,83.2,-0.52,6.14,"DeJong, Paul",657557,641427,field_out,hit_into_play,,,,,9,"Paul DeJong grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,STL,X,5.0,ground_ball,1,2,2023,0.5,-0.67,0.34,1.92,,,,1,8,Top,95.85,164.7,,,663886,,,0.9764698152617076,-121.16801308865108,-1.884939882737675,4.742171841327893,24.57313297381576,-38.60850357841132,3.38,1.59,118.0,75.4,11.0,82.4,2701.0,5.8,718059,641427,663886,668715,621028,669222,680574,641584,670770,571976,54.74,0.294,0.269,0.0,1.0,0.0,0.0,4.0,64,4,Curveball,5,7,7,5,7,5,7,5,Strategic,Standard,31.0,0.009,-0.121
FF,2023-05-23,95.7,-0.52,6.12,"DeJong, Paul",657557,641427,,ball,,,,,11,"Paul DeJong grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,STL,B,,,0,2,2023,-0.66,1.4,-0.31,5.28,,,,1,8,Top,,,,,663886,,,2.007450530536519,-139.36849283872942,0.2274646146323103,-9.015370810666504,31.90338273063678,-14.267302605195315,3.22,1.59,,,,94.3,2457.0,5.5,718059,641427,663886,668715,621028,669222,680574,641584,670770,571976,55.02,,,,,,,,64,3,4-Seam Fastball,5,7,7,5,7,5,7,5,Strategic,Standard,214.0,0.0,0.014
FC,2023-05-23,91.2,-0.53,6.1,"DeJong, Paul",657557,641427,,swinging_strike,,,,,3,"Paul DeJong grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,STL,S,,,0,1,2023,-0.06,0.69,0.46,3.29,,,,1,8,Top,,,,,663886,,,2.5872545439165577,-132.89171205409528,-2.693006464197204,-1.1918248323239389,25.590252195147656,-23.65220983253152,3.38,1.59,,,,90.7,2634.0,5.7,718059,641427,663886,668715,621028,669222,680574,641584,670770,571976,54.79,,,,,,,,64,2,Cutter,5,7,7,5,7,5,7,5,Strategic,Standard,207.0,0.0,-0.036
