pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,81.9,2.0,6.4,"Devers, Rafael",646240,542881,field_out,hit_into_play,,,,,7,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,X,6.0,line_drive,2,2,2023,-0.53,0.14,-0.28,1.55,,,,1,6,Top,120.25,138.24,,,595453,,,-4.10223265322087,-119.16863747472355,-4.665384732743796,-4.316926500996446,22.71845694727805,-30.11188165802476,3.26,1.47,157.0,102.3,8.0,81.7,2504.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.35,0.703,0.689,0.0,1.0,0.0,0.0,4.0,46,6,Cutter,7,1,1,7,1,7,1,7,Strategic,Standard,203.0,0.004,-0.151
FF,2023-05-24,90.2,1.55,6.37,"Devers, Rafael",646240,542881,,foul,,,,,5,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,2,2,2023,0.41,1.59,-0.11,2.2,,,,1,6,Top,,,,,595453,,,-4.992178550237243,-131.0571247602176,-7.733738815681763,5.859756740210975,29.432505583970983,-12.362685755860609,3.26,1.47,192.0,75.3,58.0,89.7,2224.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.3,,,,,,,,46,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,154.0,0.0,0.0
FF,2023-05-24,91.4,1.46,6.44,"Devers, Rafael",646240,542881,,ball,,,,,11,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,B,,,1,2,2023,0.27,1.58,-1.93,2.89,,,,1,6,Top,,,,,595453,,,-9.053536053145374,-132.67972582464606,-6.396297825327558,5.240440954066564,30.73028527720517,-12.274203078556477,3.26,1.47,,,,90.5,2256.0,6.1,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.45,,,,,,,,46,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,157.0,0.0,0.03
FC,2023-05-24,83.3,2.21,6.11,"Devers, Rafael",646240,542881,,swinging_strike,,,,,13,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,1,1,2023,-0.44,0.77,-0.99,1.14,,,,1,6,Top,,,,,595453,,,-6.512767770602936,-121.15266485554557,-6.533180254245419,-3.138518581101496,22.38566319520457,-23.540568373670915,3.26,1.47,,,,84.0,2478.0,6.6,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.86,,,,,,,,46,3,Cutter,7,1,1,7,1,7,1,7,Strategic,Standard,187.0,0.0,-0.044
FF,2023-05-24,87.9,1.81,6.34,"Devers, Rafael",646240,542881,,swinging_strike,,,,,2,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,1,0,2023,0.39,1.63,0.03,3.17,,,,1,6,Top,,,,,595453,,,-5.11681755017603,-127.77237130828378,-4.8491566916724445,5.424059946694652,29.04336295204658,-13.617816576418454,3.26,1.47,,,,87.3,2188.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.31,,,,,,,,46,2,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,157.0,0.0,-0.036
CH,2023-05-24,78.8,1.93,6.5,"Devers, Rafael",646240,542881,,ball,,,,,12,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,B,,,0,0,2023,1.17,1.11,0.63,3.75,,,,1,6,Top,,,,,595453,,,-4.990494744555722,-114.65183499170224,-1.1396187872662158,11.292276265241927,23.235131738779494,-22.47296740697615,3.26,1.47,,,,78.3,1875.0,6.1,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.35,,,,,,,,46,1,Changeup,7,1,1,7,1,7,1,7,Strategic,Standard,139.0,0.0,0.029
FF,2023-05-24,89.3,1.45,6.41,"Devers, Rafael",646240,542881,field_out,hit_into_play,,,,,11,Rafael Devers flies out to left fielder Taylor Ward in foul territory.,R,L,L,LAA,BOS,X,7.0,fly_ball,2,2,2023,0.18,1.53,-0.83,2.69,,807799.0,,1,4,Top,36.95,118.78,,,595453,,,-6.015817003588188,-129.74787215519547,-6.32856245750868,3.3480707771916896,29.078744065560837,-13.81282090859714,3.26,1.47,294.0,91.8,41.0,89.3,2110.0,6.6,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.94,0.003,0.003,0.0,1.0,0.0,0.0,3.0,29,6,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,162.0,0.018,-0.272
FC,2023-05-24,80.4,2.15,6.27,"Devers, Rafael",646240,542881,,foul,,,,,4,Rafael Devers flies out to left fielder Taylor Ward in foul territory.,R,L,L,LAA,BOS,S,,,2,2,2023,-0.52,0.56,-0.45,2.04,,807799.0,,1,4,Top,,,,,595453,,,-4.81544450436911,-117.005437682241,-3.750095928540111,-3.8287198081161216,22.92623429797224,-26.50843258973115,3.26,1.47,181.0,76.7,58.0,80.8,2516.0,6.6,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.87,,,,,,,,29,5,Cutter,5,0,0,5,0,5,0,5,Standard,Standard,204.0,0.0,0.0
FF,2023-05-24,89.5,1.44,6.3,"Devers, Rafael",646240,542881,,ball,,,,,13,Rafael Devers flies out to left fielder Taylor Ward in foul territory.,R,L,L,LAA,BOS,B,,,1,2,2023,0.05,1.73,-2.52,1.46,,807799.0,,1,4,Top,,,,,595453,,,-9.831345542492793,-129.559863907397,-9.379079803331186,3.079198898987308,33.16900103991799,-10.810401570940954,3.26,1.47,,,,88.3,2256.0,6.3,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.17,,,,,,,,29,4,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,163.0,0.0,0.053
SI,2023-05-24,86.0,3.03,5.13,"Devers, Rafael",646240,542881,,foul_tip,,,,,6,Rafael Devers flies out to left fielder Taylor Ward in foul territory.,R,L,L,LAA,BOS,S,,,1,1,2023,1.48,0.71,0.42,2.07,,807799.0,,1,4,Top,,,,,595453,,,-9.24314911125147,-124.76743269591316,-2.2847324928101247,17.495709556692248,30.324246508226,-24.52820433378421,3.26,1.47,,,,85.5,2179.0,6.6,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.87,,,,,,,,29,3,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,120.0,0.0,-0.1
