pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,89.8,1.65,6.34,"Tapia, Raimel",606132,542881,walk,ball,,,,,13.0,Raimel Tapia walks.,R,L,L,LAA,BOS,B,,,3,1,2023,0.18,1.64,-0.9,1.18,,,,1,5,Top,,,,,595453,,,-6.6743429267343775,-130.26297946896807,-10.109988951247892,3.6204130021349576,30.67651789760559,-11.45178758746302,3.28,1.54,,,,88.9,2314.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.32,,,0.7,1.0,0.0,0.0,,38,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,160.0,-0.008,0.166
FF,2023-05-24,88.4,1.62,6.44,"Tapia, Raimel",606132,542881,,called_strike,,,,,11.0,Raimel Tapia walks.,R,L,L,LAA,BOS,S,,,3,0,2023,-0.04,1.71,-0.85,2.54,,,,1,5,Top,,,,,595453,,,-5.926727213346449,-128.4027915311681,-6.883851497965957,0.986507200922042,30.1445611430827,-12.04880049837665,3.28,1.54,,,,87.6,2216.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.29,,,,,,,,38,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,160.0,0.0,-0.049
FC,2023-05-24,82.5,2.06,6.21,"Tapia, Raimel",606132,542881,,ball,,,,,13.0,Raimel Tapia walks.,R,L,L,LAA,BOS,B,,,2,0,2023,-0.69,0.66,-1.62,0.8,,,,1,5,Top,,,,,595453,,,-7.054190925523209,-119.87298842808607,-7.047585230691408,-5.189873506451683,24.061002147889138,-24.592800419864528,3.28,1.54,,,,82.5,2427.0,6.5,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.02,,,,,,,,38,3,Cutter,7,1,1,7,1,7,1,7,Standard,Standard,155.0,0.0,0.084
FC,2023-05-24,83.3,2.13,6.24,"Tapia, Raimel",606132,542881,,ball,,,,,13.0,Raimel Tapia walks.,R,L,L,LAA,BOS,B,,,1,0,2023,-0.6,0.63,-1.47,0.98,,,,1,5,Top,,,,,595453,,,-7.069923419868088,-120.9854752598718,-6.796421046392259,-4.464212349748044,24.72186625307536,-24.783424276184547,3.28,1.54,,,,83.0,2483.0,6.3,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.23,,,,,,,,38,2,Cutter,7,1,1,7,1,7,1,7,Standard,Standard,177.0,0.0,0.045
SI,2023-05-24,87.9,2.63,5.92,"Tapia, Raimel",606132,542881,,ball,,,,,12.0,Raimel Tapia walks.,R,L,L,LAA,BOS,B,,,0,0,2023,1.47,0.9,1.75,2.82,,,,1,5,Top,,,,,595453,,,-5.135722381489944,-127.81553610764578,-3.153331826487997,17.20676353400707,29.786684400747777,-21.905970284743542,3.28,1.54,,,,86.8,2191.0,5.9,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.55,,,,,,,,38,1,Sinker,7,1,1,7,1,7,1,7,Standard,Standard,138.0,0.0,0.029
FC,2023-05-24,85.6,2.19,6.27,"Tapia, Raimel",606132,542881,field_out,hit_into_play,,,,,13.0,"Raimel Tapia grounds out, shortstop Zach Neto to first baseman Brandon Drury.",R,L,L,LAA,BOS,X,6.0,ground_ball,1,2,2023,-0.35,0.65,-1.57,1.84,,,,0,3,Top,112.49,155.82,,,595453,,,-8.177423810239572,-124.42926970519362,-5.555306906760713,-2.2062418194550477,22.256856520856665,-24.5614990528939,3.28,1.54,33.0,73.7,0.0,86.3,2481.0,6.5,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.96,0.14,0.126,0.0,1.0,0.0,0.0,2.0,18,4,Cutter,4,0,0,4,0,4,0,4,Standard,Standard,164.0,0.017,-0.175
SI,2023-05-24,88.2,3.07,5.21,"Tapia, Raimel",606132,542881,,called_strike,,,,,4.0,"Raimel Tapia grounds out, shortstop Zach Neto to first baseman Brandon Drury.",R,L,L,LAA,BOS,S,,,1,1,2023,1.53,0.59,-0.45,2.67,,,,0,3,Top,,,,,595453,,,-11.715074945172654,-127.97659711939076,-1.2946680097250316,19.234914749389898,26.0578575863987,-25.61896167368836,3.28,1.54,,,,88.1,2182.0,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.12,,,,,,,,18,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,114.0,0.0,-0.053
FF,2023-05-24,88.3,1.85,6.32,"Tapia, Raimel",606132,542881,,called_strike,,,,,5.0,"Raimel Tapia grounds out, shortstop Zach Neto to first baseman Brandon Drury.",R,L,L,LAA,BOS,S,,,1,0,2023,0.5,1.62,0.26,2.21,,,,0,3,Top,,,,,595453,,,-4.888155151109906,-128.36193579544175,-7.278023908226404,6.466835670686074,25.44113430314173,-12.91215312881582,3.28,1.54,,,,88.2,2189.0,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.32,,,,,,,,18,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,158.0,0.0,-0.046
FF,2023-05-24,88.3,1.6,6.52,"Tapia, Raimel",606132,542881,,ball,,,,,13.0,"Raimel Tapia grounds out, shortstop Zach Neto to first baseman Brandon Drury.",R,L,L,LAA,BOS,B,,,0,0,2023,0.45,1.77,-1.1,1.96,,,,0,3,Top,,,,,595453,,,-7.515188421101541,-128.2236351256541,-8.719250406940576,6.435229999960251,24.78023462539026,-10.98532939524939,3.28,1.54,,,,88.6,2111.0,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.06,,,,,,,,18,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,163.0,0.0,0.039
CH,2023-05-24,89.1,-1.14,5.44,"Tapia, Raimel",606132,606625,single,hit_into_play,,,,,4.0,Raimel Tapia singles on a sharp line drive to right fielder Hunter Renfroe.,R,L,R,LAA,BOS,X,9.0,line_drive,0,2,2023,-1.46,0.69,-0.52,2.26,,,,1,7,Top,158.09,90.22,,,595453,,,4.645901146161008,-129.5714428254794,-3.1838685747226187,-17.364559878668686,30.059961602204226,-24.006891523275826,3.28,1.54,186.0,106.1,9.0,89.6,2016.0,6.9,718034,606625,595453,592273,650859,570482,687263,621493,545361,592669,53.61,0.743,0.725,0.9,1.0,1.0,0.0,4.0,54,5,Changeup,7,2,2,7,2,7,2,7,Standard,Standard,218.0,-0.009,0.336
