pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,92.2,-0.9,5.74,"Laureano, Ramón",657656,682243,field_out,hit_into_play,,,,,9,Ramon Laureano lines out to shortstop J.  P. Crawford.,R,R,R,SEA,OAK,X,6.0,line_drive,1,0,2023,-0.14,1.68,0.64,1.9,,,,0,5,Top,108.38,146.18,,,663728,,,4.212269866039997,-134.0749621746176,-7.631285273572013,-2.605507524766308,27.630763253201607,-10.417594649602805,3.08,1.41,144.0,87.5,9.0,92.4,2511.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.14,0.506,0.455,0.0,1.0,0.0,0.0,4.0,39,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,194.0,0.011,-0.274
SL,2023-05-24,83.4,-1.4,5.49,"Laureano, Ramón",657656,682243,,ball,,,,,11,Ramon Laureano lines out to shortstop J.  P. Crawford.,R,R,R,SEA,OAK,B,,,0,0,2023,0.19,0.37,-0.89,2.91,,,,0,5,Top,,,,,663728,,,0.7971591280618285,-121.69433713515532,-0.3261948021600415,1.7921917248438135,19.82020918885364,-28.62314576060206,3.25,1.5,,,,84.4,2285.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.08,,,,,,,,39,1,Slider,5,0,0,5,0,5,0,5,Standard,Standard,109.0,0.0,0.039
FF,2023-05-24,96.1,-0.73,5.74,"Laureano, Ramón",657656,682243,strikeout,called_strike,,,,,8,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,2.0,,3,2,2023,-0.1,1.74,-0.16,1.65,,,,2,2,Top,,,,,663728,,,1.743627477201154,-139.68570788779056,-9.172996856724623,-1.7545964085702734,32.2929486019722,-7.51423653684802,3.16,1.52,,,,96.0,2660.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.17,,,0.0,1.0,0.0,0.0,,10,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.01,-0.132
FF,2023-05-24,96.2,-0.64,5.87,"Laureano, Ramón",657656,682243,,ball,,,,,11,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,B,,,2,2,2023,-0.24,1.69,-1.1,3.77,,,,2,2,Top,,,,,663728,,,-0.6628599682207895,-140.0734734338584,-3.784353590971273,-2.962074751454683,33.496406908393105,-9.3254028315375,3.08,1.41,,,,95.8,2693.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.34,,,,,,,,10,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,0.0,0.041
FF,2023-05-24,95.6,-0.62,5.89,"Laureano, Ramón",657656,682243,,foul,,,,,1,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,,,2,2,2023,-0.54,1.4,-0.33,2.79,,,,2,2,Top,,,,,663728,,,1.973563866966651,-139.21455803006114,-5.717173430529224,-7.457143526387585,31.7020935616226,-12.849325727613314,3.08,1.41,106.0,87.0,89.0,95.5,2572.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.26,,,,,,,,10,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.0,0.0
SL,2023-05-24,86.8,-0.96,5.55,"Laureano, Ramón",657656,682243,,foul,,,,,3,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,,,2,2,2023,0.09,0.14,0.41,2.58,,,,2,2,Top,,,,,663728,,,3.113959532204165,-126.50239156063084,-1.2441080677166187,0.3821103436452342,24.3295193317404,-30.631100412854945,3.08,1.41,241.0,77.6,37.0,87.2,2311.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.18,,,,,,,,10,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,92.0,0.0,0.0
FF,2023-05-24,94.6,-0.85,5.73,"Laureano, Ramón",657656,682243,,foul,,,,,1,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,,,2,1,2023,-0.3,1.61,-0.32,2.56,,,,2,2,Top,,,,,663728,,,2.0567715728599745,-137.6605177153397,-6.164724878338685,-4.238483751668776,29.659715553106334,-10.562885075948728,3.08,1.41,185.0,78.1,17.0,94.7,2541.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.2,,,,,,,,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,189.0,0.0,-0.03
FF,2023-05-24,96.1,-0.83,5.73,"Laureano, Ramón",657656,682243,,ball,,,,,11,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,B,,,1,1,2023,-0.4,1.69,-0.92,3.97,,,,2,2,Top,,,,,663728,,,0.6790118107652751,-140.01933144259948,-2.932484875937946,-5.361650259820982,30.29468010634696,-9.382072683277338,3.14,1.47,,,,96.5,2549.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.17,,,,,,,,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,0.0,0.023
FF,2023-05-24,95.7,-0.87,5.79,"Laureano, Ramón",657656,682243,,foul,,,,,1,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,,,1,0,2023,-0.55,1.76,-0.31,2.86,,,,2,2,Top,,,,,663728,,,2.7245897199475952,-139.29971235508137,-6.101507842211618,-7.756097754908702,30.714738948996363,-8.063490901851889,3.08,1.41,,,,95.7,2689.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.25,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,256.0,0.0,-0.027
FF,2023-05-24,96.1,-0.79,5.77,"Laureano, Ramón",657656,682243,,ball,,,,,12,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,B,,,0,0,2023,-0.42,1.63,0.04,3.63,,,,2,2,Top,,,,,663728,,,3.150154041966723,-139.94061804215818,-3.793157656387455,-6.255702690702689,30.570009499214244,-10.110089939725167,3.21,1.55,,,,96.2,2728.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.27,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194.0,0.0,0.021
