pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,89.6,-1.42,5.81,"McGuire, Reese",624512,656288,strikeout,swinging_strike,,,,,13,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,1,2,2023,0.03,-0.26,-0.03,0.82,,,,1,5,Top,,,,,642136,,,3.3450670533309577,-130.31127103946744,-5.707944598835498,-0.3959146271641039,29.00115510421295,-34.02100002707537,3.31,1.63,,,,88.6,2804.0,5.9,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.65,,,0.0,1.0,0.0,0.0,,33,5,Slider,1,0,0,1,0,1,0,1,Standard,Standard,18.0,0.023,-0.121
CH,2023-05-23,90.4,-1.41,5.71,"McGuire, Reese",624512,656288,,foul,,,,,4,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,S,,,1,2,2023,-1.46,0.44,-0.8,2.42,,,,1,5,Top,,,,,642136,,,4.565976189456392,-131.52384269164222,-3.1539215907721703,-17.901671028903856,29.28832806242905,-26.60555700288247,3.31,1.63,6.0,74.2,-22.0,89.4,1669.0,5.8,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.69,,,,,,,,33,4,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,229.0,0.0,0.0
CH,2023-05-23,89.2,-1.38,5.73,"McGuire, Reese",624512,656288,,swinging_strike,,,,,5,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,S,,,1,1,2023,-1.4,0.28,0.13,2.25,,,,1,5,Top,,,,,642136,,,6.575092879460951,-129.7934473871134,-3.093149976523356,-17.210779646402813,27.40262266218119,-28.58770375000101,3.31,1.63,,,,88.4,1667.0,5.8,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.69,,,,,,,,33,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,231.0,0.0,-0.044
SL,2023-05-23,89.4,-1.39,5.82,"McGuire, Reese",624512,656288,,ball,,,,,13,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,B,,,0,1,2023,0.16,-0.3,-0.93,2.08,,,,1,5,Top,,,,,642136,,,0.7930115184044703,-130.20539388606514,-2.527723237797925,1.6269215700808122,29.15770091170345,-35.20509393788678,3.46,1.71,,,,88.4,2679.0,5.8,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.72,,,,,,,,33,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,29.0,0.0,0.021
FF,2023-05-23,94.7,-1.26,5.75,"McGuire, Reese",624512,656288,,called_strike,,,,,8,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,S,,,0,0,2023,-0.66,1.25,-0.21,1.86,,,,1,5,Top,,,,,642136,,,4.197967630006181,-137.67349539000335,-7.242214182889049,-9.348238635820492,31.658368647699614,-14.911911055335452,3.43,1.66,,,,94.4,2010.0,6.2,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.26,,,,,,,,33,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,217.0,0.0,-0.028
FF,2023-05-23,95.5,-1.09,5.99,"McGuire, Reese",624512,656288,strikeout,foul_tip,,,,,11,Reese McGuire strikes out on a foul tip.,R,L,R,LAA,BOS,S,2.0,,0,2,2023,-0.85,1.25,-0.76,4.21,,671213.0,665839.0,2,2,Top,,,,,642136,,,2.7620757683649457,-139.0642733738559,-1.8451546691581504,-11.619147640474818,32.74978466481873,-15.813551033743424,3.31,1.63,,,,95.0,2159.0,6.1,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.44,,,0.0,1.0,0.0,0.0,,15,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,211.0,0.047,-0.277
CH,2023-05-23,90.6,-1.2,5.83,"McGuire, Reese",624512,656288,,foul,,,,,7,Reese McGuire strikes out on a foul tip.,R,L,R,LAA,BOS,S,,,0,1,2023,-1.46,0.2,-0.37,2.04,,671213.0,665839.0,2,2,Top,,,,,642136,,,5.15501840038701,-131.68095941089044,-3.865877929655217,-18.09831968853496,31.87435576404953,-29.123036349816218,3.31,1.63,2.0,85.9,-46.0,89.4,1729.0,5.9,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.58,,,,,,,,15,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,222.0,0.0,-0.108
CU,2023-05-23,82.0,-1.13,5.95,"McGuire, Reese",624512,656288,,called_strike,,,,,2,Reese McGuire strikes out on a foul tip.,R,L,R,LAA,BOS,S,,,0,0,2023,1.13,-0.78,-0.13,2.97,,671213.0,665839.0,2,2,Top,,,,,642136,,,0.0635077899916252,-119.33659278124456,1.429546342665368,10.65339707593095,27.405903325791524,-40.08919887105278,3.41,1.66,,,,80.9,2362.0,6.0,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.49,,,,,,,,15,1,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,25.0,0.0,-0.086
CH,2023-05-21,81.5,-1.45,6.55,"McGuire, Reese",624512,608379,single,hit_into_play,,,,,9,Reese McGuire singles on a soft ground ball to catcher Brett Sullivan.   Raimel Tapia to 2nd.,R,L,R,SD,BOS,X,2.0,ground_ball,0,0,2023,-1.17,1.11,0.49,1.51,,,606132.0,2,5,Top,124.66,200.02,,,664954,,,6.646577870429185,-118.31256406507396,-6.785194422790269,-12.309410322590429,25.322789677198895,-20.61555576310351,3.31,1.63,1.0,41.5,-64.0,81.5,1601.0,6.7,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,53.8,0.217,0.204,0.9,1.0,1.0,0.0,1.0,37,1,Changeup,6,0,0,6,0,6,0,6,Standard,Standard,238.0,-0.006,0.316
CU,2023-05-21,75.8,-1.74,6.47,"McGuire, Reese",624512,608379,field_out,hit_into_play,,,,,2,Reese McGuire lines out to center fielder Trent Grisham.,R,L,R,SD,BOS,X,8.0,line_drive,0,1,2023,1.04,-0.81,-0.17,3.16,,,,1,3,Top,133.07,70.1,,,664954,,,1.3954866261531462,-110.20392029267772,1.7464874276683575,8.106464749950906,22.88048186665095,-39.30749932021502,3.31,1.63,350.0,95.6,25.0,75.3,2251.0,6.4,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,54.14,0.289,0.389,0.0,1.0,0.0,0.0,5.0,20,2,Curveball,4,0,0,4,0,4,0,4,Strategic,Standard,33.0,0.011,-0.144
