pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,94.2,-0.93,6.28,"González, Romy",663853,615698,double,hit_into_play,,,,,4,Romy Gonzalez doubles (2) on a sharp fly ball to right fielder Gabriel Arias.   Andrew Vaughn scores.    Gavin Sheets scores.    Clint Frazier to 3rd.,R,R,R,CLE,CWS,X,9.0,fly_ball,2,0,2023,-0.96,1.29,-0.44,2.23,683734.0,657757.0,640449.0,1,4,Top,217.65,103.16,,,595956,,,3.4294658522566266,-137.06964973553406,-7.727457181127712,-12.833832936111053,28.71384871965795,-14.396735212726414,3.41,1.68,327.0,101.7,28.0,94.8,2204.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.97,0.78,1.488,1.25,1.0,1.0,1.0,6.0,26,3,Sinker,0,2,2,0,4,0,4,0,Standard,Standard,213.0,-0.108,1.676
FC,2023-05-24,90.1,-1.12,6.2,"González, Romy",663853,615698,,blocked_ball,,,,,14,Romy Gonzalez doubles (2) on a sharp fly ball to right fielder Gabriel Arias.   Andrew Vaughn scores.    Gavin Sheets scores.    Clint Frazier to 3rd.,R,R,R,CLE,CWS,B,,,1,0,2023,-0.07,0.58,0.79,0.58,683734.0,657757.0,640449.0,1,4,Top,,,,,595956,,,4.910581664592871,-131.1034943324032,-9.362318513823045,-1.7051471885242968,22.5933304980386,-23.94644077477458,3.39,1.68,,,,91.0,2189.0,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.06,,,,,,,,26,2,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,211.0,0.0,0.135
FC,2023-05-24,86.1,-1.09,6.25,"González, Romy",663853,615698,,ball,,,,,14,Romy Gonzalez doubles (2) on a sharp fly ball to right fielder Gabriel Arias.   Andrew Vaughn scores.    Gavin Sheets scores.    Clint Frazier to 3rd.,R,R,R,CLE,CWS,B,,,0,0,2023,0.02,0.59,1.31,0.77,683734.0,657757.0,640449.0,1,4,Top,,,,,595956,,,5.675208364832485,-125.27594828675564,-8.070453827149771,-0.7768616729711154,22.146212846270224,-24.674395302072355,3.41,1.72,,,,86.9,2311.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.0,,,,,,,,26,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,169.0,0.0,0.081
SI,2023-05-24,93.6,-1.07,6.39,"González, Romy",663853,615698,field_out,hit_into_play,,,,,7,"Romy Gonzalez grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,X,5.0,ground_ball,2,0,2023,-0.99,1.25,-0.66,1.61,,640449.0,,0,3,Top,107.21,165.41,,,595956,,,3.25746312090823,-136.20190889065324,-9.52254761893856,-13.103947452209542,23.76630187190336,-14.865372478303511,3.41,1.68,3.0,98.4,-30.0,94.8,2187.0,6.6,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.95,0.077,0.069,0.0,1.0,0.0,0.0,2.0,14,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.047,-0.432
FC,2023-05-24,89.0,-1.29,6.34,"González, Romy",663853,615698,,ball,,,,,13,"Romy Gonzalez grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,B,,,1,0,2023,-0.13,0.71,-1.0,2.13,,,640449.0,0,3,Top,,,,,595956,,,0.9907996644203572,-129.71193484969348,-5.87018245148593,-1.664946988798686,23.32368821125897,-23.25012724540257,3.41,1.69,,,,89.6,,6.3,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.22,,,,,,,,14,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,,-0.029,0.085
FC,2023-05-24,87.5,-1.33,6.29,"González, Romy",663853,615698,,ball,,,,,14,"Romy Gonzalez grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,B,,,0,0,2023,0.12,0.71,0.85,2.43,,,640449.0,0,3,Top,,,,,595956,,,5.030860254203292,-127.49833685745462,-4.785932542556727,0.4854416205316547,21.535114689750078,-23.658699403519304,3.41,1.72,,,,88.5,,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.08,,,,,,,,14,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,,0.0,0.037
SI,2023-05-24,91.8,-3.04,4.22,"González, Romy",663853,680704,field_out,hit_into_play,,,,,4,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,X,3.0,ground_ball,2,1,2023,-1.01,-0.36,-0.76,2.35,,,,0,7,Top,152.66,164.2,,,681807,,,8.010535663377889,-133.39763168224002,1.968305658514957,-13.790146334550318,29.816028246315916,-37.14631408328661,3.41,1.68,17.0,101.2,-7.0,92.1,1987.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.9,0.234,0.211,0.0,1.0,0.0,0.0,2.0,46,4,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,255.0,0.001,-0.278
SI,2023-05-24,91.7,-3.09,4.29,"González, Romy",663853,680704,,ball,,,,,2,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,B,,,1,1,2023,-0.99,-0.18,0.08,3.33,,,,0,7,Top,,,,,681807,,,10.18169479456264,-133.15673271517605,3.8098530374031783,-13.90318900504952,26.003851354760247,-35.29583518403062,3.27,1.64,,,,92.2,1993.0,6.5,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,54.0,,,,,,,,46,3,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,249.0,0.0,0.05
SL,2023-05-24,79.4,-3.07,3.92,"González, Romy",663853,680704,,ball,,,,,14,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,B,,,0,1,2023,0.97,0.1,0.48,0.82,,,,0,7,Top,,,,,681807,,,5.9673702788097645,-115.51933477560968,-0.196765763844211,7.641789050274125,21.160391487845533,-31.491530894614066,3.37,1.68,,,,79.7,2671.0,6.5,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,54.0,,,,,,,,46,2,Slider,0,6,6,0,6,0,6,0,Standard,Standard,90.0,0.0,0.03
SL,2023-05-24,80.5,-3.11,3.92,"González, Romy",663853,680704,,called_strike,,,,,6,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,S,,,0,0,2023,0.85,0.47,0.58,2.68,,,,0,7,Top,,,,,681807,,,6.630517232386061,-117.0875375892768,3.0707236291568094,6.543535228511941,21.99162325390651,-28.693009559391637,3.37,1.68,,,,81.0,2542.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.89,,,,,,,,46,1,Slider,0,6,6,0,6,0,6,0,Standard,Standard,103.0,0.0,-0.037
FC,2023-05-23,87.5,2.28,5.3,"González, Romy",663853,671106,double,hit_into_play,,,,,11,Romy Gonzalez doubles (1) on a sharp line drive to left fielder Steven Kwan.   Andrew Benintendi scores.    Adam Haseley scores.    Clint Frazier to 3rd.,R,R,L,CLE,CWS,X,7.0,line_drive,0,0,2023,-0.26,0.78,-0.97,2.71,643217.0,656514.0,640449.0,0,7,Top,31.29,94.83,,,572287,,,-7.333684159031617,-127.38186394608022,-1.7939812764792409,-1.5325286315432027,23.420716762550697,-23.439573962047152,3.4,1.68,289.0,112.8,18.0,88.5,2242.0,6.6,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.85,0.84,1.204,1.25,1.0,1.0,1.0,6.0,51,1,Cutter,2,2,2,2,4,2,4,2,Strategic,Standard,188.0,-0.158,1.687
FF,2023-05-23,91.2,2.33,5.27,"González, Romy",663853,671106,field_out,hit_into_play,,,,,11,"Romy Gonzalez grounds out, shortstop Amed Rosario to first baseman Josh Naylor.",R,R,L,CLE,CWS,X,6.0,ground_ball,1,1,2023,0.32,1.27,-1.66,2.63,,,,0,6,Top,102.95,149.48,,,572287,,,-10.764973820622467,-132.55397613602224,-3.544110507348357,5.800236601877286,25.077844209953223,-16.547457560744714,3.4,1.68,112.0,56.6,16.0,92.1,2200.0,6.6,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.85,0.166,0.149,0.0,1.0,0.0,0.0,1.0,37,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,160.0,0.033,-0.228
CH,2023-05-23,82.6,2.4,5.21,"González, Romy",663853,671106,,ball,,,,,13,"Romy Gonzalez grounds out, shortstop Amed Rosario to first baseman Josh Naylor.",R,R,L,CLE,CWS,B,,,0,1,2023,0.03,0.34,-0.9,0.26,,,,0,6,Top,,,,,572287,,,-7.611504233968371,-120.07937185037149,-5.515606051313642,1.6011938983073453,20.600411951362933,-28.03415440884501,3.4,1.73,,,,83.3,1026.0,6.5,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.95,,,,,,,,37,2,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,126.0,0.0,0.03
ST,2023-05-23,78.1,2.37,5.29,"González, Romy",663853,671106,,called_strike,,,,,8,"Romy Gonzalez grounds out, shortstop Amed Rosario to first baseman Josh Naylor.",R,R,L,CLE,CWS,S,,,0,0,2023,-1.2,-0.29,0.15,1.8,,,,0,6,Top,,,,,572287,,,-2.5928216792397154,-113.80023546595692,-0.1518505379309012,-10.04677955879018,19.551450103598693,-34.90258006784401,3.34,1.68,,,,78.6,2221.0,6.4,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,54.05,,,,,,,,37,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,302.0,0.0,-0.037
FF,2023-05-23,92.8,2.38,5.27,"González, Romy",663853,671106,field_out,hit_into_play,,,,,11,"Romy Gonzalez grounds out, shortstop Amed Rosario to first baseman Josh Naylor.",R,R,L,CLE,CWS,X,6.0,ground_ball,0,1,2023,0.28,1.04,-0.94,2.87,,,,2,3,Top,105.53,155.21,,,572287,,,-9.132870781161976,-134.98651099416523,-2.7336964526254226,5.097935652817602,24.636857274497423,-18.905727895318645,3.4,1.68,13.0,83.7,-12.0,93.9,2111.0,6.6,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.89,0.109,0.104,0.0,1.0,0.0,0.0,2.0,16,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,153.0,0.011,-0.083
FF,2023-05-23,92.3,2.36,5.24,"González, Romy",663853,671106,,foul,,,,,6,"Romy Gonzalez grounds out, shortstop Amed Rosario to first baseman Josh Naylor.",R,R,L,CLE,CWS,S,,,0,0,2023,0.42,1.42,0.42,2.74,,,,2,3,Top,,,,,572287,,,-5.944006917307641,-134.37470147839912,-3.714798129865339,6.369164422371947,26.96162898531925,-14.288916343844466,3.4,1.68,343.0,99.3,24.0,93.6,2245.0,6.9,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.62,,,,,,,,16,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,154.0,0.0,-0.021
FF,2023-05-23,93.7,-1.31,6.05,"González, Romy",663853,675540,walk,blocked_ball,,,,,14,Romy Gonzalez walks.,R,R,R,CLE,CWS,B,,,3,2,2023,-0.01,1.61,1.19,0.61,,640449.0,,1,9,Top,,,,,572287,,,6.487714747056964,-135.886186629293,-11.83779745059787,-1.559312142216886,30.96594228676631,-9.793354478325467,3.28,1.58,,,,93.7,2337.0,6.6,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,53.92,,,0.7,1.0,0.0,0.0,,67,9,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,191.0,-0.004,0.291
SL,2023-05-23,85.0,-1.75,6.01,"González, Romy",663853,675540,,ball,,,,,14,Romy Gonzalez walks.,R,R,R,CLE,CWS,B,,,2,2,2023,0.55,0.0,1.46,1.01,,640449.0,,1,9,Top,,,,,572287,,,6.4149910754423205,-123.55920606239732,-5.360634349740237,4.318858129403828,25.796981950430588,-31.28231293526124,3.28,1.65,,,,84.8,2312.0,6.3,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.16,,,,,,,,67,8,Slider,2,4,4,2,4,2,4,2,Standard,Standard,114.0,0.0,0.095
FF,2023-05-23,92.9,-1.51,6.16,"González, Romy",663853,675540,,foul,,,,,14,Romy Gonzalez walks.,R,R,R,CLE,CWS,S,,,2,2,2023,-0.11,1.7,1.07,2.49,,640449.0,,1,9,Top,,,,,572287,,,6.833970505070043,-134.9518269508846,-7.315346813147751,-2.820681944120182,28.906728754561893,-9.916001311867282,3.4,1.68,105.0,78.3,10.0,92.8,2197.0,6.3,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.21,,,,,,,,67,7,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,191.0,0.0,0.0
CU,2023-05-23,74.4,-1.43,6.0,"González, Romy",663853,675540,,foul,,,,,9,Romy Gonzalez walks.,R,R,R,CLE,CWS,S,,,2,2,2023,0.83,-1.07,0.31,1.87,,640449.0,,1,9,Top,,,,,572287,,,2.11781616821228,-108.24353051934428,0.7286632975630154,6.0558028584942445,21.02650849121168,-40.867836322362535,3.4,1.68,115.0,58.0,25.0,74.3,2539.0,6.5,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.05,,,,,,,,67,6,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,27.0,0.0,0.0
SL,2023-05-23,83.1,-1.59,6.1,"González, Romy",663853,675540,,ball,,,,,12,Romy Gonzalez walks.,R,R,R,CLE,CWS,B,,,1,2,2023,0.61,-0.04,0.97,2.98,,,640449.0,1,9,Top,,,,,572287,,,4.676079110695895,-121.05367796154346,-0.6197063989790246,5.079142365002054,22.960863972687267,-32.698130595403526,3.4,1.65,,,,83.3,2533.0,6.3,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.2,,,,,,,,67,5,Slider,2,4,4,2,4,2,4,2,Standard,Standard,80.0,-0.006,0.051
CU,2023-05-23,74.7,-1.57,6.02,"González, Romy",663853,675540,,foul,,,,,5,Romy Gonzalez walks.,R,R,R,CLE,CWS,S,,,1,2,2023,0.92,-1.03,-0.18,2.66,,,640449.0,1,9,Top,,,,,572287,,,1.2334979961533037,-108.6975847981711,2.16183541179936,7.040551057653943,20.50763127321345,-40.93383176299034,3.4,1.68,9.0,50.8,-17.0,74.7,2503.0,6.5,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.0,,,,,,,,67,4,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,31.0,0.0,0.0
FF,2023-05-23,92.5,-1.37,6.05,"González, Romy",663853,675540,,foul,,,,,6,Romy Gonzalez walks.,R,R,R,CLE,CWS,S,,,1,1,2023,-0.3,1.56,0.63,2.52,,,640449.0,1,9,Top,,,,,572287,,,5.745558875396724,-134.45072151096664,-6.571642087192983,-4.93304776091254,29.948621803441466,-12.072337729777814,3.4,1.68,138.0,76.8,11.0,92.3,2216.0,6.3,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.19,,,,,,,,67,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,195.0,0.0,-0.064
SL,2023-05-23,84.6,-1.75,6.03,"González, Romy",663853,675540,,ball,,,,,14,Romy Gonzalez walks.,R,R,R,CLE,CWS,B,,,0,1,2023,0.69,0.22,1.04,1.94,,,640449.0,1,9,Top,,,,,572287,,,5.121218911550887,-123.19692393689418,-3.600746442301147,5.997053140176675,24.84097360098879,-29.46807664333406,3.35,1.7,,,,84.5,2551.0,6.2,718063,675540,572287,647304,665926,608070,642708,680757,686823,672356,54.25,,,,,,,,67,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard,120.0,0.0,0.025
