pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-24,76.4,-2.31,5.28,"Odor, Rougned",596059,592866,home_run,hit_into_play,,,,,5,Rougned Odor homers (2) on a fly ball to right field.    Juan Soto scores.,R,L,R,WSH,SD,X,,fly_ball,2,1,2023,0.79,-0.3,-0.12,1.91,,,665742.0,2,4,Top,229.49,93.43,,,660688,,,3.229984905775796,-111.27721045200474,0.4582761386404426,6.050996460185536,19.134841887475805,-34.95085065695996,3.02,1.34,363.0,99.2,28.0,77.4,2256.0,6.9,718052,592866,660688,642086,671277,600869,682928,656448,669743,657041,53.63,0.517,0.919,2.0,1.0,0.0,3.0,6.0,30,4,Curveball,4,0,0,4,2,4,2,4,Strategic,Strategic,84.0,-0.122,1.836
FF,2023-05-24,88.9,-2.41,5.04,"Odor, Rougned",596059,592866,,foul,,,,,5,Rougned Odor homers (2) on a fly ball to right field.    Juan Soto scores.,R,L,R,WSH,SD,S,,,2,0,2023,-0.42,1.08,0.2,2.22,,,665742.0,2,4,Top,,,,,660688,,,7.384066066592774,-129.38052104499363,-3.2198688934212427,-6.172037294961846,24.905921483431136,-19.48696323582385,3.02,1.34,114.0,75.7,81.0,90.2,2250.0,6.9,718052,592866,660688,642086,671277,600869,682928,656448,669743,657041,53.59,,,,,,,,30,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Strategic,221.0,0.0,-0.035
CH,2023-05-24,83.9,-2.42,5.06,"Odor, Rougned",596059,592866,,ball,,,,,11,Rougned Odor homers (2) on a fly ball to right field.    Juan Soto scores.,R,L,R,WSH,SD,B,,,1,0,2023,-1.06,0.17,-1.11,2.23,,,665742.0,2,4,Top,,,,,660688,,,5.197932083546309,-122.09120639767217,-0.4975896830229357,-11.591163090253657,23.10060652608149,-30.57777894420488,3.01,1.44,,,,84.9,1731.0,6.9,718052,592866,660688,642086,671277,600869,682928,656448,669743,657041,53.64,,,,,,,,30,2,Changeup,4,0,0,4,0,4,0,4,Strategic,Standard,241.0,0.0,0.032
CH,2023-05-24,83.8,-2.34,5.01,"Odor, Rougned",596059,592866,,ball,,,,,13,Rougned Odor homers (2) on a fly ball to right field.    Juan Soto scores.,R,L,R,WSH,SD,B,,,0,0,2023,-1.23,0.39,-0.57,1.23,,,665742.0,2,4,Top,,,,,660688,,,6.583986152528697,-121.85107570645724,-3.130899707984171,-13.578427809395183,23.04536432574979,-27.87073576398688,3.15,1.51,,,,84.8,1848.0,6.9,718052,592866,660688,642086,671277,600869,682928,656448,669743,657041,53.61,,,,,,,,30,1,Changeup,4,0,0,4,0,4,0,4,Strategic,Standard,240.0,0.0,0.027
FF,2023-05-24,90.0,-2.49,5.03,"Odor, Rougned",596059,592866,single,hit_into_play,,,,,6,Rougned Odor singles on a ground ball to right fielder Lane Thomas.,R,L,R,WSH,SD,X,9.0,ground_ball,0,0,2023,-0.77,0.88,0.36,2.32,,,,1,2,Top,178.59,104.91,,,660688,,,8.77726291957146,-130.8414859075296,-2.6850361551135773,-10.57590820679368,24.649061210062428,-21.64050844095247,3.02,1.34,87.0,104.1,4.0,91.1,2234.0,6.8,718052,592866,660688,642086,671277,600869,682928,656448,669743,657041,53.72,0.583,0.529,0.9,1.0,1.0,0.0,4.0,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Strategic,226.0,-0.026,0.271
SI,2023-05-24,98.0,-1.75,5.69,"Odor, Rougned",596059,640448,field_out,hit_into_play,,,,,6,Rougned Odor pops out to shortstop CJ Abrams.,R,L,R,WSH,SD,X,6.0,popup,1,0,2023,-1.06,1.22,0.51,2.22,,,,1,9,Top,112.1,127.27,,,660688,,,8.607609779290277,-142.4537426453759,-6.793366533156368,-16.336153917809106,29.995286453610547,-14.16431315962095,3.02,1.34,185.0,84.9,61.0,99.1,2038.0,6.8,718052,640448,660688,642086,671277,600869,682928,656448,669743,657041,53.72,0.023,0.025,0.0,1.0,0.0,0.0,3.0,68,2,Sinker,5,3,3,5,3,5,3,5,Standard,Strategic,222.0,0.023,-0.2
SI,2023-05-24,97.4,-1.83,5.76,"Odor, Rougned",596059,640448,,ball,,,,,11,Rougned Odor pops out to shortstop CJ Abrams.,R,L,R,WSH,SD,B,,,0,0,2023,-0.98,1.15,-0.68,3.29,,,,1,9,Top,,,,,660688,,,5.4007600545424514,-141.76891881090026,-3.8211243680469895,-14.468085639967414,29.684256566927967,-15.940773371804132,3.01,1.44,,,,98.5,1890.0,6.7,718052,640448,660688,642086,671277,600869,682928,656448,669743,657041,53.8,,,,,,,,68,1,Sinker,5,3,3,5,3,5,3,5,Standard,Strategic,226.0,0.0,0.029
FF,2023-05-24,93.7,-1.88,6.49,"Odor, Rougned",596059,605218,field_out,hit_into_play,,,,,6,"Rougned Odor grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",R,L,R,WSH,SD,X,6.0,ground_ball,0,0,2023,0.23,1.19,0.53,2.45,,,572761.0,2,6,Top,139.0,145.51,,,660688,,,5.761405138158427,-136.32910232376778,-7.4388152734492285,1.74704081667648,26.88283078372546,-15.91400419373029,3.02,1.34,38.0,75.4,0.0,95.1,2485.0,6.9,718052,605218,660688,642086,671277,600869,682928,656448,669743,657041,53.65,0.134,0.123,0.0,1.0,0.0,0.0,2.0,47,1,4-Seam Fastball,5,3,3,5,3,5,3,5,Strategic,Strategic,189.0,0.03,-0.244
SL,2023-05-23,87.3,-2.16,6.02,"Odor, Rougned",596059,641771,strikeout,swinging_strike,,,,,11,Rougned Odor strikes out swinging.,R,L,R,WSH,SD,S,2.0,,2,2,2023,0.24,0.13,-0.61,3.19,,,,1,9,Top,,,,,660688,,,3.269204864140498,-127.17059202009628,-0.9624462492678088,1.9136692520141536,25.59106178668351,-30.748820711696013,3.03,1.35,,,,87.7,2496.0,6.4,718064,641771,660688,642086,671277,600869,682928,572816,669743,657041,54.06,,,0.0,1.0,0.0,0.0,,76,5,Slider,4,7,7,4,7,4,7,4,Standard,Standard,95.0,0.003,-0.151
SI,2023-05-23,96.1,-1.94,6.05,"Odor, Rougned",596059,641771,,ball,,,,,11,Rougned Odor strikes out swinging.,R,L,R,WSH,SD,B,,,1,2,2023,-0.91,1.41,-0.66,4.04,,,,1,9,Top,,,,,660688,,,5.452845893095646,-139.8370600296954,-2.910815925602165,-13.153531315092076,33.407773458042755,-13.303561680131637,2.88,1.34,,,,96.2,2310.0,6.5,718064,641771,660688,642086,671277,600869,682928,572816,669743,657041,54.03,,,,,,,,76,4,Sinker,4,7,7,4,7,4,7,4,Standard,Standard,222.0,0.0,0.03
