pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,91.2,-1.97,5.52,"Jeffers, Ryan",680777,543101,home_run,hit_into_play,,,,,7,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,X,,fly_ball,3,2,2023,-1.45,1.0,-0.58,1.78,,,,0,6,Bot,85.55,65.42,,,666165,,,6.649732219074402,-132.56505669016042,-5.679772541585609,-18.548288132996426,27.939746603864094,-19.296482324268805,3.27,1.6,433.0,109.9,23.0,91.6,2173.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.97,0.991,1.939,2.0,1.0,0.0,3.0,6.0,57,6,Sinker,6,1,6,1,1,7,7,1,Standard,Standard,222.0,0.011,0.921
SL,2023-05-24,85.2,-2.04,5.52,"Jeffers, Ryan",680777,543101,,swinging_strike,,,,,14,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,S,,,3,1,2023,0.21,0.42,1.43,2.3,,,,0,6,Bot,,,,,666165,,,7.75143607642778,-123.8825825752957,-2.1280857457654503,0.6606985305314147,23.33837809730677,-27.627128899253904,3.27,1.6,,,,85.5,2230.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.11,,,,,,,,57,5,Slider,6,1,6,1,1,6,6,1,Standard,Standard,147.0,0.0,-0.087
KC,2023-05-24,82.1,-1.99,5.41,"Jeffers, Ryan",680777,543101,,ball,,,,,14,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,B,,,2,1,2023,0.88,-0.32,1.81,0.36,,,,0,6,Bot,,,,,666165,,,6.9545598434977824,-119.34239049543751,-4.283180132444409,7.04686026466528,22.85095807762694,-34.60455414881268,3.27,1.6,,,,82.6,2263.0,6.7,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.84,,,,,,,,57,4,Knuckle Curve,6,1,6,1,1,6,6,1,Standard,Standard,49.0,0.0,0.123
FF,2023-05-24,90.9,-1.83,5.56,"Jeffers, Ryan",680777,543101,,foul,,,,,1,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,S,,,2,0,2023,-0.95,1.35,-0.76,2.91,,,,0,6,Bot,,,,,666165,,,4.7088956620168085,-132.29842351506775,-3.630224379259116,-12.124099749109412,28.203808680121757,-15.793441699477702,3.27,1.6,194.0,72.8,52.0,91.1,2374.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.11,,,,,,,,57,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,213.0,0.0,-0.062
SI,2023-05-24,90.2,-1.93,5.57,"Jeffers, Ryan",680777,543101,,ball,,,,,12,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,B,,,1,0,2023,-1.27,0.99,1.17,3.32,,,,0,6,Bot,,,,,666165,,,10.441103058347029,-131.09203752613402,-1.8281365302182853,-16.664914595746126,22.593050258068555,-20.393808699105648,3.27,1.6,,,,91.1,2157.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.01,,,,,,,,57,2,Sinker,6,1,6,1,1,6,6,1,Standard,Standard,224.0,0.0,0.066
SL,2023-05-24,85.8,-2.08,5.51,"Jeffers, Ryan",680777,543101,,ball,,,,,14,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,B,,,0,0,2023,0.1,0.66,1.42,0.38,,,,0,6,Bot,,,,,666165,,,8.081875261170003,-124.67194114006509,-7.273611115135545,-0.4063224876241659,22.98070120542264,-24.025741049245912,3.27,1.57,,,,86.2,2181.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.07,,,,,,,,57,1,Slider,6,1,6,1,1,6,6,1,Standard,Standard,195.0,0.0,0.039
SI,2023-05-24,91.7,-1.97,5.67,"Jeffers, Ryan",680777,543101,field_out,hit_into_play,,,,,6,Ryan Jeffers lines out sharply to right fielder Michael Conforto.,R,R,R,MIN,SF,X,9.0,line_drive,1,2,2023,-1.43,1.21,0.38,2.31,670242.0,,,2,3,Bot,179.17,95.54,,,666165,,,9.061581573466087,-133.25167561795203,-5.274217574425545,-18.99470922917498,28.37917920753811,-16.72550061040009,3.27,1.6,289.0,102.3,15.0,92.1,2322.0,6.6,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.89,0.671,0.665,0.0,1.0,0.0,0.0,4.0,33,4,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,222.0,-0.013,-0.304
KC,2023-05-24,82.6,-2.04,5.4,"Jeffers, Ryan",680777,543101,,ball,,,,,14,Ryan Jeffers lines out sharply to right fielder Michael Conforto.,R,R,R,MIN,SF,B,,,0,2,2023,0.78,-0.58,1.66,0.34,650489.0,,670242.0,2,3,Bot,,,,,666165,,,6.962876764908386,-120.0827224676438,-3.8034958776271743,5.950133541481528,26.413968810623977,-37.135602612461554,3.17,1.43,,,,83.1,2244.0,7.0,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.51,,,,,,,,33,3,Knuckle Curve,4,1,4,1,1,5,5,1,Standard,Standard,58.0,0.051,0.041
KC,2023-05-24,81.7,-2.03,5.42,"Jeffers, Ryan",680777,543101,,swinging_strike,,,,,14,Ryan Jeffers lines out sharply to right fielder Michael Conforto.,R,R,R,MIN,SF,S,,,0,1,2023,1.18,-0.65,1.13,0.92,650489.0,,670242.0,2,3,Bot,,,,,666165,,,4.85128889732196,-118.80121806856457,-2.177436432573117,9.892395437797092,26.783175257072337,-38.02708999112933,3.27,1.6,,,,81.5,2089.0,6.6,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.91,,,,,,,,33,2,Knuckle Curve,4,1,4,1,1,4,4,1,Standard,Standard,57.0,0.0,-0.114
SI,2023-05-24,94.5,-1.93,5.63,"Jeffers, Ryan",680777,543101,,called_strike,,,,,7,Ryan Jeffers lines out sharply to right fielder Michael Conforto.,R,R,R,MIN,SF,S,,,0,0,2023,-1.48,1.02,-0.43,1.73,650489.0,,670242.0,2,3,Bot,,,,,666165,,,7.231832013730955,-137.33335183044642,-6.7153754776650025,-20.383231409759407,32.28289131565335,-17.974364588141086,3.27,1.63,,,,94.5,2226.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.01,,,,,,,,33,1,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,220.0,0.0,-0.1
SI,2023-05-24,93.6,-1.89,5.64,"Jeffers, Ryan",680777,543101,walk,ball,,,,,14,Ryan Jeffers walks.,R,R,R,MIN,SF,B,,,3,2,2023,-1.33,0.91,1.09,1.39,,670242.0,,0,2,Bot,,,,,666165,,,10.622943635419624,-135.86690314116194,-7.304086226594303,-18.678417037274837,26.198070298635592,-19.48998366694241,3.37,1.6,,,,94.2,2320.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.98,,,0.7,1.0,0.0,0.0,,19,6,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,215.0,0.021,0.324
SI,2023-05-24,91.7,-2.03,5.57,"Jeffers, Ryan",680777,543101,,foul,,,,,1,Ryan Jeffers walks.,R,R,R,MIN,SF,S,,,3,1,2023,-1.23,1.07,-0.5,3.0,,670242.0,,0,2,Bot,,,,,666165,,,6.528617119330527,-133.41905400160175,-2.9481523793384667,-16.103166205698372,28.812194505012144,-19.00982723272947,3.26,1.6,,,,91.9,2243.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.05,,,,,,,,19,5,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,223.0,0.0,-0.164
SL,2023-05-24,87.1,-1.91,5.54,"Jeffers, Ryan",680777,543101,,ball,,,,,12,Ryan Jeffers walks.,R,R,R,MIN,SF,B,,,2,1,2023,0.49,0.59,2.19,2.65,,670242.0,,0,2,Bot,,,,,666165,,,8.845733514016471,-126.64356290649128,-2.008269854744576,3.536205791236432,24.47483657855989,-25.56185235887453,3.37,1.63,,,,87.3,2261.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.14,,,,,,,,19,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,151.0,0.0,0.17
SL,2023-05-24,86.2,-2.08,5.49,"Jeffers, Ryan",680777,543101,,ball,,,,,14,Ryan Jeffers walks.,R,R,R,MIN,SF,B,,,1,1,2023,0.44,0.57,1.81,1.35,,670242.0,,0,2,Bot,,,,,666165,,,8.3725672431047,-125.26429488314665,-4.765947698247666,2.8606669826081155,25.92965969230912,-25.372798443888787,3.37,1.6,,,,86.5,2173.0,6.6,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.89,,,,,,,,19,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,155.0,0.0,0.094
SI,2023-05-24,91.8,-1.95,5.66,"Jeffers, Ryan",680777,543101,,ball,,,,,11,Ryan Jeffers walks.,R,R,R,MIN,SF,B,,,0,1,2023,-1.53,0.91,-2.22,2.57,,670242.0,,0,2,Bot,,,,,666165,,,2.650645520360793,-133.6050465675744,-3.918435221245259,-18.8971763497824,30.61721607776172,-20.599684352905623,3.26,1.63,,,,91.6,1552.0,6.3,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.21,,,,,,,,19,2,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,207.0,0.0,0.052
SI,2023-05-24,93.6,-1.99,5.69,"Jeffers, Ryan",680777,543101,,swinging_strike,,,,,2,Ryan Jeffers walks.,R,R,R,MIN,SF,S,,,0,0,2023,-1.25,1.19,-0.12,2.91,,670242.0,,0,2,Bot,,,,,666165,,,7.602771631604028,-136.14841513169463,-4.087572265153487,-17.237368424771258,27.709792893872606,-16.672719721514618,3.26,1.6,,,,94.0,2160.0,6.4,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,54.1,,,,,,,,19,1,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,225.0,0.0,-0.088
ST,2023-05-24,80.2,1.89,5.6,"Jeffers, Ryan",680777,573124,walk,ball,,,,,13,Ryan Jeffers walks.,R,R,L,MIN,SF,B,,,3,1,2023,-1.35,-0.01,-1.9,1.26,650489.0,,,1,8,Bot,,,,,666165,,,-5.778648542181086,-116.73245002622376,-2.8885579697166506,-11.374006108676536,20.90680028013394,-31.93058804395369,3.22,1.6,,,,79.7,2716.0,5.8,718047,573124,666165,664774,669477,527038,543063,571745,689172,624424,54.68,,,0.7,1.0,0.0,0.0,,74,5,Sweeper,7,1,7,1,1,7,7,1,Strategic,Standard,283.0,0.0,0.184
