pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,92.1,-1.18,5.59,"Noda, Ryan",676116,682243,single,hit_into_play,,,,,11,Ryan Noda singles on a fly ball to left fielder AJ Pollock.   Esteury Ruiz to 2nd.,R,L,R,SEA,OAK,X,7.0,fly_ball,0,0,2023,-0.56,1.54,-0.11,3.47,,,665923.0,1,6,Top,98.56,123.78,,,663728,,,3.932311720073935,-134.0951232997217,-2.9532250917213863,-7.538202424019593,27.42120699592756,-13.085610903690638,3.33,1.61,196.0,65.1,44.0,92.7,2402.0,6.5,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.0,0.289,0.26,0.9,1.0,1.0,0.0,3.0,49,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,208.0,-0.019,0.506
FF,2023-05-24,95.3,-0.85,5.72,"Noda, Ryan",676116,682243,field_out,hit_into_play,,,,,6,"Ryan Noda bunt grounds out, pitcher Bryce Miller to first baseman Sam Haggerty.",R,L,R,SEA,OAK,X,1.0,ground_ball,0,1,2023,-0.28,1.56,0.34,2.59,649557.0,665923.0,,2,3,Top,135.96,184.41,,,663728,,,3.7626936090128806,-138.69225915997544,-6.114873057008499,-4.443802004866143,30.43028743222892,-10.87371910196702,3.33,1.61,10.0,42.6,-12.0,95.5,2646.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.16,0.243,0.234,0.0,1.0,0.0,0.0,1.0,21,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200.0,0.065,1.896
FF,2023-05-24,94.1,-0.92,5.69,"Noda, Ryan",676116,682243,,called_strike,,,,,3,"Ryan Noda bunt grounds out, pitcher Bryce Miller to first baseman Sam Haggerty.",R,L,R,SEA,OAK,S,,,0,0,2023,-0.26,1.53,0.39,3.15,649557.0,,665923.0,2,3,Top,,,,,663728,,,3.989369607759993,-136.91028894212894,-4.25861170480084,-4.148514156481833,30.892245102888342,-12.219688537274129,3.62,1.73,,,,94.1,2643.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.13,,,,,,,,21,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,192.0,-0.011,-0.1
FF,2023-05-24,96.8,-0.93,5.87,"Noda, Ryan",676116,682243,strikeout,swinging_strike,,,,,11,Ryan Noda strikes out swinging.,R,L,R,SEA,OAK,S,2.0,,1,2,2023,-0.54,1.78,-0.85,3.09,,,,1,1,Top,,,,,663728,,,1.4354477203145617,-140.8245337764599,-5.911400114200122,-7.480251320021335,32.860744300650666,-7.344341114330092,3.33,1.61,,,,96.6,2786.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.24,,,0.0,1.0,0.0,0.0,,2,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,195.0,0.015,-0.121
FF,2023-05-24,95.5,-0.89,5.94,"Noda, Ryan",676116,682243,,swinging_strike,,,,,1,Ryan Noda strikes out swinging.,R,L,R,SEA,OAK,S,,,1,1,2023,-0.55,1.78,-0.59,2.95,,,,1,1,Top,,,,,663728,,,2.0224459777717705,-139.0096966794867,-6.24430363123991,-7.527655146466599,31.125360376789057,-7.93211388516405,3.33,1.61,,,,95.3,2734.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.35,,,,,,,,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,197.0,0.0,-0.044
FF,2023-05-24,95.7,-0.95,5.93,"Noda, Ryan",676116,682243,,ball,,,,,11,Ryan Noda strikes out swinging.,R,L,R,SEA,OAK,B,,,0,1,2023,-0.24,1.71,-1.35,2.85,,,,1,1,Top,,,,,663728,,,-0.5154295550185602,-139.27106356852622,-6.36041974353768,-2.9569077576985,31.76550777952378,-8.679178377274892,3.45,1.68,,,,95.4,2701.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.34,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,203.0,0.0,0.021
FF,2023-05-24,95.2,-1.03,5.85,"Noda, Ryan",676116,682243,,foul_bunt,,,,,5,Ryan Noda strikes out swinging.,R,L,R,SEA,OAK,S,,,0,0,2023,-0.34,1.64,0.05,2.41,,,,1,1,Top,,,,,663728,,,3.5953603531248364,-138.56134008070202,-7.091343649729098,-5.120385549450077,30.20376195924907,-9.686160495297168,3.33,1.61,89.0,,,95.4,2716.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.15,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,201.0,0.0,-0.028
SI,2023-05-24,95.4,1.83,5.42,"Noda, Ryan",676116,642100,field_out,hit_into_play,,,,,5,"Ryan Noda grounds out, third baseman Jose Caballero to first baseman Sam Haggerty.",R,L,L,SEA,OAK,X,5.0,ground_ball,0,1,2023,1.34,0.81,-0.12,2.42,,,,0,8,Top,98.15,153.76,,,663728,,,-8.097327947697423,-138.68933504573437,-4.066021511208469,19.125781241164837,30.178273140533687,-21.011519661621968,3.33,1.61,8.0,97.8,-15.0,94.9,2101.0,6.0,718037,642100,663728,664059,543939,676609,641487,666211,677594,672284,54.51,0.214,0.21,0.0,1.0,0.0,0.0,2.0,65,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,130.0,0.006,-0.198
SI,2023-05-24,95.1,1.57,5.51,"Noda, Ryan",676116,642100,,called_strike,,,,,7,"Ryan Noda grounds out, third baseman Jose Caballero to first baseman Sam Haggerty.",R,L,L,SEA,OAK,S,,,0,0,2023,1.53,0.73,-0.35,1.81,,,,0,8,Top,,,,,663728,,,-8.398092006981289,-138.19674506415694,-5.6369995119298535,21.49722722908216,32.24052605894511,-21.721264093240123,3.41,1.62,,,,94.3,2105.0,6.0,718037,642100,663728,664059,543939,676609,641487,666211,677594,672284,54.48,,,,,,,,65,1,Sinker,6,1,1,6,1,6,1,6,Strategic,Standard,135.0,0.0,-0.037
FF,2023-05-23,92.9,-3.7,4.37,"Noda, Ryan",676116,623149,strikeout,swinging_strike,,,,,2,Ryan Noda strikes out swinging.,R,L,R,SEA,OAK,S,2.0,,1,2,2023,-0.97,0.96,-0.01,3.41,,,,2,9,Top,,,,,608596,,,11.64864220094888,-134.93830693944489,1.214075584942382,-14.281814104282462,27.40562887721233,-20.89915474313553,3.33,1.61,,,,93.7,2536.0,6.7,718050,623149,608596,664059,543939,553993,641487,672284,677594,606192,53.79,,,0.0,1.0,0.0,0.0,,64,5,4-Seam Fastball,3,2,2,3,2,3,2,3,Strategic,Standard,237.0,0.035,-0.072
