pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,92.0,2.84,5.37,"Haggerty, Sam",664059,686610,double,hit_into_play,,,,,8,Sam Haggerty doubles (2) on a sharp line drive to left fielder JJ Bleday.   Cal Raleigh scores.    Jose Caballero scores.    AJ Pollock to 3rd.,R,R,L,SEA,OAK,X,7.0,line_drive,2,0,2023,0.74,1.35,0.17,1.91,663728.0,676609.0,572041.0,1,4,Bot,31.82,96.84,,,669127,,,-8.500613279012287,-133.7980250052167,-6.006877733245962,10.64344431400164,25.741509130622266,-14.8339394916766,3.06,1.43,293.0,108.2,15.0,93.8,2240,7.1,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.37,0.671,0.742,1.25,1.0,1.0,1.0,5.0,32,3,4-Seam Fastball,0,0,0,0,0,2,2,0,Standard,Standard,142,0.177,1.676
ST,2023-05-24,80.3,2.95,5.19,"Haggerty, Sam",664059,686610,,blocked_ball,,,,,13,Sam Haggerty doubles (2) on a sharp line drive to left fielder JJ Bleday.   Cal Raleigh scores.    Jose Caballero scores.    AJ Pollock to 3rd.,R,R,L,SEA,OAK,B,,,1,0,2023,-1.06,0.46,-2.15,0.29,663728.0,676609.0,572041.0,1,4,Bot,,,,,669127,,,-9.409787682956242,-116.59398994334482,-5.060098117148484,-7.870016780213135,22.072088444833028,-27.14412475201049,3.15,1.43,,,,81.4,2186,7.2,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.33,,,,,,,,32,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,303,0.0,0.135
ST,2023-05-24,78.3,3.06,5.27,"Haggerty, Sam",664059,686610,,ball,,,,,14,Sam Haggerty doubles (2) on a sharp line drive to left fielder JJ Bleday.   Cal Raleigh scores.    Jose Caballero scores.    AJ Pollock to 3rd.,R,R,L,SEA,OAK,B,,,0,0,2023,-1.17,-0.4,0.16,0.93,663728.0,676609.0,572041.0,1,4,Bot,,,,,669127,,,-4.145168190720369,-114.04758849648483,-1.7772208038578097,-9.447898564254784,21.040233361692597,-35.570533990223886,3.14,1.39,,,,79.2,2075,6.8,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.65,,,,,,,,32,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,294,0.0,0.081
CU,2023-05-24,77.6,0.72,6.09,"Haggerty, Sam",664059,669674,strikeout,swinging_strike_blocked,,,,,14,"Sam Haggerty strikes out swinging, catcher Shea Langeliers to first baseman Ryan Noda.",R,R,L,SEA,OAK,S,2.0,,0,2,2023,-0.16,-1.23,0.31,0.71,,,,2,7,Bot,,,,,669127,,,-0.5794356393988248,-113.08907300746954,-2.315887821948812,-1.258000065424152,21.548040818731646,-42.483039144625295,3.06,1.43,,,,77.3,2470,6.1,718037,669674,669127,676116,643393,607054,649557,668709,657656,664913,54.38,,,0.0,1.0,0.0,0.0,,64,3,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,345,-0.001,-0.058
FF,2023-05-24,91.7,2.83,5.34,"Haggerty, Sam",664059,686610,field_out,hit_into_play,,,,,6,Sam Haggerty pops out to first baseman Ryan Noda on the infield fly rule.,R,R,L,SEA,OAK,X,3.0,popup,2,0,2023,0.87,1.23,0.78,2.53,663728.0,676609.0,572041.0,1,2,Bot,157.09,166.79,,,669127,,,-7.158660173949028,-133.46438925934677,-3.9636541837030648,11.929520720917852,26.49594926696902,-16.803747561031425,3.06,1.43,105.0,82.9,72.0,93.0,2228,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.62,0.003,0.003,0.0,1.0,0.0,0.0,3.0,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,136,-0.077,-0.599
CU,2023-05-24,77.2,0.81,6.26,"Haggerty, Sam",664059,669674,,swinging_strike,,,,,9,"Sam Haggerty strikes out swinging, catcher Shea Langeliers to first baseman Ryan Noda.",R,R,L,SEA,OAK,S,,,0,1,2023,-0.1,-1.2,0.82,1.78,,,,2,7,Bot,,,,,669127,,,0.2150617766036713,-112.4370202605005,-0.3314243434069428,-0.9004027211371292,22.480323372944785,-42.44952783338581,3.06,1.43,,,,76.5,2527,5.9,718037,669674,669127,676116,643393,607054,649557,668709,657656,664913,54.56,,,,,,,,64,2,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,341,0.0,-0.025
CU,2023-05-24,78.4,0.78,6.15,"Haggerty, Sam",664059,669674,,called_strike,,,,,8,"Sam Haggerty strikes out swinging, catcher Shea Langeliers to first baseman Ryan Noda.",R,R,L,SEA,OAK,S,,,0,0,2023,-0.23,-1.13,0.06,1.84,,,,2,7,Bot,,,,,669127,,,-1.1274652240184238,-114.18022670225392,-0.3728489089676017,-1.832185452449819,21.454320727374743,-42.23625749545945,3.22,1.52,,,,77.9,2525,5.9,718037,669674,669127,676116,643393,607054,649557,668709,657656,664913,54.55,,,,,,,,64,1,Curveball,6,1,6,1,1,6,6,1,Standard,Standard,336,0.0,-0.021
FF,2023-05-24,92.8,2.73,5.43,"Haggerty, Sam",664059,686610,,ball,,,,,13,Sam Haggerty pops out to first baseman Ryan Noda on the infield fly rule.,R,R,L,SEA,OAK,B,,,1,0,2023,1.07,1.3,-0.93,1.46,663728.0,676609.0,572041.0,1,2,Bot,,,,,669127,,,-11.82776196128725,-134.59631982024925,-7.333809680932452,15.372790698071382,26.33761970588681,-14.861782915837136,3.23,1.43,,,,94.2,2297,7.0,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.46,,,,,,,,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,131,0.0,0.135
ST,2023-05-24,79.6,2.99,5.39,"Haggerty, Sam",664059,686610,,ball,,,,,3,Sam Haggerty pops out to first baseman Ryan Noda on the infield fly rule.,R,R,L,SEA,OAK,B,,,0,0,2023,-1.29,-0.28,0.65,3.23,663728.0,676609.0,572041.0,1,2,Bot,,,,,669127,,,-2.7235042143382926,-115.82693537862696,2.613515696468515,-10.990577383962949,23.27150678083175,-35.47895613974983,3.23,1.5,,,,80.1,1922,6.8,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.72,,,,,,,,15,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,299,0.0,0.081
FF,2023-05-24,96.2,-2.15,6.08,"Haggerty, Sam",664059,668674,walk,ball,,,,,8,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,B,,,3,2,2023,-0.29,1.24,0.25,1.56,,,572041.0,1,5,Bot,,,,,669127,,,7.07450572399526,-139.88713575034083,-9.350406216537376,-5.169480159077007,27.396132933030124,-14.04916936434546,3.12,1.44,,,,97.6,2161,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.66,,,0.7,1.0,0.0,0.0,,44,7,4-Seam Fastball,5,0,5,0,0,5,5,0,Strategic,Standard,208,0.004,0.308
CH,2023-05-24,89.0,-2.49,5.96,"Haggerty, Sam",664059,668674,,ball,,,,,11,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,B,,,2,2,2023,-1.32,0.49,-1.28,2.67,,,572041.0,1,5,Bot,,,,,669127,,,5.8159144975871335,-129.592692655513,-3.161148988590857,-16.111219309152776,24.778997697886798,-26.144982370072665,3.18,1.47,,,,90.2,1986,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.69,,,,,,,,44,6,Changeup,5,0,5,0,0,5,5,0,Standard,Standard,236,0.0,0.114
FF,2023-05-24,98.7,-2.05,6.22,"Haggerty, Sam",664059,668674,,foul,,,,,11,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,S,,,2,2,2023,-0.93,1.36,-0.76,3.32,,,572041.0,1,5,Bot,,,,,669127,,,5.742255000737913,-143.56493863702406,-5.621467625514247,-14.258582248310203,35.302649944267785,-12.277823572617889,3.06,1.43,159.0,82.5,12.0,99.1,2220,6.7,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.8,,,,,,,,44,5,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,219,0.0,0.0
FF,2023-05-24,96.1,-2.1,6.08,"Haggerty, Sam",664059,668674,,foul,,,,,3,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,S,,,2,1,2023,-0.61,1.32,0.74,2.74,,,572041.0,1,5,Bot,,,,,669127,,,9.008878355104365,-139.7389953396567,-6.369380315177906,-9.809320356465644,28.0563915772545,-13.520629105812018,3.06,1.43,16.0,95.9,-9.0,97.5,2079,6.9,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.62,,,,,,,,44,4,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,216,0.0,-0.072
CH,2023-05-24,89.3,-2.32,5.89,"Haggerty, Sam",664059,668674,,blocked_ball,,,,,14,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,B,,,1,1,2023,-1.54,0.43,0.38,0.58,,,572041.0,1,5,Bot,,,,,669127,,,9.97461072279431,-129.54155404233038,-8.023406991769294,-19.336300689743226,25.61453396541741,-25.77943023795942,3.17,1.43,,,,90.2,1929,6.9,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.61,,,,,,,,44,3,Changeup,5,0,5,0,0,5,5,0,Standard,Standard,226,0.0,0.06
CH,2023-05-24,89.6,-2.25,5.98,"Haggerty, Sam",664059,668674,,blocked_ball,,,,,14,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,B,,,0,1,2023,-1.37,0.59,1.32,0.62,,,572041.0,1,5,Bot,,,,,669127,,,11.820943669513426,-129.8097815197931,-8.588641558145657,-17.794610163511113,24.099570434469797,-23.90133203398308,3.2,1.59,,,,90.8,1963,7.0,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.5,,,,,,,,44,2,Changeup,5,0,5,0,0,5,5,0,Standard,Standard,231,0.0,0.025
FF,2023-05-24,97.5,-2.23,6.11,"Haggerty, Sam",664059,668674,,called_strike,,,,,7,Sam Haggerty walks.   AJ Pollock to 2nd.,R,L,R,SEA,OAK,S,,,0,0,2023,-0.72,1.15,-0.72,1.79,,,572041.0,1,5,Bot,,,,,669127,,,5.770021054972027,-141.773703252025,-8.856253579645568,-10.95518137858649,29.35788404292711,-14.93718174610631,3.23,1.59,,,,98.7,2130,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.69,,,,,,,,44,1,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,217,0.0,-0.054
CH,2023-05-17,86.9,4.05,5.08,"Haggerty, Sam",664059,570257,walk,ball,,,,,14,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,B,,,3,2,2023,1.14,0.28,0.43,0.76,,,676609.0,1,6,Top,,,,,657136,,,-11.084922928023657,-126.07711219637642,-4.7647712585596205,14.343732671711734,24.837690151851756,-28.385482993065708,2.83,1.26,,,,87.6,1047,6.8,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.66,,,0.7,1.0,0.0,0.0,,62,7,Changeup,12,1,1,12,1,12,1,12,Standard,Standard,106,0.0,0.308
SI,2023-05-17,90.9,3.9,5.29,"Haggerty, Sam",664059,570257,,ball,,,,,12,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,B,,,2,2,2023,1.56,0.63,1.04,2.99,,,676609.0,1,6,Top,,,,,657136,,,-10.55547019409542,-131.98748433711296,-1.1436331788409584,20.55073224518342,29.559829335495948,-24.80269264838715,2.83,1.29,,,,91.0,1951,6.6,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.92,,,,,,,,62,6,Sinker,12,1,1,12,1,12,1,12,Strategic,Standard,129,0.0,0.114
CH,2023-05-17,86.6,3.82,5.49,"Haggerty, Sam",664059,570257,,foul,,,,,14,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,S,,,2,2,2023,0.96,0.33,0.6,1.16,,,676609.0,1,6,Top,,,,,657136,,,-9.685802526261002,-125.62821553003629,-4.77769083894732,12.190815598334371,26.138800179239347,-27.82729570158424,3.08,1.45,,,,86.6,1087,6.5,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.95,,,,,,,,62,5,Changeup,12,1,1,12,1,12,1,12,Standard,Standard,113,0.0,0.0
SI,2023-05-17,91.2,3.76,5.46,"Haggerty, Sam",664059,570257,,ball,,,,,12,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,B,,,1,2,2023,1.46,0.9,0.18,3.73,,,676609.0,1,6,Top,,,,,657136,,,-12.168732459403444,-132.23026928362086,-0.3489924878118014,19.773978690129248,28.67026982439041,-21.79417698638073,2.83,1.24,,,,91.3,2004,6.6,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.94,,,,,,,,62,4,Sinker,12,1,1,12,1,12,1,12,Standard,Standard,125,0.0,0.051
CH,2023-05-17,86.5,4.01,5.22,"Haggerty, Sam",664059,570257,,swinging_strike,,,,,13,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,S,,,1,1,2023,1.02,0.01,-0.11,0.81,,,676609.0,1,6,Top,,,,,657136,,,-11.917191391383431,-125.53847063931846,-4.370793994550744,12.951688217605271,21.970784486241275,-31.46314028693754,3.36,1.61,,,,87.1,1082,6.5,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,54.0,,,,,,,,62,3,Changeup,12,1,1,12,1,12,1,12,Standard,Standard,107,0.0,-0.064
CH,2023-05-17,87.9,3.79,5.38,"Haggerty, Sam",664059,570257,,ball,,,,,13,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,B,,,0,1,2023,1.08,0.77,-1.58,0.92,,,676609.0,1,6,Top,,,,,657136,,,-15.264581658883902,-127.10148478705403,-6.360402296990916,14.463138640111111,21.16523983608224,-22.600008127094533,2.85,1.24,,,,88.5,1052,6.6,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.9,,,,,,,,62,2,Changeup,12,1,1,12,1,12,1,12,Standard,Standard,116,0.0,0.025
SI,2023-05-17,88.8,2.93,4.64,"Haggerty, Sam",664059,595411,double,hit_into_play,,,,,14,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,X,8.0,line_drive,1,1,2023,1.44,-0.05,1.0,2.25,,,666211.0,1,8,Top,164.35,71.6,,,657136,,,-7.715517316899236,-128.95033780947762,0.4619894031419331,17.76556154356526,32.06137034497852,-33.154753331812,3.08,1.45,283.0,98.4,13.0,87.7,2210,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.35,0.934,0.866,1.25,1.0,1.0,1.0,4.0,77,3,Sinker,12,3,3,12,3,12,3,12,Strategic,Standard,113,-0.001,0.949
SI,2023-05-17,91.9,3.82,5.26,"Haggerty, Sam",664059,570257,,swinging_strike,,,,,5,Sam Haggerty walks.   Jose Caballero to 2nd.,R,R,L,BOS,SEA,S,,,0,0,2023,1.44,0.68,-0.1,2.33,,,676609.0,1,6,Top,,,,,657136,,,-13.104095233219375,-133.2749126661263,-3.0579970470952427,19.896596595851214,26.81905171476643,-23.597574667340243,3.08,1.45,,,,92.4,2022,6.6,718133,570257,657136,457759,622569,646240,571771,608701,680776,606132,53.88,,,,,,,,62,1,Sinker,12,1,1,12,1,12,1,12,Standard,Standard,125,0.0,-0.054
SI,2023-05-17,88.7,2.66,4.68,"Haggerty, Sam",664059,595411,,swinging_strike,,,,,7,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,S,,,1,0,2023,1.71,0.11,-0.52,1.79,,,666211.0,1,8,Top,,,,,657136,,,-11.232439265772292,-128.58018564141832,-1.0623039120853437,21.44647131375502,31.725185944325656,-30.96066630507112,3.08,1.45,,,,87.2,2135,6.0,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.5,,,,,,,,77,2,Sinker,12,3,3,12,3,12,3,12,Standard,Standard,108,0.0,-0.074
SI,2023-05-17,88.8,2.84,4.67,"Haggerty, Sam",664059,595411,,ball,,,,,13,Sam Haggerty doubles (1) on a line drive to center fielder Jarren Duran.   Taylor Trammell to 3rd.,R,R,L,BOS,SEA,B,,,0,0,2023,1.56,-0.17,-0.87,1.84,,,666211.0,1,8,Top,,,,,657136,,,-12.285769130032778,-128.67120943533902,-0.3633992274059421,20.074686878626395,31.093971314842157,-34.25861999653251,2.8,1.2,,,,87.7,2161,6.2,718133,595411,657136,671213,665839,622569,571771,608701,680776,606132,54.28,,,,,,,,77,1,Sinker,12,3,3,12,3,12,3,12,Strategic,Standard,114,0.0,0.046
CU,2023-05-14,78.2,1.54,6.03,"Haggerty, Sam",664059,666214,strikeout,called_strike,,,,,13,Sam Haggerty called out on strikes.,R,R,L,DET,SEA,S,2.0,,0,2,2023,-0.86,-1.32,-0.84,1.86,,676609.0,572041.0,2,2,Top,,,,,668670,,,-3.540453334234287,-113.73628741622817,0.4539981304194298,-6.631802296434935,24.40044044234396,-43.87286150982729,3.18,1.44,,,,77.8,2564,6.4,718173,666214,668670,679529,656716,628451,595879,668731,682985,663837,54.07,,,0.0,1.0,0.0,0.0,,14,4,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,308,0.047,-0.277
FF,2023-05-14,90.4,1.73,5.81,"Haggerty, Sam",664059,666214,,foul,,,,,4,Sam Haggerty called out on strikes.,R,R,L,DET,SEA,S,,,0,2,2023,0.31,0.93,-0.29,2.1,,676609.0,572041.0,2,2,Top,,,,,668670,,,-5.6933918325564505,-131.3064288648837,-5.176059045299517,4.91689942687169,33.17323664893237,-20.50455626824861,3.07,1.44,97.0,101.1,4.0,89.8,2334,6.5,718173,666214,668670,679529,656716,628451,595879,668731,682985,663837,54.02,,,,,,,,14,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,145,0.0,0.0
FF,2023-05-14,94.5,1.27,6.19,"Haggerty, Sam",664059,666214,,foul,,,,,1,Sam Haggerty called out on strikes.,R,R,L,DET,SEA,S,,,0,1,2023,0.78,1.19,-0.33,2.95,,676609.0,572041.0,2,2,Top,,,,,668670,,,-5.918287921374798,-137.48118514270388,-5.410092697154641,11.24531075603969,30.212000095073947,-16.078146231778828,3.07,1.44,194.0,69.3,39.0,94.5,2231,6.3,718173,666214,668670,679529,656716,628451,595879,668731,682985,663837,54.19,,,,,,,,14,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,136,0.0,-0.108
