pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,96.2,-2.75,5.46,"Kwan, Steven",680757,656629,walk,ball,,,,,11,Steven Kwan walks.   Myles Straw to 2nd.,R,L,R,CLE,CWS,B,,,3,1,2023,-0.73,1.46,-0.7,3.55,,,664702.0,2,6,Bot,,,,,664874,,,7.17341625311205,-139.88735201295663,-2.7717015241300755,-11.21863956989208,34.33681348373201,-12.694829477282669,3.12,1.49,,,,97.0,2474.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.51,,,0.7,1.0,0.0,0.0,,44,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,213.0,0.007,0.125
FF,2023-05-24,95.2,-2.76,5.48,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan walks.   Myles Straw to 2nd.,R,L,R,CLE,CWS,B,,,2,1,2023,-1.04,1.42,-1.05,3.7,,,664702.0,2,6,Bot,,,,,664874,,,6.920581100393175,-138.32306443715606,-2.126251274289362,-15.049787151489674,36.34592427608176,-13.84874681427576,3.12,1.5,,,,95.5,2579.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.57,,,,,,,,44,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,217.0,0.0,0.081
FF,2023-05-24,95.6,-2.62,5.57,"Kwan, Steven",680757,656629,,foul,,,,,8,Steven Kwan walks.   Myles Straw to 2nd.,R,L,R,CLE,CWS,S,,,2,0,2023,-0.76,1.5,0.03,1.51,,,664702.0,2,6,Bot,,,,,664874,,,8.767106242554796,-138.79048042955742,-8.530752293440969,-11.689822185345989,28.5552989156438,-11.076891406875138,3.25,1.5,168.0,73.7,68.0,96.7,2554.0,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.66,,,,,,,,44,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,212.0,0.0,-0.035
FF,2023-05-24,97.2,-2.87,5.39,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan walks.   Myles Straw to 2nd.,R,L,R,CLE,CWS,B,,,1,0,2023,-1.27,1.43,-2.03,2.47,,,664702.0,2,6,Bot,,,,,664874,,,5.236610316039959,-141.3500029409347,-5.596328979095933,-18.185900151391483,33.864994970574934,-11.878425084576406,3.15,1.5,,,,97.9,2655.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.65,,,,,,,,44,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,223.0,0.0,0.032
CH,2023-05-24,89.2,-2.84,5.36,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan walks.   Myles Straw to 2nd.,R,L,R,CLE,CWS,B,,,0,0,2023,-1.46,0.83,-1.35,3.19,,,664702.0,2,6,Bot,,,,,664874,,,6.819980651173086,-129.66187617659054,-1.0183455558178371,-17.849995945894037,27.911671807054308,-22.84800198668591,3.1,1.5,,,,90.2,1938.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.45,,,,,,,,44,1,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,223.0,0.0,0.027
FF,2023-05-24,96.8,-2.85,5.54,"Kwan, Steven",680757,656629,strikeout,swinging_strike,,,,,11,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,S,2.0,,2,2,2023,-0.67,1.47,-0.95,3.73,,,,0,4,Bot,,,,,664874,,,6.686958412881747,-140.75238790390665,-2.639670601327821,-10.469846010882923,32.89942577081003,-12.330036891567532,3.25,1.5,,,,97.8,2465.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.53,,,0.0,1.0,0.0,0.0,,29,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,214.0,-0.009,-0.205
FF,2023-05-24,95.4,-2.81,5.45,"Kwan, Steven",680757,656629,,foul,,,,,5,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,S,,,2,1,2023,-1.15,1.51,-0.18,2.49,,,,0,4,Bot,,,,,664874,,,9.589481362659212,-138.5282870935701,-5.619354028601931,-16.83779693754417,29.23207435035632,-11.610842030972831,3.25,1.5,233.0,73.7,36.0,96.6,2586.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.56,,,,,,,,29,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,213.0,0.0,-0.073
FF,2023-05-24,96.0,-2.64,5.57,"Kwan, Steven",680757,656629,,called_strike,,,,,1,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,S,,,2,0,2023,-1.09,1.76,-0.71,2.98,,,,0,4,Bot,,,,,664874,,,7.649146178569481,-139.40515232945597,-5.205078168049952,-15.961265821617005,34.55819064086183,-8.31869501677116,3.25,1.49,,,,96.5,2574.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.6,,,,,,,,29,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,214.0,0.0,-0.062
FF,2023-05-24,95.0,-2.89,5.44,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,B,,,1,0,2023,-1.07,1.56,-1.03,3.42,,,,0,4,Bot,,,,,664874,,,7.361149451527221,-137.99918372108758,-3.08310933216365,-15.361605727014824,34.108124050420095,-11.87762124247744,3.22,1.5,,,,95.4,2573.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.63,,,,,,,,29,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,218.0,0.0,0.066
FF,2023-05-24,94.0,-2.64,5.55,"Kwan, Steven",680757,656629,,ball,,,,,12,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,B,,,0,0,2023,-0.85,1.98,0.99,2.7,,,,0,4,Bot,,,,,664874,,,11.389866395989934,-136.11310702260442,-5.9606937082802025,-13.431051844622749,35.563187124471696,-6.482403613311172,3.25,1.49,,,,93.8,2607.0,6.9,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.63,,,,,,,,29,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,216.0,0.0,0.039
FF,2023-05-24,93.1,-1.24,6.13,"Kwan, Steven",680757,669424,field_out,hit_into_play,,,,,5,Steven Kwan flies out to right fielder Clint Frazier.,R,L,R,CLE,CWS,X,9.0,fly_ball,3,2,2023,-0.51,1.36,0.12,2.1,,,,0,9,Bot,186.89,65.35,,,664874,,,4.561038263529743,-135.46318131334803,-7.520483007383314,-7.206116810537378,28.080826361798643,-13.988575118204226,3.25,1.5,362.0,99.6,25.0,92.5,2263.0,5.8,718048,669424,664874,683734,663853,660162,641313,643217,656514,640449,54.7,0.557,0.825,0.0,1.0,0.0,0.0,6.0,62,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,207.0,-0.002,-0.314
FF,2023-05-24,96.8,-2.93,5.51,"Kwan, Steven",680757,656629,strikeout,swinging_strike,,,,,11,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,S,2.0,,3,2,2023,-1.18,1.26,-0.87,3.15,,,,0,1,Bot,,,,,664874,,,8.270274949816388,-140.8646404106844,-3.695801702595188,-17.536929701033625,29.560106638148305,-14.73594703036318,3.25,1.5,,,,98.1,2563.0,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.66,,,0.0,1.0,0.0,0.0,,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.021,-0.314
FF,2023-05-24,95.1,-0.94,6.18,"Kwan, Steven",680757,669424,,called_strike,,,,,7,Steven Kwan flies out to right fielder Clint Frazier.,R,L,R,CLE,CWS,S,,,3,1,2023,-0.46,1.68,-0.74,1.75,,,,0,9,Bot,,,,,664874,,,1.5435495632648764,-138.26752374704685,-9.572438904196744,-6.218484991266705,30.647769808667107,-8.701207329137326,3.11,1.48,,,,93.9,2317.0,5.6,718048,669424,664874,683734,663853,660162,641313,643217,656514,640449,54.91,,,,,,,,62,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,208.0,0.0,-0.087
FF,2023-05-24,96.5,-2.64,5.75,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,B,,,2,2,2023,-1.03,1.46,-1.7,2.41,,,,0,1,Bot,,,,,664874,,,4.919960589679156,-140.4614629279986,-6.808890721601197,-14.726068803264926,27.80568252467896,-11.436340061183332,3.22,1.5,,,,98.5,2503.0,7.1,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.37,,,,,,,,4,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.0,0.108
FF,2023-05-24,96.7,-2.9,5.53,"Kwan, Steven",680757,656629,,ball,,,,,13,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,B,,,1,2,2023,-1.24,1.38,-1.79,1.6,,,,0,1,Bot,,,,,664874,,,5.902734801042663,-140.59945005393527,-8.238632730518548,-17.790683444288437,29.203849208643348,-12.135246843469892,3.22,1.5,,,,98.5,2583.0,7.1,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.37,,,,,,,,4,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.0,0.03
FF,2023-05-24,94.0,-1.0,6.14,"Kwan, Steven",680757,669424,,ball,,,,,13,Steven Kwan flies out to right fielder Clint Frazier.,R,L,R,CLE,CWS,B,,,2,1,2023,-0.51,1.47,-0.28,1.02,,,,0,9,Bot,,,,,664874,,,2.9578968054862638,-136.64900919514278,-10.693647135486357,-6.9830797928148565,28.7000880248012,-11.59776213031292,3.11,1.46,,,,93.1,2313.0,5.7,718048,669424,664874,683734,663853,660162,641313,643217,656514,640449,54.8,,,,,,,,62,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,204.0,0.0,0.123
CH,2023-05-24,91.4,-2.92,5.4,"Kwan, Steven",680757,656629,,swinging_strike,,,,,13,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,S,,,1,1,2023,-0.89,0.74,-0.87,2.2,,,,0,1,Bot,,,,,664874,,,7.172216577447621,-132.91306878801512,-3.847082169138513,-12.091700549245989,26.422639664447885,-22.78528775470121,3.25,1.5,,,,92.8,1737.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.48,,,,,,,,4,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,231.0,0.0,-0.053
SL,2023-05-24,87.4,-1.14,6.12,"Kwan, Steven",680757,669424,,ball,,,,,11,Steven Kwan flies out to right fielder Clint Frazier.,R,L,R,CLE,CWS,B,,,1,1,2023,-0.05,0.6,-1.08,2.71,,,,0,9,Bot,,,,,664874,,,0.2343670726525535,-127.47173912365962,-3.394244201313867,-0.5393069821757532,22.12757116071345,-25.19899329045941,3.13,1.48,,,,86.9,2423.0,5.5,718048,669424,664874,683734,663853,660162,641313,643217,656514,640449,55.01,,,,,,,,62,3,Slider,0,6,0,6,6,0,0,6,Standard,Standard,189.0,0.0,0.05
FF,2023-05-24,95.9,-2.89,5.58,"Kwan, Steven",680757,656629,,ball,,,,,11,Steven Kwan strikes out swinging.,R,L,R,CLE,CWS,B,,,0,1,2023,-0.95,1.78,-1.95,3.54,,,,0,1,Bot,,,,,664874,,,4.689847676512803,-139.4183956829528,-3.773363129200841,-13.468887980332733,35.640595207257604,-8.493657974231393,3.16,1.48,,,,96.2,2639.0,6.8,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.67,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.0,0.03
CH,2023-05-24,85.9,-1.31,6.01,"Kwan, Steven",680757,669424,,called_strike,,,,,8,Steven Kwan flies out to right fielder Clint Frazier.,R,L,R,CLE,CWS,S,,,1,0,2023,-1.26,0.42,0.26,1.84,,,,0,9,Bot,,,,,664874,,,6.201102479721969,-125.03613221418676,-4.467061190797671,-14.450114512267511,23.48633642833929,-27.11820093974364,3.16,1.51,,,,85.3,1567.0,5.7,718048,669424,664874,683734,663853,660162,641313,643217,656514,640449,54.79,,,,,,,,62,2,Changeup,0,6,0,6,6,0,0,6,Standard,Standard,235.0,0.0,-0.046
