pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,86.0,-1.61,6.36,"Ward, Taylor",621493,601713,field_out,hit_into_play,,,,,6,Taylor Ward flies out to right fielder Raimel Tapia.,R,R,R,LAA,BOS,X,9.0,fly_ball,2,0,2023,0.64,0.1,0.68,2.42,,687263.0,,2,6,Bot,187.59,92.43,,,657136,,,4.212039837366919,-125.21754394205388,-3.3394238583257216,5.864676914999988,25.620996308904413,-30.670757665853294,3.38,1.68,305.0,89.1,27.0,87.6,2455.0,7.3,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.23,0.06,0.068,0.0,1.0,0.0,0.0,3.0,51,3,Cutter,7,1,7,1,1,7,7,1,Standard,Standard,102.0,-0.002,-0.394
FF,2023-05-24,94.0,-1.04,6.58,"Ward, Taylor",621493,601713,,ball,,,,,12,Taylor Ward flies out to right fielder Raimel Tapia.,R,R,R,LAA,BOS,B,,,1,0,2023,-0.1,1.74,1.95,2.63,,687263.0,,2,6,Bot,,,,,657136,,,8.072456967439152,-136.49497132129528,-8.442071018375088,-3.076952964228727,31.554284267629207,-8.71074547819136,3.38,1.68,,,,95.1,2356.0,7.2,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.35,,,,,,,,51,2,4-Seam Fastball,7,1,7,1,1,7,7,1,Standard,Standard,195.0,0.0,0.033
FF,2023-05-24,94.1,-1.03,6.59,"Ward, Taylor",621493,601713,,ball,,,,,12,Taylor Ward flies out to right fielder Raimel Tapia.,R,R,R,LAA,BOS,B,,,0,0,2023,-0.27,1.84,1.19,2.84,,687263.0,,2,6,Bot,,,,,657136,,,6.448916100820643,-136.59187729987332,-8.15134254432336,-4.892094330710579,32.67202697486533,-7.573720915826246,3.38,1.68,,,,95.2,2326.0,7.3,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.22,,,,,,,,51,1,4-Seam Fastball,7,1,7,1,1,7,7,1,Standard,Standard,191.0,0.0,0.036
KC,2023-05-24,82.0,1.98,6.24,"Ward, Taylor",621493,572020,field_out,hit_into_play,,,,,8,"Taylor Ward grounds out, third baseman Rafael Devers to first baseman Justin Turner.",R,R,L,LAA,BOS,X,5.0,ground_ball,0,0,2023,-0.12,-0.66,-0.14,2.17,,,,2,2,Bot,99.8,161.38,,,657136,,,-4.581294726697249,-119.30342171283974,-1.2778487625445252,-0.1318802575892568,26.230643909379573,-38.338376840277625,3.38,1.68,48.0,92.6,0.0,81.9,1880.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.92,0.357,0.321,0.0,1.0,0.0,0.0,2.0,17,1,Knuckle Curve,4,0,4,0,0,4,4,0,Standard,Standard,327.0,-0.004,-0.104
SL,2023-05-24,81.6,-1.04,6.73,"Ward, Taylor",621493,601713,field_out,hit_into_play,,,,,8,Taylor Ward flies out sharply to center fielder Jarren Duran.,R,R,R,LAA,BOS,X,8.0,fly_ball,1,2,2023,0.36,-0.81,-0.11,1.98,,,687263.0,1,4,Bot,117.58,40.08,,,657136,,,1.424024150710433,-118.85940835822524,-2.529807701208581,3.1205738898293887,24.32776346854689,-39.55726742999456,3.38,1.68,393.0,103.3,31.0,82.3,2464.0,6.8,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.66,0.729,1.428,0.0,1.0,0.0,0.0,6.0,34,4,Slider,5,1,5,1,1,5,5,1,Standard,Standard,38.0,-0.008,-0.219
FF,2023-05-24,93.5,-1.03,6.7,"Ward, Taylor",621493,601713,,foul,,,,,11,Taylor Ward flies out sharply to center fielder Jarren Duran.,R,R,R,LAA,BOS,S,,,1,1,2023,-0.49,1.79,-0.56,3.75,,,687263.0,1,4,Bot,,,,,657136,,,2.321192637903949,-135.93592940825914,-5.810554826333958,-6.587782104793232,34.150411442104215,-8.973029640112955,3.38,1.68,212.0,71.1,58.0,94.3,2343.0,7.1,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.35,,,,,,,,34,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,195.0,0.0,-0.064
FF,2023-05-24,93.5,-1.12,6.67,"Ward, Taylor",621493,601713,,foul,,,,,2,Taylor Ward flies out sharply to center fielder Jarren Duran.,R,R,R,LAA,BOS,S,,,1,0,2023,-0.34,1.65,0.0,3.4,,,687263.0,1,4,Bot,,,,,657136,,,3.667394942291747,-135.91092120871775,-6.302026482046845,-5.048518699731623,32.792424252966725,-10.608119377215106,3.38,1.68,,,,94.0,2377.0,6.9,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.6,,,,,,,,34,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,197.0,0.0,-0.074
FC,2023-05-24,86.3,-1.45,6.46,"Ward, Taylor",621493,601713,,ball,,,,,14,Taylor Ward flies out sharply to center fielder Jarren Duran.,R,R,R,LAA,BOS,B,,,0,0,2023,0.27,0.61,1.39,1.83,,,687263.0,1,4,Bot,,,,,657136,,,6.27256200438292,-125.42404648168213,-6.089434987604055,1.5707400984900053,25.44513708874678,-24.71565850750309,3.38,1.68,,,,87.2,2454.0,7.0,718034,601713,657136,457759,622569,646240,571771,608701,680776,606132,53.55,,,,,,,,34,1,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,142.0,0.0,0.046
KC,2023-05-24,80.0,2.22,6.24,"Ward, Taylor",621493,572020,field_out,hit_into_play,,,,,6,Taylor Ward flies out to right fielder Raimel Tapia.,R,R,L,LAA,BOS,X,9.0,fly_ball,1,2,2023,-0.52,-0.77,0.79,2.82,,,,0,1,Bot,186.64,72.32,,,657136,,,-2.179200417166625,-116.35763617337636,0.7371663607157619,-4.227728783076714,24.688908406871512,-39.47836576695948,3.38,1.68,347.0,93.4,27.0,79.9,1843.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.94,0.129,0.16,0.0,1.0,0.0,0.0,3.0,4,5,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,324.0,-0.021,-0.175
FF,2023-05-24,95.6,2.5,5.97,"Ward, Taylor",621493,572020,,foul,,,,,2,Taylor Ward flies out to right fielder Raimel Tapia.,R,R,L,LAA,BOS,S,,,1,2,2023,1.02,1.18,-0.04,3.18,,,,0,1,Bot,,,,,657136,,,-9.030007068752203,-138.7600010902889,-4.360292120873716,15.333946041909382,34.228467118582984,-16.11314066071479,3.38,1.68,155.0,79.2,69.0,95.5,2196.0,6.6,718034,572020,657136,457759,622569,646240,571771,608701,680776,606132,53.9,,,,,,,,4,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,131.0,0.0,0.0
