pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-15,92.0,-0.3,6.33,"Locastro, Tim",641796,666204,field_out,hit_into_play,,,,,9,Tim Locastro flies out to right fielder Ramon Laureano in foul territory.,R,R,R,OAK,NYM,X,9.0,fly_ball,1,0,2023,-0.73,1.64,0.76,1.89,,,,1,9,Top,197.04,139.35,,,542208,,,4.233408751369772,-133.67666733771256,-8.9044040759068,-9.619239875465311,27.740099832401235,-10.755649260605429,3.41,1.66,230.0,86.8,54.0,91.1,2204,5.8,718565,666204,542208,676116,643393,649557,675656,668843,665923,657656,54.74,0.011,0.016,0.0,1.0,0.0,0.0,3.0,68,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,201,0.012,-0.2
SL,2023-04-15,83.6,-0.63,6.28,"Locastro, Tim",641796,666204,,ball,,,,,14,Tim Locastro flies out to right fielder Ramon Laureano in foul territory.,R,R,R,OAK,NYM,B,,,0,0,2023,-0.15,-0.11,1.19,0.32,,,,1,9,Top,,,,,542208,,,4.394914971613557,-121.61441934640696,-7.018484911118283,-2.308727134289358,23.330832213204136,-32.08603790079909,3.37,1.6,,,,82.4,2090,5.4,718565,666204,542208,676116,643393,649557,675656,668843,665923,657656,55.08,,,,,,,,68,1,Slider,2,3,3,2,3,2,3,2,Standard,Standard,17,0.0,0.029
FA,2023-04-14,52.1,-1.99,6.71,"Locastro, Tim",641796,542208,field_out,hit_into_play,,,,,12,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,X,7.0,fly_ball,2,2,2023,0.12,1.08,0.43,3.77,500871.0,641645.0,607043.0,2,9,Top,87.98,109.9,,,669127,,,3.207484093475605,-75.56781634150225,4.632473476564631,0.0416825570320355,9.422881788523236,-28.872462024737555,3.41,1.66,242.0,80.7,47.0,50.3,1409,4.5,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,55.97,0.031,0.03,0.0,1.0,0.0,0.0,3.0,97,6,Other,6,17,17,6,17,6,17,6,Standard,Standard,181,0.0,-0.645
FA,2023-04-14,69.6,-2.3,6.58,"Locastro, Tim",641796,542208,,foul,,,,,3,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,2,2,2023,-0.13,1.54,0.35,3.22,500871.0,641645.0,607043.0,2,9,Top,,,,,669127,,,5.097983801370382,-101.3499550215928,-1.305312194808381,-1.6590152410296095,15.33171464680722,-21.5062900702996,3.41,1.66,141.0,61.4,63.0,67.3,1996,4.2,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,56.29,,,,,,,,97,5,Other,6,17,17,6,17,6,17,6,Standard,Standard,209,0.0,0.0
FA,2023-04-14,65.1,-2.25,6.52,"Locastro, Tim",641796,542208,,blocked_ball,,,,,13,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,B,,,1,2,2023,-0.08,0.63,-0.14,-0.79,500871.0,641645.0,607043.0,2,9,Top,,,,,669127,,,3.792762058700384,-94.7181700998311,-5.686950781920546,-1.0871401521828692,14.372362570506423,-27.730807693471323,3.46,1.67,,,,63.0,1725,4.4,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,56.06,,,,,,,,97,4,Other,6,17,17,6,17,6,17,6,Standard,Standard,203,0.0,0.09
FA,2023-04-14,64.2,-2.37,6.5,"Locastro, Tim",641796,542208,,foul,,,,,12,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,1,1,2023,0.2,1.34,1.89,2.7,500871.0,641645.0,607043.0,2,9,Top,,,,,669127,,,6.962833991952044,-93.28268853088076,-0.385016296292315,0.1436772526907316,13.94745576413212,-24.517877241059075,3.41,1.66,90.0,63.6,72.0,61.9,1768,4.3,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,56.2,,,,,,,,97,3,Other,6,17,17,6,17,6,17,6,Standard,Standard,206,0.0,-0.208
FA,2023-04-14,72.0,-2.45,6.49,"Locastro, Tim",641796,542208,,blocked_ball,,,,,14,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,B,,,0,1,2023,-0.75,1.56,0.09,1.07,500871.0,641645.0,607043.0,2,9,Top,,,,,669127,,,6.066456553656489,-104.67907557590866,-5.760148484100506,-6.510884639918261,17.42803121363226,-19.894388731382097,3.43,1.67,,,,69.6,1947,4.4,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,56.14,,,,,,,,97,2,Other,6,17,17,6,17,6,17,6,Standard,Standard,222,0.0,0.051
FA,2023-04-14,67.8,-2.3,6.57,"Locastro, Tim",641796,542208,,foul,,,,,8,Tim Locastro flies out to left fielder Conner Capel.,R,R,R,OAK,NYM,S,,,0,0,2023,-0.42,1.71,-0.12,2.17,500871.0,641645.0,607043.0,2,9,Top,,,,,669127,,,4.543109255903111,-98.71561054292518,-3.0711524935601435,-3.390596532482294,13.580998763074318,-20.644914332095198,3.43,1.6,,,,65.6,1826,4.1,718578,542208,669127,676116,643393,607054,675656,668843,665923,642180,56.38,,,,,,,,97,1,Other,6,17,17,6,17,6,17,6,Standard,Standard,214,0.0,-0.124
SL,2023-04-09,82.0,2.84,6.03,"Locastro, Tim",641796,666129,field_out,hit_into_play,,,,,13,Tim Locastro flies out to left fielder Bryan De La Cruz.,R,R,L,NYM,MIA,X,7.0,fly_ball,1,1,2023,-0.68,-0.23,-0.28,1.51,643446.0,500871.0,,2,4,Bot,88.99,116.86,,,663743,,,-5.739627643937916,-119.41279194324568,-3.2784683829099346,-5.489617985239174,21.623179502025085,-33.98908036819813,3.44,1.65,226.0,67.1,34.0,82.2,2244,6.2,718647,666129,663743,493329,650333,516416,542932,650559,665862,660821,54.28,0.854,0.79,0.0,1.0,0.0,0.0,4.0,34,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,329,-0.075,-0.565
SL,2023-04-09,82.8,2.8,6.03,"Locastro, Tim",641796,666129,,blocked_ball,,,,,13,Tim Locastro flies out to left fielder Bryan De La Cruz.,R,R,L,NYM,MIA,B,,,0,1,2023,-0.73,-0.29,-0.23,0.27,643446.0,500871.0,,2,4,Bot,,,,,663743,,,-5.497206847848465,-120.41425915004469,-6.011479556372672,-5.888369245891733,25.63331793433688,-33.94442676113653,3.44,1.65,,,,82.5,2053,6.3,718647,666129,663743,493329,650333,516416,542932,650559,665862,660821,54.17,,,,,,,,34,2,Slider,1,3,1,3,3,1,1,3,Strategic,Standard,331,0.0,0.093
