pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,80.9,-1.56,5.0,"Edman, Tommy",669242,594902,strikeout,swinging_strike,,,,,14,Tommy Edman strikes out swinging.,R,R,R,CIN,STL,S,2.0,,1,2,2023,0.93,0.3,1.22,0.93,,,,2,6,Top,,,,,663886,,,4.444110763252201,-117.71919515226038,-2.944173986712132,7.595106609015332,24.973140239617315,-29.040598342027003,3.17,1.47,,,,81.0,2174.0,6.6,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.87,,,0.0,1.0,0.0,0.0,,53,4,Slider,6,2,2,6,2,6,2,6,Standard,Standard,80.0,0.005,-0.072
SI,2023-05-24,95.3,-1.35,5.18,"Edman, Tommy",669242,594902,,ball,,,,,12,Tommy Edman strikes out swinging.,R,R,R,CIN,STL,B,,,0,2,2023,-1.42,0.98,1.09,2.65,,,,2,6,Top,,,,,663886,,,9.66147716095328,-138.54328456001767,-3.2504717748886574,-20.34192606799184,28.380075525567804,-19.00552086435494,3.17,1.47,,,,96.1,2206.0,6.6,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.86,,,,,,,,53,3,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,223.0,0.0,0.014
SI,2023-05-24,92.7,-1.36,5.2,"Edman, Tommy",669242,594902,,swinging_strike,,,,,11,Tommy Edman strikes out swinging.,R,R,R,CIN,STL,S,,,0,1,2023,-1.34,1.15,-0.46,3.38,,,,2,6,Top,,,,,663886,,,5.242315859740956,-134.9023234924002,-1.3815599574452362,-17.4699554259892,28.54650317587259,-17.9603501968652,3.17,1.47,,,,93.3,2069.0,6.6,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.9,,,,,,,,53,2,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,216.0,0.0,-0.025
SI,2023-05-24,92.4,-1.35,5.2,"Edman, Tommy",669242,594902,,foul,,,,,13,Tommy Edman strikes out swinging.,R,R,R,CIN,STL,S,,,0,0,2023,-1.77,0.91,-0.89,1.91,,,,2,6,Top,,,,,663886,,,5.078569974119333,-134.54601010550533,-4.632242847322882,-22.677570513372228,27.423361525683315,-20.266634696920992,3.33,1.64,2.0,19.1,-44.0,93.5,1963.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.73,,,,,,,,53,1,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,218.0,0.0,-0.021
SL,2023-05-24,78.7,-1.56,5.15,"Edman, Tommy",669242,594902,field_out,hit_into_play,,,,,2,"Tommy Edman grounds out, third baseman Kevin Newman to first baseman Spencer Steer.",R,R,R,CIN,STL,X,5.0,ground_ball,0,0,2023,0.84,0.25,0.2,2.66,,,,0,4,Top,89.27,159.61,,,663886,,,2.2802689646749674,-114.636890424254,0.9164043369967652,7.067252117539977,19.67273009568254,-30.326709080211057,3.17,1.47,26.0,93.1,-5.0,79.7,2034.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.74,0.251,0.243,0.0,1.0,0.0,0.0,2.0,34,1,Slider,5,1,1,5,1,5,1,5,Standard,Standard,81.0,0.016,-0.235
SI,2023-05-24,91.8,-1.46,5.21,"Edman, Tommy",669242,594902,single,hit_into_play,,,,,5,Tommy Edman singles on a line drive to right fielder Stuart Fairchild.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,X,9.0,line_drive,2,2,2023,-1.2,0.79,-0.19,2.64,,,680977.0,0,2,Top,151.88,114.61,,,663886,,,5.874479547128382,-133.64253876986933,-2.444457885536298,-15.612153943846648,26.005001262088346,-22.33032911894931,3.17,1.47,185.0,63.7,22.0,93.0,1923.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.75,0.669,0.616,0.9,1.0,1.0,0.0,4.0,15,5,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,223.0,-0.046,0.725
SL,2023-05-24,79.0,-1.42,5.13,"Edman, Tommy",669242,594902,,ball,,,,,14,Tommy Edman singles on a line drive to right fielder Stuart Fairchild.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,1,2,2023,0.93,0.03,1.17,2.11,,,680977.0,0,2,Top,,,,,663886,,,3.9517839157036647,-115.08103748231927,0.1066493512334783,7.668229445905059,19.28741461644573,-32.109750133145866,3.17,1.47,,,,80.1,2015.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.71,,,,,,,,15,4,Slider,4,0,0,4,0,4,0,4,Standard,Standard,79.0,0.0,0.045
FC,2023-05-24,88.1,-1.31,5.29,"Edman, Tommy",669242,594902,,foul,,,,,12,Tommy Edman singles on a line drive to right fielder Stuart Fairchild.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,S,,,1,1,2023,0.0,1.34,0.35,3.35,,,680977.0,0,2,Top,,,,,663886,,,4.0667101835373325,-128.39497077709362,-1.454385305625591,-0.8009648601833812,24.47919584402239,-17.211215434955733,3.17,1.47,111.0,75.2,15.0,89.3,2069.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.74,,,,,,,,15,3,Cutter,4,0,0,4,0,4,0,4,Standard,Standard,200.0,0.0,-0.073
SI,2023-05-24,90.8,-1.26,5.21,"Edman, Tommy",669242,594902,,called_strike,,,,,5,Tommy Edman singles on a line drive to right fielder Stuart Fairchild.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,S,,,1,0,2023,-1.14,1.12,-0.22,2.5,,,680977.0,0,2,Top,,,,,663886,,,5.067819811604554,-132.16594289341813,-3.3169366211365485,-14.403839560652091,27.719958451307185,-18.524123799877916,3.17,1.47,,,,91.5,1959.0,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.85,,,,,,,,15,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,217.0,0.0,-0.064
SI,2023-05-24,90.5,-1.32,5.26,"Edman, Tommy",669242,594902,,ball,,,,,11,Tommy Edman singles on a line drive to right fielder Stuart Fairchild.   Brendan Donovan to 2nd.,R,R,R,CIN,STL,B,,,0,0,2023,-1.1,1.03,-1.21,3.23,,,680977.0,0,2,Top,,,,,663886,,,2.6632150024352685,-131.91143956119592,-1.4071553555383716,-13.455733588484806,26.4817494853944,-19.97039104538106,3.17,1.47,,,,91.8,1994.0,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.64,,,,,,,,15,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,216.0,0.0,0.037
