pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-05,86.6,-2.26,6.04,"Nido, Tomás",621512,622608,field_out,hit_into_play,,,,,9,"Tomas Nido grounds out, third baseman Ryan McMahon to first baseman C.  J. Cron.",R,R,R,NYM,COL,X,5.0,ground_ball,0,0,2023,0.42,0.18,0.56,2.02,683146.0,,596129.0,2,5,Bot,106.59,178.87,,,553869,,,5.858954265845504,-126.0065477875498,-3.773610945959396,3.290560993145649,25.097531454344605,-29.67700662439672,3.21,1.55,3.0,68.2,-39.0,86.2,1947.0,6.0,718302,622608,553869,543068,605612,641857,678662,595777,545341,592178,54.54,0.117,0.114,0.0,1.0,0.0,0.0,2.0,38,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,163.0,-0.047,-0.591
FF,2023-05-05,97.5,-2.12,5.86,"Nido, Tomás",621512,622608,strikeout,swinging_strike,,,,,3,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,2.0,,0,2,2023,-0.49,1.26,0.43,2.7,,,,2,3,Bot,,,,,553869,,,7.947518732011205,-141.6515898906707,-5.838234909071968,-8.472458984799339,32.67228889489903,-13.987306733352575,3.21,1.55,,,,96.9,2131.0,6.1,718302,622608,553869,543068,605612,641857,678662,595777,545341,592178,54.42,,,0.0,1.0,0.0,0.0,,22,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219.0,-0.012,-0.058
SL,2023-05-05,87.1,-2.31,6.02,"Nido, Tomás",621512,622608,,foul,,,,,9,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,,,0,1,2023,0.57,0.06,0.42,1.71,,,,2,3,Bot,,,,,553869,,,5.340789544665356,-126.72030995061614,-4.2621882882581055,5.029382249643344,26.671062300548552,-30.823809925529595,3.21,1.55,1.0,68.1,-54.0,86.3,2101.0,5.9,718302,622608,553869,543068,605612,641857,678662,595777,545341,592178,54.65,,,,,,,,22,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,144.0,0.0,-0.025
FF,2023-05-05,94.4,-2.33,5.91,"Nido, Tomás",621512,622608,,called_strike,,,,,1,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,,,0,0,2023,-0.45,0.86,-0.73,3.06,,,,2,3,Bot,,,,,553869,,,5.120832219493648,-137.3437778186006,-3.635430975453115,-6.853781517023817,30.597957983254627,-20.643180678509708,3.35,1.68,,,,93.8,2033.0,6.0,718302,622608,553869,543068,605612,641857,678662,595777,545341,592178,54.54,,,,,,,,22,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222.0,0.0,-0.021
ST,2023-05-05,84.3,-3.19,4.25,"Nido, Tomás",621512,664875,strikeout,swinging_strike,,,,,14,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,2.0,,0,2,2023,1.69,0.62,1.96,2.0,,,,0,8,Bot,,,,,642851,,,8.554203319585232,-122.47873335056946,-0.0153314664033232,15.022249609428815,26.763369240174708,-26.222757290167387,3.21,1.55,,,,83.6,2978.0,6.2,718302,664875,642851,543068,605612,641857,678662,595777,545341,592178,54.35,,,0.0,1.0,0.0,0.0,,60,3,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,79.0,-0.013,-0.149
ST,2023-05-05,82.5,-3.12,4.31,"Nido, Tomás",621512,664875,,foul,,,,,8,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,,,0,1,2023,1.46,0.46,0.0,1.84,,,,0,8,Bot,,,,,642851,,,4.209334549292578,-120.09757147480884,0.0270050603467107,13.278927973389548,24.2755351935622,-28.01401518512732,3.21,1.55,1.0,51.3,-61.0,81.9,2907.0,6.0,718302,664875,642851,543068,605612,641857,678662,595777,545341,592178,54.52,,,,,,,,60,2,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,83.0,0.0,-0.049
ST,2023-05-05,82.9,-3.27,4.28,"Nido, Tomás",621512,664875,,called_strike,,,,,13,Tomas Nido strikes out swinging.,R,R,R,NYM,COL,S,,,0,0,2023,0.59,0.81,-0.85,2.27,,,,0,8,Bot,,,,,642851,,,4.336808970635788,-120.69110732197846,0.3128673388220091,4.921087196440505,23.644164773802988,-24.561272622833638,3.29,1.51,,,,82.1,2668.0,5.7,718302,664875,642851,543068,605612,641857,678662,595777,545341,592178,54.79,,,,,,,,60,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,86.0,0.0,-0.037
CH,2023-05-03,84.8,1.39,6.04,"Nido, Tomás",621512,666214,single,hit_into_play,,,,,5,Tomas Nido singles on a ground ball to left fielder Andy Ibanez.   Brett Baty scores.    Tomas Nido to 2nd.  Throwing error by left fielder Andy Ibanez.,R,R,L,DET,NYM,X,7.0,ground_ball,0,0,2023,1.35,0.83,-0.03,2.39,,683146.0,,0,5,Top,86.08,97.18,,,668670,,,-6.057695050387564,-123.41283879865723,-3.9009580533646,14.998197692685071,23.667623266208857,-23.142750371258646,3.21,1.55,85.0,103.7,4.0,85.4,1992.0,6.6,718348,666214,668670,679529,570731,670097,595879,628451,682985,663837,53.92,0.583,0.529,0.9,1.0,1.0,0.0,4.0,35,1,Changeup,4,2,2,4,3,4,3,4,Strategic,Standard,125.0,-0.128,0.699
FF,2023-05-03,92.4,1.47,6.21,"Nido, Tomás",621512,666214,field_out,hit_into_play,,,,,2,Tomas Nido flies out to right fielder Matt Vierling.,R,R,L,DET,NYM,X,9.0,fly_ball,0,0,2023,0.77,1.33,0.2,2.95,,,,2,2,Top,187.96,116.58,,,668670,,,-4.906510549387522,-134.30742857528753,-5.3211389155707804,10.381017896782907,31.48295297653106,-15.183469874627342,3.21,1.55,221.0,93.1,58.0,92.1,2140.0,6.4,718348,666214,668670,679529,570731,670097,595879,628451,682985,663837,54.14,0.011,0.014,0.0,1.0,0.0,0.0,3.0,16,1,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,145.0,0.011,-0.104
FF,2023-05-03,94.0,-2.56,5.46,"Nido, Tomás",621512,676684,field_out,hit_into_play,,,,,6,"Tomas Nido grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,R,DET,NYM,X,6.0,ground_ball,2,2,2023,-0.92,1.3,0.39,2.22,,,,0,7,Top,109.13,151.15,,,668670,,,9.690100665251938,-136.46586700078183,-5.518361636864558,-13.70808176897854,31.74751307763868,-14.895891169864129,3.21,1.55,7.0,92.2,-17.0,93.8,2140.0,6.4,718348,676684,668670,679529,570731,670097,595879,628451,682985,663837,54.1,0.14,0.141,0.0,1.0,0.0,0.0,2.0,50,5,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,221.0,0.024,-0.205
FF,2023-05-03,94.9,-2.57,5.5,"Nido, Tomás",621512,676684,,ball,,,,,14,"Tomas Nido grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,R,DET,NYM,B,,,1,2,2023,-1.23,1.14,0.24,1.01,,,,0,7,Top,,,,,668670,,,10.081956617731842,-137.6416498219802,-8.57301774410775,-17.945537103042327,31.064842079279064,-15.91542119709144,3.21,1.5,,,,94.5,2216.0,6.3,718348,676684,668670,679529,570731,670097,595879,628451,682985,663837,54.2,,,,,,,,50,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,217.0,0.0,0.03
SL,2023-05-03,86.3,-2.75,5.31,"Nido, Tomás",621512,676684,,ball,,,,,14,"Tomas Nido grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,R,DET,NYM,B,,,0,2,2023,0.49,-0.23,2.12,-0.07,,,,0,7,Top,,,,,668670,,,10.543554221173858,-125.18611917923728,-6.035321013650733,2.9722867539791338,25.847796222645886,-33.46438158640796,3.24,1.47,,,,85.8,2340.0,6.2,718348,676684,668670,679529,570731,670097,595879,628451,682985,663837,54.28,,,,,,,,50,3,Slider,4,5,5,4,5,4,5,4,Standard,Standard,15.0,0.0,0.026
SL,2023-05-03,85.9,-2.81,5.33,"Nido, Tomás",621512,676684,,foul,,,,,7,"Tomas Nido grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,R,DET,NYM,S,,,0,1,2023,0.73,-0.27,-0.58,1.8,,,,0,7,Top,,,,,668670,,,3.778144299076178,-124.9767025465585,-1.503484954136433,6.794619506401786,26.97817016900061,-34.87507992395256,3.21,1.55,3.0,70.6,-36.0,85.2,2442.0,6.0,718348,676684,668670,679529,570731,670097,595879,628451,682985,663837,54.5,,,,,,,,50,2,Slider,4,5,5,4,5,4,5,4,Standard,Standard,31.0,0.0,-0.049
SL,2023-05-03,84.4,-2.92,5.36,"Nido, Tomás",621512,676684,,called_strike,,,,,4,"Tomas Nido grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,R,R,DET,NYM,S,,,0,0,2023,0.21,-0.02,-0.47,2.22,,,,0,7,Top,,,,,668670,,,5.2619579376914505,-122.74948087428596,-0.8325126742274194,0.98067037869951,27.111579568027903,-32.4148641453387,3.26,1.52,,,,83.9,2258.0,6.2,718348,676684,668670,679529,570731,670097,595879,628451,682985,663837,54.27,,,,,,,,50,1,Slider,4,5,5,4,5,4,5,4,Standard,Standard,28.0,0.0,-0.037
SL,2023-05-01,83.7,-2.06,5.71,"Nido, Tomás",621512,675911,force_out,hit_into_play,,,,,6,"Tomas Nido grounds into a force out, shortstop Vaughn Grissom to second baseman Ozzie Albies.   Daniel Vogelbach out at 2nd.",R,R,R,NYM,ATL,X,6.0,ground_ball,1,2,2023,0.49,0.09,0.75,2.3,643446.0,,596129.0,2,3,Bot,110.24,151.47,,,669221,,,5.564030178890064,-121.79920211537208,-1.6622065148214806,3.837453240183269,23.80274350771455,-31.140240151924623,3.22,1.55,86.0,68.4,8.0,84.5,2271.0,6.8,718352,675911,669221,621566,645277,663586,687093,607680,671739,660670,53.67,0.209,0.188,0.0,1.0,0.0,0.0,2.0,34,4,Slider,4,6,4,6,6,4,4,6,Standard,Standard,119.0,-0.055,-0.418
SL,2023-05-01,84.5,-2.15,5.74,"Nido, Tomás",621512,675911,,ball,,,,,14,"Tomas Nido grounds into a force out, shortstop Vaughn Grissom to second baseman Ozzie Albies.   Daniel Vogelbach out at 2nd.",R,R,R,NYM,ATL,B,,,0,2,2023,0.46,-0.13,1.41,2.01,643446.0,,596129.0,2,3,Bot,,,,,669221,,,7.457674523084579,-122.87724168198102,-2.0757464811094417,3.1754168102611398,23.87581700551738,-33.2865987954054,3.23,1.57,,,,85.4,2290.0,6.9,718352,675911,669221,621566,645277,663586,687093,607680,671739,660670,53.62,,,,,,,,34,3,Slider,4,6,4,6,6,4,4,6,Standard,Standard,112.0,0.0,0.041
