pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-23,92.5,-2.47,5.41,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,5,"Tucupita Marcano bunt grounds out softly, pitcher Nathan Eovaldi to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,1.0,ground_ball,2,1,2023,-0.07,0.61,-0.04,2.15,,,,2,7,Bot,120.02,185.36,,,641680,,,6.3940232998395885,-134.5413712702405,-3.859619447904276,-2.2476056805577262,29.317868428946973,-24.139513363199544,3.22,1.57,1.0,50.0,-58.0,93.1,2388.0,6.7,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.82,0.22,0.198,0.0,1.0,0.0,0.0,1.0,54,4,Cutter,1,5,1,5,5,1,1,5,Strategic,Standard,196,-0.005,-0.021
FF,2023-05-23,97.8,-2.51,5.29,"Marcano, Tucupita",672779,543135,,foul,,,,,5,"Tucupita Marcano bunt grounds out softly, pitcher Nathan Eovaldi to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,S,,,2,0,2023,-0.93,1.1,-0.01,2.57,,,,2,7,Bot,,,,,641680,,,8.945408224309178,-142.06853040738753,-4.410511950403702,-14.616182838923969,32.42717831352121,-16.436171121763177,3.22,1.57,253.0,82.2,45.0,98.5,2187.0,6.8,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.74,,,,,,,,54,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,233,0.0,-0.029
FS,2023-05-23,88.4,-2.46,5.48,"Marcano, Tucupita",672779,543135,,ball,,,,,14,"Tucupita Marcano bunt grounds out softly, pitcher Nathan Eovaldi to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,B,,,1,0,2023,-1.11,0.36,0.22,0.51,,,,2,7,Bot,,,,,641680,,,8.920339627417382,-128.39202556417888,-6.856007441946181,-14.11933042392589,24.855398206371284,-27.009138004556146,3.26,1.65,,,,89.4,1709.0,6.9,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.64,,,,,,,,54,2,Split-Finger,1,5,1,5,5,1,1,5,Strategic,Standard,240,0.0,0.025
FC,2023-05-23,89.7,-2.51,5.46,"Marcano, Tucupita",672779,543135,,ball,,,,,13,"Tucupita Marcano bunt grounds out softly, pitcher Nathan Eovaldi to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,B,,,0,0,2023,-0.13,0.59,-1.37,2.2,,,,2,7,Bot,,,,,641680,,,3.1178214664842963,-130.52366044932575,-3.307097320655415,-2.2232804012021044,29.294762355434592,-24.89053374946629,3.22,1.47,,,,90.0,2290.0,6.6,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.89,,,,,,,,54,1,Cutter,1,5,1,5,5,1,1,5,Strategic,Standard,177,0.0,0.021
FC,2023-05-23,91.9,-2.4,5.51,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,6,Tucupita Marcano grounds out to first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,X,3.0,ground_ball,0,1,2023,-0.03,0.57,0.72,2.13,,,,2,4,Bot,127.3,184.05,,,641680,,,7.995075618176459,-133.72861850760046,-4.020828436213216,-1.958333258699368,26.821996290856145,-24.607578237292284,3.22,1.57,5.0,74.8,-22.0,92.5,2316.0,6.5,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,54.01,0.034,0.031,0.0,1.0,0.0,0.0,2.0,32,2,Cutter,1,2,1,2,2,1,1,2,Strategic,Standard,199,-0.013,-0.083
FF,2023-05-23,96.2,-2.54,5.33,"Marcano, Tucupita",672779,543135,,foul,,,,,2,Tucupita Marcano grounds out to first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,S,,,0,0,2023,-1.1,1.01,0.07,2.72,,,,2,4,Bot,,,,,641680,,,9.491003822727055,-139.68751175863252,-3.609523065743064,-16.518928536804367,32.18191471156919,-18.26448307738763,3.22,1.57,197.0,72.7,53.0,96.9,2068.0,6.8,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.67,,,,,,,,32,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,232,0.0,-0.021
FS,2023-05-23,90.2,-2.5,5.54,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,7,"Tucupita Marcano grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,4.0,ground_ball,1,0,2023,-1.13,-0.1,-0.48,1.83,,,,1,2,Bot,140.12,154.31,,,641680,,,7.498408019659767,-131.26271487453874,-3.098317453947081,-14.678273413407018,26.818931416568585,-32.863839989115114,3.22,1.57,4.0,62.1,-25.0,91.1,1735.0,6.8,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.72,0.057,0.051,0.0,1.0,0.0,0.0,2.0,15,2,Split-Finger,0,2,0,2,2,0,0,2,Strategic,Standard,243,-0.017,-0.2
FS,2023-05-23,91.4,-2.43,5.52,"Marcano, Tucupita",672779,543135,,ball,,,,,14,"Tucupita Marcano grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,B,,,0,0,2023,-1.13,-0.01,0.49,0.94,,,,1,2,Bot,,,,,641680,,,9.869858497654477,-132.73111532568828,-5.691333461863424,-15.395639135110788,26.668610980487195,-31.26023137440036,3.18,1.58,,,,92.3,1699.0,6.8,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.69,,,,,,,,15,1,Split-Finger,0,2,0,2,2,0,0,2,Strategic,Standard,239,0.0,0.029
SI,2023-05-22,89.2,-2.54,5.54,"Marcano, Tucupita",672779,641540,walk,ball,,,,,11,Tucupita Marcano walks.,R,L,R,PIT,TEX,B,,,3,1,2023,-0.98,0.82,-1.24,3.57,,,,2,6,Bot,,,,,641680,,,5.2967188067688085,-129.88107151450865,-0.5692899523717931,-12.21147760875122,26.859591189815067,-22.93437973372522,3.29,1.58,,,,90.0,1937.0,6.7,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.8,,,0.7,1.0,0.0,0.0,,46,5,Sinker,1,1,1,1,1,1,1,1,Strategic,Standard,216,0.019,0.067
CH,2023-05-22,85.9,-2.6,5.45,"Marcano, Tucupita",672779,641540,,ball,,,,,11,Tucupita Marcano walks.,R,L,R,PIT,TEX,B,,,2,1,2023,-1.5,0.27,-1.0,2.71,,,,2,6,Bot,,,,,641680,,,6.876096179828772,-124.92669396164604,-0.7855350111077153,-17.067645936876346,24.29075696624725,-29.374977990460124,3.31,1.6,,,,86.5,1728.0,6.6,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.85,,,,,,,,46,4,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard,240,0.0,0.056
