pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-04,87.2,-0.92,5.89,"O'Neill, Tyler",641933,656288,force_out,hit_into_play,,,,,6,"Tyler O'Neill grounds into a force out, shortstop Zach Neto to second baseman Luis Rengifo.   Willson Contreras out at 2nd.",R,R,R,STL,LAA,X,6.0,ground_ball,0,2,2023,0.38,-0.28,0.48,2.25,,669357.0,575929.0,2,5,Bot,114.71,148.86,,,642136,,,2.5561861194112434,-127.09778386586696,-2.035829509258451,3.619000816977401,25.022584071788746,-35.073873496961326,3.13,1.57,33.0,85.1,-2.0,86.8,2659.0,5.9,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.64,0.197,0.189,0.0,1.0,0.0,0.0,2.0,54,3,Slider,5,11,5,11,11,5,5,11,Standard,Standard,36.0,-0.014,-0.277
SL,2023-05-04,88.9,-0.93,5.95,"O'Neill, Tyler",641933,656288,,swinging_strike_blocked,,,,,14,"Tyler O'Neill grounds into a force out, shortstop Zach Neto to second baseman Luis Rengifo.   Willson Contreras out at 2nd.",R,R,R,STL,LAA,S,,,0,1,2023,0.02,-0.42,0.4,0.8,,669357.0,575929.0,2,5,Bot,,,,,642136,,,3.191960147902363,-129.41623726927077,-5.637760509051658,-0.4706694968308841,27.810768056328104,-35.925301437947105,3.13,1.57,,,,87.9,2723.0,5.7,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.77,,,,,,,,54,2,Slider,5,11,5,11,11,5,5,11,Standard,Standard,29.0,0.0,-0.108
CU,2023-05-04,80.9,-1.1,5.98,"O'Neill, Tyler",641933,656288,,called_strike,,,,,1,"Tyler O'Neill grounds into a force out, shortstop Zach Neto to second baseman Luis Rengifo.   Willson Contreras out at 2nd.",R,R,R,STL,LAA,S,,,0,0,2023,0.99,-0.7,-0.74,3.09,,669357.0,575929.0,2,5,Bot,,,,,642136,,,-1.0528640527950643,-117.74877821070874,1.4946843762565152,9.350865916054614,23.007953929554358,-39.1547261462474,3.13,1.55,,,,79.8,2238.0,5.6,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.9,,,,,,,,54,1,Curveball,5,11,5,11,11,5,5,11,Standard,Standard,33.0,0.0,-0.086
FF,2023-05-04,94.4,-0.71,5.94,"O'Neill, Tyler",641933,656288,strikeout,swinging_strike,,,,,11,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,S,2.0,,2,2,2023,-0.58,1.34,-0.77,3.56,,575929.0,,0,4,Bot,,,,,642136,,,1.11359926823376,-137.41938854032273,-3.449174271709141,-7.519079222701117,32.35681122486786,-14.65604668387798,3.13,1.57,,,,93.7,2188.0,6.0,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.5,,,0.0,1.0,0.0,0.0,,42,8,4-Seam Fastball,2,11,2,11,11,2,2,11,Standard,Standard,209.0,-0.005,-0.354
FF,2023-05-04,94.6,-0.85,5.88,"O'Neill, Tyler",641933,656288,,ball,,,,,13,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,B,,,1,2,2023,-0.79,1.3,-0.48,1.41,,575929.0,,0,4,Bot,,,,,642136,,,2.725004465007225,-137.42416816038283,-8.767858078187059,-10.581565089830494,32.685859034251365,-13.950509023733913,3.1,1.55,,,,93.8,2078.0,6.1,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.45,,,,,,,,42,7,4-Seam Fastball,2,11,2,11,11,2,2,11,Standard,Standard,214.0,0.0,0.033
SL,2023-05-04,87.9,-0.96,5.92,"O'Neill, Tyler",641933,656288,,foul,,,,,2,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,S,,,1,2,2023,0.01,-0.46,-0.05,2.94,,575929.0,,0,4,Bot,,,,,642136,,,2.1568660931009167,-128.1958721304835,-0.2756164765040082,-0.2330172709063145,23.45029853354293,-37.41617775584978,3.13,1.57,206.0,72.5,35.0,87.6,2684.0,5.7,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.78,,,,,,,,42,6,Slider,2,11,2,11,11,2,2,11,Standard,Standard,42.0,0.0,0.0
CH,2023-05-04,90.5,-0.94,5.85,"O'Neill, Tyler",641933,656288,,foul,,,,,7,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,S,,,1,2,2023,-1.09,0.34,-0.53,1.84,,575929.0,,0,4,Bot,,,,,642136,,,3.3062542916094824,-131.83709904049618,-4.814418097955638,-13.430155193473958,24.659048053714702,-27.408050919499757,3.13,1.57,3.0,92.1,-30.0,89.9,1748.0,5.6,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.94,,,,,,,,42,5,Changeup,2,11,2,11,11,2,2,11,Standard,Standard,227.0,0.0,0.0
SL,2023-05-04,88.4,-1.03,5.86,"O'Neill, Tyler",641933,656288,,foul,,,,,9,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,S,,,1,2,2023,-0.13,-0.35,0.52,1.8,,575929.0,,0,4,Bot,,,,,642136,,,4.010968201904336,-128.74692906604304,-3.1207414461572776,-2.260617387973981,24.507968328630163,-35.64464256430061,3.13,1.57,285.0,93.1,21.0,87.9,2574.0,5.7,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.75,,,,,,,,42,4,Slider,2,11,2,11,11,2,2,11,Standard,Standard,34.0,0.0,0.0
FF,2023-05-04,94.0,-0.74,6.08,"O'Neill, Tyler",641933,656288,,ball,,,,,11,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,B,,,0,2,2023,-0.4,1.26,-1.34,5.52,,575929.0,,0,4,Bot,,,,,642136,,,-0.6556643530435449,-136.94493426703454,1.4542008665115302,-4.909669047260141,30.083466614582854,-16.90096464291409,3.13,1.57,,,,93.1,1986.0,5.7,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.8,,,,,,,,42,3,4-Seam Fastball,2,11,2,11,11,2,2,11,Standard,Standard,204.0,0.0,0.073
SL,2023-05-04,88.8,-1.16,5.95,"O'Neill, Tyler",641933,656288,,foul,,,,,14,Tyler O'Neill strikes out swinging.,R,R,R,STL,LAA,S,,,0,1,2023,-0.35,-0.1,0.35,1.03,,575929.0,,0,4,Bot,,,,,642136,,,4.3745419083706185,-129.2515811701996,-5.772349004349298,-4.839726007120358,25.075553711523504,-32.359354858057735,3.13,1.57,198.0,68.0,42.0,88.0,2676.0,5.6,718311,656288,642136,571875,650859,543685,687263,621493,621433,592669,54.91,,,,,,,,42,2,Slider,2,11,2,11,11,2,2,11,Standard,Standard,21.0,0.0,-0.086
