pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,82.8,1.86,5.49,"Stephenson, Tyler",663886,571927,strikeout,swinging_strike,,,,,3.0,Tyler Stephenson strikes out swinging.,R,R,L,CIN,STL,S,2.0,,1,2,2023,1.08,0.0,0.61,2.84,,,668715.0,1,4,Bot,,,,,575929,,,-4.990755608255164,-120.58294699191494,0.4240966336193417,11.5026357821363,22.30872548223707,-32.45624664630469,3.21,1.56,,,,83.6,2222.0,6.7,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,53.83,,,0.0,1.0,0.0,0.0,,40,4,Changeup,6,1,6,1,1,6,6,1,Standard,Standard,92.0,-0.004,-0.219
CH,2023-05-24,83.7,1.96,5.53,"Stephenson, Tyler",663886,571927,,ball,,,,,14.0,Tyler Stephenson strikes out swinging.,R,R,L,CIN,STL,B,,,0,2,2023,1.28,-0.12,1.02,1.55,,,668715.0,1,4,Bot,,,,,575929,,,-4.754409539897335,-121.8655142500984,-2.5373482916977554,13.73551610161304,23.76645994626005,-33.12799848695746,3.21,1.56,,,,84.4,2351.0,6.7,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,53.79,,,,,,,,40,3,Changeup,6,1,6,1,1,6,6,1,Standard,Standard,94.0,0.0,0.022
SI,2023-05-24,92.7,1.94,5.59,"Stephenson, Tyler",663886,571927,,swinging_strike,,,,,3.0,Tyler Stephenson strikes out swinging.,R,R,L,CIN,STL,S,,,0,1,2023,1.25,0.89,0.4,3.19,,,668715.0,1,4,Bot,,,,,575929,,,-6.697859415670271,-134.9249701408158,-2.2806259387344285,16.68251658421407,29.15889376095018,-21.0641952524333,3.21,1.56,,,,93.4,2153.0,6.7,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,53.84,,,,,,,,40,2,Sinker,6,1,6,1,1,6,6,1,Standard,Standard,110.0,0.0,-0.061
SI,2023-05-24,92.5,1.76,5.59,"Stephenson, Tyler",663886,571927,,swinging_strike,,,,,5.0,Tyler Stephenson strikes out swinging.,R,R,L,CIN,STL,S,,,0,0,2023,1.12,1.03,-0.08,2.62,,,668715.0,1,4,Bot,,,,,575929,,,-7.165768585994877,-134.64129779941985,-4.0646658309917925,15.128824147060064,27.39721726606336,-18.93995559725833,3.21,1.56,,,,93.2,2096.0,6.6,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,53.94,,,,,,,,40,1,Sinker,6,1,6,1,1,6,6,1,Standard,Standard,117.0,0.0,-0.054
CU,2023-05-24,80.0,1.84,5.62,"Stephenson, Tyler",663886,571927,field_out,hit_into_play,,,,,9.0,"Tyler Stephenson grounds out, second baseman Nolan Gorman to first baseman Brendan Donovan.",R,R,L,CIN,STL,X,4.0,ground_ball,1,2,2023,-1.13,-0.39,0.58,1.75,,,,0,3,Bot,151.45,149.65,,,575929,,,-0.6533263028912983,-116.60225365125147,-1.140850026854301,-10.23228941895809,20.98020478815479,-35.70858000688689,3.21,1.56,6.0,98.7,-15.0,80.3,2110.0,6.3,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,54.2,0.197,0.19,0.0,1.0,0.0,0.0,2.0,27,4,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,318.0,-0.007,-0.175
SI,2023-05-24,92.6,1.76,5.68,"Stephenson, Tyler",663886,571927,,ball,,,,,12.0,"Tyler Stephenson grounds out, second baseman Nolan Gorman to first baseman Brendan Donovan.",R,R,L,CIN,STL,B,,,0,2,2023,1.32,0.63,0.79,3.98,,,,0,3,Bot,,,,,575929,,,-5.346171429660484,-134.81839531243972,0.087606425656969,17.206681019121508,30.61969516733637,-24.749937285919565,3.21,1.56,,,,92.4,2194.0,6.2,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,54.28,,,,,,,,27,3,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,119.0,0.0,0.026
SI,2023-05-24,93.2,1.68,5.78,"Stephenson, Tyler",663886,571927,,called_strike,,,,,1.0,"Tyler Stephenson grounds out, second baseman Nolan Gorman to first baseman Brendan Donovan.",R,R,L,CIN,STL,S,,,0,1,2023,1.09,1.15,-0.78,3.14,,,,0,3,Bot,,,,,575929,,,-8.707985301724072,-135.4845679206899,-3.5312110327877173,15.271090259765884,29.518147847847555,-17.474165785251948,3.21,1.56,,,,93.3,2241.0,6.4,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,54.12,,,,,,,,27,2,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,123.0,0.0,-0.049
SI,2023-05-24,92.5,1.85,5.77,"Stephenson, Tyler",663886,571927,,foul,,,,,3.0,"Tyler Stephenson grounds out, second baseman Nolan Gorman to first baseman Brendan Donovan.",R,R,L,CIN,STL,S,,,0,0,2023,1.23,1.12,0.46,2.86,,,,0,3,Bot,,,,,575929,,,-6.258033710921809,-134.4457997592793,-3.987351045549305,16.330833480776974,31.41908756745058,-17.969501944362754,3.21,1.56,,,,92.3,2168.0,6.4,718041,571927,575929,680977,669357,571448,669242,676475,663457,640458,54.11,,,,,,,,27,1,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,116.0,0.0,-0.037
SL,2023-05-24,89.7,1.75,5.79,"Stephenson, Tyler",663886,650893,field_out,hit_into_play,,,,,5.0,Tyler Stephenson flies out sharply to center fielder Lars Nootbaar.,R,R,L,CIN,STL,X,8.0,fly_ball,2,2,2023,-0.33,0.52,0.17,2.69,,,668715.0,1,7,Bot,124.33,37.24,,,575929,,,-3.2178257128834304,-130.58588486457606,-2.8051025220515577,-3.096956631128498,27.23782974866084,-25.808375854272537,3.21,1.56,399.0,102.0,33.0,89.8,2137.0,6.3,718041,650893,575929,680977,669357,571448,669242,676475,663457,640458,54.18,0.574,1.126,0.0,1.0,0.0,0.0,6.0,69,5,Slider,10,2,10,2,2,10,10,2,Standard,Standard,161.0,0.0,-0.27
SL,2023-05-24,90.4,1.94,5.8,"Stephenson, Tyler",663886,650893,,swinging_strike,,,,,4.0,Tyler Stephenson flies out sharply to center fielder Lars Nootbaar.,R,R,L,CIN,STL,S,,,2,1,2023,-0.27,0.55,-0.8,2.51,,,668715.0,1,7,Bot,,,,,575929,,,-6.263702674660054,-131.55514241125826,-3.4261416201715225,-1.7609567484386663,28.491320408105235,-25.23191667993833,3.21,1.56,,,,90.4,2133.0,6.3,718041,650893,575929,680977,669357,571448,669242,676475,663457,640458,54.18,,,,,,,,69,4,Slider,10,2,10,2,2,10,10,2,Standard,Standard,159.0,0.0,-0.072
