pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-22,91.7,-1.6,5.63,"Taylor, Tyrone",621438,664299,field_out,hit_into_play,,,,,12,Tyrone Taylor lines out sharply to shortstop Jeremy Pena.,R,R,R,MIL,HOU,X,6.0,line_drive,2,2,2023,-0.02,1.36,0.98,3.53,,,,1,5,Bot,104.97,134.34,,,455117,,,6.569549196385942,-133.52130572957134,-2.4547463690946243,-1.5668289669593256,27.072479102699564,-15.484514440967049,3.27,1.56,174.0,100.8,10.0,91.8,2028.0,6.2,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.32,0.749,0.706,0.0,1.0,0.0,0.0,4.0,42,5,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,190.0,-0.012,-0.151
SL,2023-05-22,80.7,-1.63,5.63,"Taylor, Tyrone",621438,664299,,ball,,,,,12,Tyrone Taylor lines out sharply to shortstop Jeremy Pena.,R,R,R,MIL,HOU,B,,,1,2,2023,0.8,0.54,1.11,2.82,,,,1,5,Bot,,,,,455117,,,4.560969687127743,-117.54205018131704,-0.6861808586027294,6.63094586727419,20.74144429525823,-27.190527992652797,3.27,1.49,,,,80.8,2355.0,6.2,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.35,,,,,,,,42,4,Slider,1,5,1,5,5,1,1,5,Standard,Standard,71.0,0.0,0.03
FF,2023-05-22,92.4,-1.76,5.63,"Taylor, Tyrone",621438,664299,,foul,,,,,11,Tyrone Taylor lines out sharply to shortstop Jeremy Pena.,R,R,R,MIL,HOU,S,,,1,1,2023,-0.38,1.49,-0.82,3.42,,,,1,5,Bot,,,,,455117,,,3.2072056863501883,-134.5975294719676,-3.0624566152753654,-5.350186064574838,28.13374915074133,-13.614224784536066,3.27,1.56,302.0,83.8,35.0,92.2,2153.0,6.0,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.5,,,,,,,,42,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,203.0,0.0,-0.044
FF,2023-05-22,92.8,-1.78,5.62,"Taylor, Tyrone",621438,664299,,swinging_strike,,,,,3,Tyrone Taylor lines out sharply to shortstop Jeremy Pena.,R,R,R,MIL,HOU,S,,,1,0,2023,-0.34,1.54,0.4,2.93,,,,1,5,Bot,,,,,455117,,,6.302803534212719,-134.98433429262076,-4.470450957768492,-5.552708911078755,28.874372777007,-12.515514113724477,3.27,1.56,,,,92.6,2220.0,6.2,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.35,,,,,,,,42,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,204.0,0.0,-0.036
SL,2023-05-22,81.5,-1.81,5.58,"Taylor, Tyrone",621438,664299,,ball,,,,,14,Tyrone Taylor lines out sharply to shortstop Jeremy Pena.,R,R,R,MIL,HOU,B,,,0,0,2023,0.48,0.72,0.42,1.32,,,,1,5,Bot,,,,,455117,,,4.064690865004391,-118.63541652777111,-4.362649319358304,3.78694083002447,22.348710441298,-24.790969395464867,3.15,1.49,,,,81.2,2498.0,6.0,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.49,,,,,,,,42,1,Slider,1,5,1,5,5,1,1,5,Standard,Standard,66.0,0.0,0.029
SL,2023-05-22,81.4,-1.78,5.63,"Taylor, Tyrone",621438,664299,strikeout,called_strike,,,,,3,Tyrone Taylor called out on strikes.,R,R,R,MIL,HOU,S,2.0,,1,2,2023,1.06,0.17,0.8,2.85,,,,0,3,Bot,,,,,455117,,,3.7390250469314585,-118.58139430535864,0.0072451410082681,9.298268182602005,22.434510484636075,-30.787884662602107,3.27,1.57,,,,81.1,2542.0,6.0,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.53,,,0.0,1.0,0.0,0.0,,22,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,63.0,-0.027,-0.175
SL,2023-05-22,80.2,-1.97,5.61,"Taylor, Tyrone",621438,664299,,foul,,,,,8,Tyrone Taylor called out on strikes.,R,R,R,MIL,HOU,S,,,1,1,2023,0.04,0.69,0.1,1.71,,,,0,3,Bot,,,,,455117,,,4.445541723518638,-116.613099541625,-3.11931998326875,-0.5444587146905139,24.51490312518542,-25.541562551500704,3.27,1.56,,,,79.2,2344.0,5.9,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.61,,,,,,,,22,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,87.0,0.0,-0.053
FF,2023-05-22,92.3,-1.94,5.59,"Taylor, Tyrone",621438,664299,,ball,,,,,11,Tyrone Taylor called out on strikes.,R,R,R,MIL,HOU,B,,,0,1,2023,-0.6,1.59,-0.43,4.0,,,,0,3,Bot,,,,,455117,,,5.115012065753841,-134.41129518252714,-1.648914254392027,-8.396222320097525,30.055015432637077,-12.789590527005132,3.27,1.51,,,,91.6,2208.0,5.9,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.57,,,,,,,,22,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,203.0,0.0,0.03
FF,2023-05-22,93.6,-1.72,5.62,"Taylor, Tyrone",621438,664299,,swinging_strike,,,,,2,Tyrone Taylor called out on strikes.,R,R,R,MIL,HOU,S,,,0,0,2023,-0.66,1.6,-0.16,2.75,,,,0,3,Bot,,,,,455117,,,5.45612207636144,-136.1674200686472,-5.148305185338725,-9.466982110518568,30.20807042103198,-11.309667333546788,3.27,1.56,,,,93.1,2170.0,6.0,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.47,,,,,,,,22,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,206.0,0.0,-0.037
SI,2023-05-22,89.8,-2.47,4.4,"Taylor, Tyrone",621438,661527,double,hit_into_play,,,,,5,Tyrone Taylor doubles (2) on a sharp line drive to left fielder Corey Julks.   Brice Turang scores.,R,R,R,MIL,HOU,X,7.0,line_drive,1,1,2023,-0.97,0.06,0.05,2.53,,,668930.0,2,7,Bot,35.93,99.58,,,455117,,,8.371530478097544,-130.52552408260706,1.2447157738639305,-12.86959943629224,26.378069092482686,-31.98806802324955,3.27,1.56,256.0,105.9,14.0,90.6,2161.0,6.8,718068,661527,455117,547989,643289,608324,665161,667452,676694,663656,53.74,0.74,0.727,1.25,1.0,1.0,1.0,5.0,64,3,Sinker,1,10,1,10,10,2,2,10,Standard,Standard,229.0,0.002,0.766
