pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-04-18,79.3,3.81,5.72,"Bruján, Vidal",660644,666157,field_out,hit_into_play,,,,,7,Vidal Brujan flies out to left fielder Jake Fraley.,R,R,L,CIN,TB,X,7.0,fly_ball,0,2,2023,-1.48,0.09,-0.37,1.84,,,622534.0,1,5,Top,80.77,115.75,,,592200,,,-6.320046531457131,-115.3057021675092,-1.8035017140949925,-11.80042329679661,23.60606621415053,-31.2021834144035,3.18,1.48,236.0,74.3,44.0,78.5,2792,6.0,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.5,0.183,0.188,0.0,1.0,0.0,0.0,3.0,42,3,Curveball,0,8,8,0,8,0,8,0,Standard,Standard,302,0.001,-0.197
CU,2023-04-18,77.5,3.86,5.81,"Bruján, Vidal",660644,666157,,foul,,,,,5,Vidal Brujan flies out to left fielder Jake Fraley.,R,R,L,CIN,TB,S,,,0,1,2023,-1.26,-0.21,0.11,2.38,,,622534.0,1,5,Top,,,,,592200,,,-5.667919419010611,-112.7143740342259,0.0487192581576021,-9.535935215142922,22.089540065479923,-34.19825715914894,3.18,1.48,5.0,83.1,-29.0,76.7,2711,5.9,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.58,,,,,,,,42,2,Curveball,0,8,8,0,8,0,8,0,Standard,Standard,297,0.0,-0.061
FF,2023-04-18,91.2,3.81,5.7,"Bruján, Vidal",660644,666157,,called_strike,,,,,4,Vidal Brujan flies out to left fielder Jake Fraley.,R,R,L,CIN,TB,S,,,0,0,2023,1.46,1.14,-0.64,2.5,,,622534.0,1,5,Top,,,,,592200,,,-14.226610453921284,-132.00837307135654,-4.51765516524631,20.114951818546675,27.654222516979303,-18.03423841752649,3.14,1.42,,,,90.6,2341,6.2,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.3,,,,,,,,42,1,4-Seam Fastball,0,8,8,0,8,0,8,0,Standard,Standard,110,0.0,-0.054
FF,2023-04-18,92.4,3.75,5.75,"Bruján, Vidal",660644,666157,field_out,hit_into_play,,,,,2,Vidal Brujan flies out to center fielder TJ Friedl.,R,R,L,CIN,TB,X,8.0,fly_ball,1,2,2023,1.51,1.05,0.05,3.24,,,642336.0,1,3,Top,128.0,77.14,,,592200,,,-12.633169905347916,-134.02317508293547,-2.839316330873209,20.87280139658893,28.225859130858357,-19.0307628995266,3.18,1.48,303.0,92.7,43.0,91.9,2323,6.1,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.38,0.003,0.004,0.0,1.0,0.0,0.0,3.0,26,4,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,123,0.003,-0.219
CU,2023-04-18,78.4,3.77,5.81,"Bruján, Vidal",660644,666157,,ball,,,,,13,Vidal Brujan flies out to center fielder TJ Friedl.,R,R,L,CIN,TB,B,,,0,2,2023,-1.36,0.16,-0.43,1.17,,,642336.0,1,3,Top,,,,,592200,,,-6.512167378713103,-113.97816044387446,-3.427926700234794,-10.545106315457035,21.71604719624457,-30.320394703312594,3.12,1.48,,,,77.7,2671,5.9,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.55,,,,,,,,26,3,Curveball,0,7,7,0,7,0,7,0,Standard,Standard,304,0.0,0.022
FF,2023-04-18,91.3,3.81,5.77,"Bruján, Vidal",660644,666157,,foul,,,,,11,Vidal Brujan flies out to center fielder TJ Friedl.,R,R,L,CIN,TB,S,,,0,1,2023,1.09,1.08,-0.02,3.49,,,642336.0,1,3,Top,,,,,592200,,,-11.913840458802628,-132.4220813626617,-2.157981041072906,15.368057926801232,27.444690811797397,-19.15961837097183,3.18,1.48,180.0,67.1,56.0,90.8,2165,6.1,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.42,,,,,,,,26,2,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,121,0.0,-0.061
FF,2023-04-18,91.7,3.76,5.75,"Bruján, Vidal",660644,666157,,called_strike,,,,,5,Vidal Brujan flies out to center fielder TJ Friedl.,R,R,L,CIN,TB,S,,,0,0,2023,1.45,1.01,0.07,2.6,,,642336.0,1,3,Top,,,,,592200,,,-12.340551730572043,-132.96400426133107,-4.235066385639328,19.817025902952118,28.322393324766285,-19.39283280961305,3.17,1.48,,,,91.0,2308,6.0,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.47,,,,,,,,26,1,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,122,0.0,-0.054
CU,2023-04-18,79.4,3.79,5.74,"Bruján, Vidal",660644,666157,hit_by_pitch,hit_by_pitch,,,,,13,Vidal Brujan hit by pitch.    Francisco Mejia to 2nd.,R,R,L,CIN,TB,B,,,1,1,2023,-0.88,-0.32,-2.3,0.2,,,642336.0,2,2,Top,,,,,592200,,,-11.601468604307486,-114.95738397942344,-4.588667597668522,-5.339096822783508,23.508710511378485,-34.25737267232165,3.18,1.48,,,,78.4,2727,6.1,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.39,,,0.7,1.0,0.0,0.0,,13,3,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,314,-0.018,0.239
FF,2023-04-18,92.9,3.72,5.85,"Bruján, Vidal",660644,666157,,ball,,,,,11,Vidal Brujan hit by pitch.    Francisco Mejia to 2nd.,R,R,L,CIN,TB,B,,,0,1,2023,1.42,1.11,-0.77,3.46,,,642336.0,2,2,Top,,,,,592200,,,-14.45103978433066,-134.47890468321256,-2.6760008302030216,20.414642465751943,29.32215297219366,-18.303086746076872,3.12,1.43,,,,92.0,2192,6.0,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.46,,,,,,,,13,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,120,0.0,0.026
CU,2023-04-18,77.1,3.82,5.8,"Bruján, Vidal",660644,666157,,swinging_strike,,,,,7,Vidal Brujan hit by pitch.    Francisco Mejia to 2nd.,R,R,L,CIN,TB,S,,,0,0,2023,-1.45,-0.17,-0.44,2.0,,,642336.0,2,2,Top,,,,,592200,,,-6.391214081521204,-112.16063706943685,-0.7431506414948026,-10.937604338863611,21.70460619071901,-33.674008548664425,3.18,1.48,,,,76.6,2742,6.1,718526,666157,592200,613564,663697,669222,621028,641584,670770,571976,54.39,,,,,,,,13,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,297,0.0,-0.036
