pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,94.7,0.74,6.13,"Merrifield, Whit",593160,663556,field_out,hit_into_play,,,,,6,Whit Merrifield flies out to right fielder Manuel Margot.,R,R,L,TB,TOR,X,9.0,fly_ball,2,0,2023,1.04,1.52,0.62,2.78,,,656305.0,0,7,Top,175.67,109.6,,,542194,,,-2.660980580158671,-137.74367945947063,-6.522772689030243,13.815484705077887,31.886985214317114,-11.6467621318296,3.34,1.55,254.0,91.9,53.0,95.8,2252.0,7.0,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.47,0.003,0.003,0.0,1.0,0.0,0.0,3.0,52,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,139.0,0.024,-0.481
CH,2023-05-24,86.1,0.95,5.97,"Merrifield, Whit",593160,663556,,ball,,,,,13,Whit Merrifield flies out to right fielder Manuel Margot.,R,R,L,TB,TOR,B,,,1,0,2023,1.66,0.32,0.0,0.8,,,656305.0,0,7,Top,,,,,542194,,,-5.718033624029942,-125.05166819611,-6.660789401848409,18.583959863528985,28.261190848783382,-27.56122395306751,3.41,1.62,,,,86.6,1647.0,7.0,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.49,,,,,,,,52,2,Changeup,5,1,1,5,1,5,1,5,Standard,Standard,117.0,0.0,0.085
FF,2023-05-24,95.3,0.94,6.08,"Merrifield, Whit",593160,663556,,ball,,,,,14,Whit Merrifield flies out to right fielder Manuel Margot.,R,R,L,TB,TOR,B,,,0,0,2023,1.12,1.31,0.07,1.01,,,656305.0,0,7,Top,,,,,542194,,,-4.874434415339391,-138.30812405029363,-10.683456363849592,15.421534401451131,34.269055711643844,-13.067342975677777,3.43,1.62,,,,96.2,2266.0,7.2,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.27,,,,,,,,52,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,142.0,0.0,0.037
FF,2023-05-24,98.0,0.42,6.32,"Merrifield, Whit",593160,663556,field_out,hit_into_play,,,,,12,Whit Merrifield pops out to second baseman Taylor Walls.,R,R,L,TB,TOR,X,4.0,popup,0,2,2023,0.77,1.35,0.01,3.48,,,665489.0,2,4,Top,157.33,137.12,,,542194,,,-2.913031769485333,-142.57837811489054,-5.363410945924483,11.126018904274966,33.44564261295359,-12.68170668863186,3.34,1.55,172.0,88.8,63.0,99.0,2198.0,6.9,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.57,0.011,0.013,0.0,1.0,0.0,0.0,3.0,30,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,143.0,0.025,-0.171
FF,2023-05-24,96.8,0.64,6.25,"Merrifield, Whit",593160,663556,,foul_tip,,,,,3,Whit Merrifield pops out to second baseman Taylor Walls.,R,R,L,TB,TOR,S,,,0,1,2023,0.82,1.47,0.31,3.31,,,665489.0,2,4,Top,,,,,542194,,,-2.805061084702709,-140.84796760544137,-5.733356179239978,11.593673575348198,32.67947956033122,-11.47300348661375,3.34,1.55,,,,98.2,2235.0,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.38,,,,,,,,30,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,136.0,0.0,-0.036
CU,2023-05-24,83.8,1.03,5.91,"Merrifield, Whit",593160,663556,,foul,,,,,14,Whit Merrifield pops out to second baseman Taylor Walls.,R,R,L,TB,TOR,S,,,0,0,2023,-0.23,-0.45,0.6,1.22,,,665489.0,2,4,Top,,,,,542194,,,-0.5502996631880778,-122.08060004969612,-3.6161374796824175,-2.223070536282882,23.324095095983992,-36.230802823981286,3.34,1.55,5.0,59.7,-16.0,85.4,2379.0,7.2,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.3,,,,,,,,30,1,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,303.0,0.0,-0.036
FF,2023-05-24,95.9,1.04,6.07,"Merrifield, Whit",593160,663556,strikeout,swinging_strike,,,,,12,Whit Merrifield strikes out swinging.,R,R,L,TB,TOR,S,2.0,,3,2,2023,0.67,1.68,0.54,3.64,,,,1,2,Top,,,,,542194,,,-2.886559014013531,-139.47557095907806,-4.630483586226892,9.42401824169238,34.60587020815853,-9.532799100735678,3.34,1.55,,,,96.8,2201.0,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.42,,,0.0,1.0,0.0,0.0,,11,6,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,145.0,0.017,-0.211
FF,2023-05-24,96.8,0.84,6.24,"Merrifield, Whit",593160,663556,,ball,,,,,12,Whit Merrifield strikes out swinging.,R,R,L,TB,TOR,B,,,2,2,2023,0.8,1.63,0.64,4.5,,,,1,2,Top,,,,,542194,,,-2.411663920833635,-140.88754521811833,-2.8206370214467107,11.20867300782628,35.23442984927881,-10.166954069492403,3.34,1.58,,,,98.0,2231.0,7.2,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.29,,,,,,,,11,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,144.0,0.0,0.06
FF,2023-05-24,94.2,1.22,6.09,"Merrifield, Whit",593160,663556,,foul,,,,,13,Whit Merrifield strikes out swinging.,R,R,L,TB,TOR,S,,,2,1,2023,0.61,1.49,-1.16,1.84,,,,1,2,Top,,,,,542194,,,-7.659612310599102,-136.64648336817987,-8.720626786258068,9.337277466577548,31.76810004053296,-11.687982042155395,3.34,1.55,224.0,83.3,58.0,95.4,2140.0,7.3,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.23,,,,,,,,11,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,143.0,0.0,-0.05
CH,2023-05-24,86.1,1.32,6.07,"Merrifield, Whit",593160,663556,,ball,,,,,12,Whit Merrifield strikes out swinging.,R,R,L,TB,TOR,B,,,1,1,2023,1.5,0.87,1.53,2.72,,,,1,2,Top,,,,,542194,,,-2.5708693954526485,-125.35720248670754,-3.4721692080278466,16.277780558332324,27.27416374519383,-22.545270232391317,3.34,1.6,,,,86.9,1557.0,6.9,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.56,,,,,,,,11,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,122.0,0.0,0.036
