pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,91.8,-1.92,4.58,"Calhoun, Willie",641432,571710,walk,ball,,,,,14,Willie Calhoun walks.,R,L,R,NYY,BAL,B,,,3,2,2023,-1.24,0.76,0.25,1.18,,,,1,7,Bot,,,,,543510,,,8.129238172195933,-133.4841639213708,-4.392364735557707,-16.546952158211678,27.435806323599916,-22.363152577711308,3.15,1.42,,,,91.4,2369.0,6.0,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.51,,,0.7,1.0,0.0,0.0,,61,6,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,238.0,0.019,0.235
FF,2023-05-24,90.2,-1.81,4.62,"Calhoun, Willie",641432,571710,,foul,,,,,2,Willie Calhoun walks.,R,L,R,NYY,BAL,S,,,3,1,2023,-0.76,1.11,-0.17,2.74,,,,1,7,Bot,,,,,543510,,,5.628949482970539,-131.2818490137013,-1.0411875914466298,-9.966231714446272,29.21945058742547,-19.42852504048203,3.15,1.45,,,,89.1,2398.0,5.7,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.8,,,,,,,,61,5,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,240.0,0.0,-0.069
CH,2023-05-24,82.0,-1.74,4.25,"Calhoun, Willie",641432,571710,,ball,,,,,11,Willie Calhoun walks.,R,L,R,NYY,BAL,B,,,2,1,2023,-1.03,-0.24,-1.81,2.3,,,,1,7,Bot,,,,,543510,,,1.7755233402592057,-119.30391834813284,2.5951711028398328,-10.091658430811584,25.784682543638954,-35.2584656998468,3.14,1.41,,,,80.1,2177.0,5.2,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,55.27,,,,,,,,61,4,Changeup,5,9,5,9,9,5,5,9,Standard,Standard,277.0,0.0,0.079
CH,2023-05-24,82.6,-1.8,4.19,"Calhoun, Willie",641432,571710,,ball,,,,,13,Willie Calhoun walks.,R,L,R,NYY,BAL,B,,,1,1,2023,-1.08,-0.39,-1.88,1.45,,,,1,7,Bot,,,,,543510,,,1.878784315400638,-120.14774603883788,1.1044577712648136,-10.748321190828165,26.397460777743166,-36.413832037938256,3.12,1.43,,,,81.2,2124.0,5.7,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.85,,,,,,,,61,3,Changeup,5,9,5,9,9,5,5,9,Standard,Standard,280.0,0.0,0.036
CH,2023-05-24,82.5,-1.75,4.29,"Calhoun, Willie",641432,571710,,foul,,,,,7,Willie Calhoun walks.,R,L,R,NYY,BAL,S,,,1,0,2023,-1.06,-0.11,-0.33,1.96,,,,1,7,Bot,,,,,543510,,,5.211985249138465,-120.16862565338698,1.318881925388569,-11.287372625707262,21.481319364102475,-33.704942174509306,3.15,1.45,2.0,57.8,-53.0,81.6,2157.0,5.5,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,55.02,,,,,,,,61,2,Changeup,5,9,5,9,9,5,5,9,Standard,Standard,283.0,0.0,-0.036
CH,2023-05-24,82.6,-2.01,4.28,"Calhoun, Willie",641432,571710,,ball,,,,,11,Willie Calhoun walks.,R,L,R,NYY,BAL,B,,,0,0,2023,-0.97,-0.13,-2.16,2.43,,,,1,7,Bot,,,,,543510,,,1.5111246521159831,-120.30757431004656,2.4293357509122795,-9.730032999381708,21.33242517587832,-34.12023027771666,3.19,1.46,,,,81.6,2186.0,5.4,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,55.11,,,,,,,,61,1,Changeup,5,9,5,9,9,5,5,9,Standard,Standard,276.0,0.0,0.029
FF,2023-05-23,93.0,-1.47,6.35,"Calhoun, Willie",641432,680694,field_out,hit_into_play,,,,,11,Willie Calhoun pops out to third baseman Gunnar Henderson in foul territory.,R,L,R,NYY,BAL,X,5.0,popup,1,2,2023,0.33,1.04,-0.15,3.58,,,518934.0,2,5,Bot,96.42,186.37,,,668939,,,2.688659302747773,-135.47216736935184,-3.646774603329244,3.458325890548173,28.529042834986264,-18.750213384204297,3.11,1.45,103.0,84.2,73.0,93.4,2320.0,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.13,0.001,0.0,0.0,1.0,0.0,0.0,3.0,45,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,187.0,-0.031,-0.176
FF,2023-05-23,91.3,-1.35,6.5,"Calhoun, Willie",641432,680694,,ball,,,,,11,Willie Calhoun pops out to third baseman Gunnar Henderson in foul territory.,R,L,R,NYY,BAL,B,,,0,2,2023,0.59,0.81,-0.66,3.49,,,518934.0,2,5,Bot,,,,,668939,,,0.4808989076805925,-133.05795854968687,-3.507942681799187,6.917244691558336,26.88533456863414,-21.97583700985687,3.11,1.52,,,,92.0,2327.0,6.5,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.02,,,,,,,,45,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,171.0,0.0,0.005
CU,2023-05-23,84.9,-1.33,6.37,"Calhoun, Willie",641432,680694,,foul,,,,,8,Willie Calhoun pops out to third baseman Gunnar Henderson in foul territory.,R,L,R,NYY,BAL,S,,,0,1,2023,0.5,-1.16,-0.02,1.86,,,518934.0,2,5,Bot,,,,,668939,,,2.063202499134356,-123.68775519183116,-1.8768584954961869,4.724435269371754,25.865909631991723,-43.88921691928102,3.11,1.45,4.0,67.6,-28.0,84.9,2696.0,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.14,,,,,,,,45,2,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,32.0,0.0,-0.036
FF,2023-05-23,93.9,-1.57,6.14,"Calhoun, Willie",641432,680694,,called_strike,,,,,5,Willie Calhoun pops out to third baseman Gunnar Henderson in foul territory.,R,L,R,NYY,BAL,S,,,0,0,2023,0.3,1.12,-0.21,2.07,,,518934.0,2,5,Bot,,,,,668939,,,2.8672157790955906,-136.60164485176062,-7.347831422243949,3.183959581707809,28.19568900695828,-16.71351814292355,3.11,1.44,,,,94.4,2502.0,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.07,,,,,,,,45,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,193.0,0.0,-0.036
FF,2023-05-23,92.7,-1.55,6.23,"Calhoun, Willie",641432,680694,field_out,hit_into_play,,,,,2,Willie Calhoun lines out to center fielder Cedric Mullins.,R,L,R,NYY,BAL,X,8.0,line_drive,0,0,2023,0.39,1.04,-0.23,2.87,,,,0,4,Bot,114.54,50.82,,,668939,,,2.5244459445829164,-134.91303175997578,-5.057680160777503,4.17662055067495,29.65529469833963,-18.63176707657528,3.11,1.45,368.0,95.5,24.0,92.5,2427.0,6.2,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.31,0.246,0.351,0.0,1.0,0.0,0.0,5.0,32,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,183.0,-0.023,-0.235
