pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-21,85.5,2.09,4.86,"Edwards, Xavier",669364,622072,single,hit_into_play,,,,,6,Xavier Edwards singles on a ground ball to right fielder Mike Yastrzemski.,R,R,L,SF,MIA,X,9.0,ground_ball,0,0,2023,1.37,0.14,0.31,2.23,,,,1,5,Top,168.49,98.81,,,672275,,,-6.962522909186964,-124.4467914002394,-0.2577241705784935,15.6152493324926,22.54708024588097,-30.853135332568534,3.32,1.54,75.0,99.9,2.0,85.9,1799.0,6.3,718078,622072,672275,527038,642731,669477,543063,571745,669369,573262,54.21,0.48,0.436,0.9,1.0,1.0,0.0,4.0,35,1,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,92.0,-0.036,0.271
CH,2023-05-21,84.7,2.27,4.79,"Edwards, Xavier",669364,622072,field_out,hit_into_play,,,,,9,"Xavier Edwards grounds out, second baseman Thairo Estrada to first baseman Wilmer Flores.",R,R,L,SF,MIA,X,4.0,ground_ball,1,1,2023,1.22,0.34,0.49,1.69,,,,1,3,Top,134.57,136.67,,,672275,,,-6.582266846810337,-123.22353780434533,-1.548828754064133,13.70290639241426,24.63080292846321,-28.658289567205124,3.3,1.5,12.0,97.1,-8.0,84.8,1843.0,6.4,718078,622072,672275,527038,642731,669477,543063,571745,669369,573262,54.14,0.229,0.206,0.0,1.0,0.0,0.0,2.0,17,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,85.0,0.018,-0.165
CH,2023-05-21,84.7,2.17,4.84,"Edwards, Xavier",669364,622072,,ball,,,,,12,"Xavier Edwards grounds out, second baseman Thairo Estrada to first baseman Wilmer Flores.",R,R,L,SF,MIA,B,,,0,1,2023,1.15,0.3,1.31,2.43,,,,1,3,Top,,,,,672275,,,-4.303906923789032,-123.28831225922956,0.082055008327599,12.61864139587589,23.185046625023407,-29.271705839257496,3.29,1.54,,,,84.8,1806.0,6.2,718078,622072,672275,527038,642731,669477,543063,571745,669369,573262,54.3,,,,,,,,17,2,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,92.0,0.0,0.021
SI,2023-05-21,90.5,2.23,4.73,"Edwards, Xavier",669364,622072,,foul,,,,,8,"Xavier Edwards grounds out, second baseman Thairo Estrada to first baseman Wilmer Flores.",R,R,L,SF,MIA,S,,,0,0,2023,1.32,0.76,0.04,1.91,,,,1,3,Top,,,,,672275,,,-8.218462363407522,-131.6046890581221,-2.7394265922313275,17.045716663789676,26.850798458576907,-22.93530035555398,3.3,1.5,,,,90.3,1826.0,6.1,718078,622072,672275,527038,642731,669477,543063,571745,669369,573262,54.41,,,,,,,,17,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,116.0,0.0,-0.028
SI,2023-05-21,94.6,-3.8,5.18,"Edwards, Xavier",669364,676254,single,hit_into_play,,,,,4,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,X,7.0,line_drive,3,2,2023,-1.35,-0.01,-0.63,2.49,,,,0,7,Top,49.81,120.33,,,672275,,,11.172333264441482,-137.32645704661647,-1.281966594704967,-19.59997352633723,30.288263568798996,-32.22829028411137,3.3,1.5,235.0,86.8,18.0,93.7,2235.0,5.9,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.61,0.826,0.764,0.9,1.0,1.0,0.0,4.0,55,6,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,235.0,-0.059,0.315
SI,2023-05-21,93.5,-3.77,5.17,"Edwards, Xavier",669364,676254,,called_strike,,,,,1,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,S,,,3,1,2023,-1.26,0.14,-0.61,3.13,,,,0,7,Top,,,,,672275,,,10.748453887214378,-135.71596236232742,0.2162478597757076,-17.98478522143637,30.094310916173196,-30.70742626991294,3.49,1.54,,,,92.1,,5.6,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.87,,,,,,,,55,5,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,,0.0,-0.087
SI,2023-05-21,93.7,-3.71,5.24,"Edwards, Xavier",669364,676254,,ball,,,,,12,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,B,,,2,1,2023,-1.12,0.27,0.07,3.93,,,,0,7,Top,,,,,672275,,,12.095197547971823,-136.0879210174668,1.6865636760123,-16.31243203114838,26.030977238662167,-29.341868137414195,3.46,1.54,,,,93.1,2198.0,5.8,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.74,,,,,,,,55,4,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,233.0,0.0,0.123
SI,2023-05-21,94.3,-3.81,5.14,"Edwards, Xavier",669364,676254,,called_strike,,,,,4,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,S,,,2,0,2023,-1.12,0.03,-0.73,2.48,,,,0,7,Top,,,,,672275,,,10.401140544356622,-137.04955451050415,-1.3017887340629737,-16.254496045539224,27.2924169888155,-31.773993182419773,3.41,1.54,,,,94.0,2132.0,6.0,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.54,,,,,,,,55,3,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,242.0,0.0,-0.062
SI,2023-05-21,94.5,-3.72,5.28,"Edwards, Xavier",669364,676254,,ball,,,,,11,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,B,,,1,0,2023,-1.08,0.11,-0.38,3.53,,,,0,7,Top,,,,,672275,,,10.973667430328764,-137.31211442332082,0.8263814695411402,-15.932674388432634,27.35374761991551,-31.152517257971965,3.38,1.54,,,,93.9,2112.0,5.8,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.71,,,,,,,,55,2,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,228.0,0.0,0.066
SI,2023-05-21,95.4,-3.76,5.34,"Edwards, Xavier",669364,676254,,ball,,,,,11,Xavier Edwards singles on a line drive to left fielder Mitch Haniger.,R,L,R,SF,MIA,B,,,0,0,2023,-1.16,0.11,-1.51,3.52,,,,0,7,Top,,,,,672275,,,8.425681081866031,-138.7918087361005,0.5628673421578723,-16.759647880546556,28.43337267161565,-31.121169491282764,3.26,1.53,,,,94.6,2200.0,5.7,718078,676254,672275,527038,642731,669477,543063,571745,669369,573262,54.84,,,,,,,,55,1,Sinker,6,4,4,6,4,6,4,6,Strategic,Standard,236.0,0.0,0.039
