pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-22,84.2,-1.36,5.58,"Díaz, Yandy",650490,605135,field_out,hit_into_play,,,,,2,"Yandy Diaz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TB,TOR,X,6.0,ground_ball,1,0,2023,0.11,0.41,0.11,2.99,,,,0,5,Bot,112.64,147.16,,,672386,,,3.215524865253289,-122.63540163028068,-0.4942280483003617,0.450060011873801,23.59789366613493,-28.099405663342804,3.44,1.64,50.0,99.8,-1.0,84.4,2083.0,6.3,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.16,0.337,0.334,0.0,1.0,0.0,0.0,2.0,39,2,Cutter,4,2,4,2,2,4,4,2,Strategic,Standard,184.0,-0.014,-0.274
CH,2023-05-22,81.1,-1.47,5.63,"Díaz, Yandy",650490,605135,,ball,,,,,11,"Yandy Diaz grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TB,TOR,B,,,0,0,2023,-1.37,0.7,-1.67,3.57,,,,0,5,Bot,,,,,672386,,,2.192037821580756,-118.0465225205784,0.6905310642178831,-13.244848971486748,23.402540427933182,-26.012436673282963,3.48,1.7,,,,80.8,1867.0,6.2,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.34,,,,,,,,39,1,Changeup,4,2,4,2,2,4,4,2,Strategic,Standard,237.0,0.0,0.039
SI,2023-05-22,91.0,-1.1,5.7,"Díaz, Yandy",650490,605135,walk,ball,,,,,12,Yandy Diaz walks.,R,R,R,TB,TOR,B,,,3,2,2023,-1.47,0.67,0.57,3.92,,,,0,3,Bot,,,,,672386,,,7.331862546412188,-132.35977138412207,-0.0188338283652353,-18.7996739661256,27.534979562755236,-24.47799230811481,3.44,1.59,,,,91.2,2059.0,6.3,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.15,,,0.7,1.0,0.0,0.0,,22,7,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,218.0,0.016,0.317
FF,2023-05-22,91.8,-1.28,5.7,"Díaz, Yandy",650490,605135,,ball,,,,,12,Yandy Diaz walks.,R,R,R,TB,TOR,B,,,2,2,2023,-0.32,1.09,0.45,3.74,,,,0,3,Bot,,,,,672386,,,5.094782019131369,-133.67915076622864,-1.5148826140673015,-4.940742869643007,27.10625866425929,-18.89124621960089,3.45,1.65,,,,92.2,2081.0,6.4,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.12,,,,,,,,22,6,4-Seam Fastball,3,0,3,0,0,3,3,0,Strategic,Standard,212.0,0.0,0.108
SI,2023-05-22,92.0,-1.15,5.73,"Díaz, Yandy",650490,605135,,foul,,,,,2,Yandy Diaz walks.,R,R,R,TB,TOR,S,,,2,2,2023,-1.45,0.6,0.02,2.93,,,,0,3,Bot,,,,,672386,,,6.116644069651136,-133.92092300292492,-2.5831991755057118,-18.71547691973153,28.68979544708211,-24.539555048216343,3.44,1.64,234.0,75.1,30.0,92.1,2096.0,6.3,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.18,,,,,,,,22,5,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,213.0,0.0,0.0
SI,2023-05-22,90.3,-1.48,5.58,"Díaz, Yandy",650490,605135,,called_strike,,,,,2,Yandy Diaz walks.,R,R,R,TB,TOR,S,,,2,1,2023,-1.31,0.54,0.07,3.11,,,,0,3,Bot,,,,,672386,,,6.66182949069331,-131.44301517109386,-1.380513453016326,-16.603039545946945,27.056460874961378,-25.79188844708501,3.44,1.6,,,,90.6,1954.0,6.4,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.12,,,,,,,,22,4,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,219.0,0.0,-0.073
SL,2023-05-22,82.2,-1.38,5.72,"Díaz, Yandy",650490,605135,,ball,,,,,14,Yandy Diaz walks.,R,R,R,TB,TOR,B,,,1,1,2023,0.35,-0.03,1.04,0.76,,,,0,3,Bot,,,,,672386,,,4.796718804935399,-119.68781257573195,-4.661535227781705,2.457272684714095,23.165810554912888,-31.727075229372662,3.44,1.62,,,,82.4,2323.0,6.4,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.08,,,,,,,,22,3,Slider,3,0,3,0,0,3,3,0,Strategic,Standard,123.0,0.0,0.05
SI,2023-05-22,89.0,-1.42,5.62,"Díaz, Yandy",650490,605135,,called_strike,,,,,4,Yandy Diaz walks.,R,R,R,TB,TOR,S,,,1,0,2023,-1.4,0.81,-0.8,2.63,,,,0,3,Bot,,,,,672386,,,4.48012677218723,-129.5234812786706,-3.005854417367801,-16.74276846151429,27.872739489668685,-22.60228527515443,3.52,1.65,,,,89.3,1977.0,6.5,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,53.96,,,,,,,,22,2,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,222.0,0.0,-0.046
SI,2023-05-22,90.9,-1.75,5.36,"Díaz, Yandy",650490,605135,,ball,,,,,11,Yandy Diaz walks.,R,R,R,TB,TOR,B,,,0,0,2023,-1.53,0.58,-1.11,3.72,,,,0,3,Bot,,,,,672386,,,4.896017870014991,-132.28610552237868,0.5646654735344421,-19.01395585924577,28.901422331057024,-25.74970028823808,3.52,1.65,,,,91.1,2053.0,6.4,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.07,,,,,,,,22,1,Sinker,3,0,3,0,0,3,3,0,Strategic,Standard,228.0,0.0,0.039
SL,2023-05-22,85.8,-1.34,5.83,"Díaz, Yandy",650490,542914,strikeout,swinging_strike,,,,,14,Yandy Diaz strikes out swinging.,R,R,R,TB,TOR,S,2.0,,1,2,2023,0.59,-0.14,0.98,1.15,,,,1,7,Bot,,,,,672386,,,4.306824113940152,-124.8888063713416,-4.524978716027873,5.253970555060686,26.19960016482049,-32.871799763080055,3.44,1.64,,,,85.9,2007.0,6.4,718077,542914,672386,665489,593160,656305,666182,662139,595281,543807,54.05,,,0.0,1.0,0.0,0.0,,55,4,Slider,6,2,6,2,2,6,6,2,Strategic,Standard,94.0,-0.002,-0.121
