pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,92.7,-2.16,5.85,"Short, Zack",670097,621295,walk,ball,,,,,8,Zack Short walks.,R,R,R,KC,DET,B,,,3,2,2023,-0.77,1.45,-0.23,1.41,679529.0,,,1,8,Top,,,,,666023,,,6.732857066729845,-134.80129952858692,-8.96629107260909,-10.697975339248394,24.972191221452096,-12.769060751302518,3.19,1.5,,,,95.2,2212,7.4,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.06,,,0.7,1.0,0.0,0.0,,63,6,4-Seam Fastball,2,4,4,2,4,2,4,2,Strategic,Standard,218,-0.004,0.42
FF,2023-05-24,91.1,-2.14,5.81,"Short, Zack",670097,621295,,foul,,,,,5,Zack Short walks.,R,R,R,KC,DET,S,,,3,1,2023,-0.33,1.25,0.05,2.27,679529.0,,,1,8,Top,,,,,666023,,,6.282836917750237,-132.65162226891772,-5.862445258299709,-5.108804935612239,24.10865221802461,-16.288347410167717,3.19,1.5,218.0,74.4,39.0,92.9,1922,7.0,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.54,,,,,,,,63,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Strategic,Standard,220,0.0,-0.236
FF,2023-05-24,91.9,-2.12,5.87,"Short, Zack",670097,621295,,called_strike,,,,,7,Zack Short walks.,R,R,R,KC,DET,S,,,3,0,2023,-0.43,0.93,-0.81,1.94,679529.0,,,1,8,Top,,,,,666023,,,4.362443716407459,-133.80738188854497,-6.33299372910356,-6.061682139002349,24.53865181849056,-19.938441881360028,3.19,1.5,,,,94.5,1739,7.4,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.08,,,,,,,,63,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Strategic,Standard,221,0.0,-0.097
FF,2023-05-24,91.4,-2.07,5.98,"Short, Zack",670097,621295,,ball,,,,,11,Zack Short walks.,R,R,R,KC,DET,B,,,2,0,2023,-0.46,0.64,-1.0,3.19,679529.0,,,1,8,Top,,,,,666023,,,3.724631453931277,-133.23746021425868,-2.6820236551953296,-6.270006806184344,23.755194434264983,-24.10950076921459,3.19,1.5,,,,93.0,1768,6.8,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.71,,,,,,,,63,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Strategic,Standard,214,0.0,0.156
SL,2023-05-24,83.9,-2.24,5.67,"Short, Zack",670097,621295,,ball,,,,,14,Zack Short walks.,R,R,R,KC,DET,B,,,1,0,2023,1.06,-0.07,1.45,0.48,,679529.0,,1,8,Top,,,,,666023,,,6.5728095598077925,-121.98592785849296,-5.520532362388492,9.16939175387804,25.782836805864505,-31.90535931700726,3.19,1.5,,,,85.5,2260,7.5,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,52.96,,,,,,,,63,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard,49,-0.021,0.022
FF,2023-05-24,92.0,-1.97,5.96,"Short, Zack",670097,621295,,ball,,,,,9,Zack Short walks.,R,R,R,KC,DET,B,,,0,0,2023,-0.67,1.37,0.45,1.65,,679529.0,,1,8,Top,,,,,666023,,,7.764599334679601,-133.60942536324444,-8.282405190379805,-9.587340958070266,25.30375655783157,-14.105968201532582,3.19,1.5,,,,94.4,2079,7.5,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,52.98,,,,,,,,63,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,215,0.0,0.041
SL,2023-05-24,81.5,2.26,5.82,"Short, Zack",670097,657031,home_run,hit_into_play,,,,,5,Zack Short homers (2) on a fly ball to left center field.   Riley Greene scores.    Matt Vierling scores.,R,R,L,KC,DET,X,,fly_ball,0,0,2023,-0.4,-0.03,0.25,2.3,682985.0,,663837.0,1,6,Top,63.75,42.21,,,666023,,,-3.77347421161866,-118.67493436474686,-1.3107228146769954,-3.1452685273987515,21.05093046630763,-32.428221675759815,3.19,1.5,416.0,105.5,28.0,82.5,2177,6.8,718039,657031,666023,668472,622110,672580,677951,658668,598265,669004,53.75,0.911,1.799,2.0,1.0,0.0,3.0,6.0,45,1,Slider,1,1,1,1,4,1,4,1,Standard,Standard,282,-0.263,2.04
SL,2023-05-22,83.8,-1.56,5.32,"Short, Zack",670097,663903,single,hit_into_play,,,,,8,Zack Short singles on a line drive to left fielder Nick Pratto.,R,R,R,KC,DET,X,7.0,line_drive,0,0,2023,0.33,0.1,0.17,1.98,,,,2,3,Top,56.86,115.9,,,521692,,,3.3715642753692814,-122.14184980228592,-1.5811341790642808,2.729532512167676,21.892249468228595,-31.04859479558076,3.2,1.5,219.0,77.3,22.0,85.0,2350,6.7,718066,663903,521692,686469,672580,670032,677951,668472,598265,669004,53.75,0.934,0.868,0.9,1.0,1.0,0.0,4.0,27,1,Slider,3,5,5,3,5,3,5,3,Standard,Standard,127,-0.01,0.136
SL,2023-05-22,85.4,-1.66,5.33,"Short, Zack",670097,663903,strikeout,swinging_strike,,,,,14,Zack Short strikes out swinging.,R,R,R,KC,DET,S,2.0,,2,2,2023,0.21,0.2,0.93,1.08,,,,0,2,Top,,,,,521692,,,5.72803770707673,-124.4470469325896,-4.280270663222364,1.2937740378593143,20.525185543379557,-29.49426297680732,3.2,1.5,,,,87.1,2423,6.9,718066,663903,521692,686469,672580,670032,677951,668472,598265,669004,53.64,,,0.0,1.0,0.0,0.0,,15,5,Slider,3,3,3,3,3,3,3,3,Standard,Standard,126,0.023,-0.205
SL,2023-05-22,85.1,-1.56,5.32,"Short, Zack",670097,663903,,ball,,,,,14,Zack Short strikes out swinging.,R,R,R,KC,DET,B,,,1,2,2023,0.17,0.25,1.32,1.02,,,,0,2,Top,,,,,521692,,,6.48585945516782,-123.93187682077536,-4.442673790636634,0.7673401941863935,19.9162115288772,-28.99298722644198,3.19,1.52,,,,86.8,2462,6.9,718066,663903,521692,686469,672580,670032,677951,668472,598265,669004,53.62,,,,,,,,15,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,128,0.0,0.03
