pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,92.8,-1.4,5.11,"Mercado, Óscar",640458,594902,strikeout,swinging_strike,,,,,3,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,2.0,,2,2,2023,-1.13,1.02,0.29,3.21,,,,2,4,Top,,,,,663886,,,6.896106628938469,-135.14885712002052,-1.3972535549509806,-15.272670964101245,25.86630181500705,-19.44059941532621,3.44,1.63,,,,94.4,1875,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.56,,,0.0,1.0,0.0,0.0,,36,5,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,217,0.006,-0.09
SI,2023-05-24,91.4,-1.35,5.19,"Mercado, Óscar",640458,594902,,foul,,,,,11,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,,,2,1,2023,-1.17,1.18,-0.15,3.6,,,,2,4,Top,,,,,663886,,,5.61503202500112,-133.16918941835434,-0.7264595025521121,-15.132901568004533,25.982409309128,-18.109171963653917,3.44,1.63,210.0,79.5,20.0,92.7,1880,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.7,,,,,,,,36,4,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,216,0.0,-0.03
FF,2023-05-24,91.5,-1.43,5.18,"Mercado, Óscar",640458,594902,,foul,,,,,5,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,,,2,0,2023,-0.75,1.3,0.2,2.59,,,,2,4,Top,,,,,663886,,,5.77191284738801,-133.1810513977476,-3.5065926715572022,-10.112977984350945,28.150855345068106,-16.143397291129407,3.44,1.63,199.0,72.9,46.0,92.3,2066,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.75,,,,,,,,36,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,211,0.0,-0.029
SL,2023-05-24,79.6,-1.71,5.04,"Mercado, Óscar",640458,594902,,ball,,,,,14,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,B,,,1,0,2023,0.89,0.52,0.8,1.44,,,,2,4,Top,,,,,663886,,,3.8896195978168127,-116.01277800278024,-2.196983056218367,7.3857362242704285,20.333893337285087,-27.22428850208766,3.44,1.63,,,,80.8,2054,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.63,,,,,,,,36,2,Slider,5,1,1,5,1,5,1,5,Standard,Standard,88,0.0,0.025
SI,2023-05-24,91.5,-1.53,5.17,"Mercado, Óscar",640458,594902,,ball,,,,,13,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,B,,,0,0,2023,-1.39,0.91,-1.37,2.27,,,,2,4,Top,,,,,663886,,,3.4301114550622605,-133.24175087366248,-3.445962787870672,-17.294642933321168,28.058977901174806,-20.78381982542399,3.44,1.63,,,,92.3,2015,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.83,,,,,,,,36,1,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,218,0.0,0.021
FF,2023-05-24,90.0,-1.31,5.25,"Mercado, Óscar",640458,594902,field_out,hit_into_play,,,,,11,"Oscar Mercado grounds out, shortstop Matt McLain to first baseman Spencer Steer.   Brendan Donovan to 3rd.    Tommy Edman to 2nd.",R,R,R,CIN,STL,X,6.0,ground_ball,1,2,2023,-0.62,1.35,-0.76,3.87,,680977.0,669242.0,1,2,Top,116.94,165.87,,,663886,,,2.6830670617317383,-131.0620030539878,-0.3380111917025664,-7.723698863319709,27.167545087069737,-16.743849720955726,3.44,1.63,89.0,39.4,47.0,90.6,2060,6.6,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.92,0.134,0.128,0.0,1.0,0.0,0.0,1.0,17,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,216,0.024,-0.507
SL,2023-05-24,79.3,-1.61,5.1,"Mercado, Óscar",640458,594902,,ball,,,,,14,"Oscar Mercado grounds out, shortstop Matt McLain to first baseman Spencer Steer.   Brendan Donovan to 3rd.    Tommy Edman to 2nd.",R,R,R,CIN,STL,B,,,0,2,2023,0.9,0.18,1.18,1.95,,680977.0,669242.0,1,2,Top,,,,,663886,,,4.447565033214796,-115.506466963302,-0.4686460139375523,7.244618672436273,21.179449683360684,-30.68721664699518,3.44,1.63,,,,80.0,2101,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.8,,,,,,,,17,3,Slider,4,0,0,4,0,4,0,4,Standard,Standard,89,0.0,0.1
SL,2023-05-24,79.2,-1.57,5.13,"Mercado, Óscar",640458,594902,,swinging_strike,,,,,14,"Oscar Mercado grounds out, shortstop Matt McLain to first baseman Spencer Steer.   Brendan Donovan to 3rd.    Tommy Edman to 2nd.",R,R,R,CIN,STL,S,,,0,1,2023,0.79,0.12,0.95,2.06,,680977.0,669242.0,1,2,Top,,,,,663886,,,4.0572800869044,-115.31775836131403,-0.1736053291781146,6.353529875267135,20.26667478336781,-31.306608660999856,3.44,1.63,,,,80.1,2056,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.76,,,,,,,,17,2,Slider,4,0,0,4,0,4,0,4,Standard,Standard,86,0.0,-0.122
SL,2023-05-24,77.9,-1.55,5.1,"Mercado, Óscar",640458,594902,,called_strike,,,,,8,"Oscar Mercado grounds out, shortstop Matt McLain to first baseman Spencer Steer.   Brendan Donovan to 3rd.    Tommy Edman to 2nd.",R,R,R,CIN,STL,S,,,0,0,2023,1.03,-0.11,0.23,1.95,,680977.0,669242.0,1,2,Top,,,,,663886,,,1.9478500812615736,-113.57799251568008,0.2465602145379481,8.645176580731446,18.917351172048075,-33.38689209640892,3.44,1.63,,,,79.0,2058,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.78,,,,,,,,17,1,Slider,4,0,0,4,0,4,0,4,Standard,Standard,78,0.0,-0.091
SI,2023-05-24,93.0,-2.82,5.45,"Mercado, Óscar",640458,674285,double,hit_into_play,,,,,7,Oscar Mercado doubles (3) on a line drive to left fielder Nick Senzel.   Alec Burleson to 3rd.,R,R,R,CIN,STL,X,7.0,line_drive,0,0,2023,-1.45,0.72,-0.6,1.57,,,676475.0,1,9,Top,41.76,108.44,,,663886,,,8.924186002784827,-135.2214981009197,-5.854477167365281,-19.705437896977603,26.26405566585857,-22.2056456266122,3.44,1.63,178.0,97.7,10.0,93.9,2091,6.6,718041,674285,663886,668715,663697,621028,680574,669222,676480,656413,53.85,0.757,0.743,1.25,1.0,1.0,1.0,4.0,80,1,Sinker,10,2,2,10,2,10,2,10,Standard,Standard,236,-0.001,0.92
